KW	SMD_0_0	SMD_0_9	T_krstTr_0_0	T_krstTr_0_9	m_krstTr_0_0	m_krstTr_0_9	SMD_1_0	SMD_1_9	T_krstTr_1_0	T_krstTr_1_9	m_krstTr_1_0	m_krstTr_1_9	SMD_2_0	SMD_2_9	T_krstTr_2_0	T_krstTr_2_9	m_krstTr_2_0	m_krstTr_2_9	SMD_3_0	SMD_3_9	T_krstTr_3_0	T_krstTr_3_9	m_krstTr_3_0	m_krstTr_3_9	SMD_4_0	SMD_4_9	T_krstTr_4_0	T_krstTr_4_9	m_krstTr_4_0	m_krstTr_4_9	SMD_5_0	SMD_5_9	T_krstTr_5_0	T_krstTr_5_9	m_krstTr_5_0	m_krstTr_5_9	SMD_6_0	SMD_6_9	T_krstTr_6_0	T_krstTr_6_9	m_krstTr_6_0	m_krstTr_6_9	SMD_7_0	SMD_7_9	T_krstTr_7_0	T_krstTr_7_9	m_krstTr_7_0	m_krstTr_7_9	SMD_8_0	SMD_8_9	T_krstTr_8_0	T_krstTr_8_9	m_krstTr_8_0	m_krstTr_8_9	SMD_9_0	SMD_9_9	T_krstTr_9_0	T_krstTr_9_9	m_krstTr_9_0	m_krstTr_9_9	SMD_10_0	SMD_10_9	T_krstTr_10_0	T_krstTr_10_9	m_krstTr_10_0	m_krstTr_10_9	SMD_11_0	SMD_11_9	T_krstTr_11_0	T_krstTr_11_9	m_krstTr_11_0	m_krstTr_11_9	SMD_12_0	SMD_12_9	T_krstTr_12_0	T_krstTr_12_9	m_krstTr_12_0	m_krstTr_12_9	SMD_13_0	SMD_13_9	T_krstTr_13_0	T_krstTr_13_9	m_krstTr_13_0	m_krstTr_13_9	SMD_14_0	SMD_14_9	T_krstTr_14_0	T_krstTr_14_9	m_krstTr_14_0	m_krstTr_14_9
-130.0	 1.5086510985203809E-5	 1.5086510985203809E-5	 373.15	 373.15	 1.2404114461609023E-12	 1.2404114461609023E-12	 1.5086510985203809E-5	 1.5086510985203809E-5	 373.15	 373.15	 1.2404114461609023E-12	 1.2404114461609023E-12	 1.5086510985203809E-5	 1.5086510985203809E-5	 373.15	 373.15	 1.2404114461609023E-12	 1.2404114461609023E-12	 1.5086510985203809E-5	 1.5086510985203809E-5	 373.15	 373.15	 1.2404114461609023E-12	 1.2404114461609023E-12	 1.5086510985203809E-5	 1.5086510985203809E-5	 373.15	 373.15	 1.2404114461609023E-12	 1.2404114461609023E-12	 1.5086510985203809E-5	 1.5086510985203809E-5	 373.15	 373.15	 1.2404114461609023E-12	 1.2404114461609023E-12	 1.5086510985203809E-5	 1.5086510985203809E-5	 373.15	 373.15	 1.2404114461609023E-12	 1.2404114461609023E-12	 1.5086510985203809E-5	 1.5086510985203809E-5	 373.15	 373.15	 1.2404114461609023E-12	 1.2404114461609023E-12	 1.5086510985203809E-5	 1.5086510985203809E-5	 373.15	 373.15	 1.2404114461609023E-12	 1.2404114461609023E-12	 1.5086510985203809E-5	 1.5086510985203809E-5	 373.15	 373.15	 1.2404114461609023E-12	 1.2404114461609023E-12	 1.5086510985203809E-5	 1.5086510985203809E-5	 373.15	 373.15	 1.2404114461609023E-12	 1.2404114461609023E-12	 1.5086510985203809E-5	 1.5086510985203809E-5	 373.15	 373.15	 1.2404114461609023E-12	 1.2404114461609023E-12	 1.5086510985203809E-5	 1.5086510985203809E-5	 373.15	 373.15	 1.2404114461609023E-12	 1.2404114461609023E-12	 1.5086510985203809E-5	 1.5086510985203809E-5	 373.15	 373.15	 1.2404114461609023E-12	 1.2404114461609023E-12	 1.5086510985203809E-5	 1.5086510985203809E-5	 373.15	 373.15	 1.2404114461609023E-12	 1.2404114461609023E-12	 
-129.5	 1.5091791526812167E-5	 1.5091791526812167E-5	 373.15	 373.15	 1.2417143989423152E-12	 1.2417143989423152E-12	 1.5091791526812167E-5	 1.5091791526812167E-5	 373.15	 373.15	 1.2417143989423152E-12	 1.2417143989423152E-12	 1.5091791526812167E-5	 1.5091791526812167E-5	 373.15	 373.15	 1.2417143989423152E-12	 1.2417143989423152E-12	 1.5091791526812167E-5	 1.5091791526812167E-5	 373.15	 373.15	 1.2417143989423152E-12	 1.2417143989423152E-12	 1.5091791526812167E-5	 1.5091791526812167E-5	 373.15	 373.15	 1.2417143989423152E-12	 1.2417143989423152E-12	 1.5091791526812167E-5	 1.5091791526812167E-5	 373.15	 373.15	 1.2417143989423152E-12	 1.2417143989423152E-12	 1.5091791526812167E-5	 1.5091791526812167E-5	 373.15	 373.15	 1.2417143989423152E-12	 1.2417143989423152E-12	 1.5091791526812167E-5	 1.5091791526812167E-5	 373.15	 373.15	 1.2417143989423152E-12	 1.2417143989423152E-12	 1.5091791526812167E-5	 1.5091791526812167E-5	 373.15	 373.15	 1.2417143989423152E-12	 1.2417143989423152E-12	 1.5091791526812167E-5	 1.5091791526812167E-5	 373.15	 373.15	 1.2417143989423152E-12	 1.2417143989423152E-12	 1.5091791526812167E-5	 1.5091791526812167E-5	 373.15	 373.15	 1.2417143989423152E-12	 1.2417143989423152E-12	 1.5091791526812167E-5	 1.5091791526812167E-5	 373.15	 373.15	 1.2417143989423152E-12	 1.2417143989423152E-12	 1.5091791526812167E-5	 1.5091791526812167E-5	 373.15	 373.15	 1.2417143989423152E-12	 1.2417143989423152E-12	 1.5091791526812167E-5	 1.5091791526812167E-5	 373.15	 373.15	 1.2417143989423152E-12	 1.2417143989423152E-12	 1.5091791526812167E-5	 1.5091791526812167E-5	 373.15	 373.15	 1.2417143989423152E-12	 1.2417143989423152E-12	 
-129.0	 1.5097139599803037E-5	 1.5097139599803037E-5	 373.15	 373.15	 1.2430349445109838E-12	 1.2430349445109838E-12	 1.5097139599803037E-5	 1.5097139599803037E-5	 373.15	 373.15	 1.2430349445109838E-12	 1.2430349445109838E-12	 1.5097139599803037E-5	 1.5097139599803037E-5	 373.15	 373.15	 1.2430349445109838E-12	 1.2430349445109838E-12	 1.5097139599803037E-5	 1.5097139599803037E-5	 373.15	 373.15	 1.2430349445109838E-12	 1.2430349445109838E-12	 1.5097139599803037E-5	 1.5097139599803037E-5	 373.15	 373.15	 1.2430349445109838E-12	 1.2430349445109838E-12	 1.5097139599803037E-5	 1.5097139599803037E-5	 373.15	 373.15	 1.2430349445109838E-12	 1.2430349445109838E-12	 1.5097139599803037E-5	 1.5097139599803037E-5	 373.15	 373.15	 1.2430349445109838E-12	 1.2430349445109838E-12	 1.5097139599803037E-5	 1.5097139599803037E-5	 373.15	 373.15	 1.2430349445109838E-12	 1.2430349445109838E-12	 1.5097139599803037E-5	 1.5097139599803037E-5	 373.15	 373.15	 1.2430349445109838E-12	 1.2430349445109838E-12	 1.5097139599803037E-5	 1.5097139599803037E-5	 373.15	 373.15	 1.2430349445109838E-12	 1.2430349445109838E-12	 1.5097139599803037E-5	 1.5097139599803037E-5	 373.15	 373.15	 1.2430349445109838E-12	 1.2430349445109838E-12	 1.5097139599803037E-5	 1.5097139599803037E-5	 373.15	 373.15	 1.2430349445109838E-12	 1.2430349445109838E-12	 1.5097139599803037E-5	 1.5097139599803037E-5	 373.15	 373.15	 1.2430349445109838E-12	 1.2430349445109838E-12	 1.5097139599803037E-5	 1.5097139599803037E-5	 373.15	 373.15	 1.2430349445109838E-12	 1.2430349445109838E-12	 1.5097139599803037E-5	 1.5097139599803037E-5	 373.15	 373.15	 1.2430349445109838E-12	 1.2430349445109838E-12	 
-128.5	 1.5102555428640405E-5	 1.5102555428640405E-5	 373.15	 373.15	 1.2443731741306428E-12	 1.2443731741306428E-12	 1.5102555428640405E-5	 1.5102555428640405E-5	 373.15	 373.15	 1.2443731741306428E-12	 1.2443731741306428E-12	 1.5102555428640405E-5	 1.5102555428640405E-5	 373.15	 373.15	 1.2443731741306428E-12	 1.2443731741306428E-12	 1.5102555428640405E-5	 1.5102555428640405E-5	 373.15	 373.15	 1.2443731741306428E-12	 1.2443731741306428E-12	 1.5102555428640405E-5	 1.5102555428640405E-5	 373.15	 373.15	 1.2443731741306428E-12	 1.2443731741306428E-12	 1.5102555428640405E-5	 1.5102555428640405E-5	 373.15	 373.15	 1.2443731741306428E-12	 1.2443731741306428E-12	 1.5102555428640405E-5	 1.5102555428640405E-5	 373.15	 373.15	 1.2443731741306428E-12	 1.2443731741306428E-12	 1.5102555428640405E-5	 1.5102555428640405E-5	 373.15	 373.15	 1.2443731741306428E-12	 1.2443731741306428E-12	 1.5102555428640405E-5	 1.5102555428640405E-5	 373.15	 373.15	 1.2443731741306428E-12	 1.2443731741306428E-12	 1.5102555428640405E-5	 1.5102555428640405E-5	 373.15	 373.15	 1.2443731741306428E-12	 1.2443731741306428E-12	 1.5102555428640405E-5	 1.5102555428640405E-5	 373.15	 373.15	 1.2443731741306428E-12	 1.2443731741306428E-12	 1.5102555428640405E-5	 1.5102555428640405E-5	 373.15	 373.15	 1.2443731741306428E-12	 1.2443731741306428E-12	 1.5102555428640405E-5	 1.5102555428640405E-5	 373.15	 373.15	 1.2443731741306428E-12	 1.2443731741306428E-12	 1.5102555428640405E-5	 1.5102555428640405E-5	 373.15	 373.15	 1.2443731741306428E-12	 1.2443731741306428E-12	 1.5102555428640405E-5	 1.5102555428640405E-5	 373.15	 373.15	 1.2443731741306428E-12	 1.2443731741306428E-12	 
-128.0	 1.5108040875142745E-5	 1.5108040875142745E-5	 373.15	 373.15	 1.245729584722222E-12	 1.245729584722222E-12	 1.5108040875142745E-5	 1.5108040875142745E-5	 373.15	 373.15	 1.245729584722222E-12	 1.245729584722222E-12	 1.5108040875142745E-5	 1.5108040875142745E-5	 373.15	 373.15	 1.245729584722222E-12	 1.245729584722222E-12	 1.5108040875142745E-5	 1.5108040875142745E-5	 373.15	 373.15	 1.245729584722222E-12	 1.245729584722222E-12	 1.5108040875142745E-5	 1.5108040875142745E-5	 373.15	 373.15	 1.245729584722222E-12	 1.245729584722222E-12	 1.5108040875142745E-5	 1.5108040875142745E-5	 373.15	 373.15	 1.245729584722222E-12	 1.245729584722222E-12	 1.5108040875142745E-5	 1.5108040875142745E-5	 373.15	 373.15	 1.245729584722222E-12	 1.245729584722222E-12	 1.5108040875142745E-5	 1.5108040875142745E-5	 373.15	 373.15	 1.245729584722222E-12	 1.245729584722222E-12	 1.5108040875142745E-5	 1.5108040875142745E-5	 373.15	 373.15	 1.245729584722222E-12	 1.245729584722222E-12	 1.5108040875142745E-5	 1.5108040875142745E-5	 373.15	 373.15	 1.245729584722222E-12	 1.245729584722222E-12	 1.5108040875142745E-5	 1.5108040875142745E-5	 373.15	 373.15	 1.245729584722222E-12	 1.245729584722222E-12	 1.5108040875142745E-5	 1.5108040875142745E-5	 373.15	 373.15	 1.245729584722222E-12	 1.245729584722222E-12	 1.5108040875142745E-5	 1.5108040875142745E-5	 373.15	 373.15	 1.245729584722222E-12	 1.245729584722222E-12	 1.5108040875142745E-5	 1.5108040875142745E-5	 373.15	 373.15	 1.245729584722222E-12	 1.245729584722222E-12	 1.5108040875142745E-5	 1.5108040875142745E-5	 373.15	 373.15	 1.245729584722222E-12	 1.245729584722222E-12	 
-127.5	 1.5113596437303943E-5	 1.5113596437303943E-5	 373.15	 373.15	 1.2471043374287903E-12	 1.2471043374287903E-12	 1.5113596437303943E-5	 1.5113596437303943E-5	 373.15	 373.15	 1.2471043374287903E-12	 1.2471043374287903E-12	 1.5113596437303943E-5	 1.5113596437303943E-5	 373.15	 373.15	 1.2471043374287903E-12	 1.2471043374287903E-12	 1.5113596437303943E-5	 1.5113596437303943E-5	 373.15	 373.15	 1.2471043374287903E-12	 1.2471043374287903E-12	 1.5113596437303943E-5	 1.5113596437303943E-5	 373.15	 373.15	 1.2471043374287903E-12	 1.2471043374287903E-12	 1.5113596437303943E-5	 1.5113596437303943E-5	 373.15	 373.15	 1.2471043374287903E-12	 1.2471043374287903E-12	 1.5113596437303943E-5	 1.5113596437303943E-5	 373.15	 373.15	 1.2471043374287903E-12	 1.2471043374287903E-12	 1.5113596437303943E-5	 1.5113596437303943E-5	 373.15	 373.15	 1.2471043374287903E-12	 1.2471043374287903E-12	 1.5113596437303943E-5	 1.5113596437303943E-5	 373.15	 373.15	 1.2471043374287903E-12	 1.2471043374287903E-12	 1.5113596437303943E-5	 1.5113596437303943E-5	 373.15	 373.15	 1.2471043374287903E-12	 1.2471043374287903E-12	 1.5113596437303943E-5	 1.5113596437303943E-5	 373.15	 373.15	 1.2471043374287903E-12	 1.2471043374287903E-12	 1.5113596437303943E-5	 1.5113596437303943E-5	 373.15	 373.15	 1.2471043374287903E-12	 1.2471043374287903E-12	 1.5113596437303943E-5	 1.5113596437303943E-5	 373.15	 373.15	 1.2471043374287903E-12	 1.2471043374287903E-12	 1.5113596437303943E-5	 1.5113596437303943E-5	 373.15	 373.15	 1.2471043374287903E-12	 1.2471043374287903E-12	 1.5113596437303943E-5	 1.5113596437303943E-5	 373.15	 373.15	 1.2471043374287903E-12	 1.2471043374287903E-12	 
-127.0	 1.5119221453979112E-5	 1.5119221453979112E-5	 373.15	 373.15	 1.248497307110253E-12	 1.248497307110253E-12	 1.5119221453979112E-5	 1.5119221453979112E-5	 373.15	 373.15	 1.248497307110253E-12	 1.248497307110253E-12	 1.5119221453979112E-5	 1.5119221453979112E-5	 373.15	 373.15	 1.248497307110253E-12	 1.248497307110253E-12	 1.5119221453979112E-5	 1.5119221453979112E-5	 373.15	 373.15	 1.248497307110253E-12	 1.248497307110253E-12	 1.5119221453979112E-5	 1.5119221453979112E-5	 373.15	 373.15	 1.248497307110253E-12	 1.248497307110253E-12	 1.5119221453979112E-5	 1.5119221453979112E-5	 373.15	 373.15	 1.248497307110253E-12	 1.248497307110253E-12	 1.5119221453979112E-5	 1.5119221453979112E-5	 373.15	 373.15	 1.248497307110253E-12	 1.248497307110253E-12	 1.5119221453979112E-5	 1.5119221453979112E-5	 373.15	 373.15	 1.248497307110253E-12	 1.248497307110253E-12	 1.5119221453979112E-5	 1.5119221453979112E-5	 373.15	 373.15	 1.248497307110253E-12	 1.248497307110253E-12	 1.5119221453979112E-5	 1.5119221453979112E-5	 373.15	 373.15	 1.248497307110253E-12	 1.248497307110253E-12	 1.5119221453979112E-5	 1.5119221453979112E-5	 373.15	 373.15	 1.248497307110253E-12	 1.248497307110253E-12	 1.5119221453979112E-5	 1.5119221453979112E-5	 373.15	 373.15	 1.248497307110253E-12	 1.248497307110253E-12	 1.5119221453979112E-5	 1.5119221453979112E-5	 373.15	 373.15	 1.248497307110253E-12	 1.248497307110253E-12	 1.5119221453979112E-5	 1.5119221453979112E-5	 373.15	 373.15	 1.248497307110253E-12	 1.248497307110253E-12	 1.5119221453979112E-5	 1.5119221453979112E-5	 373.15	 373.15	 1.248497307110253E-12	 1.248497307110253E-12	 
-126.5	 1.5124914437905956E-5	 1.5124914437905956E-5	 373.15	 373.15	 1.2499081638359115E-12	 1.2499081638359115E-12	 1.5124914437905956E-5	 1.5124914437905956E-5	 373.15	 373.15	 1.2499081638359115E-12	 1.2499081638359115E-12	 1.5124914437905956E-5	 1.5124914437905956E-5	 373.15	 373.15	 1.2499081638359115E-12	 1.2499081638359115E-12	 1.5124914437905956E-5	 1.5124914437905956E-5	 373.15	 373.15	 1.2499081638359115E-12	 1.2499081638359115E-12	 1.5124914437905956E-5	 1.5124914437905956E-5	 373.15	 373.15	 1.2499081638359115E-12	 1.2499081638359115E-12	 1.5124914437905956E-5	 1.5124914437905956E-5	 373.15	 373.15	 1.2499081638359115E-12	 1.2499081638359115E-12	 1.5124914437905956E-5	 1.5124914437905956E-5	 373.15	 373.15	 1.2499081638359115E-12	 1.2499081638359115E-12	 1.5124914437905956E-5	 1.5124914437905956E-5	 373.15	 373.15	 1.2499081638359115E-12	 1.2499081638359115E-12	 1.5124914437905956E-5	 1.5124914437905956E-5	 373.15	 373.15	 1.2499081638359115E-12	 1.2499081638359115E-12	 1.5124914437905956E-5	 1.5124914437905956E-5	 373.15	 373.15	 1.2499081638359115E-12	 1.2499081638359115E-12	 1.5124914437905956E-5	 1.5124914437905956E-5	 373.15	 373.15	 1.2499081638359115E-12	 1.2499081638359115E-12	 1.5124914437905956E-5	 1.5124914437905956E-5	 373.15	 373.15	 1.2499081638359115E-12	 1.2499081638359115E-12	 1.5124914437905956E-5	 1.5124914437905956E-5	 373.15	 373.15	 1.2499081638359115E-12	 1.2499081638359115E-12	 1.5124914437905956E-5	 1.5124914437905956E-5	 373.15	 373.15	 1.2499081638359115E-12	 1.2499081638359115E-12	 1.5124914437905956E-5	 1.5124914437905956E-5	 373.15	 373.15	 1.2499081638359115E-12	 1.2499081638359115E-12	 
-126.0	 1.513067784791499E-5	 1.513067784791499E-5	 373.15	 373.15	 1.2513375561035858E-12	 1.2513375561035858E-12	 1.513067784791499E-5	 1.513067784791499E-5	 373.15	 373.15	 1.2513375561035858E-12	 1.2513375561035858E-12	 1.513067784791499E-5	 1.513067784791499E-5	 373.15	 373.15	 1.2513375561035858E-12	 1.2513375561035858E-12	 1.513067784791499E-5	 1.513067784791499E-5	 373.15	 373.15	 1.2513375561035858E-12	 1.2513375561035858E-12	 1.513067784791499E-5	 1.513067784791499E-5	 373.15	 373.15	 1.2513375561035858E-12	 1.2513375561035858E-12	 1.513067784791499E-5	 1.513067784791499E-5	 373.15	 373.15	 1.2513375561035858E-12	 1.2513375561035858E-12	 1.513067784791499E-5	 1.513067784791499E-5	 373.15	 373.15	 1.2513375561035858E-12	 1.2513375561035858E-12	 1.513067784791499E-5	 1.513067784791499E-5	 373.15	 373.15	 1.2513375561035858E-12	 1.2513375561035858E-12	 1.513067784791499E-5	 1.513067784791499E-5	 373.15	 373.15	 1.2513375561035858E-12	 1.2513375561035858E-12	 1.513067784791499E-5	 1.513067784791499E-5	 373.15	 373.15	 1.2513375561035858E-12	 1.2513375561035858E-12	 1.513067784791499E-5	 1.513067784791499E-5	 373.15	 373.15	 1.2513375561035858E-12	 1.2513375561035858E-12	 1.513067784791499E-5	 1.513067784791499E-5	 373.15	 373.15	 1.2513375561035858E-12	 1.2513375561035858E-12	 1.513067784791499E-5	 1.513067784791499E-5	 373.15	 373.15	 1.2513375561035858E-12	 1.2513375561035858E-12	 1.513067784791499E-5	 1.513067784791499E-5	 373.15	 373.15	 1.2513375561035858E-12	 1.2513375561035858E-12	 1.513067784791499E-5	 1.513067784791499E-5	 373.15	 373.15	 1.2513375561035858E-12	 1.2513375561035858E-12	 
-125.5	 1.5136511837005732E-5	 1.5136511837005732E-5	 373.15	 373.15	 1.2527855622441328E-12	 1.2527855622441328E-12	 1.5136511837005732E-5	 1.5136511837005732E-5	 373.15	 373.15	 1.2527855622441328E-12	 1.2527855622441328E-12	 1.5136511837005732E-5	 1.5136511837005732E-5	 373.15	 373.15	 1.2527855622441328E-12	 1.2527855622441328E-12	 1.5136511837005732E-5	 1.5136511837005732E-5	 373.15	 373.15	 1.2527855622441328E-12	 1.2527855622441328E-12	 1.5136511837005732E-5	 1.5136511837005732E-5	 373.15	 373.15	 1.2527855622441328E-12	 1.2527855622441328E-12	 1.5136511837005732E-5	 1.5136511837005732E-5	 373.15	 373.15	 1.2527855622441328E-12	 1.2527855622441328E-12	 1.5136511837005732E-5	 1.5136511837005732E-5	 373.15	 373.15	 1.2527855622441328E-12	 1.2527855622441328E-12	 1.5136511837005732E-5	 1.5136511837005732E-5	 373.15	 373.15	 1.2527855622441328E-12	 1.2527855622441328E-12	 1.5136511837005732E-5	 1.5136511837005732E-5	 373.15	 373.15	 1.2527855622441328E-12	 1.2527855622441328E-12	 1.5136511837005732E-5	 1.5136511837005732E-5	 373.15	 373.15	 1.2527855622441328E-12	 1.2527855622441328E-12	 1.5136511837005732E-5	 1.5136511837005732E-5	 373.15	 373.15	 1.2527855622441328E-12	 1.2527855622441328E-12	 1.5136511837005732E-5	 1.5136511837005732E-5	 373.15	 373.15	 1.2527855622441328E-12	 1.2527855622441328E-12	 1.5136511837005732E-5	 1.5136511837005732E-5	 373.15	 373.15	 1.2527855622441328E-12	 1.2527855622441328E-12	 1.5136511837005732E-5	 1.5136511837005732E-5	 373.15	 373.15	 1.2527855622441328E-12	 1.2527855622441328E-12	 1.5136511837005732E-5	 1.5136511837005732E-5	 373.15	 373.15	 1.2527855622441328E-12	 1.2527855622441328E-12	 
