vKurbelwinkel	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-360	2.8266	2.2814	2.8107
-359.9	2.8214	2.2816	2.8089
-359.8	2.8162	2.2818	2.8072
-359.7	2.8109	2.282	2.8055
-359.6	2.8056	2.2821	2.8039
-359.5	2.8002	2.2823	2.8022
-359.4	2.7948	2.2825	2.8006
-359.3	2.7894	2.2827	2.799
-359.2	2.784	2.2828	2.7974
-359.1	2.7785	2.283	2.7959
-359	2.773	2.2831	2.7944
-358.9	2.7674	2.2833	2.7928
-358.8	2.7619	2.2834	2.7914
-358.7	2.7563	2.2836	2.7899
-358.6	2.7506	2.2837	2.7885
-358.5	2.745	2.2838	2.787
-358.4	2.7393	2.2839	2.7857
-358.3	2.7335	2.2841	2.7843
-358.2	2.7278	2.2842	2.7829
-358.1	2.722	2.2843	2.7816
-358	2.7162	2.2844	2.7803
-357.9	2.7103	2.2845	2.7789
-357.8	2.7046	2.2846	2.7775
-357.7	2.6986	2.2847	2.7762
-357.6	2.6926	2.2848	2.775
-357.5	2.6865	2.2849	2.7737
-357.4	2.6805	2.285	2.7725
-357.3	2.6744	2.2851	2.7714
-357.2	2.6684	2.2852	2.7703
-357.1	2.6623	2.2853	2.7693
-357	2.656	2.2854	2.7683
-356.9	2.6498	2.2854	2.7673
-356.8	2.6436	2.2855	2.7663
-356.7	2.6373	2.2854	2.7654
-356.6	2.6309	2.2854	2.7645
-356.5	2.6246	2.2854	2.7637
-356.4	2.6182	2.2853	2.7628
-356.3	2.6119	2.2851	2.762
-356.2	2.6056	2.285	2.7612
-356.1	2.5992	2.2847	2.7604
-356	2.593	2.2845	2.7596
-355.9	2.5867	2.2843	2.7588
-355.8	2.5804	2.284	2.7581
-355.7	2.5743	2.2837	2.7573
-355.6	2.5682	2.2834	2.7566
-355.5	2.5621	2.2831	2.7558
-355.4	2.5561	2.2827	2.7551
-355.3	2.5503	2.2823	2.7544
-355.2	2.5444	2.2819	2.7537
-355.1	2.5386	2.2815	2.7531
-355	2.5329	2.281	2.7525
