	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-360	2.8444	2.2842	2.8025
-359.9	2.8394	2.2844	2.8006
-359.8	2.8342	2.2847	2.7988
-359.7	2.8291	2.2849	2.797
-359.6	2.8239	2.2852	2.7952
-359.5	2.8187	2.2854	2.7935
-359.4	2.8135	2.2856	2.7917
-359.3	2.8083	2.2858	2.79
-359.2	2.803	2.286	2.7883
-359.1	2.7977	2.2862	2.7867
-359	2.7924	2.2864	2.7851
-358.9	2.787	2.2866	2.7835
-358.8	2.7816	2.2867	2.7819
-358.7	2.7762	2.2869	2.7803
-358.6	2.7708	2.287	2.7788
-358.5	2.7653	2.2872	2.7773
-358.4	2.7598	2.2873	2.7758
-358.3	2.7543	2.2874	2.7743
-358.2	2.7488	2.2876	2.7729
-358.1	2.7432	2.2877	2.7715
-358	2.7376	2.2878	2.7701
-357.9	2.732	2.2879	2.7686
-357.8	2.7264	2.288	2.7671
-357.7	2.7208	2.2881	2.7657
-357.6	2.7151	2.2882	2.7643
-357.5	2.7094	2.2882	2.763
-357.4	2.7036	2.2883	2.7617
-357.3	2.6978	2.2884	2.7604
-357.2	2.6921	2.2884	2.7593
-357.1	2.6862	2.2885	2.7582
-357	2.6803	2.2885	2.7571
-356.9	2.6743	2.2885	2.7561
-356.8	2.6684	2.2885	2.7552
-356.7	2.6623	2.2885	2.7542
-356.6	2.6563	2.2884	2.7534
-356.5	2.6502	2.2884	2.7526
-356.4	2.6441	2.2883	2.7518
-356.3	2.6379	2.2882	2.7511
-356.2	2.6317	2.288	2.7504
-356.1	2.6256	2.2879	2.7497
-356	2.6194	2.2877	2.749
-355.9	2.6131	2.2875	2.7483
-355.8	2.6068	2.2873	2.7476
-355.7	2.6005	2.2871	2.7468
-355.6	2.5943	2.2869	2.7461
-355.5	2.5879	2.2867	2.7453
-355.4	2.5817	2.2865	2.7445
-355.3	2.5755	2.2862	2.7437
-355.2	2.5693	2.2859	2.7429
-355.1	2.5633	2.2856	2.7421
-355	2.5572	2.2852	2.7413
-354.9	2.5512	2.2849	2.7405
-354.8	2.5453	2.2844	2.7397
-354.7	2.5393	2.284	2.739
-354.6	2.5334	2.2836	2.7382
-354.5	2.5276	2.2831	2.7375
-354.4	2.5218	2.2826	2.7368
-354.3	2.516	2.2821	2.7363
-354.2	2.5104	2.2816	2.7357
-354.1	2.5048	2.2811	2.7353
-354	2.4992	2.2805	2.7349
-353.9	2.4938	2.28	2.7345
-353.8	2.4883	2.2794	2.7342
-353.7	2.483	2.2788	2.7341
-353.6	2.4778	2.2782	2.734
-353.5	2.4727	2.2775	2.734
-353.4	2.4678	2.2768	2.734
-353.3	2.4631	2.2761	2.7341
-353.2	2.4585	2.2754	2.7344
-353.1	2.4538	2.2746	2.7346
-353	2.4494	2.2739	2.7349
-352.9	2.445	2.2731	2.7353
-352.8	2.4408	2.2723	2.7357
-352.7	2.4367	2.2715	2.7362
-352.6	2.4328	2.2707	2.7367
-352.5	2.429	2.2699	2.7372
-352.4	2.4252	2.2691	2.7378
-352.3	2.4216	2.2683	2.7383
-352.2	2.4181	2.2675	2.7389
-352.1	2.4149	2.2667	2.7395
-352	2.4117	2.2658	2.7402
-351.9	2.4087	2.265	2.7408
-351.8	2.4059	2.2642	2.7415
-351.7	2.4032	2.2633	2.7422
-351.6	2.4005	2.2625	2.7428
-351.5	2.3979	2.2616	2.7436
