Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	V0 [m3]	V1 [m3]	V2 [m3]	T_Zone_0 [K]	T_Zone_1 [K]	T_Zone_2 [K]	T_mittel [K]	T_BurnAdiabat_0 [K]	T_BurnAdiabat_1 [K]	Lambda z1 [-]	Lambda z0 [-]	Lambda z2 [-]	p_soll [bar]	p_soll_roh [bar]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	dQKrst [J/s]	dQKrst [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	Alpha [W/(m^2K)]	Wandwärmestromdichte [MW/m^2]	PQw [W]	Brennraumfläche [m^2]	Gesamtmasse [kg]	m_0[kg]	m_1[kg]	m_2[kg]	Z0_O2 [kg]	Z0_CO2 [kg]	Z0_H2O [kg]	Z0_H [kg]	Z0_O [kg]	Z0_N [kg]	Z0_H2 [kg]	Z0_OH [kg]	Z0_CO [kg]	Z0_NO [kg]	Z0_N2 [kg]	Z0_Diesel [kg]	Z0_RON_95 [kg]	Z0_AGR_intern_LWA [kg]	Z0_AGR_extern_LWA [kg]	Z0_feuchteLuft_LWA [kg]	Z1_O2 [kg]	Z1_CO2 [kg]	Z1_H2O [kg]	Z1_H [kg]	Z1_O [kg]	Z1_N [kg]	Z1_H2 [kg]	Z1_OH [kg]	Z1_CO [kg]	Z1_NO [kg]	Z1_N2 [kg]	Z1_Diesel [kg]	Z1_RON_95 [kg]	Z1_AGR_intern_LWA [kg]	Z1_AGR_extern_LWA [kg]	Z1_feuchteLuft_LWA [kg]	Z2_O2 [kg]	Z2_CO2 [kg]	Z2_H2O [kg]	Z2_H [kg]	Z2_O [kg]	Z2_N [kg]	Z2_H2 [kg]	Z2_OH [kg]	Z2_CO [kg]	Z2_NO [kg]	Z2_N2 [kg]	Z2_Diesel [kg]	Z2_RON_95 [kg]	Z2_AGR_intern_LWA [kg]	Z2_AGR_extern_LWA [kg]	Z2_feuchteLuft_LWA [kg]	 mDieseldampf [kg]	m_Diesel_Z0 [kg]	TKrstVap [K]	mkrstFl [kg]	m_a [kg]	sumdma [kg]	s00 [kg]	dm_a [kg]
-130.0	 0.0	 0.00166397962081229	 0.9990056106264569	 4.971946867716486E-4	 3.3152279106166E-4	 391.2394908339606	 391.2394908339606	 391.2394908339606	 391.2394908339606	 1247.6941392035021	 1247.6941392035021	 2.1319277521364217	 2.1319277521364217	 NaN	 2.6797641215488586	 2.6797960189393946	 2.6797641215488586	 0.0	 0.0	 0.0	 0.0	 0.0	 2.000000002E-6	 0.0	 0.0	 0.0	 0.0	 0.0	 4.965597929018718E-4	 0.0	 4251.998393145476	 186.1975600910932	 -0.01525153695253566	 -1191.3191159803735	 0.07811141393079794	 0.004022569136822976	 0.004018569136818975	 2.000000002E-6	 2.000000002E-6	 0.1970677127290044	 0.026796586375240527	 0.0096566919060802	 6.246389097815789E-10	 7.250784279946789E-7	 8.760210800225608E-14	 2.478865890824522E-8	 2.1517745147144492E-5	 1.1750541198410816E-6	 3.644042294699166E-4	 0.7428851026102212	 0.0	 0.023206058858903363	 0.0	 0.0	 0.0	 0.1970677127290044	 0.026796586375240527	 0.0096566919060802	 6.246389097815789E-10	 7.250784279946789E-7	 8.760210800225608E-14	 2.478865890824522E-8	 2.1517745147144492E-5	 1.1750541198410816E-6	 3.644042294699166E-4	 0.7428851026102212	 0.0	 0.023206058858903363	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.8	 2.6147892479866122E-5	 0.0016620534206422933	 0.9990054567461827	 4.97194610187039E-4	 3.314847461295273E-4	 391.4180088124603	 391.4180088124603	 391.3731507023148	 391.4179870964374	 1247.843270355509	 1247.843270355509	 2.1319277521364226	 2.131927752136422	 NaN	 2.68373687504385	 2.6836960189393944	 2.6840943504658994	 0.0	 0.0	 0.0	 0.0	 0.0	 2.000000002E-6	 -1192.6331965997194	 -0.15592422296304248	 0.0	 0.0	 -0.031184844592608497	 4.965597929018718E-4	 0.0	 4251.998393145476	 186.55377583078317	 -0.015248064147293258	 -1190.0848724246277	 0.07804825982686361	 0.004022569136822976	 0.004018569136818975	 2.0000000020000006E-6	 2.000000002E-6	 0.19706771272900436	 0.026796586375240527	 0.0096566919060802	 6.246389097815789E-10	 7.250784279946788E-7	 8.760210800225608E-14	 2.4788658908245224E-8	 2.1517745147144496E-5	 1.1750541198410814E-6	 3.644042294699167E-4	 0.7428851026102212	 0.0	 0.023206058858903363	 0.0	 0.0	 0.0	 0.1970677127290044	 0.026796586375240527	 0.009656691906080199	 6.24638909781579E-10	 7.250784279946788E-7	 8.760210800225607E-14	 2.4788658908245217E-8	 2.1517745147144485E-5	 1.1750541198410814E-6	 3.644042294699165E-4	 0.7428851026102212	 0.0	 0.023206058858903363	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.6	 5.2295784959732244E-5	 0.0016601198990815207	 0.9990052294319274	 4.971944970551018E-4	 3.3151899384259177E-4	 391.49002252383264	 391.49002252383264	 391.48568782861463	 391.4900204251614	 1247.903534174398	 1247.903534174398	 2.1319277521364217	 2.131927752136422	 NaN	 2.687695121683466	 2.6876960189393944	 2.687715493368348	 -12597.486398230427	 -1.6469885992875257	 -0.32939771985750516	 0.0	 0.0	 2.000000002E-6	 -1191.2557457792107	 -0.15574413578328766	 0.0	 0.0	 -0.06233367174926603	 4.965597929018718E-4	 -7.7468919176573E-5	 4251.998393145476	 186.8970665542918	 -0.015262272839100777	 -1190.2262972880374	 0.07798486567733008	 0.004022569136822976	 0.004018569136818975	 2.000000002000001E-6	 2.000000002E-6	 0.19706771272900436	 0.026796586375240527	 0.0096566919060802	 6.246389097815789E-10	 7.250784279946787E-7	 8.760210800225608E-14	 2.4788658908245227E-8	 2.15177451471445E-5	 1.1750541198410812E-6	 3.6440422946991673E-4	 0.7428851026102212	 0.0	 0.023206058858903363	 0.0	 0.0	 0.0	 0.19706771272900442	 0.02679658637524053	 0.009656691906080199	 6.246389097815792E-10	 7.250784279946789E-7	 8.760210800225608E-14	 2.4788658908245224E-8	 2.151774514714449E-5	 1.1750541198410816E-6	 3.6440422946991657E-4	 0.7428851026102212	 0.0	 0.02320605885890337	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.4	 7.844367743959836E-5	 0.0016581790640955757	 0.9990050011317803	 4.971943834324965E-4	 3.315530441734409E-4	 391.5629061128193	 391.5629061128193	 391.5988771002104	 391.5629235302816	 1247.9645259202675	 1247.9645259202675	 2.1319277521364217	 2.131927752136422	 NaN	 2.691619241445787	 2.6915960189393946	 2.691362933215433	 -12597.486398230427	 -1.6469885992875257	 -0.6587954397150103	 0.0	 0.0	 2.000000002E-6	 -1191.4296059829287	 -0.1557668661728544	 0.0	 0.0	 -0.0934870449838369	 4.965597929018718E-4	 -1.54937838353146E-4	 4251.998393145476	 187.24201737088973	 -0.01527679464703552	 -1190.386655987448	 0.07792123174336468	 0.004022569136822976	 0.004018569136818975	 2.0000000020000014E-6	 2.000000002E-6	 0.19706771272900436	 0.026796586375240527	 0.0096566919060802	 6.246389097815789E-10	 7.250784279946786E-7	 8.760210800225608E-14	 2.478865890824523E-8	 2.1517745147144502E-5	 1.1750541198410812E-6	 3.6440422946991673E-4	 0.7428851026102212	 0.0	 0.023206058858903363	 0.0	 0.0	 0.0	 0.19706771272900442	 0.026796586375240523	 0.009656691906080197	 6.246389097815791E-10	 7.250784279946789E-7	 8.760210800225608E-14	 2.4788658908245217E-8	 2.151774514714449E-5	 1.1750541198410814E-6	 3.6440422946991657E-4	 0.7428851026102212	 0.0	 0.023206058858903367	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.2	 1.0459156991946449E-4	 0.0016562309237494537	 0.9990048444457433	 4.971943054514881E-4	 3.3151425506298E-4	 391.7443251886513	 391.7443251886513	 391.73453905322	 391.74432044964243	 1248.1160853824563	 1248.1160853824563	 2.131927752136423	 2.131927752136422	 NaN	 2.6955562093130263	 2.6954960189393944	 2.695777499646417	 31.666934228414902	 0.004140117956857926	 -0.6579674161236387	 0.0	 0.0	 2.000000002E-6	 -1191.6853990927675	 -0.15580030842652018	 0.0	 0.0	 -0.12464710666914094	 4.965597929018718E-4	 -1.5474310084037874E-4	 4251.998393145476	 187.6033473009856	 -0.015272640753868463	 -1189.0874631991294	 0.07785735828939347	 0.004022569136822976	 0.004018569136818975	 2.000000002000002E-6	 2.000000002E-6	 0.19706771272900436	 0.026796586375240527	 0.0096566919060802	 6.246389097815789E-10	 7.250784279946785E-7	 8.760210800225608E-14	 2.4788658908245234E-8	 2.1517745147144506E-5	 1.1750541198410812E-6	 3.6440422946991673E-4	 0.7428851026102212	 0.0	 0.023206058858903363	 0.0	 0.0	 0.0	 0.19706771272900445	 0.026796586375240527	 0.009656691906080199	 6.246389097815792E-10	 7.250784279946788E-7	 8.760210800225608E-14	 2.4788658908245224E-8	 2.1517745147144492E-5	 1.1750541198410814E-6	 3.644042294699166E-4	 0.7428851026102211	 0.0	 0.02320605885890337	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.0	 1.307394623993306E-4	 0.001654275486208241	 0.9990046200368929	 4.971941937655407E-4	 3.315420268092838E-4	 391.8276725129205	 391.8276725129205	 391.85079584410863	 391.8276837117727	 1248.1858112605555	 1248.1858112605555	 2.131927752136423	 2.131927752136422	 NaN	 2.699499221062348	 2.6994960189393944	 2.699538882027418	 -11578.796236837683	 -1.513805595235551	 -0.960728535170749	 0.0	 0.0	 2.000000002E-6	 -1190.2700718164765	 -0.15561526929929878	 0.0	 0.0	 -0.1557701605290007	 4.965597929018718E-4	 -2.259475301588805E-4	 4251.998393145476	 187.95285058570764	 -0.015285066319451519	 -1189.0749179434324	 0.0777932455831242	 0.004022569136822976	 0.004018569136818975	 2.0000000020000022E-6	 2.000000002E-6	 0.19706771272900436	 0.026796586375240527	 0.0096566919060802	 6.246389097815789E-10	 7.250784279946784E-7	 8.760210800225608E-14	 2.4788658908245234E-8	 2.151774514714451E-5	 1.1750541198410812E-6	 3.6440422946991673E-4	 0.7428851026102212	 0.0	 0.023206058858903363	 0.0	 0.0	 0.0	 0.19706771272900445	 0.026796586375240527	 0.009656691906080199	 6.246389097815793E-10	 7.250784279946788E-7	 8.760210800225608E-14	 2.4788658908245227E-8	 2.1517745147144496E-5	 1.1750541198410814E-6	 3.644042294699166E-4	 0.7428851026102211	 0.0	 0.02320605885890337	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.8	 1.5688735487919673E-4	 0.0016523127597378043	 0.9990043946276357	 4.971940815817012E-4	 3.315695977819787E-4	 391.9118999988431	 391.9118999988431	 391.9677099851763	 391.91192703108237	 1248.25627378774	 1248.25627378774	 2.131927752136423	 2.131927752136422	 NaN	 2.703424896119556	 2.7033960189393946	 2.703327166601935	 -11578.796236837683	 -1.513805595235551	 -1.2634896542178593	 0.0	 0.0	 2.000000002E-6	 -1190.2874366406045	 -0.15561753956706992	 0.0	 0.0	 -0.18689366844241467	 4.965597929018718E-4	 -2.971519594773823E-4	 4251.998393145476	 188.3040331277741	 -0.01529776573812385	 -1189.0784098978982	 0.0777288938955689	 0.004022569136822976	 0.004018569136818975	 2.0000000020000022E-6	 2.000000002E-6	 0.19706771272900436	 0.026796586375240527	 0.0096566919060802	 6.246389097815789E-10	 7.250784279946782E-7	 8.760210800225608E-14	 2.4788658908245234E-8	 2.151774514714451E-5	 1.1750541198410812E-6	 3.6440422946991673E-4	 0.7428851026102212	 0.0	 0.023206058858903363	 0.0	 0.0	 0.0	 0.19706771272900445	 0.026796586375240527	 0.009656691906080199	 6.246389097815793E-10	 7.250784279946787E-7	 8.760210800225608E-14	 2.478865890824523E-8	 2.15177451471445E-5	 1.1750541198410812E-6	 3.644042294699167E-4	 0.7428851026102211	 0.0	 0.02320605885890337	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.6	 1.8303524735906285E-4	 0.0016503427527054867	 0.9990041682126463	 4.971939688973193E-4	 3.3159696724599307E-4	 391.99701030361456	 391.99701030361456	 392.08528333451125	 391.99705306436607	 1248.3274739105805	 1248.3274739105805	 2.131927752136423	 2.131927752136422	 NaN	 2.707365274943854	 2.7073960189393946	 2.7071425041927935	 -11578.796236837683	 -1.513805595235551	 -1.5662507732649695	 0.0	 0.0	 2.000000002E-6	 -1190.2926688723655	 -0.1556182236262375	 0.0	 0.0	 -0.21801731316766218	 4.965597929018718E-4	 -3.6835638879588413E-4	 4251.998393145476	 188.6568999678483	 -0.015310376168974484	 -1189.0697015027329	 0.07766430350106668	 0.004022569136822976	 0.004018569136818975	 2.0000000020000022E-6	 2.000000002E-6	 0.19706771272900436	 0.026796586375240527	 0.0096566919060802	 6.246389097815789E-10	 7.250784279946781E-7	 8.760210800225608E-14	 2.4788658908245234E-8	 2.151774514714451E-5	 1.1750541198410812E-6	 3.6440422946991673E-4	 0.7428851026102212	 0.0	 0.023206058858903363	 0.0	 0.0	 0.0	 0.19706771272900445	 0.026796586375240527	 0.009656691906080199	 6.246389097815793E-10	 7.250784279946786E-7	 8.760210800225608E-14	 2.4788658908245234E-8	 2.1517745147144502E-5	 1.1750541198410812E-6	 3.6440422946991673E-4	 0.7428851026102211	 0.0	 0.02320605885890337	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.4	 2.0918313983892898E-4	 0.0016483654735808006	 0.9990039407865461	 4.971938557097181E-4	 3.31624134472236E-4	 392.08300605943975	 392.08300605943975	 392.20351772921583	 392.0830644434287	 1248.3994151659517	 1248.3994151659517	 2.131927752136423	 2.131927752136422	 NaN	 2.711319472970891	 2.7112960189393944	 2.7109850466416154	 -11578.796236837683	 -1.513805595235551	 -1.8690118923120798	 0.0	 0.0	 2.000000002E-6	 -1190.285668341664	 -0.15561730838061708	 0.0	 0.0	 -0.2491407748437856	 4.965597929018718E-4	 -4.395608181143859E-4	 4251.998393145476	 189.01145618649184	 -0.015322896161911603	 -1189.048692699256	 0.07759947467730648	 0.004022569136822976	 0.004018569136818975	 2.0000000020000022E-6	 2.000000002E-6	 0.19706771272900436	 0.026796586375240527	 0.0096566919060802	 6.246389097815789E-10	 7.25078427994678E-7	 8.760210800225608E-14	 2.4788658908245234E-8	 2.151774514714451E-5	 1.1750541198410812E-6	 3.6440422946991673E-4	 0.7428851026102212	 0.0	 0.023206058858903363	 0.0	 0.0	 0.0	 0.19706771272900445	 0.026796586375240527	 0.009656691906080199	 6.246389097815793E-10	 7.250784279946785E-7	 8.760210800225608E-14	 2.4788658908245234E-8	 2.1517745147144506E-5	 1.1750541198410812E-6	 3.6440422946991673E-4	 0.7428851026102211	 0.0	 0.02320605885890337	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.2	 2.353310323187951E-4	 0.0016463809309361192	 0.9990037123439134	 4.971937420161992E-4	 3.31651098729096E-4	 392.169889913553	 392.169889913553	 392.32241501534395	 392.1699638151019	 1248.4720984920448	 1248.4720984920448	 2.131927752136423	 2.131927752136422	 NaN	 2.715291665729001	 2.7152960189393944	 2.7148549470949304	 -11578.796236837683	 -1.513805595235551	 -2.17177301135919	 0.0	 0.0	 2.000000002E-6	 -1190.2663349465831	 -0.15561478074293786	 0.0	 0.0	 -0.2802637309923732	 4.965597929018718E-4	 -5.107652474328877E-4	 4251.998393145476	 189.36770690983306	 -0.015335324253398936	 -1189.0152829567708	 0.07753440770534971	 0.004022569136822976	 0.004018569136818975	 2.0000000020000022E-6	 2.000000002E-6	 0.19706771272900436	 0.026796586375240527	 0.0096566919060802	 6.246389097815789E-10	 7.250784279946779E-7	 8.760210800225608E-14	 2.4788658908245234E-8	 2.151774514714451E-5	 1.1750541198410812E-6	 3.6440422946991673E-4	 0.7428851026102212	 0.0	 0.023206058858903363	 0.0	 0.0	 0.0	 0.19706771272900445	 0.026796586375240527	 0.009656691906080199	 6.246389097815793E-10	 7.250784279946784E-7	 8.760210800225608E-14	 2.4788658908245234E-8	 2.151774514714451E-5	 1.1750541198410812E-6	 3.6440422946991673E-4	 0.7428851026102211	 0.0	 0.02320605885890337	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
