Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	V0 [m3]	V1 [m3]	V2 [m3]	T_Zone_0 [K]	T_Zone_1 [K]	T_Zone_2 [K]	T_mittel [K]	T_BurnAdiabat_0 [K]	T_BurnAdiabat_1 [K]	Lambda z1 [-]	Lambda z0 [-]	Lambda z2 [-]	p_soll [bar]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	dQKrst [J/s]	dQKrst [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	Alpha [W/(m^2K)]	Wandwärmestromdichte [MW/m^2]	PQw [W]	Brennraumfläche [m^2]	Gesamtmasse [kg]	m_0[kg]	m_1[kg]	m_2[kg]	Z0_O2 [kg]	Z0_CO2 [kg]	Z0_H2O [kg]	Z0_H [kg]	Z0_O [kg]	Z0_N [kg]	Z0_H2 [kg]	Z0_OH [kg]	Z0_CO [kg]	Z0_NO [kg]	Z0_N2 [kg]	Z0_Ar [kg]	Z0_Diesel [kg]	Z0_RON_95 [kg]	Z1_O2 [kg]	Z1_CO2 [kg]	Z1_H2O [kg]	Z1_H [kg]	Z1_O [kg]	Z1_N [kg]	Z1_H2 [kg]	Z1_OH [kg]	Z1_CO [kg]	Z1_NO [kg]	Z1_N2 [kg]	Z1_Ar [kg]	Z1_Diesel [kg]	Z1_RON_95 [kg]	Z2_O2 [kg]	Z2_CO2 [kg]	Z2_H2O [kg]	Z2_H [kg]	Z2_O [kg]	Z2_N [kg]	Z2_H2 [kg]	Z2_OH [kg]	Z2_CO [kg]	Z2_NO [kg]	Z2_N2 [kg]	Z2_Ar [kg]	Z2_Diesel [kg]	Z2_RON_95 [kg]	 mDieseldampf [kg]	m_Diesel_Z0 [kg]	TKrstVap [K]	mkrstFl [kg]	m_a [kg]	sumdma [kg]	s00 [kg]	dm_a [kg]
-130.0	 0.0	 0.00166397962081229	 0.999005611130385	 4.971944348075065E-4	 3.3152262053923046E-4	 391.2439465399437	 391.2439465399437	 391.2439465399437	 391.2439465399436	 1247.697456158141	 1247.697456158141	 2.131927707973112	 2.1319277079731114	 NaN	 2.6797960189393946	 2.6797960189393946	 0.0	 0.0	 0.0	 0.0	 0.0	 2.000000002E-6	 0.0	 0.0	 0.0	 0.0	 0.0	 4.965595415808111E-4	 0.0	 4251.998393145476	 186.19824293182253	 -0.015250763239742423	 -1191.2586801801176	 0.07811141393079794	 0.004022571175347767	 0.004018571175343766	 2.000000002E-6	 2.000000002E-6	 0.19706767072734901	 0.026796625822144628	 0.00965670637615485	 6.24639845772132E-10	 7.250795144888893E-7	 8.760223926968799E-14	 2.4788696052826206E-8	 2.1517777390422757E-5	 1.1750558806016408E-6	 3.6440477551165536E-4	 0.7428851018738988	 0.0	 0.0	 0.02320604709873202	 0.19706767072734901	 0.026796625822144628	 0.009656706376154848	 6.246398457721319E-10	 7.250795144888891E-7	 8.760223926968797E-14	 2.47886960528262E-8	 2.1517777390422754E-5	 1.1750558806016405E-6	 3.6440477551165536E-4	 0.7428851018738988	 0.0	 0.0	 0.023206047098732013	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.8	 2.6147892479866122E-5	 0.0016620534206422933	 0.9990054572503507	 4.971943582230551E-4	 3.3148457546148017E-4	 391.4224656796176	 391.4224656796176	 391.37760686357035	 391.42244396318216	 1247.8465883102908	 1247.8465883102908	 2.1319277079731123	 2.1319277079731114	 NaN	 2.6836960189393944	 2.6841262934197423	 0.0	 0.0	 0.0	 0.0	 0.0	 2.000000002E-6	 -1192.5726933801852	 -0.15591631280464716	 0.0	 0.0	 -0.03118326256092943	 4.965595415808111E-4	 0.0	 4251.998393145476	 186.55445985963448	 -0.015247288612247058	 -1190.0243432638372	 0.07804825982686361	 0.004022571175347767	 0.004018571175343766	 2.0000000020000006E-6	 2.000000002E-6	 0.19706767072734901	 0.026796625822144628	 0.009656706376154848	 6.24639845772132E-10	 7.250795144888893E-7	 8.760223926968799E-14	 2.4788696052826206E-8	 2.1517777390422757E-5	 1.175055880601641E-6	 3.6440477551165536E-4	 0.7428851018738988	 0.0	 0.0	 0.02320604709873202	 0.19706767072734901	 0.026796625822144628	 0.009656706376154848	 6.24639845772132E-10	 7.25079514488889E-7	 8.760223926968797E-14	 2.47886960528262E-8	 2.1517777390422757E-5	 1.1750558806016405E-6	 3.644047755116553E-4	 0.7428851018738988	 0.0	 0.0	 0.023206047098732013	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.6	 5.2295784959732244E-5	 0.0016601198990815207	 0.9990052452800057	 4.971942527276758E-4	 3.315034717227984E-4	 391.5172250421031	 391.5172250421031	 391.49475429574164	 391.51721416272466	 1247.9258320467186	 1247.9258320467186	 2.1319277079731123	 2.1319277079731114	 NaN	 2.6876960189393944	 2.687903589408557	 -9929.662017058032	 -1.29819867391722	 -0.259639734783444	 0.0	 0.0	 2.000000002E-6	 -1191.2149018004511	 -0.1557387958634624	 0.0	 0.0	 -0.06233102173362191	 4.965595415808111E-4	 -6.106298986424871E-5	 4251.998393145476	 186.9008502591992	 -0.015257582052827602	 -1189.8604869506028	 0.07798486567733008	 0.004022571175347767	 0.004018571175343766	 2.0000000020000006E-6	 2.000000002E-6	 0.19706767072734901	 0.026796625822144628	 0.009656706376154848	 6.24639845772132E-10	 7.250795144888893E-7	 8.760223926968799E-14	 2.4788696052826206E-8	 2.1517777390422757E-5	 1.1750558806016412E-6	 3.6440477551165536E-4	 0.7428851018738988	 0.0	 0.0	 0.02320604709873202	 0.19706767072734901	 0.026796625822144628	 0.009656706376154848	 6.24639845772132E-10	 7.250795144888889E-7	 8.760223926968797E-14	 2.47886960528262E-8	 2.1517777390422757E-5	 1.1750558806016405E-6	 3.644047755116553E-4	 0.7428851018738988	 0.0	 0.0	 0.023206047098732013	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.4	 7.844367743959836E-5	 0.0016581790640955757	 0.9990050323260501	 4.97194146742764E-4	 3.315221683198995E-4	 391.6128604094121	 391.6128604094121	 391.61255311558244	 391.61286026061777	 1248.0058089179593	 1248.0058089179593	 2.1319277079731123	 2.1319277079731114	 NaN	 2.6915960189393946	 2.6917075901881695	 -9929.662017058032	 -1.29819867391722	 -0.519279469566888	 0.0	 0.0	 2.000000002E-6	 -1191.0767004642112	 -0.1557207274950595	 0.0	 0.0	 -0.0934751672326338	 4.965595415808111E-4	 -1.2212597972849741E-4	 4251.998393145476	 187.2489117460943	 -0.015268089490609016	 -1189.708339476176	 0.07792123174336468	 0.004022571175347767	 0.004018571175343766	 2.0000000020000006E-6	 2.000000002E-6	 0.19706767072734901	 0.026796625822144628	 0.009656706376154848	 6.24639845772132E-10	 7.250795144888893E-7	 8.760223926968799E-14	 2.4788696052826206E-8	 2.1517777390422757E-5	 1.1750558806016414E-6	 3.6440477551165536E-4	 0.7428851018738988	 0.0	 0.0	 0.02320604709873202	 0.19706767072734901	 0.026796625822144628	 0.009656706376154848	 6.24639845772132E-10	 7.250795144888889E-7	 8.760223926968797E-14	 2.47886960528262E-8	 2.1517777390422757E-5	 1.1750558806016405E-6	 3.644047755116553E-4	 0.7428851018738988	 0.0	 0.0	 0.023206047098732013	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.2	 1.0459156991946449E-4	 0.0016562309237494537	 0.9990048183832448	 4.971940402657122E-4	 3.315406645698172E-4	 391.7093744342336	 391.7093744342336	 391.7310051472067	 391.70938490912863	 1248.0865198668207	 1248.0865198668207	 2.1319277079731123	 2.1319277079731114	 NaN	 2.6954960189393944	 2.6955384451801647	 -9929.662017058032	 -1.29819867391722	 -0.7789192043503319	 0.0	 0.0	 2.000000002E-6	 -1190.9261838080322	 -0.15570104902834853	 0.0	 0.0	 -0.1246153770383035	 4.965595415808111E-4	 -1.831889695927461E-4	 4251.998393145476	 187.59864926815652	 -0.01527850205555889	 -1189.5438086648833	 0.07785735828939347	 0.004022571175347767	 0.004018571175343766	 2.0000000020000006E-6	 2.000000002E-6	 0.19706767072734901	 0.026796625822144628	 0.009656706376154848	 6.24639845772132E-10	 7.250795144888893E-7	 8.760223926968799E-14	 2.4788696052826206E-8	 2.1517777390422757E-5	 1.1750558806016416E-6	 3.6440477551165536E-4	 0.7428851018738988	 0.0	 0.0	 0.02320604709873202	 0.19706767072734901	 0.026796625822144628	 0.009656706376154848	 6.24639845772132E-10	 7.250795144888889E-7	 8.760223926968797E-14	 2.47886960528262E-8	 2.1517777390422757E-5	 1.1750558806016405E-6	 3.644047755116553E-4	 0.7428851018738988	 0.0	 0.0	 0.023206047098732013	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.0	 1.307394623993306E-4	 0.001654275486208241	 0.9990046034462987	 4.971939332938871E-4	 3.315589597944865E-4	 391.8067697501545	 391.8067697501545	 391.8501121980626	 391.8067907414233	 1248.1679684315452	 1248.1679684315452	 2.1319277079731123	 2.1319277079731114	 NaN	 2.6994960189393944	 2.699396304851031	 -9929.662017058032	 -1.29819867391722	 -1.038558939133776	 0.0	 0.0	 2.000000002E-6	 -1190.7632501967246	 -0.15567974717559938	 0.0	 0.0	 -0.15575132647342338	 4.965595415808111E-4	 -2.4425195945699483E-4	 4251.998393145476	 187.95006781345145	 -0.01528881825147608	 -1189.3667929128303	 0.0777932455831242	 0.004022571175347767	 0.004018571175343766	 2.0000000020000006E-6	 2.000000002E-6	 0.19706767072734901	 0.026796625822144628	 0.009656706376154848	 6.24639845772132E-10	 7.250795144888893E-7	 8.760223926968799E-14	 2.4788696052826206E-8	 2.1517777390422757E-5	 1.1750558806016416E-6	 3.6440477551165536E-4	 0.7428851018738988	 0.0	 0.0	 0.02320604709873202	 0.19706767072734901	 0.026796625822144628	 0.009656706376154848	 6.24639845772132E-10	 7.250795144888889E-7	 8.760223926968797E-14	 2.47886960528262E-8	 2.1517777390422757E-5	 1.1750558806016405E-6	 3.644047755116553E-4	 0.7428851018738988	 0.0	 0.0	 0.023206047098732013	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.8	 1.5688735487919673E-4	 0.0016523127597378043	 0.999004387509878	 4.971938258246342E-4	 3.3157705331349565E-4	 391.9050490057927	 391.9050490057927	 391.9698760844674	 391.9050804056949	 1248.2501555515569	 1248.2501555515569	 2.1319277079731123	 2.1319277079731114	 NaN	 2.7033960189393946	 2.703281320956773	 -9929.662017058032	 -1.29819867391722	 -1.29819867391722	 0.0	 0.0	 2.000000002E-6	 -1190.587797983564	 -0.155656808647574	 0.0	 0.0	 -0.18688268820293819	 4.965595415808111E-4	 -3.053149493212435E-4	 4251.998393145476	 188.3031724151118	 -0.015299036568601881	 -1189.1771901452842	 0.0777288938955689	 0.004022571175347767	 0.004018571175343766	 2.0000000020000006E-6	 2.000000002E-6	 0.19706767072734901	 0.026796625822144628	 0.009656706376154848	 6.24639845772132E-10	 7.250795144888893E-7	 8.760223926968799E-14	 2.4788696052826206E-8	 2.1517777390422757E-5	 1.1750558806016416E-6	 3.6440477551165536E-4	 0.7428851018738988	 0.0	 0.0	 0.02320604709873202	 0.19706767072734901	 0.026796625822144628	 0.009656706376154848	 6.24639845772132E-10	 7.250795144888889E-7	 8.760223926968797E-14	 2.47886960528262E-8	 2.1517777390422757E-5	 1.1750558806016405E-6	 3.644047755116553E-4	 0.7428851018738988	 0.0	 0.0	 0.023206047098732013	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.6	 1.8303524735906285E-4	 0.0016503427527054867	 0.9990041705686048	 4.97193717855277E-4	 3.315949444440857E-4	 392.00421486485413	 392.00421486485413	 392.0902986316307	 392.00425656522157	 1248.3330847905968	 1248.3330847905968	 2.1319277079731123	 2.1319277079731114	 NaN	 2.7073960189393946	 2.7071936465539754	 -9929.662017058032	 -1.29819867391722	 -1.557838408700664	 0.0	 0.0	 2.000000002E-6	 -1190.399725041342	 -0.15563222009221603	 0.0	 0.0	 -0.21800913222138138	 4.965595415808111E-4	 -3.6637793918549227E-4	 4251.998393145476	 188.65796815154292	 -0.015309155483364421	 -1188.9748978050336	 0.07766430350106668	 0.004022571175347767	 0.004018571175343766	 2.0000000020000006E-6	 2.000000002E-6	 0.19706767072734901	 0.026796625822144628	 0.009656706376154848	 6.24639845772132E-10	 7.250795144888893E-7	 8.760223926968799E-14	 2.4788696052826206E-8	 2.1517777390422757E-5	 1.1750558806016416E-6	 3.6440477551165536E-4	 0.7428851018738988	 0.0	 0.0	 0.02320604709873202	 0.19706767072734901	 0.026796625822144628	 0.009656706376154848	 6.24639845772132E-10	 7.250795144888889E-7	 8.760223926968797E-14	 2.47886960528262E-8	 2.1517777390422757E-5	 1.1750558806016405E-6	 3.644047755116553E-4	 0.7428851018738988	 0.0	 0.0	 0.023206047098732013	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.4	 2.0918313983892898E-4	 0.0016483654735808006	 0.9990039526170569	 4.971936093831168E-4	 3.3161263250115053E-4	 392.1042700061898	 392.1042700061898	 392.2113816736783	 392.10432189842277	 1248.4167584194647	 1248.4167584194647	 2.1319277079731123	 2.1319277079731114	 NaN	 2.7112960189393944	 2.711133436010992	 -9929.662017058032	 -1.29819867391722	 -1.817478143484108	 0.0	 0.0	 2.000000002E-6	 -1190.1989287603938	 -0.15560596809439306	 0.0	 0.0	 -0.24913032584026	 4.965595415808111E-4	 -4.2744092904974096E-4	 4251.998393145476	 189.01446014663128	 -0.015319173458246134	 -1188.7598128504364	 0.07759947467730648	 0.004022571175347767	 0.004018571175343766	 2.0000000020000006E-6	 2.000000002E-6	 0.19706767072734901	 0.026796625822144628	 0.009656706376154848	 6.24639845772132E-10	 7.250795144888893E-7	 8.760223926968799E-14	 2.4788696052826206E-8	 2.1517777390422757E-5	 1.1750558806016416E-6	 3.6440477551165536E-4	 0.7428851018738988	 0.0	 0.0	 0.02320604709873202	 0.19706767072734901	 0.026796625822144628	 0.009656706376154848	 6.24639845772132E-10	 7.250795144888889E-7	 8.760223926968797E-14	 2.47886960528262E-8	 2.1517777390422757E-5	 1.1750558806016405E-6	 3.644047755116553E-4	 0.7428851018738988	 0.0	 0.0	 0.023206047098732013	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.2	 2.353310323187951E-4	 0.0016463809309361192	 0.9990037336497681	 4.971935004054333E-4	 3.3163011679723694E-4	 392.2052171238536	 392.2052171238536	 392.3331270536761	 392.20527909891746	 1248.5011774161871	 1248.5011774161871	 2.1319277079731123	 2.1319277079731114	 NaN	 2.7152960189393944	 2.7151008450192493	 -9929.662017058032	 -1.29819867391722	 -2.077117878267552	 0.0	 0.0	 2.000000002E-6	 -1189.985306046645	 -0.15557803917564128	 0.0	 0.0	 -0.28024593367538825	 4.965595415808111E-4	 -4.885039189139897E-4	 4251.998393145476	 189.37265356995428	 -0.015329088941649421	 -1188.5318317534138	 0.07753440770534971	 0.004022571175347767	 0.004018571175343766	 2.0000000020000006E-6	 2.000000002E-6	 0.19706767072734901	 0.026796625822144628	 0.009656706376154848	 6.24639845772132E-10	 7.250795144888893E-7	 8.760223926968799E-14	 2.4788696052826206E-8	 2.1517777390422757E-5	 1.1750558806016416E-6	 3.6440477551165536E-4	 0.7428851018738988	 0.0	 0.0	 0.02320604709873202	 0.19706767072734901	 0.026796625822144628	 0.009656706376154848	 6.24639845772132E-10	 7.250795144888889E-7	 8.760223926968797E-14	 2.47886960528262E-8	 2.1517777390422757E-5	 1.1750558806016405E-6	 3.644047755116553E-4	 0.7428851018738988	 0.0	 0.0	 0.023206047098732013	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
