Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	V0 [m3]	V1 [m3]	V2 [m3]	T_Zone_0 [K]	T_Zone_1 [K]	T_Zone_2 [K]	T_mittel [K]	T_BurnAdiabat_0 [K]	T_BurnAdiabat_1 [K]	Lambda z1 [-]	Lambda z0 [-]	Lambda z2 [-]	p_soll [bar]	p_soll_roh [bar]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	dQKrst [J/s]	dQKrst [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	Alpha [W/(m^2K)]	Wandwärmestromdichte [MW/m^2]	PQw [W]	Brennraumfläche [m^2]	Gesamtmasse [kg]	m_0[kg]	m_1[kg]	m_2[kg]	Z0_O2 [kg]	Z0_CO2 [kg]	Z0_H2O [kg]	Z0_H [kg]	Z0_O [kg]	Z0_N [kg]	Z0_H2 [kg]	Z0_OH [kg]	Z0_CO [kg]	Z0_NO [kg]	Z0_N2 [kg]	Z0_Diesel [kg]	Z0_RON_95 [kg]	Z0_AGR_intern_LWA [kg]	Z0_AGR_extern_LWA [kg]	Z0_feuchteLuft_LWA [kg]	Z1_O2 [kg]	Z1_CO2 [kg]	Z1_H2O [kg]	Z1_H [kg]	Z1_O [kg]	Z1_N [kg]	Z1_H2 [kg]	Z1_OH [kg]	Z1_CO [kg]	Z1_NO [kg]	Z1_N2 [kg]	Z1_Diesel [kg]	Z1_RON_95 [kg]	Z1_AGR_intern_LWA [kg]	Z1_AGR_extern_LWA [kg]	Z1_feuchteLuft_LWA [kg]	Z2_O2 [kg]	Z2_CO2 [kg]	Z2_H2O [kg]	Z2_H [kg]	Z2_O [kg]	Z2_N [kg]	Z2_H2 [kg]	Z2_OH [kg]	Z2_CO [kg]	Z2_NO [kg]	Z2_N2 [kg]	Z2_Diesel [kg]	Z2_RON_95 [kg]	Z2_AGR_intern_LWA [kg]	Z2_AGR_extern_LWA [kg]	Z2_feuchteLuft_LWA [kg]	 mDieseldampf [kg]	m_Diesel_Z0 [kg]	TKrstVap [K]	mkrstFl [kg]	m_a [kg]	sumdma [kg]	s00 [kg]	dm_a [kg]
-130.0	 0.0	 0.00166397962081229	 0.9989848024834307	 5.07598758284656E-4	 3.3852325004078406E-4	 387.32749994923813	 387.32749994923813	 387.32749994923813	 387.3274999492381	 1260.2558739506576	 1260.2558739506576	 2.234011148459493	 2.234011148459493	 NaN	 2.598107425352571	 2.598167678030303	 2.598107425352571	 0.0	 0.0	 0.0	 0.0	 0.0	 2.000000002E-6	 0.0	 0.0	 0.0	 0.0	 0.0	 5.070111532741836E-4	 0.0	 4213.5238379236025	 185.4738304882884	 -0.015917827826496134	 -1243.3640382346134	 0.07811141393079794	 0.0039401199655386505	 0.00393611996553465	 2.000000002E-6	 2.000000002E-6	 0.20352112351558724	 0.021017554409966183	 0.007535053320563175	 4.2574254043064694E-10	 5.455677490847917E-7	 5.864944993811514E-14	 1.7009859323128034E-8	 1.6256295603784057E-5	 7.967440442216869E-7	 2.938499239488654E-4	 0.7439876542069978	 0.0	 0.02362714857987922	 0.0	 0.0	 0.0	 0.20352112351558724	 0.021017554409966183	 0.007535053320563175	 4.2574254043064694E-10	 5.455677490847917E-7	 5.864944993811514E-14	 1.7009859323128034E-8	 1.6256295603784057E-5	 7.967440442216869E-7	 2.938499239488654E-4	 0.7439876542069978	 0.0	 0.02362714857987922	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.8	 2.6149943777620877E-5	 0.0016620534206422933	 0.9989846455741203	 5.075986785567454E-4	 3.3848429274649356E-4	 387.505515306354	 387.505515306354	 387.460981985399	 387.50549332795464	 1260.4043211794287	 1260.4043211794287	 2.234011148459493	 2.234011148459493	 NaN	 2.6024836990290914	 2.6024676780303033	 2.602314325024336	 0.0	 0.0	 0.0	 0.0	 0.0	 2.000000002E-6	 -1244.7178373496251	 -0.1627465073284727	 0.0	 0.0	 -0.03254930146569455	 5.070111532741836E-4	 0.0	 4213.5238379236025	 185.82602076328257	 -0.015915635669097494	 -1242.1876680114194	 0.07804825982686361	 0.0039401199655386505	 0.00393611996553465	 2.000000002E-6	 2.000000002E-6	 0.20352112351558724	 0.021017554409966183	 0.007535053320563175	 4.2574254043064694E-10	 5.455677490847917E-7	 5.864944993811514E-14	 1.7009859323128034E-8	 1.6256295603784057E-5	 7.967440442216869E-7	 2.938499239488654E-4	 0.7439876542069978	 0.0	 0.023627148579879218	 0.0	 0.0	 0.0	 0.20352112351558724	 0.021017554409966183	 0.007535053320563175	 4.2574254043064694E-10	 5.455677490847917E-7	 5.864944993811514E-14	 1.7009859323128034E-8	 1.6256295603784057E-5	 7.967440442216869E-7	 2.938499239488654E-4	 0.7439876542069978	 0.0	 0.023627148579879218	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.6	 5.2299887555241754E-5	 0.0016601198990815207	 0.9989844876450961	 5.075985983107032E-4	 3.384451536020615E-4	 387.6844184225358	 387.6844184225358	 387.5951027831531	 387.6843743383121	 1260.5535116821397	 1260.5535116821397	 2.234011148459493	 2.234011148459493	 NaN	 2.6069519931659677	 2.606967678030303	 2.606548453985723	 0.0	 0.0	 0.0	 0.0	 0.0	 2.000000002E-6	 -1243.4909753800794	 -0.1625860954708401	 0.0	 0.0	 -0.06506652055986256	 5.070111532741836E-4	 0.0	 4213.5238379236025	 186.17990188905634	 -0.015912644133845372	 -1240.9454153490858	 0.07798486567733008	 0.0039401199655386505	 0.00393611996553465	 2.000000002E-6	 2.000000002E-6	 0.20352112351558724	 0.021017554409966183	 0.007535053320563175	 4.2574254043064694E-10	 5.455677490847917E-7	 5.864944993811514E-14	 1.7009859323128034E-8	 1.6256295603784057E-5	 7.967440442216869E-7	 2.938499239488654E-4	 0.7439876542069978	 0.0	 0.023627148579879218	 0.0	 0.0	 0.0	 0.20352112351558724	 0.021017554409966183	 0.007535053320563175	 4.2574254043064694E-10	 5.455677490847917E-7	 5.864944993811514E-14	 1.7009859323128034E-8	 1.6256295603784057E-5	 7.967440442216869E-7	 2.938499239488654E-4	 0.7439876542069978	 0.0	 0.023627148579879218	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.4	 7.844983133286262E-5	 0.0016581790640955757	 0.998984425123984	 5.075985665428137E-4	 3.3830934998297144E-4	 388.00311895289343	 388.00311895289343	 387.75810090733955	 388.00299800586987	 1260.8191633253264	 1260.8191633253264	 2.234011148459493	 2.234011148459493	 NaN	 2.6115021591179315	 2.611467678030303	 2.611744734193343	 15910.636344923558	 2.0803112294296118	 0.4160622458859224	 0.0	 0.0	 2.000000002E-6	 -1242.3761329568792	 -0.16244033013740214	 0.0	 0.0	 -0.09755458658734299	 5.070111532741836E-4	 9.874448606204046E-5	 4213.5238379236025	 186.55453644633135	 -0.015885741611744827	 -1237.8365535439802	 0.07792123174336468	 0.0039401199655386505	 0.00393611996553465	 2.000000002E-6	 2.000000002E-6	 0.20352112351558724	 0.021017554409966183	 0.007535053320563175	 4.2574254043064694E-10	 5.455677490847917E-7	 5.864944993811514E-14	 1.7009859323128034E-8	 1.6256295603784057E-5	 7.967440442216869E-7	 2.938499239488654E-4	 0.7439876542069978	 0.0	 0.023627148579879218	 0.0	 0.0	 0.0	 0.20352112351558724	 0.021017554409966183	 0.007535053320563175	 4.2574254043064694E-10	 5.455677490847917E-7	 5.864944993811514E-14	 1.7009859323128034E-8	 1.6256295603784057E-5	 7.967440442216869E-7	 2.938499239488654E-4	 0.7439876542069978	 0.0	 0.023627148579879218	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.2	 1.0459977511048351E-4	 0.0016562309237494537	 0.9989842979691429	 5.075985019335831E-4	 3.382369988034154E-4	 388.23120523324184	 388.23120523324184	 387.9031174412149	 388.23104326457064	 1261.0093353578	 1261.0093353578	 2.234011148459493	 2.234011148459493	 NaN	 2.616131845097586	 2.6160676780303027	 2.616354240877169	 5425.373100853225	 0.7093660077996423	 0.5579354474458509	 0.0	 0.0	 2.000000002E-6	 -1239.1417003416627	 -0.16201742898220006	 0.0	 0.0	 -0.129958072383783	 5.070111532741836E-4	 1.3241540072093147E-4	 4213.5238379236025	 186.91835365617615	 -0.015873759307374998	 -1235.8889657938896	 0.07785735828939347	 0.0039401199655386505	 0.00393611996553465	 2.000000002E-6	 2.000000002E-6	 0.20352112351558724	 0.021017554409966183	 0.007535053320563175	 4.2574254043064694E-10	 5.455677490847917E-7	 5.864944993811514E-14	 1.7009859323128034E-8	 1.6256295603784057E-5	 7.967440442216869E-7	 2.938499239488654E-4	 0.7439876542069978	 0.0	 0.023627148579879218	 0.0	 0.0	 0.0	 0.20352112351558724	 0.021017554409966183	 0.007535053320563175	 4.2574254043064694E-10	 5.455677490847917E-7	 5.864944993811514E-14	 1.7009859323128034E-8	 1.6256295603784057E-5	 7.967440442216869E-7	 2.938499239488654E-4	 0.7439876542069978	 0.0	 0.023627148579879218	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.0	 1.307497188881044E-4	 0.001654275486208241	 0.9989841697441787	 5.075984367806073E-4	 3.381644980651739E-4	 388.4601976083899	 388.4601976083899	 388.04877044647174	 388.45999447660057	 1261.2002688426037	 1261.2002688426037	 2.234011148459493	 2.234011148459493	 NaN	 2.6207592115956735	 2.6207676780303033	 2.6209922823428187	 5425.373100853225	 0.7093660077996423	 0.6998086490057793	 0.0	 0.0	 2.000000002E-6	 -1237.2201337858367	 -0.16176618469520104	 0.0	 0.0	 -0.16231130932282323	 5.070111532741836E-4	 1.6608631537982246E-4	 4213.5238379236025	 187.2838971065227	 -0.01586192703272845	 -1233.9507850786408	 0.0777932455831242	 0.0039401199655386505	 0.00393611996553465	 2.000000002E-6	 2.000000002E-6	 0.20352112351558724	 0.021017554409966183	 0.007535053320563175	 4.2574254043064694E-10	 5.455677490847917E-7	 5.864944993811514E-14	 1.7009859323128034E-8	 1.6256295603784057E-5	 7.967440442216869E-7	 2.938499239488654E-4	 0.7439876542069978	 0.0	 0.023627148579879218	 0.0	 0.0	 0.0	 0.20352112351558724	 0.021017554409966183	 0.007535053320563175	 4.2574254043064694E-10	 5.455677490847917E-7	 5.864944993811514E-14	 1.7009859323128034E-8	 1.6256295603784057E-5	 7.967440442216869E-7	 2.938499239488654E-4	 0.7439876542069978	 0.0	 0.023627148579879218	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.8	 1.5689966266572525E-4	 0.0016523127597378043	 0.9989840404432986	 5.07598371080943E-4	 3.380918474234996E-4	 388.6900991778909	 388.6900991778909	 388.1950617401691	 388.6898547407949	 1261.3919637859249	 1261.3919637859249	 2.234011148459493	 2.234011148459493	 NaN	 2.6253578935947894	 2.6253676780303032	 2.625659029174206	 5425.373100853225	 0.7093660077996423	 0.8416818505657078	 0.0	 0.0	 2.000000002E-6	 -1235.2814808870833	 -0.1615127063736674	 0.0	 0.0	 -0.1946138505975567	 5.070111532741836E-4	 1.9975723003871343E-4	 4213.5238379236025	 187.6511722269698	 -0.015849903081480626	 -1231.9954348754584	 0.0777288938955689	 0.0039401199655386505	 0.00393611996553465	 2.000000002E-6	 2.000000002E-6	 0.20352112351558724	 0.021017554409966183	 0.007535053320563175	 4.2574254043064694E-10	 5.455677490847917E-7	 5.864944993811514E-14	 1.7009859323128034E-8	 1.6256295603784057E-5	 7.967440442216869E-7	 2.938499239488654E-4	 0.7439876542069978	 0.0	 0.023627148579879218	 0.0	 0.0	 0.0	 0.20352112351558724	 0.021017554409966183	 0.007535053320563175	 4.2574254043064694E-10	 5.455677490847917E-7	 5.864944993811514E-14	 1.7009859323128034E-8	 1.6256295603784057E-5	 7.967440442216869E-7	 2.938499239488654E-4	 0.7439876542069978	 0.0	 0.023627148579879218	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.6	 1.8304960644334613E-4	 0.0016503427527054867	 0.9989839100606558	 5.075983048316193E-4	 3.3801904654052225E-4	 388.92091301929395	 388.92091301929395	 388.34199311931667	 388.920627133985	 1261.584424095101	 1261.584424095101	 2.234011148459493	 2.234011148459493	 NaN	 2.629980601130893	 2.6299676780303036	 2.6303546531223794	 5425.373100853225	 0.7093660077996423	 0.9835550521256362	 0.0	 0.0	 2.000000002E-6	 -1233.3256119058524	 -0.1612569770541895	 0.0	 0.0	 -0.2268652460083946	 5.070111532741836E-4	 2.3342814469760442E-4	 4213.5238379236025	 188.02018448792634	 -0.015837685140255717	 -1230.022785487154	 0.07766430350106668	 0.0039401199655386505	 0.00393611996553465	 2.000000002E-6	 2.000000002E-6	 0.20352112351558724	 0.021017554409966183	 0.007535053320563175	 4.2574254043064694E-10	 5.455677490847917E-7	 5.864944993811514E-14	 1.7009859323128034E-8	 1.6256295603784057E-5	 7.967440442216869E-7	 2.938499239488654E-4	 0.7439876542069978	 0.0	 0.023627148579879218	 0.0	 0.0	 0.0	 0.20352112351558724	 0.021017554409966183	 0.007535053320563175	 4.2574254043064694E-10	 5.455677490847917E-7	 5.864944993811514E-14	 1.7009859323128034E-8	 1.6256295603784057E-5	 7.967440442216869E-7	 2.938499239488654E-4	 0.7439876542069978	 0.0	 0.023627148579879218	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.4	 2.0919955022096701E-4	 0.0016483654735808006	 0.9989837785903569	 5.075982380296417E-4	 3.379460950768596E-4	 389.15264222667804	 389.15264222667804	 388.48956638972055	 389.15231474952844	 1261.7776523848493	 1261.7776523848493	 2.234011148459493	 2.234011148459493	 NaN	 2.6346402669194053	 2.6345676780303036	 2.635079327376961	 5425.373100853225	 0.7093660077996423	 1.1254282536855647	 0.0	 0.0	 2.000000002E-6	 -1231.3523971239422	 -0.1609989797761489	 0.0	 0.0	 -0.2590650419636244	 5.070111532741836E-4	 2.670990593564954E-4	 4213.5238379236025	 188.39093940611158	 -0.015825270877521933	 -1228.0327067217788	 0.07759947467730648	 0.0039401199655386505	 0.00393611996553465	 2.000000002E-6	 2.000000002E-6	 0.20352112351558724	 0.021017554409966183	 0.007535053320563175	 4.2574254043064694E-10	 5.455677490847917E-7	 5.864944993811514E-14	 1.7009859323128034E-8	 1.6256295603784057E-5	 7.967440442216869E-7	 2.938499239488654E-4	 0.7439876542069978	 0.0	 0.023627148579879218	 0.0	 0.0	 0.0	 0.20352112351558724	 0.021017554409966183	 0.007535053320563175	 4.2574254043064694E-10	 5.455677490847917E-7	 5.864944993811514E-14	 1.7009859323128034E-8	 1.6256295603784057E-5	 7.967440442216869E-7	 2.938499239488654E-4	 0.7439876542069978	 0.0	 0.023627148579879218	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.2	 2.353494939985879E-4	 0.0016463809309361192	 0.9989836460264631	 5.075981706719924E-4	 3.3787299269162006E-4	 389.3852899107191	 389.3852899107191	 388.6377833660075	 389.3849206973746	 1261.9716512839123	 1261.9716512839123	 2.234011148459493	 2.234011148459493	 NaN	 2.639341784524158	 2.6393676780303035	 2.639833226578804	 5425.373100853225	 0.7093660077996423	 1.267301455245493	 0.0	 0.0	 2.000000002E-6	 -1229.3617063167906	 -0.16073869751272069	 0.0	 0.0	 -0.2912127814661685	 5.070111532741836E-4	 3.007699740153864E-4	 4213.5238379236025	 188.7634425447815	 -0.01581265794326682	 -1226.0250678784862	 0.07753440770534971	 0.0039401199655386505	 0.00393611996553465	 2.000000002E-6	 2.000000002E-6	 0.20352112351558724	 0.021017554409966183	 0.007535053320563175	 4.2574254043064694E-10	 5.455677490847917E-7	 5.864944993811514E-14	 1.7009859323128034E-8	 1.6256295603784057E-5	 7.967440442216869E-7	 2.938499239488654E-4	 0.7439876542069978	 0.0	 0.023627148579879218	 0.0	 0.0	 0.0	 0.20352112351558724	 0.021017554409966183	 0.007535053320563175	 4.2574254043064694E-10	 5.455677490847917E-7	 5.864944993811514E-14	 1.7009859323128034E-8	 1.6256295603784057E-5	 7.967440442216869E-7	 2.938499239488654E-4	 0.7439876542069978	 0.0	 0.023627148579879218	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
