Kurbelwinkel-LW [°KW]	Brennraumvolumen-LW [m3]	LWAideal [Pa]	LWArealGemittelt [Pa]	LWA[Pa]
142.10000000000002	 4.5378189185927003E-4	 100513.0071157513	 162066.48572846892	 162066.48572846892	 
142.2	 4.5397013185247956E-4	 100521.77132627764	 162066.48572846892	 162066.48572846892	 
142.3	 4.541578890772625E-4	 100528.06450705565	 161976.86534490561	 161976.86534490561	 
142.39999999999998	 4.54345163456516E-4	 100534.31993039658	 161887.07532472617	 161887.07532472617	 
142.5	 4.5453195491399433E-4	 100540.65370614029	 161797.1162986064	 161797.1162986064	 
142.60000000000002	 4.5471826337430403E-4	 100547.0237747902	 161706.98889792836	 161706.98889792836	 
142.7	 4.5490408876289765E-4	 100553.1366352021	 161616.69375189126	 161616.69375189126	 
142.8	 4.5508943100607013E-4	 100562.89068554535	 161526.23151857764	 161526.23151857764	 
142.90000000000003	 4.55274290030952E-4	 100573.27434687257	 161435.60286853425	 161435.60286853425	 
143.0	 4.554586657655053E-4	 100586.10331712427	 161344.80846904547	 161344.80846904547	 
143.09999999999997	 4.5564255813851807E-4	 100599.32642925243	 161253.8489901212	 161253.8489901212	 
143.2	 4.558259670795995E-4	 100612.77681826844	 161162.65475957628	 161162.65475957628	 
143.3	 4.560088925191741E-4	 100628.22057112888	 161071.15639889787	 161071.15639889787	 
143.39999999999998	 4.5619133438847703E-4	 100643.73146357737	 160979.35499565452	 160979.35499565452	 
143.5	 4.5637329261954973E-4	 100659.60299675816	 160887.25162383955	 160887.25162383955	 
143.60000000000002	 4.565547671452333E-4	 100676.94739035085	 160794.84737882778	 160794.84737882778	 
143.70000000000005	 4.567357578991642E-4	 100692.05205854306	 160702.14332542478	 160702.14332542478	 
143.8	 4.569162648157694E-4	 100705.3133857742	 160609.1404808175	 160609.1404808175	 
143.89999999999998	 4.570962878302612E-4	 100717.5651935545	 160515.8398738663	 160515.8398738663	 
144.0	 4.572758268786319E-4	 100727.99425533942	 160422.2425289352	 160422.2425289352	 
144.10000000000002	 4.5745488189764886E-4	 100735.77137204421	 160328.34943796747	 160328.34943796747	 
144.2	 4.576334528248495E-4	 100741.39887776504	 160234.1615787301	 160234.1615787301	 
144.3	 4.5781153959853656E-4	 100746.05649790233	 160139.67995061056	 160139.67995061056	 
144.40000000000003	 4.579891421577723E-4	 100748.67146357738	 160044.90554904292	 160044.90554904292	 
144.5	 4.581662604423745E-4	 100748.71636060251	 159949.8393319516	 159949.8393319516	 
144.59999999999997	 4.5834289439291063E-4	 100750.56350019062	 159854.4823284858	 159854.4823284858	 
144.7	 4.5851904395069357E-4	 100751.65233314259	 159758.83560560472	 159758.83560560472	 
144.8	 4.5869470905777603E-4	 100751.88633771926	 159662.90017496882	 159662.90017496882	 
144.90000000000003	 4.588698896569461E-4	 100752.79077707854	 159566.67707918573	 159566.67707918573	 
145.0	 4.590445856917216E-4	 100755.85837433254	 159470.16743444718	 159470.16743444718	 
145.10000000000002	 4.5921879710634616E-4	 100760.29054824558	 159373.37238238004	 159373.37238238004	 
145.2	 4.593925238457834E-4	 100765.0437747902	 159276.2489428082	 159276.2489428082	 
