[KWnZOT]	[mm]
-358	1.2948
-356	1.17308
-354	1.07451
-352	0.99759
-350	0.93941
-348	0.89376
-346	0.85463
-344	0.81888
-342	0.78491
-340	0.75179
-338	0.71902
-336	0.68632
-334	0.65356
-332	0.62068
-330	0.58769
-328	0.55462
-326	0.5215
-324	0.48836
-322	0.45522
-320	0.42209
-318	0.38899
-316	0.35593
-314	0.3229
-312	0.28991
-310	0.25696
-308	0.22408
-306	0.19133
-304	0.15889
-302	0.12718
-300	0.09721
-298	0.07027
-296	0.04733
-294	0.02898
-292	0.01543
-290	0.00652
-288	0.00186
-286	0
92	0
94	0.000422
96	0.00211
98	0.00787
100	0.0183
102	0.03414
104	0.05583
106	0.0835
108	0.11702
110	0.15595
112	0.19963
114	0.2471
116	0.29687
118	0.34744
120	0.39813
122	0.44875
124	0.49927
126	0.54967
128	0.59996
130	0.65021
132	0.70072
134	0.75251
136	0.80869
138	0.87622
140	0.96137
142	1.06769
144	1.19708
146	1.35061
148	1.52892
150	1.73232
152	1.96096
154	2.21478
156	2.49354
158	2.79673
160	3.12351
162	3.47248
164	3.84128
166	4.22453
168	4.61427
170	5.00526
172	5.39446
174	5.77988
176	6.16
178	6.53364
180	6.89984
182	7.25782
184	7.60692
186	7.94658
188	8.27633
190	8.59577
192	8.90456
194	9.20238
196	9.48898
198	9.76413
200	10.02762
202	10.27929
204	10.51897
206	10.74653
208	10.96185
210	11.16482
212	11.35534
214	11.53334
216	11.69875
218	11.85151
220	11.99157
222	12.11889
224	12.23344
226	12.33519
228	12.42412
230	12.50023
232	12.56351
234	12.61401
236	12.6519
238	12.67758
240	12.69228
242	12.69865
244	12.7
246	12.69901
248	12.69719
250	12.69524
252	12.69343
254	12.69181
256	12.69037
258	12.68909
260	12.68786
262	12.68631
264	12.68356
266	12.6766
268	12.65962
270	12.6305
272	12.58884
274	12.53444
276	12.4673
278	12.38745
280	12.29494
282	12.18982
284	12.07212
286	11.94189
288	11.7992
290	11.64408
292	11.47661
294	11.29684
296	11.10487
298	10.90078
300	10.68467
302	10.45666
304	10.21686
306	9.96542
308	9.70251
310	9.4283
312	9.14301
314	8.84687
316	8.54014
318	8.22314
320	7.89623
322	7.55981
324	7.21439
326	6.86054
328	6.49895
330	6.13047
332	5.7561
334	5.37714
336	4.99521
338	4.61253
340	4.23227
342	3.85898
344	3.49879
346	3.15747
348	2.83833
350	2.54301
352	2.27237
354	2.02677
356	1.80631
358	1.61097
360	1.44057
