MNTPFILE 0 9
Morphee® v1.10
Datum	Zeit	M_AL.CT_SINGLE	A_EC.SPEED	Lambda_AVG	Luftmassenmesse_AVG	F_CS.AVGFUELCS	p_Saug_AVG	T_Saugrohr_AVG	Luftkond_Feucht_AVG	Luftkond_Temp_AVG	p_Oel_AVG	p_Krst_Vordruck_AVG	p_Reserve_01_AVG	T_ABG_ZYL_1_AVG	T_KW_AUS_AVG	T_KW_EIN_AVG	T_OEL_SUMPF_AVG	Volumen_nach_GEV_AVG	Volumen_vor_GEV_AVG	F_EM.P2_THC	F_EM.P2_NO	F_EM.P2_NOx	F_EM.P2_COh	F_EM.P2_CO2	F_EM.P2_O2	M_AL.TIMEAVE	Rueck_Abgas_Dr_AVG	AO_Lader_AVG	Kl_15_AVG	Kl_30_AVG	Kl_87a_AVG	Kl_87b_AVG	P_AL.TIME_AVE	M_AL.CT_TOTAL	F_EM.P1_THC	F_EM.P1_CH4	F_EM.P1_NOx	F_EM.P1_NO	F_EM.P1_COl	F_EM.P1_COh	F_EM.P1_CO2	F_EM.P1_O2	F_EM.P2_CH4	F_EM.P3_THC	F_EM.P3_CH4	F_EM.P3_NOx	F_EM.P3_NO	F_EM.P3_COl	F_EM.P3_COh	F_EM.P3_CO2	F_EM.P3_O2	A_EC.TORQUE	A_EC.THROTTLE	P_Zyl_Mittel_AVG	Lambda_gemittelt	MS_ME_ZAEHLRATE_AVG	MS_ME_MITTEL	MS_LE_ZAEHLRATE_AVG	p_Reserve	T_Regelung_KW_AVG	T_QuarzKueh_ein_AVG	T_Quarzkueh_aus_AVG	T_ABG_ZYL_3_AVG	n_Bremse_AVG	MD_AVG	SOLL_LUEFT
21-07-08	09:09:15.153	1	2004	8.1740	28.57	0.0005	1.002	30.8	48.53	27.0	4.1	5.1	1.000	83	90.1	90.6	87.0	26.66	26.83	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	30	26.0	5.156	1	1	1	0	30	1	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-6.8	0.0	-1.83	8.1739	423	398	136	0.0	91.6	28.7	-999.0	-999	2028	-7.3	25
21-07-08	09:39:49.903	2	1999	0.9995	9.32	0.6825	0.419	29.1	51.06	27.3	4.1	5.1	1.000	639	90.0	89.0	86.8	26.69	25.53	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	30	40.0	1.654	1	1	1	1	30	2	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	7.7	0.0	1.72	0.9989	2575	2618	575	0.0	89.3	25.1	-999.0	-999	2028	6.8	25
21-07-08	10:17:11.153	3	2007	0.9920	9.31	0.6867	0.420	28.2	49.23	27.8	4.1	5.1	1.000	633	89.9	88.8	86.9	26.54	25.18	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	30	41.0	1.746	1	1	0	1	30	3	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	7.1	0.0	1.72	0.9920	2907	2960	623	0.0	89.0	25.1	-999.0	-999	2027	6.9	25
21-07-08	10:31:40.133	4	2004	1.4593	11.24	0.5396	1.004	27.7	49.26	27.8	4.1	5.1	1.000	389	90.0	89.2	87.3	28.24	24.37	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	30	41.0	2.067	1	1	1	1	30	4	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	6.1	0.0	1.75	1.4567	3730	3639	1094	0.0	89.4	24.5	-999.0	-999	2028	7.0	25
21-07-08	10:48:57.293	5	1994	1.3781	14.76	0.7419	1.248	30.3	55.54	28.0	4.1	5.1	1.260	436	90.2	89.1	87.1	28.44	24.24	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	30	41.0	9.241	1	1	1	1	30	5	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	13.2	0.0	2.94	1.3764	4467	4567	1048	0.0	89.3	25.9	-999.0	-999	2027	11.7	25
21-07-08	10:54:01.153	6	1994	1.4884	15.98	0.7382	1.296	30.3	60.81	28.1	4.1	5.1	1.310	432	90.0	89.0	87.2	29.01	24.00	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	30	41.0	9.965	1	1	1	1	30	6	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	12.3	0.0	2.98	1.4862	4194	4289	1055	0.0	89.2	25.8	-999.0	-999	2027	11.9	25
21-07-08	11:00:23.933	7	1995	1.4980	16.01	0.7361	1.316	30.0	62.21	28.3	4.1	5.1	1.330	425	89.9	89.0	87.1	28.72	24.10	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	30	41.0	10.183	1	1	1	1	30	7	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	12.4	0.0	2.96	1.5000	4072	4085	1040	0.0	89.2	25.3	-999.0	-999	2028	11.8	25
21-07-08	11:04:03.413	8	1995	1.5295	16.36	0.7412	1.346	29.9	62.41	28.3	3.9	5.1	1.360	418	90.0	89.1	87.1	28.62	24.14	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	30	41.0	10.575	1	1	1	1	30	8	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	12.0	0.0	3.01	1.5304	4096	4083	1049	0.0	89.3	25.1	-999.0	-999	2027	12.0	25
21-07-08	11:08:51.593	9	1995	1.4235	15.21	0.7401	1.247	29.8	62.21	28.4	4.1	5.1	1.260	442	90.0	89.0	87.1	28.48	24.13	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	30	41.0	9.185	1	1	1	1	30	9	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	10.9	0.0	2.83	1.4223	4111	4151	1015	0.0	89.1	24.6	-999.0	-999	2028	11.3	25
21-07-08	11:12:27.123	10	1997	1.3994	14.92	0.7401	1.217	29.8	62.05	28.5	4.0	5.1	1.230	450	89.9	88.9	87.2	28.41	24.16	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	30	41.0	8.749	1	1	1	1	30	10	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	-9999.999	13.1	0.0	2.96	1.3993	4231	4083	1005	0.0	89.0	24.8	-999.0	-999	2028	11.8	25
