Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	Vu [m3]	Vb [m3]	T_Zone_1 [K]	T_Zone_2 [K]	T_mittel [K]	T_BurnAdiabat [K]	p_soll [bar]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	Hu Zone [J/kg]	Hu frischGemsich [J/kg]	Phi_Delay [°KW]	Alpha [W/(m^2K)]	pSchlepp [bar]	Wandwärmestromdichte [MW/m^2]	PQw [W]	Brennraumfläche [m^2]	Gesamtmasse [kg]	m_u[kg]	m_v[kg]	 cv_u[J/kg]	 cp_u [J/kg]	 kappa_u [-]	 U_u [J]	 cv_b[J/kg]	 cp_b [J/kg]	 kappa_b [-]	 U_b [J]	Zu_O2 [kg]	Zu_CO2 [kg]	Zu_H2O [kg]	Zu_N2 [kg]	Zu_H [kg]	Zu_O [kg]	Zu_N [kg]	Zu_H2 [kg]	Zu_OH [kg]	Zu_CO [kg]	Zu_NO [kg]	Zu_Diesel [kg]	Zb_O2 [kg]	Zb_CO2 [kg]	Zb_H2O [kg]	Zb_N2 [kg]	Zb_H [kg]	Zb_O [kg]	Zb_N [kg]	Zb_H2 [kg]	Zb_OH [kg]	Zb_CO [kg]	Zb_NO [kg]	Zb_Diesel [kg]	
-90	0	3.18E-04	1	3.15E-52	494.1766132	1	494.1766132	1632.061392	2.8223	2.8223	0	0	0	0	0	0	0	0	0	0	0	916.4949278	31.28724496	31.28724496	0	119.5341965	2.832732389	0.002513399	65.2849265	0.025974753	6.30E-04	6.30E-04	1.00E-55	765.9867698	1054.021682	1.376031184	-384.6658872	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-89.5	5.55E-05	3.16E-04	1	3.17E-52	495.438795	1	495.438795	1633.074325	2.8487	2.848880152	5.55	6.16E-04	3.08E-04	0	0	0	69.35127051	0.007692414	0.003846207	0	3.36E-07	916.4949278	31.28724496	31.28724496	0	120.2708595	2.859373124	0.002680693	69.35120805	0.025870631	6.30E-04	6.30E-04	1.00E-55	766.2590073	1054.293919	1.375897587	-384.056683	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-89	1.11E-04	3.13E-04	1	3.19E-52	496.7152378	1	496.7152378	1634.098943	2.8755	2.87595853	5.55	6.16E-04	6.16E-04	0	0	0	73.48129578	0.008150515	0.007921465	0	6.72E-07	916.4949278	31.28724496	31.28724496	0	121.0189456	2.886517758	0.00285184	73.48123127	0.025766251	6.30E-04	6.30E-04	1.00E-55	766.5351348	1054.570047	1.375762178	-383.4403751	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-88.5	1.66E-04	3.11E-04	1	3.21E-52	498.0061034	1	498.0061034	1635.135384	2.9036	2.903546321	5.55	6.16E-04	9.23E-04	0	0	0	77.67632801	0.008615826	0.012229378	0	1.01E-06	916.4949278	31.28724496	31.28724496	0	121.7786598	2.914177737	0.003026943	77.6762614	0.025661621	6.30E-04	6.30E-04	1.00E-55	766.8152095	1054.850121	1.375624933	-382.8168773	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-88	2.22E-04	3.09E-04	1	3.24E-52	499.5322971	1	499.5322971	1636.360864	2.933	2.932951071	1926.958342	0.213737429	0.10779212	0	0	0	82.64462439	0.009166908	0.016812832	0	1.18E-04	916.4949278	31.28724496	31.28724496	0	122.5733464	2.942364823	0.003233766	82.64455341	0.025556748	6.30E-04	6.30E-04	1.00E-55	767.147408	1055.18232	1.375462276	-382.0794198	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-87.5	2.77E-04	3.07E-04	1	3.26E-52	500.9957292	1	500.9957292	1637.536341	2.9625	2.962448589	1249.076812	0.138547088	0.177065664	0	0	0	87.43638486	0.009698408	0.021662036	0	1.93E-04	916.4949278	31.28724496	31.28724496	0	123.3722392	2.971091099	0.00343539	87.43631231	0.025451641	6.30E-04	6.30E-04	1.00E-55	767.4670219	1055.501934	1.375305914	-381.3719884	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-87	3.33E-04	3.05E-04	1	3.28E-52	502.3315605	1	502.3315605	1638.609735	2.9917	2.991654432	5.55	6.16E-04	0.177373466	0	0	0	91.84064406	0.010186927	0.026755499	0	1.94E-04	916.4949278	31.28724496	31.28724496	0	124.1684733	3.000368986	0.00362343	91.84057061	0.025346309	6.30E-04	6.30E-04	1.00E-55	767.7596806	1055.794592	1.375162852	-380.7259822	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-86.5	3.88E-04	3.03E-04	1	3.31E-52	503.6824921	1	503.6824921	1639.695533	3.0212	3.021417913	5.55	6.16E-04	0.177681268	0	0	0	96.31542076	0.010683267	0.032097133	0	1.94E-04	916.4949278	31.28724496	31.28724496	0	124.9772086	3.030211247	0.003815866	96.31534491	0.025240759	6.30E-04	6.30E-04	1.00E-55	768.0565273	1056.091439	1.375017856	-380.0724228	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-86	4.44E-04	3.00E-04	1	3.33E-52	504.9146322	1	504.9146322	1640.68623	3.051	3.050941745	-1163.198975	-0.129021553	0.113170491	0	0	0	100.4266906	0.011139287	0.037666776	0	1.23E-04	916.4949278	31.28724496	31.28724496	0	125.784199	3.060631001	0.003995489	100.4266138	0.025135001	6.30E-04	6.30E-04	1.00E-55	768.3280371	1056.362949	1.374885333	-379.4761121	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-85.5	4.99E-04	2.98E-04	1	3.35E-52	506.1791588	1	506.1791588	1641.703182	3.0812	3.081140319	-1013.575846	-0.112425417	0.056957782	0	0	0	104.6635767	0.011609241	0.043471397	0	6.21E-05	916.4949278	31.28724496	31.28724496	0	126.6057715	3.091641735	0.004181682	104.6634972	0.025029042	6.30E-04	6.30E-04	1.00E-55	768.6074381	1056.64235	1.374749056	-378.8639081	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
