[KWnZOT]	[bar]	[bar]	[bar]
-360	1	2.2859	2.8009
-359.9	1	2.2858	2.7994
-359.8	1	2.2858	2.798
-359.7	1	2.2864	2.7974
-359.6	1	2.2863	2.7947
-359.5	1	2.2864	2.794
-359.4	1	2.2865	2.7928
-359.3	1	2.2866	2.79
-359.2	1	2.2865	2.7895
-359.1	1	2.287	2.7881
-359	1	2.2869	2.7857
-358.9	1	2.2869	2.7846
-358.8	1	2.287	2.7833
-358.7	1	2.2876	2.7818
-358.6	1	2.2873	2.7793
-358.5	1	2.2876	2.7787
-358.4	1	2.288	2.7777
-358.3	1	2.2876	2.7743
-358.2	1	2.2881	2.7746
-358.1	1	2.2879	2.7724
-358	1	2.2888	2.7716
-357.9	1	2.2881	2.7705
-357.8	1	2.2883	2.7689
-357.7	1	2.2884	2.7682
-357.6	1	2.2886	2.7674
-357.5	1	2.289	2.7661
-357.4	1	2.289	2.765
-357.3	1	2.2887	2.7626
-357.2	1	2.2889	2.7619
-357.1	1	2.2892	2.7611
-357	1	2.289	2.7587
-356.9	1	2.2893	2.7583
-356.8	1	2.2899	2.7582
-356.7	1	2.2895	2.7556
-356.6	1	2.2893	2.7556
-356.5	1	2.2893	2.7545
-356.4	1	2.2892	2.7538
-356.3	1	2.2885	2.7527
-356.2	1	2.2886	2.7524
-356.1	1	2.2883	2.7517
-356	1	2.2878	2.75
-355.9	1	2.2878	2.7503
-355.8	1	2.2875	2.7487
-355.7	1	2.2867	2.7472
-355.6	1	2.2867	2.7465
-355.5	1	2.2867	2.7461
-355.4	1	2.2861	2.7445
-355.3	1	2.2865	2.7454
-355.2	1	2.286	2.744
-355.1	1	2.286	2.7438
-355	1	2.2849	2.7427
-354.9	1	2.285	2.7427
-354.8	1	2.2843	2.7417
-354.7	1	2.2839	2.7418
-354.6	1	2.2831	2.7408
-354.5	1	2.2833	2.7421
-354.4	1	2.2823	2.7403
-354.3	1	2.2814	2.7405
-354.2	1	2.2814	2.7399
-354.1	1	2.2807	2.7396
-354	1	2.2798	2.7395
-353.9	1	2.2798	2.7391
-353.8	1	2.279	2.7396
-353.7	1	2.2779	2.7384
-353.6	1	2.278	2.7392
-353.5	1	2.2767	2.7377
-353.4	1	2.2761	2.7383
-353.3	1	2.2758	2.7382
-353.2	1	2.2752	2.7384
-353.1	1	2.2738	2.7381
-353	1	2.2735	2.7387
-352.9	1	2.2725	2.739
-352.8	1	2.2718	2.7387
-352.7	1	2.2707	2.7384
-352.6	1	2.2701	2.74
-352.5	1	2.2692	2.739
-352.4	1	2.268	2.7386
-352.3	1	2.2673	2.739
-352.2	1	2.2665	2.7397
-352.1	1	2.2657	2.7387
-352	1	2.2651	2.7404
-351.9	1	2.2643	2.7402
-351.8	1	2.263	2.7402
-351.7	1	2.2627	2.7414
-351.6	1	2.2617	2.7414
-351.5	1	2.2614	2.7428
-351.4	1	2.26	2.743
-351.3	1	2.2589	2.7433
-351.2	1	2.2579	2.743
-351.1	1	2.2568	2.7448
-351	1	2.2557	2.7457
-350.9	1	2.255	2.7469
-350.8	1	2.2538	2.7473
-350.7	1	2.2529	2.7484
-350.6	1	2.2523	2.7493
-350.5	1	2.2511	2.7503
-350.4	1	2.2508	2.7527
-350.3	1	2.2504	2.7538
-350.2	1	2.2492	2.7549
-350.1	1	2.2485	2.7559
-350	1	2.2479	2.7568
-349.9	1	2.2463	2.7572
-349.8	1	2.2457	2.7592
-349.7	1	2.2444	2.7598
-349.6	1	2.2432	2.7614
-349.5	1	2.2421	2.7621
-349.4	1	2.2409	2.7635
-349.3	1	2.2394	2.7644
-349.2	1	2.2388	2.7667
-349.1	1	2.2378	2.7681
-349	1	2.2369	2.7694
-348.9	1	2.2354	2.7701
-348.8	1	2.2352	2.7723
-348.7	1	2.2339	2.7735
-348.6	1	2.2329	2.7745
-348.5	1	2.2326	2.7772
-348.4	1	2.2307	2.777
-348.3	1	2.2303	2.78
-348.2	1	2.2296	2.7816
-348.1	1	2.2281	2.7818
-348	1	2.2269	2.7834
-347.9	1	2.2265	2.7859
-347.8	1	2.225	2.7862
-347.7	1	2.2241	2.7883
-347.6	1	2.223	2.7893
-347.5	1	2.222	2.7907
-347.4	1	2.2209	2.7916
-347.3	1	2.2201	2.7938
-347.2	1	2.2192	2.7942
-347.1	1	2.2183	2.7962
-347	1	2.2174	2.7979
-346.9	1	2.217	2.7999
-346.8	1	2.2156	2.8004
-346.7	1	2.2149	2.8028
-346.6	1	2.2142	2.804
-346.5	1	2.2128	2.8047
-346.4	1	2.2117	2.8064
-346.3	1	2.2108	2.808
-346.2	1	2.2096	2.8088
-346.1	1	2.2083	2.8102
-346	1	2.2081	2.8126
-345.9	1	2.2065	2.8127
-345.8	1	2.2062	2.8151
-345.7	1	2.2056	2.8164
-345.6	1	2.2048	2.8172
-345.5	1	2.2038	2.8183
-345.4	1	2.2031	2.8192
-345.3	1	2.2028	2.8207
-345.2	1	2.202	2.8222
-345.1	1	2.2016	2.8234
-345	1	2.2008	2.8245
-344.9	1	2.2001	2.8248
-344.8	1	2.1999	2.8272
-344.7	1	2.1989	2.8267
-344.6	1	2.1989	2.8296
-344.5	1	2.1978	2.8296
-344.4	1	2.1973	2.8307
-344.3	1	2.1964	2.8313
-344.2	1	2.1959	2.8329
-344.1	1	2.1954	2.8338
-344	1	2.1952	2.8356
-343.9	1	2.1939	2.8354
-343.8	1	2.1937	2.8371
-343.7	1	2.1935	2.8387
-343.6	1	2.1929	2.8396
-343.5	1	2.192	2.8396
-343.4	1	2.1917	2.8418
-343.3	1	2.1908	2.8417
-343.2	1	2.1906	2.8436
-343.1	1	2.1897	2.8438
-343	1	2.1897	2.8454
-342.9	1	2.1883	2.8448
-342.8	1	2.1882	2.8467
-342.7	1	2.1875	2.8483
-342.6	1	2.1874	2.8489
-342.5	1	2.1866	2.8497
-342.4	1	2.1861	2.8505
-342.3	1	2.1856	2.8508
-342.2	1	2.1855	2.8529
-342.1	1	2.1845	2.8529
-342	1	2.1842	2.8541
-341.9	1	2.1836	2.8539
-341.8	1	2.1832	2.8552
-341.7	1	2.1819	2.8547
-341.6	1	2.182	2.8557
-341.5	1	2.181	2.8563
-341.4	1	2.1808	2.8571
-341.3	1	2.1803	2.8575
-341.2	1	2.1796	2.8577
-341.1	1	2.1791	2.8587
-341	1	2.1784	2.8587
-340.9	1	2.1778	2.8579
-340.8	1	2.1776	2.8599
-340.7	1	2.1771	2.8593
-340.6	1	2.1773	2.8602
-340.5	1	2.1757	2.8594
-340.4	1	2.1763	2.8606
-340.3	1	2.1758	2.8607
-340.2	1	2.1752	2.8602
-340.1	1	2.1749	2.8604
-340	1	2.1745	2.8615
-339.9	1	2.1743	2.8609
-339.8	1	2.1735	2.8615
-339.7	1	2.1729	2.8608
-339.6	1	2.1726	2.8611
-339.5	1	2.1715	2.86
-339.4	1	2.1715	2.8608
-339.3	1	2.1714	2.8609
-339.2	1	2.1709	2.8601
-339.1	1	2.1704	2.86
-339	1	2.1706	2.8605
-338.9	1	2.1699	2.8592
-338.8	1	2.1702	2.8601
