[KWnZOT]	[mm]
317.3	0
319.3	0.000584
321.3	0.0021
323.3	0.0079
325.3	0.01848
327.3	0.03457
329.3	0.05663
331.3	0.0848
333.3	0.11894
335.3	0.1586
337.3	0.20312
339.3	0.2515
341.3	0.3022
343.3	0.35323
345.3	0.40415
347.3	0.45547
349.3	0.51137
351.3	0.57836
353.3	0.66205
355.3	0.76624
357.3	0.89337
359.3	1.0451
361.3	1.22262
363.3	1.42673
365.3	1.65793
367.3	1.91637
369.3	2.20175
371.3	2.51297
373.3	2.8475
375.3	3.19958
377.3	3.56183
379.3	3.92847
381.3	4.2958
383.3	4.66132
385.3	5.0232
387.3	5.38006
389.3	5.73082
391.3	6.07459
393.3	6.41066
395.3	6.73842
397.3	7.05736
399.3	7.36704
401.3	7.66709
403.3	7.95717
405.3	8.237
407.3	8.50634
409.3	8.76497
411.3	9.01268
413.3	9.24922
415.3	9.47447
417.3	9.68828
419.3	9.89052
421.3	10.08108
423.3	10.25988
425.3	10.42685
427.3	10.58191
429.3	10.72501
431.3	10.85611
433.3	10.97517
435.3	11.08215
437.3	11.17703
439.3	11.25977
441.3	11.33036
443.3	11.38875
445.3	11.43494
447.3	11.46889
449.3	11.49058
451.3	11.5
453.3	11.49713
455.3	11.48197
457.3	11.45449
459.3	11.41471
461.3	11.36261
463.3	11.29821
465.3	11.22151
467.3	11.13252
469.3	11.03127
471.3	10.91779
473.3	10.7921
475.3	10.65424
477.3	10.50427
479.3	10.34224
481.3	10.16821
483.3	9.98225
485.3	9.78445
487.3	9.5749
489.3	9.3537
491.3	9.12098
493.3	8.87688
495.3	8.62166
497.3	8.35552
499.3	8.07872
501.3	7.7915
503.3	7.4942
505.3	7.18716
507.3	6.8708
509.3	6.5456
511.3	6.21213
513.3	5.87105
515.3	5.52316
517.3	5.1694
519.3	4.81095
521.3	4.44924
523.3	4.0861
525.3	3.72398
527.3	3.36617
529.3	3.0171
531.3	2.68287
533.3	2.37027
535.3	2.08336
537.3	1.82346
539.3	1.59079
541.3	1.38519
543.3	1.20627
545.3	1.05339
547.3	0.92568
549.3	0.82186
551.3	0.74001
553.3	0.67654
555.3	0.62437
557.3	0.57788
559.3	0.53422
561.3	0.49178
563.3	0.44976
565.3	0.40779
567.3	0.36573
569.3	0.32356
571.3	0.28132
573.3	0.23902
575.3	0.19679
577.3	0.15487
579.3	0.11494
581.3	0.07999
583.3	0.05146
585.3	0.0298
587.3	0.01493
589.3	0.00611
591.3	0.00244
593.3	0
