 	 1kHz	 0.5kHz 	 0.25kHz 	 roh
[KWnZOT]	[bar]	[bar]	[bar]	[bar]
-360	1.4896	1.4896	1.484	1.4891
-359.9	1.4843	1.4857	1.481	1.4828
-359.8	1.479	1.4817	1.4779	1.4767
-359.7	1.4739	1.4776	1.4748	1.4712
-359.6	1.4692	1.4735	1.4715	1.4664
-359.5	1.4649	1.4694	1.4682	1.4622
-359.4	1.461	1.4653	1.4648	1.4581
-359.3	1.4575	1.4613	1.4614	1.4547
-359.2	1.4543	1.4572	1.4579	1.4521
-359.1	1.4513	1.4532	1.4543	1.4502
-359	1.4485	1.4492	1.4507	1.4487
-358.9	1.4455	1.4453	1.4471	1.4471
-358.8	1.4424	1.4413	1.4434	1.4453
-358.7	1.439	1.4374	1.4397	1.443
-358.6	1.4352	1.4334	1.436	1.4399
-358.5	1.431	1.4294	1.4323	1.4358
-358.4	1.4264	1.4255	1.4285	1.4297
-358.3	1.4216	1.4216	1.4247	1.423
-358.2	1.4167	1.4176	1.421	1.4161
-358.1	1.4118	1.4138	1.4172	1.4095
-358	1.4072	1.41	1.4134	1.4036
-357.9	1.4029	1.4063	1.4097	1.3988
-357.8	1.3992	1.4027	1.4059	1.3951
-357.7	1.3959	1.3991	1.4022	1.3925
-357.6	1.3931	1.3956	1.3985	1.3909
-357.5	1.3907	1.3922	1.3948	1.3898
-357.4	1.3885	1.3889	1.3911	1.388
-357.3	1.3865	1.3855	1.3875	1.3864
-357.2	1.3845	1.3822	1.3839	1.3848
-357.1	1.3823	1.3788	1.3803	1.3833
-357	1.3798	1.3755	1.3767	1.3817
-356.9	1.377	1.3721	1.3732	1.3797
-356.8	1.3736	1.3686	1.3697	1.3772
-356.7	1.3697	1.3651	1.3662	1.374
-356.6	1.3653	1.3615	1.3628	1.3699
-356.5	1.3604	1.3579	1.3594	1.3647
-356.4	1.3552	1.3543	1.356	1.3575
-356.3	1.3499	1.3507	1.3527	1.3499
-356.2	1.3447	1.3472	1.3494	1.3425
-356.1	1.3398	1.3438	1.3462	1.3357
-356	1.3354	1.3405	1.343	1.3302
-355.9	1.3316	1.3373	1.3399	1.3262
-355.8	1.3286	1.3342	1.3369	1.3238
-355.7	1.3263	1.3313	1.3339	1.3227
-355.6	1.3245	1.3285	1.331	1.3226
-355.5	1.3233	1.3259	1.3281	1.3231
-355.4	1.3224	1.3233	1.3253	1.3226
-355.3	1.3216	1.3208	1.3225	1.3221
-355.2	1.3208	1.3183	1.3198	1.3217
-355.1	1.3197	1.3159	1.3172	1.3212
-355	1.3184	1.3135	1.3146	1.3205
-354.9	1.3165	1.311	1.3121	1.3198
-354.8	1.3141	1.3086	1.3096	1.3185
-354.7	1.3111	1.3061	1.3071	1.3163
-354.6	1.3075	1.3035	1.3047	1.313
-354.5	1.3035	1.301	1.3024	1.3085
-354.4	1.2991	1.2985	1.3001	1.3016
-354.3	1.2946	1.2961	1.2979	1.2942
-354.2	1.2904	1.2937	1.2957	1.287
-354.1	1.2866	1.2915	1.2936	1.2808
-354	1.2835	1.2894	1.2916	1.2762
-353.9	1.2812	1.2874	1.2896	1.2737
-353.8	1.2798	1.2856	1.2876	1.2731
-353.7	1.2791	1.284	1.2858	1.2744
-353.6	1.2791	1.2825	1.2839	1.277
-353.5	1.2795	1.2811	1.2822	1.2802
-353.4	1.2801	1.2798	1.2804	1.2827
-353.3	1.2805	1.2786	1.2788	1.2846
-353.2	1.2805	1.2773	1.2771	1.2858
-353.1	1.2801	1.2761	1.2755	1.2859
-353	1.279	1.2748	1.2739	1.2848
-352.9	1.2774	1.2735	1.2724	1.282
-352.8	1.2752	1.2722	1.2709	1.2783
-352.7	1.2727	1.2708	1.2694	1.2739
-352.6	1.2699	1.2694	1.268	1.2694
-352.5	1.2673	1.2681	1.2666	1.2651
-352.4	1.2648	1.2667	1.2652	1.261
-352.3	1.2628	1.2654	1.2639	1.2578
-352.2	1.2614	1.2641	1.2625	1.2559
-352.1	1.2605	1.2629	1.2613	1.2553
-352	1.2601	1.2616	1.26	1.2559
-351.9	1.2602	1.2605	1.2588	1.2569
-351.8	1.2606	1.2593	1.2575	1.2588
-351.7	1.261	1.2581	1.2564	1.2611
-351.6	1.2613	1.2568	1.2552	1.2634
-351.5	1.2611	1.2555	1.254	1.2654
-351.4	1.2603	1.2542	1.2529	1.2664
-351.3	1.2587	1.2528	1.2518	1.266
-351.2	1.2563	1.2513	1.2507	1.2641
-351.1	1.2531	1.2498	1.2496	1.2605
-351	1.2492	1.2482	1.2486	1.2552
-350.9	1.245	1.2467	1.2476	1.2475
-350.8	1.2408	1.2453	1.2466	1.2393
-350.7	1.237	1.244	1.2456	1.2318
-350.6	1.2339	1.2428	1.2447	1.2257
-350.5	1.2318	1.2419	1.2438	1.2219
-350.4	1.2309	1.2411	1.2429	1.2213
-350.3	1.2313	1.2406	1.2421	1.2232
-350.2	1.2327	1.2402	1.2413	1.2273
-350.1	1.235	1.24	1.2405	1.2327
-350	1.2378	1.2399	1.2398	1.2388
-349.9	1.2409	1.2398	1.239	1.2432
-349.8	1.2439	1.2397	1.2383	1.2471
-349.7	1.2465	1.2396	1.2377	1.2502
-349.6	1.2484	1.2394	1.237	1.2525
-349.5	1.2494	1.239	1.2363	1.2539
-349.4	1.2494	1.2384	1.2357	1.2548
-349.3	1.2484	1.2377	1.235	1.2545
-349.2	1.2462	1.2368	1.2344	1.2527
-349.1	1.2431	1.2357	1.2337	1.2494
-349	1.2392	1.2345	1.2331	1.2445
-348.9	1.2349	1.2333	1.2325	1.2369
-348.8	1.2304	1.232	1.2319	1.2288
-348.7	1.2262	1.2307	1.2313	1.2211
-348.6	1.2225	1.2296	1.2308	1.2148
-348.5	1.2198	1.2286	1.2303	1.2106
-348.4	1.2182	1.2277	1.2298	1.2094
-348.3	1.2176	1.227	1.2293	1.2106
-348.2	1.2181	1.2265	1.2289	1.2137
-348.1	1.2195	1.2262	1.2285	1.218
-348	1.2215	1.226	1.2282	1.2228
-347.9	1.2238	1.226	1.2278	1.2259
-347.8	1.2262	1.226	1.2275	1.2286
-347.7	1.2285	1.2261	1.2272	1.2309
-347.6	1.2304	1.2261	1.227	1.2327
-347.5	1.2319	1.2262	1.2267	1.2343
-347.4	1.2327	1.2262	1.2265	1.236
-347.3	1.2328	1.2261	1.2263	1.2371
-347.2	1.2322	1.226	1.2261	1.2373
-347.1	1.2308	1.2258	1.2259	1.2364
-347	1.2289	1.2255	1.2257	1.2341
-346.9	1.2265	1.2252	1.2256	1.2292
