Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	V0 [m3]	V1 [m3]	V2 [m3]	T_Zone_0 [K]	T_Zone_1 [K]	T_Zone_2 [K]	T_mittel [K]	T_BurnAdiabat_0 [K]	T_BurnAdiabat_1 [K]	Lambda z1 [-]	Lambda z0 [-]	Lambda z2 [-]	p_soll [bar]	p_soll_roh [bar]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	dQKrst [J/s]	dQKrst [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	Alpha [W/(m^2K)]	Wandwärmestromdichte [MW/m^2]	PQw [W]	Brennraumfläche [m^2]	Gesamtmasse [kg]	m_0[kg]	m_1[kg]	m_2[kg]	Z0_O2 [kg]	Z0_CO2 [kg]	Z0_H2O [kg]	Z0_H [kg]	Z0_O [kg]	Z0_N [kg]	Z0_H2 [kg]	Z0_OH [kg]	Z0_CO [kg]	Z0_NO [kg]	Z0_N2 [kg]	Z0_Ar [kg]	Z0_Diesel [kg]	Z0_RON_95 [kg]	Z1_O2 [kg]	Z1_CO2 [kg]	Z1_H2O [kg]	Z1_H [kg]	Z1_O [kg]	Z1_N [kg]	Z1_H2 [kg]	Z1_OH [kg]	Z1_CO [kg]	Z1_NO [kg]	Z1_N2 [kg]	Z1_Ar [kg]	Z1_Diesel [kg]	Z1_RON_95 [kg]	Z2_O2 [kg]	Z2_CO2 [kg]	Z2_H2O [kg]	Z2_H [kg]	Z2_O [kg]	Z2_N [kg]	Z2_H2 [kg]	Z2_OH [kg]	Z2_CO [kg]	Z2_NO [kg]	Z2_N2 [kg]	Z2_Ar [kg]	Z2_Diesel [kg]	Z2_RON_95 [kg]	 mDieseldampf [kg]	m_Diesel_Z0 [kg]	TKrstVap [K]	mkrstFl [kg]	m_a [kg]	sumdma [kg]	s00 [kg]	dm_a [kg]
-130.0	 0.0	 0.00166397962081229	 0.9990056111303849	 4.971944348075065E-4	 3.3152262053923046E-4	 391.2392895955832	 391.2392895955832	 391.2392895955832	 391.2392895955832	 1247.6935703972476	 1247.6935703972476	 2.1319277079731096	 2.1319277079731096	 NaN	 2.6797641215488586	 2.6797960189393946	 2.6797641215488586	 0.0	 0.0	 0.0	 0.0	 0.0	 2.000000002E-6	 0.0	 0.0	 0.0	 0.0	 0.0	 4.965595415808111E-4	 0.0	 4251.998393145476	 186.19761046446268	 -0.015251578548749003	 -1191.3223651194119	 0.07811141393079794	 0.0040225711753477675	 0.004018571175343767	 2.000000002E-6	 2.000000002E-6	 0.19706767072734893	 0.026796625822144624	 0.009656706376154848	 6.246398457721316E-10	 7.25079514488889E-7	 8.760223926968795E-14	 2.4788696052826193E-8	 2.1517777390422744E-5	 1.1750558806016401E-6	 3.6440477551165525E-4	 0.7428851018738989	 0.0	 0.0	 0.023206047098732016	 0.19706767072734893	 0.026796625822144624	 0.009656706376154848	 6.246398457721316E-10	 7.25079514488889E-7	 8.760223926968795E-14	 2.4788696052826193E-8	 2.1517777390422744E-5	 1.1750558806016401E-6	 3.6440477551165525E-4	 0.7428851018738989	 0.0	 0.0	 0.023206047098732016	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.8	 2.6147892479866122E-5	 0.0016620534206422933	 0.9990054572501786	 4.971943582229695E-4	 3.3148457563358333E-4	 391.4178075217695	 391.4178075217695	 391.3729494428325	 391.41778580577636	 1247.8427015175307	 1247.8427015175307	 2.1319277079731096	 2.1319277079731096	 NaN	 2.68373687504385	 2.6836960189393944	 2.684094350736646	 0.0	 0.0	 0.0	 0.0	 0.0	 2.000000002E-6	 -1192.6364493591082	 -0.1559246482270563	 0.0	 0.0	 -0.031184929645411256	 4.965595415808111E-4	 0.0	 4251.998393145476	 186.5538263062157	 -0.015248105823952248	 -1190.0881252153374	 0.07804825982686361	 0.0040225711753477675	 0.004018571175343767	 2.0000000020000006E-6	 2.000000002E-6	 0.1970676707273489	 0.02679662582214462	 0.009656706376154846	 6.246398457721316E-10	 7.25079514488889E-7	 8.760223926968794E-14	 2.4788696052826196E-8	 2.151777739042274E-5	 1.17505588060164E-6	 3.644047755116552E-4	 0.7428851018738988	 0.0	 0.0	 0.023206047098732013	 0.1970676707273489	 0.026796625822144617	 0.009656706376154846	 6.246398457721317E-10	 7.25079514488889E-7	 8.760223926968795E-14	 2.4788696052826196E-8	 2.151777739042274E-5	 1.17505588060164E-6	 3.644047755116552E-4	 0.7428851018738989	 0.0	 0.0	 0.023206047098732013	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.6	 5.2295784959732244E-5	 0.0016601198990815207	 0.9990052484651655	 4.971942543128958E-4	 3.315002849776193E-4	 391.5172890551457	 391.5172890551457	 391.49105361449597	 391.5172763531165	 1247.92588497922	 1247.92588497922	 2.131927707973109	 2.1319277079731096	 NaN	 2.687695121683466	 2.6876960189393944	 2.6879040203107016	 -9375.609472983026	 -1.2257621421638722	 -0.24515242843277443	 0.0	 0.0	 2.000000002E-6	 -1191.2828518815995	 -0.15574767962054173	 0.0	 0.0	 -0.062334465569519604	 4.965595415808111E-4	 -5.765581398807149E-5	 4251.998393145476	 186.90085895064675	 -0.015257588321342826	 -1189.8609757999207	 0.07798486567733008	 0.004022571175347767	 0.004018571175343766	 2.000000002000001E-6	 2.000000002E-6	 0.1970676707273489	 0.026796625822144628	 0.009656706376154846	 6.246398457721318E-10	 7.250795144888891E-7	 8.760223926968794E-14	 2.4788696052826203E-8	 2.151777739042274E-5	 1.1750558806016401E-6	 3.644047755116552E-4	 0.7428851018738988	 0.0	 0.0	 0.023206047098732013	 0.19706767072734893	 0.026796625822144624	 0.009656706376154848	 6.246398457721319E-10	 7.250795144888893E-7	 8.760223926968795E-14	 2.4788696052826203E-8	 2.151777739042274E-5	 1.17505588060164E-6	 3.644047755116553E-4	 0.7428851018738989	 0.0	 0.0	 0.023206047098732016	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.4	 7.844367743959836E-5	 0.0016581790640955757	 0.9990050386965907	 4.97194149913314E-4	 3.3151579460861784E-4	 391.6176478170469	 391.6176478170469	 391.6098089454242	 391.617644021414	 1248.0098039223253	 1248.0098039223253	 2.13192770797311	 2.13192770797311	 NaN	 2.691619241445787	 2.6915960189393946	 2.6917404787389967	 -9375.609472983026	 -1.2257621421638722	 -0.49030485686554887	 0.0	 0.0	 2.000000002E-6	 -1191.079947859949	 -0.15572115205783246	 0.0	 0.0	 -0.0934786959810861	 4.965595415808111E-4	 -1.1531162797614298E-4	 4251.998393145476	 187.24956492129638	 -0.015267264211681864	 -1189.6440327256405	 0.07792123174336468	 0.004022571175347766	 0.004018571175343765	 2.0000000020000014E-6	 2.000000002E-6	 0.1970676707273489	 0.026796625822144624	 0.009656706376154846	 6.246398457721318E-10	 7.250795144888891E-7	 8.760223926968795E-14	 2.4788696052826206E-8	 2.151777739042274E-5	 1.1750558806016401E-6	 3.644047755116552E-4	 0.7428851018738988	 0.0	 0.0	 0.023206047098732013	 0.19706767072734893	 0.026796625822144628	 0.009656706376154848	 6.24639845772132E-10	 7.250795144888894E-7	 8.760223926968796E-14	 2.4788696052826203E-8	 2.1517777390422737E-5	 1.17505588060164E-6	 3.6440477551165525E-4	 0.7428851018738989	 0.0	 0.0	 0.023206047098732016	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.2	 1.0459156991946449E-4	 0.0016562309237494537	 0.9990048279392	 4.971940450216092E-4	 3.315311038586466E-4	 391.7188864737476	 391.7188864737476	 391.72921725731686	 391.7188914765113	 1248.0944579953702	 1248.0944579953702	 2.1319277079731096	 2.13192770797311	 NaN	 2.6955562093130263	 2.6954960189393944	 2.695603876261865	 -9375.609472983026	 -1.2257621421638722	 -0.7354572852983233	 0.0	 0.0	 2.000000002E-6	 -1190.8645642086335	 -0.15569299291504987	 0.0	 0.0	 -0.12461729456409608	 4.965595415808111E-4	 -1.7296744196421447E-4	 4251.998393145476	 187.59994918007135	 -0.0152768417477538	 -1189.4145414852317	 0.07785735828939347	 0.004022571175347765	 0.004018571175343764	 2.000000002000002E-6	 2.000000002E-6	 0.1970676707273489	 0.026796625822144628	 0.009656706376154846	 6.246398457721317E-10	 7.250795144888891E-7	 8.760223926968794E-14	 2.4788696052826206E-8	 2.151777739042274E-5	 1.17505588060164E-6	 3.6440477551165514E-4	 0.7428851018738987	 0.0	 0.0	 0.02320604709873201	 0.1970676707273489	 0.026796625822144624	 0.009656706376154846	 6.246398457721318E-10	 7.250795144888893E-7	 8.760223926968796E-14	 2.4788696052826203E-8	 2.1517777390422737E-5	 1.1750558806016401E-6	 3.6440477551165525E-4	 0.7428851018738988	 0.0	 0.0	 0.023206047098732016	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.0	 1.307394623993306E-4	 0.001654275486208241	 0.9990046161876875	 4.971939396351405E-4	 3.3154621206432427E-4	 391.8210076743781	 391.8210076743781	 391.8492803566273	 391.82102136710716	 1248.1798494440632	 1248.1798494440632	 2.131927707973109	 2.1319277079731096	 NaN	 2.699499221062348	 2.6994960189393944	 2.699494364183494	 -9375.609472983026	 -1.2257621421638722	 -0.9806097137310977	 0.0	 0.0	 2.000000002E-6	 -1190.6365983103829	 -0.1556631887760672	 0.0	 0.0	 -0.15574993231930953	 4.965595415808111E-4	 -2.3062325595228595E-4	 4251.998393145476	 187.95201672940502	 -0.015286319404103693	 -1189.1723994655154	 0.0777932455831242	 0.004022571175347764	 0.004018571175343763	 2.000000002000002E-6	 2.000000002E-6	 0.19706767072734888	 0.026796625822144628	 0.009656706376154846	 6.246398457721317E-10	 7.250795144888892E-7	 8.760223926968794E-14	 2.478869605282621E-8	 2.151777739042274E-5	 1.1750558806016397E-6	 3.6440477551165514E-4	 0.7428851018738987	 0.0	 0.0	 0.02320604709873201	 0.19706767072734893	 0.02679662582214463	 0.009656706376154848	 6.24639845772132E-10	 7.250795144888895E-7	 8.760223926968797E-14	 2.4788696052826206E-8	 2.151777739042274E-5	 1.1750558806016403E-6	 3.644047755116553E-4	 0.7428851018738989	 0.0	 0.0	 0.023206047098732023	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.8	 1.5688735487919673E-4	 0.0016523127597378043	 0.9990044034367048	 4.971938337512462E-4	 3.315611185599771E-4	 391.92401408315635	 391.92401408315635	 391.97000005867415	 391.9240363569841	 1248.265981832639	 1248.265981832639	 2.131927707973109	 2.1319277079731096	 NaN	 2.703424896119556	 2.7033960189393946	 2.7034120951035545	 -9375.609472983026	 -1.2257621421638722	 -1.2257621421638722	 0.0	 0.0	 2.000000002E-6	 -1190.3959475094084	 -0.15563172621972185	 0.0	 0.0	 -0.1868762775632539	 4.965595415808111E-4	 -2.8827906994035744E-4	 4251.998393145476	 188.3057726168373	 -0.015295695641550368	 -1188.9175035809842	 0.0777288938955689	 0.004022571175347762	 0.0040185711753437615	 2.0000000020000022E-6	 2.000000002E-6	 0.1970676707273489	 0.02679662582214463	 0.009656706376154844	 6.246398457721318E-10	 7.250795144888893E-7	 8.760223926968795E-14	 2.4788696052826212E-8	 2.151777739042274E-5	 1.17505588060164E-6	 3.644047755116552E-4	 0.7428851018738988	 0.0	 0.0	 0.023206047098732013	 0.19706767072734893	 0.02679662582214463	 0.009656706376154848	 6.24639845772132E-10	 7.250795144888896E-7	 8.760223926968797E-14	 2.4788696052826206E-8	 2.1517777390422737E-5	 1.1750558806016403E-6	 3.6440477551165525E-4	 0.7428851018738989	 0.0	 0.0	 0.023206047098732023	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.6	 1.8303524735906285E-4	 0.0016503427527054867	 0.9990041896808591	 4.971937273672422E-4	 3.315758226776387E-4	 392.02790837944553	 392.02790837944553	 392.0913781876649	 392.027939125067	 1248.3528561266685	 1248.3528561266685	 2.1319277079731087	 2.13192770797311	 NaN	 2.707365274943854	 2.7073960189393946	 2.707357222928329	 -9375.609472983026	 -1.2257621421638722	 -1.4709145705966467	 0.0	 0.0	 2.000000002E-6	 -1190.142508668467	 -0.15559859176190605	 0.0	 0.0	 -0.2179959959156351	 4.965595415808111E-4	 -3.4593488392842893E-4	 4251.998393145476	 188.66122193522057	 -0.01530496890693597	 -1188.649750262664	 0.07766430350106668	 0.0040225711753477614	 0.004018571175343761	 2.0000000020000027E-6	 2.000000002E-6	 0.1970676707273489	 0.026796625822144628	 0.009656706376154846	 6.246398457721318E-10	 7.250795144888893E-7	 8.760223926968794E-14	 2.4788696052826212E-8	 2.1517777390422744E-5	 1.1750558806016397E-6	 3.6440477551165514E-4	 0.7428851018738987	 0.0	 0.0	 0.02320604709873201	 0.1970676707273489	 0.026796625822144628	 0.009656706376154846	 6.24639845772132E-10	 7.250795144888896E-7	 8.760223926968796E-14	 2.4788696052826206E-8	 2.1517777390422733E-5	 1.17505588060164E-6	 3.6440477551165525E-4	 0.7428851018738988	 0.0	 0.0	 0.023206047098732023	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.4	 2.0918313983892898E-4	 0.0016483654735808006	 0.9990039749147135	 4.971936204804228E-4	 3.315903237470499E-4	 392.13269325781147	 392.13269325781147	 392.21341657671934	 392.1327323654793	 1248.4404772217576	 1248.4404772217576	 2.1319277079731096	 2.13192770797311	 NaN	 2.711319472970891	 2.7112960189393944	 2.7113299028819626	 -9375.609472983026	 -1.2257621421638722	 -1.716066999029421	 0.0	 0.0	 2.000000002E-6	 -1189.8761781668536	 -0.15556377185530457	 0.0	 0.0	 -0.24910875028669602	 4.965595415808111E-4	 -4.035906979165004E-4	 4251.998393145476	 189.01836982292895	 -0.015314137632991663	 -1188.3690354561227	 0.07759947467730648	 0.00402257117534776	 0.004018571175343759	 2.000000002000003E-6	 2.000000002E-6	 0.19706767072734896	 0.02679662582214463	 0.009656706376154844	 6.246398457721318E-10	 7.250795144888893E-7	 8.760223926968795E-14	 2.4788696052826212E-8	 2.151777739042274E-5	 1.17505588060164E-6	 3.644047755116552E-4	 0.7428851018738988	 0.0	 0.0	 0.023206047098732013	 0.1970676707273489	 0.02679662582214463	 0.009656706376154846	 6.246398457721318E-10	 7.250795144888896E-7	 8.760223926968796E-14	 2.4788696052826206E-8	 2.1517777390422733E-5	 1.1750558806016401E-6	 3.644047755116552E-4	 0.7428851018738988	 0.0	 0.0	 0.02320604709873202	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.2	 2.353310323187951E-4	 0.0016463809309361192	 0.9990037591327868	 4.9719351308806E-4	 3.3160462109565927E-4	 392.2383714280808	 392.2383714280808	 392.3361170678937	 392.2384187876023	 1248.5288434979684	 1248.5288434979684	 2.131927707973109	 2.1319277079731114	 NaN	 2.715291665729001	 2.7152960189393944	 2.715330291517827	 -9375.609472983026	 -1.2257621421638722	 -1.9612194274621955	 0.0	 0.0	 2.000000002E-6	 -1189.596851898407	 -0.15552725288913385	 0.0	 0.0	 -0.2802142008645228	 4.965595415808111E-4	 -4.612465119045719E-4	 4251.998393145476	 189.3772214640685	 -0.015323200238201426	 -1188.0752546194212	 0.07753440770534971	 0.004022571175347759	 0.004018571175343758	 2.000000002000003E-6	 2.000000002E-6	 0.197067670727349	 0.026796625822144635	 0.009656706376154844	 6.246398457721318E-10	 7.250795144888892E-7	 8.760223926968796E-14	 2.4788696052826212E-8	 2.151777739042274E-5	 1.17505588060164E-6	 3.644047755116552E-4	 0.7428851018738987	 0.0	 0.0	 0.023206047098732013	 0.19706767072734893	 0.026796625822144638	 0.009656706376154848	 6.24639845772132E-10	 7.250795144888897E-7	 8.760223926968796E-14	 2.478869605282621E-8	 2.1517777390422733E-5	 1.1750558806016401E-6	 3.6440477551165525E-4	 0.7428851018738988	 0.0	 0.0	 0.02320604709873202	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
