Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	V0 [m3]	V1 [m3]	V2 [m3]	T_Zone_0 [K]	T_Zone_1 [K]	T_Zone_2 [K]	T_mittel [K]	T_BurnAdiabat_0 [K]	T_BurnAdiabat_1 [K]	Lambda z1 [-]	Lambda z0 [-]	Lambda z2 [-]	p_soll [bar]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	dQKrst [J/s]	dQKrst [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	Alpha [W/(m^2K)]	Wandwärmestromdichte [MW/m^2]	PQw [W]	Brennraumfläche [m^2]	Gesamtmasse [kg]	m_0[kg]	m_1[kg]	m_2[kg]	Z0_O2 [kg]	Z0_CO2 [kg]	Z0_H2O [kg]	Z0_H [kg]	Z0_O [kg]	Z0_N [kg]	Z0_H2 [kg]	Z0_OH [kg]	Z0_CO [kg]	Z0_NO [kg]	Z0_N2 [kg]	Z0_Ar [kg]	Z0_Diesel [kg]	Z0_RON_95 [kg]	Z0_AGR_intern_LWA [kg]	Z0_AGR_extern_LWA [kg]	Z0_feuchteLuft_LWA [kg]	Z1_O2 [kg]	Z1_CO2 [kg]	Z1_H2O [kg]	Z1_H [kg]	Z1_O [kg]	Z1_N [kg]	Z1_H2 [kg]	Z1_OH [kg]	Z1_CO [kg]	Z1_NO [kg]	Z1_N2 [kg]	Z1_Ar [kg]	Z1_Diesel [kg]	Z1_RON_95 [kg]	Z1_AGR_intern_LWA [kg]	Z1_AGR_extern_LWA [kg]	Z1_feuchteLuft_LWA [kg]	Z2_O2 [kg]	Z2_CO2 [kg]	Z2_H2O [kg]	Z2_H [kg]	Z2_O [kg]	Z2_N [kg]	Z2_H2 [kg]	Z2_OH [kg]	Z2_CO [kg]	Z2_NO [kg]	Z2_N2 [kg]	Z2_Ar [kg]	Z2_Diesel [kg]	Z2_RON_95 [kg]	Z2_AGR_intern_LWA [kg]	Z2_AGR_extern_LWA [kg]	Z2_feuchteLuft_LWA [kg]	 mDieseldampf [kg]	m_Diesel_Z0 [kg]	TKrstVap [K]	mkrstFl [kg]	m_a [kg]	sumdma [kg]	s00 [kg]	dm_a [kg]
-130.0	 0.0	 0.00166397962081229	 0.9990056120350687	 4.971939824657217E-4	 3.3152231440670716E-4	 391.243585259931	 391.243585259931	 391.243585259931	 391.2435852599311	 1247.6964344174373	 1247.6964344174373	 2.131927628688377	 2.131927628688379	 NaN	 2.6797960189393946	 2.6797960189393946	 0.0	 0.0	 0.0	 0.0	 0.0	 2.000000002E-6	 0.0	 0.0	 0.0	 0.0	 0.0	 4.965590903935252E-4	 0.0	 4251.998393145476	 186.1983333656686	 -0.015250837916558058	 -1191.2645132917746	 0.07811141393079794	 0.004022574835040139	 0.004018574835036138	 2.0000000019999997E-6	 2.000000002E-6	 0.1970675953233505	 0.026796696639693723	 0.009656732353737759	 6.246415261209061E-10	 7.250814650312404E-7	 8.760247492919061E-14	 2.478876273710084E-8	 2.1517835275572264E-5	 1.1750590416291061E-6	 3.6440575579993196E-4	 0.7428851005520071	 0.0	 0.0	 0.02320602598613696	 0.0	 0.0	 0.0	 0.19706759532335041	 0.02679669663969372	 0.009656732353737759	 6.246415261209059E-10	 7.250814650312403E-7	 8.760247492919061E-14	 2.4788762737100834E-8	 2.1517835275572254E-5	 1.175059041629106E-6	 3.6440575579993185E-4	 0.7428851005520071	 0.0	 0.0	 0.023206025986136955	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.8	 2.6147892479866122E-5	 0.0016620534206422933	 0.9990054581551561	 4.971939058814006E-4	 3.31484269376505E-4	 391.42210430568826	 391.42210430568826	 391.37724554566864	 391.4220825893064	 1247.845566512653	 1247.845566512653	 2.1319276286883775	 2.1319276286883793	 NaN	 2.6836960189393944	 2.6841262939058113	 0.0	 0.0	 0.0	 0.0	 0.0	 2.000000002E-6	 -1192.5785329913745	 -0.15591707627227466	 0.0	 0.0	 -0.031183415254454932	 4.965590903935252E-4	 0.0	 4251.998393145476	 186.55455047671146	 -0.01524736343348495	 -1190.0301829312527	 0.07804825982686361	 0.004022574835040139	 0.004018574835036138	 2.000000002E-6	 2.000000002E-6	 0.19706759532335053	 0.026796696639693723	 0.009656732353737759	 6.246415261209061E-10	 7.250814650312404E-7	 8.760247492919062E-14	 2.4788762737100844E-8	 2.1517835275572264E-5	 1.1750590416291061E-6	 3.64405755799932E-4	 0.7428851005520071	 0.0	 0.0	 0.02320602598613696	 0.0	 0.0	 0.0	 0.19706759532335044	 0.026796696639693723	 0.00965673235373776	 6.24641526120906E-10	 7.250814650312404E-7	 8.760247492919061E-14	 2.4788762737100834E-8	 2.1517835275572254E-5	 1.175059041629106E-6	 3.6440575579993196E-4	 0.7428851005520072	 0.0	 0.0	 0.02320602598613696	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.6	 5.2295784959732244E-5	 0.0016601198990815207	 0.9990052461849236	 4.971938003861734E-4	 3.315031656954977E-4	 391.5168635519103	 391.5168635519103	 391.4943929295866	 391.51685267260507	 1247.924810162593	 1247.924810162593	 2.1319276286883766	 2.1319276286883793	 NaN	 2.6876960189393944	 2.687903589697431	 -9929.672557837766	 -1.2982000520130956	 -0.25964001040261914	 0.0	 0.0	 2.000000002E-6	 -1191.2207475837697	 -0.15573956013803075	 0.0	 0.0	 -0.06233132728206109	 4.965590903935252E-4	 -6.106305468533979E-5	 4251.998393145476	 186.90094104090676	 -0.015257657025865793	 -1189.8663337129155	 0.07798486567733008	 0.004022574835040139	 0.004018574835036138	 2.000000002000001E-6	 2.000000002E-6	 0.19706759532335053	 0.02679669663969372	 0.009656732353737757	 6.24641526120906E-10	 7.250814650312403E-7	 8.760247492919062E-14	 2.478876273710084E-8	 2.151783527557226E-5	 1.175059041629106E-6	 3.6440575579993196E-4	 0.742885100552007	 0.0	 0.0	 0.023206025986136955	 0.0	 0.0	 0.0	 0.19706759532335041	 0.026796696639693723	 0.009656732353737763	 6.246415261209059E-10	 7.250814650312403E-7	 8.760247492919061E-14	 2.478876273710083E-8	 2.151783527557225E-5	 1.175059041629106E-6	 3.6440575579993196E-4	 0.7428851005520073	 0.0	 0.0	 0.02320602598613696	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.4	 7.844367743959836E-5	 0.0016581790640955757	 0.9990050332310815	 4.971936944014146E-4	 3.315218623505344E-4	 391.6124988023063	 391.6124988023063	 391.61219170086207	 391.61249865360526	 1248.0047869469076	 1248.0047869469076	 2.131927628688376	 2.13192762868838	 NaN	 2.6915960189393946	 2.6917075902804823	 -9929.672557837766	 -1.2982000520130956	 -0.5192800208052383	 0.0	 0.0	 2.000000002E-6	 -1191.082553356599	 -0.15572149269906377	 0.0	 0.0	 -0.09347562582187384	 4.965590903935252E-4	 -1.2212610937067958E-4	 4251.998393145476	 187.24900269325693	 -0.015268164616159168	 -1189.7141933515793	 0.07792123174336468	 0.004022574835040139	 0.004018574835036138	 2.000000002000002E-6	 2.000000002E-6	 0.19706759532335055	 0.026796696639693723	 0.009656732353737759	 6.24641526120906E-10	 7.250814650312403E-7	 8.760247492919064E-14	 2.4788762737100844E-8	 2.151783527557226E-5	 1.1750590416291061E-6	 3.64405755799932E-4	 0.7428851005520071	 0.0	 0.0	 0.02320602598613696	 0.0	 0.0	 0.0	 0.1970675953233504	 0.026796696639693716	 0.009656732353737759	 6.246415261209059E-10	 7.250814650312402E-7	 8.76024749291906E-14	 2.478876273710083E-8	 2.1517835275572244E-5	 1.175059041629106E-6	 3.644057557999319E-4	 0.7428851005520072	 0.0	 0.0	 0.023206025986136955	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.2	 1.0459156991946449E-4	 0.0016562309237494537	 0.9990048192883905	 4.971935879245167E-4	 3.3154035865864875E-4	 391.7090127095633	 391.7090127095633	 391.7306436836084	 391.709023184572	 1248.085497808402	 1248.085497808402	 2.131927628688376	 2.1319276286883797	 NaN	 2.6954960189393944	 2.6955384450765534	 -9929.672557837766	 -1.2982000520130956	 -0.7789200312078575	 0.0	 0.0	 2.000000002E-6	 -1190.932043831621	 -0.15570181516468218	 0.0	 0.0	 -0.12461598885481028	 4.965590903935252E-4	 -1.831891640560194E-4	 4251.998393145476	 187.59874038160143	 -0.015278577334386452	 -1189.5496696755322	 0.07785735828939347	 0.00402257483504014	 0.004018574835036139	 2.0000000020000022E-6	 2.000000002E-6	 0.19706759532335053	 0.026796696639693723	 0.009656732353737759	 6.24641526120906E-10	 7.250814650312402E-7	 8.760247492919064E-14	 2.478876273710084E-8	 2.1517835275572254E-5	 1.1750590416291061E-6	 3.64405755799932E-4	 0.7428851005520071	 0.0	 0.0	 0.023206025986136955	 0.0	 0.0	 0.0	 0.19706759532335041	 0.026796696639693713	 0.009656732353737759	 6.24641526120906E-10	 7.250814650312402E-7	 8.760247492919061E-14	 2.4788762737100834E-8	 2.1517835275572244E-5	 1.1750590416291061E-6	 3.644057557999319E-4	 0.7428851005520072	 0.0	 0.0	 0.02320602598613696	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.0	 1.307394623993306E-4	 0.001654275486208241	 0.9990046043515595	 4.971934809528464E-4	 3.3155865394177614E-4	 391.80640790726653	 391.80640790726653	 391.84975068527297	 391.80642889866965	 1248.1669462853163	 1248.1669462853163	 2.1319276286883766	 2.1319276286883797	 NaN	 2.6994960189393944	 2.6993963045521374	 -9929.672557837766	 -1.2982000520130956	 -1.0385600416104765	 0.0	 0.0	 2.000000002E-6	 -1190.7691173736282	 -0.15568051424715357	 0.0	 0.0	 -0.15575209170424098	 4.965590903935252E-4	 -2.4425221874135915E-4	 4251.998393145476	 187.95015909400843	 -0.015288893684349176	 -1189.3726610808521	 0.0777932455831242	 0.00402257483504014	 0.004018574835036139	 2.0000000020000027E-6	 2.000000002E-6	 0.19706759532335053	 0.02679669663969372	 0.009656732353737757	 6.246415261209059E-10	 7.250814650312401E-7	 8.760247492919064E-14	 2.4788762737100837E-8	 2.151783527557225E-5	 1.175059041629106E-6	 3.6440575579993196E-4	 0.742885100552007	 0.0	 0.0	 0.02320602598613695	 0.0	 0.0	 0.0	 0.19706759532335041	 0.026796696639693706	 0.009656732353737759	 6.246415261209061E-10	 7.250814650312403E-7	 8.760247492919062E-14	 2.4788762737100837E-8	 2.1517835275572244E-5	 1.1750590416291064E-6	 3.6440575579993196E-4	 0.7428851005520072	 0.0	 0.0	 0.02320602598613696	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.8	 1.5688735487919673E-4	 0.0016523127597378043	 0.9990043884152545	 4.97193373483749E-4	 3.315767475195052E-4	 391.9046870440321	 391.9046870440321	 391.96951452217223	 391.9047184440896	 1248.2491346228142	 1248.2491346228142	 2.131927628688377	 2.13192762868838	 NaN	 2.7033960189393946	 2.703281320463242	 -9929.672557837766	 -1.2982000520130956	 -1.2982000520130956	 0.0	 0.0	 2.000000002E-6	 -1190.5936723358675	 -0.1556575766572361	 0.0	 0.0	 -0.1868836070356882	 4.965590903935252E-4	 -3.0531527342669894E-4	 4251.998393145476	 188.30326386361295	 -0.015299112156291324	 -1189.1830654927767	 0.0777288938955689	 0.00402257483504014	 0.004018574835036139	 2.000000002000003E-6	 2.000000002E-6	 0.19706759532335055	 0.026796696639693723	 0.009656732353737759	 6.24641526120906E-10	 7.250814650312402E-7	 8.760247492919065E-14	 2.478876273710084E-8	 2.151783527557225E-5	 1.1750590416291061E-6	 3.64405755799932E-4	 0.7428851005520071	 0.0	 0.0	 0.023206025986136955	 0.0	 0.0	 0.0	 0.19706759532335041	 0.026796696639693706	 0.009656732353737759	 6.24641526120906E-10	 7.250814650312402E-7	 8.760247492919061E-14	 2.4788762737100834E-8	 2.151783527557224E-5	 1.1750590416291061E-6	 3.644057557999319E-4	 0.7428851005520072	 0.0	 0.0	 0.02320602598613696	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.6	 1.8303524735906285E-4	 0.0016503427527054867	 0.9990041714740979	 4.971932655145481E-4	 3.315946387090773E-4	 392.00385278356396	 392.00385278356396	 392.08993701951516	 392.00389448410795	 1248.3320624674216	 1248.3320624674216	 2.1319276286883766	 2.1319276286883797	 NaN	 2.7073960189393946	 2.7071936458664565	 -9929.672557837766	 -1.2982000520130956	 -1.5578400624157147	 0.0	 0.0	 2.000000002E-6	 -1190.4056065911027	 -0.15563298904286982	 0.0	 0.0	 -0.21801020484426217	 4.965590903935252E-4	 -3.663783281120387E-4	 4251.998393145476	 188.65805976882342	 -0.015309231226643882	 -1188.9807803540778	 0.07766430350106668	 0.00402257483504014	 0.004018574835036139	 2.0000000020000035E-6	 2.000000002E-6	 0.19706759532335053	 0.02679669663969372	 0.009656732353737757	 6.246415261209059E-10	 7.250814650312401E-7	 8.760247492919065E-14	 2.4788762737100837E-8	 2.1517835275572247E-5	 1.175059041629106E-6	 3.6440575579993196E-4	 0.742885100552007	 0.0	 0.0	 0.02320602598613695	 0.0	 0.0	 0.0	 0.19706759532335041	 0.026796696639693703	 0.009656732353737759	 6.246415261209061E-10	 7.250814650312403E-7	 8.760247492919062E-14	 2.4788762737100837E-8	 2.1517835275572244E-5	 1.1750590416291061E-6	 3.6440575579993196E-4	 0.7428851005520072	 0.0	 0.0	 0.02320602598613696	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.4	 2.0918313983892898E-4	 0.0016483654735808006	 0.9990039535226675	 4.971931570425451E-4	 3.3161232682538637E-4	 392.10390780471135	 392.10390780471135	 392.21102001142685	 392.10395969714244	 1248.415736007149	 1248.415736007149	 2.131927628688376	 2.13192762868838	 NaN	 2.7112960189393944	 2.7111334351301375	 -9929.672557837766	 -1.2982000520130956	 -1.8174800728183338	 0.0	 0.0	 2.000000002E-6	 -1190.2048175296509	 -0.15560673798891994	 0.0	 0.0	 -0.24913155244204616	 4.965590903935252E-4	 -4.274413827973785E-4	 4251.998393145476	 189.01455193352845	 -0.015319249357891971	 -1188.7657026230816	 0.07759947467730648	 0.00402257483504014	 0.004018574835036139	 2.000000002000004E-6	 2.000000002E-6	 0.19706759532335055	 0.026796696639693723	 0.009656732353737759	 6.24641526120906E-10	 7.250814650312402E-7	 8.760247492919066E-14	 2.478876273710084E-8	 2.1517835275572247E-5	 1.1750590416291061E-6	 3.64405755799932E-4	 0.7428851005520071	 0.0	 0.0	 0.023206025986136955	 0.0	 0.0	 0.0	 0.19706759532335036	 0.026796696639693703	 0.009656732353737759	 6.24641526120906E-10	 7.250814650312402E-7	 8.760247492919061E-14	 2.478876273710083E-8	 2.151783527557224E-5	 1.1750590416291061E-6	 3.644057557999319E-4	 0.7428851005520072	 0.0	 0.0	 0.02320602598613696	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.2	 2.353310323187951E-4	 0.0016463809309361192	 0.999003734555497	 4.971930480650197E-4	 3.3162981118097954E-4	 392.2048548015263	 392.2048548015263	 392.3327653409723	 392.20491677681036	 1248.5001549142835	 1248.5001549142835	 2.131927628688376	 2.1319276286883797	 NaN	 2.7152960189393944	 2.7151008439457174	 -9929.672557837766	 -1.2982000520130956	 -2.077120083220953	 0.0	 0.0	 2.000000002E-6	 -1189.9912020574077	 -0.1555788100169187	 0.0	 0.0	 -0.2802473144454299	 4.965590903935252E-4	 -4.885044374827183E-4	 4251.998393145476	 189.37274552730835	 -0.015329164998440814	 -1188.5377287716865	 0.07753440770534971	 0.00402257483504014	 0.004018574835036139	 2.0000000020000044E-6	 2.000000002E-6	 0.19706759532335053	 0.02679669663969372	 0.009656732353737757	 6.246415261209059E-10	 7.250814650312401E-7	 8.760247492919065E-14	 2.4788762737100837E-8	 2.1517835275572244E-5	 1.175059041629106E-6	 3.6440575579993196E-4	 0.742885100552007	 0.0	 0.0	 0.02320602598613695	 0.0	 0.0	 0.0	 0.1970675953233504	 0.026796696639693703	 0.009656732353737759	 6.24641526120906E-10	 7.250814650312403E-7	 8.760247492919062E-14	 2.4788762737100837E-8	 2.1517835275572244E-5	 1.1750590416291064E-6	 3.6440575579993196E-4	 0.7428851005520072	 0.0	 0.0	 0.02320602598613696	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
