Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	V0 [m3]	V1 [m3]	V2 [m3]	T_Zone_0 [K]	T_Zone_1 [K]	T_Zone_2 [K]	T_mittel [K]	T_BurnAdiabat_0 [K]	T_BurnAdiabat_1 [K]	Lambda z1 [-]	Lambda z0 [-]	Lambda z2 [-]	p_soll [bar]	p_soll_roh [bar]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	dQKrst [J/s]	dQKrst [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	Alpha [W/(m^2K)]	Wandwärmestromdichte [MW/m^2]	PQw [W]	Brennraumfläche [m^2]	Gesamtmasse [kg]	m_0[kg]	m_1[kg]	m_2[kg]	Z0_O2 [kg]	Z0_CO2 [kg]	Z0_H2O [kg]	Z0_H [kg]	Z0_O [kg]	Z0_N [kg]	Z0_H2 [kg]	Z0_OH [kg]	Z0_CO [kg]	Z0_NO [kg]	Z0_N2 [kg]	Z0_Diesel [kg]	Z0_RON_95 [kg]	Z0_AGR_intern_LWA [kg]	Z0_AGR_extern_LWA [kg]	Z0_feuchteLuft_LWA [kg]	Z1_O2 [kg]	Z1_CO2 [kg]	Z1_H2O [kg]	Z1_H [kg]	Z1_O [kg]	Z1_N [kg]	Z1_H2 [kg]	Z1_OH [kg]	Z1_CO [kg]	Z1_NO [kg]	Z1_N2 [kg]	Z1_Diesel [kg]	Z1_RON_95 [kg]	Z1_AGR_intern_LWA [kg]	Z1_AGR_extern_LWA [kg]	Z1_feuchteLuft_LWA [kg]	Z2_O2 [kg]	Z2_CO2 [kg]	Z2_H2O [kg]	Z2_H [kg]	Z2_O [kg]	Z2_N [kg]	Z2_H2 [kg]	Z2_OH [kg]	Z2_CO [kg]	Z2_NO [kg]	Z2_N2 [kg]	Z2_Diesel [kg]	Z2_RON_95 [kg]	Z2_AGR_intern_LWA [kg]	Z2_AGR_extern_LWA [kg]	Z2_feuchteLuft_LWA [kg]	 mDieseldampf [kg]	m_Diesel_Z0 [kg]	TKrstVap [K]	mkrstFl [kg]	m_a [kg]	sumdma [kg]	s00 [kg]	dm_a [kg]
-130.0	 0.0	 0.00166397962081229	 0.9989828086861685	 5.085956569157528E-4	 3.3924374618434633E-4	 388.5314691113048	 388.5314691113048	 388.5314691113048	 388.5314691113048	 1276.9003896114427	 1276.9003896114427	 2.0830553306323343	 2.0830553306323343	 NaN	 2.600648293684542	 2.6006867045454545	 2.600648293684542	 0.0	 0.0	 0.0	 0.0	 0.0	 2.000000002E-6	 0.0	 0.0	 0.0	 0.0	 0.0	 5.08020383754894E-4	 0.0	 4288.552396569836	 180.5736147467285	 -0.015279873997129394	 -1193.5325626002102	 0.07811141393079794	 0.003932396934194217	 0.003928396934190216	 2.000000002E-6	 2.000000002E-6	 0.19607203230498801	 0.02758551032923906	 0.009943587974585577	 6.405717114936435E-10	 7.273251559497462E-7	 8.864418984723455E-14	 2.575593468628111E-8	 2.1868849969917316E-5	 1.2211302120381833E-6	 3.654345378363919E-4	 0.7423360400307691	 0.0	 0.02367355112064903	 0.0	 0.0	 0.0	 0.19607203230498801	 0.02758551032923906	 0.009943587974585577	 6.405717114936435E-10	 7.273251559497462E-7	 8.864418984723455E-14	 2.575593468628111E-8	 2.1868849969917316E-5	 1.2211302120381833E-6	 3.654345378363919E-4	 0.7423360400307691	 0.0	 0.02367355112064903	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.8	 2.6149943777620877E-5	 0.0016620534206422933	 0.9989826511549292	 5.085955767144686E-4	 3.392050909617668E-4	 388.70899164099643	 388.70899164099643	 388.66476137651307	 388.70896980896896	 1277.0479580245953	 1277.0479580245953	 2.0830553306323343	 2.0830553306323343	 NaN	 2.604710300876435	 2.604686704545455	 2.6048522985022147	 0.0	 0.0	 0.0	 0.0	 0.0	 2.000000002E-6	 -1194.8616928323588	 -0.15622783044799543	 0.0	 0.0	 -0.031245566089599087	 5.08020383754894E-4	 0.0	 4288.552396569836	 180.9209803433101	 -0.015277793892893373	 -1192.4052273338123	 0.07804825982686361	 0.003932396934194217	 0.003928396934190216	 2.000000002000001E-6	 2.000000002E-6	 0.19607203230498801	 0.02758551032923906	 0.00994358797458558	 6.405717114936434E-10	 7.273251559497461E-7	 8.864418984723457E-14	 2.575593468628111E-8	 2.1868849969917316E-5	 1.2211302120381833E-6	 3.6543453783639184E-4	 0.7423360400307691	 0.0	 0.02367355112064903	 0.0	 0.0	 0.0	 0.19607203230498801	 0.02758551032923906	 0.009943587974585577	 6.405717114936434E-10	 7.273251559497462E-7	 8.864418984723457E-14	 2.5755934686281113E-8	 2.1868849969917316E-5	 1.2211302120381833E-6	 3.654345378363919E-4	 0.7423360400307691	 0.0	 0.02367355112064903	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.6	 5.2299887555241754E-5	 0.0016601198990815207	 0.9989824926010933	 5.085954959925667E-4	 3.391662548091326E-4	 388.887401535626	 388.887401535626	 388.7986933822794	 388.8873577449161	 1277.1962682130847	 1277.1962682130847	 2.0830553306323343	 2.0830553306323343	 NaN	 2.608728431368907	 2.608786704545455	 2.609083521760883	 0.0	 0.0	 0.0	 0.0	 0.0	 2.000000002E-6	 -1193.685163070674	 -0.15607399951239165	 0.0	 0.0	 -0.062460365992077424	 5.08020383754894E-4	 0.0	 4288.552396569836	 181.2700039388669	 -0.015274933862393335	 -1191.2136654888452	 0.07798486567733008	 0.003932396934194217	 0.003928396934190216	 2.000000002000002E-6	 2.000000002E-6	 0.19607203230498801	 0.02758551032923906	 0.009943587974585581	 6.405717114936434E-10	 7.27325155949746E-7	 8.864418984723458E-14	 2.575593468628111E-8	 2.1868849969917316E-5	 1.2211302120381833E-6	 3.654345378363918E-4	 0.7423360400307691	 0.0	 0.02367355112064903	 0.0	 0.0	 0.0	 0.19607203230498801	 0.02758551032923906	 0.00994358797458558	 6.405717114936434E-10	 7.273251559497462E-7	 8.864418984723458E-14	 2.5755934686281117E-8	 2.1868849969917316E-5	 1.2211302120381836E-6	 3.654345378363919E-4	 0.7423360400307691	 0.0	 0.02367355112064903	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.4	 7.844983133286262E-5	 0.0016581790640955757	 0.9989822975467042	 5.085953966877395E-4	 3.3916272773342214E-4	 389.0155927350788	 389.0155927350788	 388.9228867299479	 389.01554696603625	 1277.3028835649957	 1277.3028835649957	 2.0830553306323343	 2.0830553306323343	 NaN	 2.612785261167187	 2.6127867045454547	 2.6129989180508395	 -5861.2392183190605	 -0.7663553801311498	 -0.15327107602622997	 0.0	 0.0	 2.000000002E-6	 -1192.4492982615818	 -0.15591241053601915	 0.0	 0.0	 -0.09364284809928125	 5.08020383754894E-4	 -3.573958339621141E-5	 4288.552396569836	 181.6138812887062	 -0.015280448486251739	 -1190.6713676397678	 0.07792123174336468	 0.003932396934194217	 0.003928396934190216	 2.0000000020000027E-6	 2.000000002E-6	 0.19607203230498801	 0.02758551032923906	 0.009943587974585581	 6.405717114936434E-10	 7.27325155949746E-7	 8.864418984723459E-14	 2.575593468628111E-8	 2.1868849969917316E-5	 1.2211302120381833E-6	 3.654345378363918E-4	 0.7423360400307691	 0.0	 0.02367355112064903	 0.0	 0.0	 0.0	 0.19607203230498801	 0.02758551032923906	 0.00994358797458558	 6.405717114936434E-10	 7.273251559497462E-7	 8.864418984723459E-14	 2.575593468628112E-8	 2.1868849969917316E-5	 1.2211302120381836E-6	 3.654345378363919E-4	 0.7423360400307691	 0.0	 0.02367355112064903	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.2	 1.0459977511048351E-4	 0.0016562309237494537	 0.9989821014774216	 5.085952968662164E-4	 3.391589999520312E-4	 389.1446652108129	 389.1446652108129	 389.0477286844926	 389.14461734812267	 1277.4102328968875	 1277.4102328968875	 2.083055330632334	 2.0830553306323343	 NaN	 2.616883774714483	 2.6167867045454547	 2.616940962989198	 -5861.2392183190605	 -0.7663553801311498	 -0.30654215205245994	 0.0	 0.0	 2.000000002E-6	 -1191.9225770135115	 -0.15584354188090158	 0.0	 0.0	 -0.12481155647546156	 5.08020383754894E-4	 -7.147916679242282E-5	 4288.552396569836	 181.9594043092989	 -0.015286037384392328	 -1190.1304894616965	 0.07785735828939347	 0.003932396934194217	 0.003928396934190216	 2.000000002000003E-6	 2.000000002E-6	 0.19607203230498801	 0.02758551032923906	 0.009943587974585581	 6.405717114936434E-10	 7.27325155949746E-7	 8.86441898472346E-14	 2.575593468628111E-8	 2.1868849969917316E-5	 1.2211302120381833E-6	 3.654345378363918E-4	 0.7423360400307691	 0.0	 0.02367355112064903	 0.0	 0.0	 0.0	 0.19607203230498801	 0.027585510329239057	 0.00994358797458558	 6.405717114936433E-10	 7.273251559497462E-7	 8.864418984723458E-14	 2.5755934686281117E-8	 2.1868849969917316E-5	 1.2211302120381836E-6	 3.6543453783639184E-4	 0.7423360400307691	 0.0	 0.023673551120649023	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.0	 1.307497188881044E-4	 0.001654275486208241	 0.9989819043877365	 5.085951965251925E-4	 3.3915507087247624E-4	 389.274621708902	 389.274621708902	 389.1732210561781	 389.27457163674796	 1277.5183198275943	 1277.5183198275943	 2.0830553306323347	 2.0830553306323343	 NaN	 2.621037034718713	 2.620986704545455	 2.6209098085214793	 -5861.2392183190605	 -0.7663553801311498	 -0.4598132280786899	 0.0	 0.0	 2.000000002E-6	 -1191.3828507629103	 -0.15577297282535893	 0.0	 0.0	 -0.15596615104053335	 5.08020383754894E-4	 -1.0721875018863424E-4	 4288.552396569836	 182.3065779221483	 -0.015291514418954138	 -1189.576536531584	 0.0777932455831242	 0.003932396934194217	 0.003928396934190216	 2.0000000020000035E-6	 2.000000002E-6	 0.19607203230498801	 0.02758551032923906	 0.009943587974585581	 6.405717114936434E-10	 7.27325155949746E-7	 8.86441898472346E-14	 2.575593468628111E-8	 2.1868849969917316E-5	 1.2211302120381833E-6	 3.654345378363918E-4	 0.7423360400307691	 0.0	 0.02367355112064903	 0.0	 0.0	 0.0	 0.19607203230498804	 0.027585510329239057	 0.00994358797458558	 6.405717114936433E-10	 7.273251559497463E-7	 8.86441898472346E-14	 2.575593468628112E-8	 2.186884996991732E-5	 1.2211302120381838E-6	 3.6543453783639184E-4	 0.7423360400307691	 0.0	 0.023673551120649027	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.8	 1.5689966266572525E-4	 0.0016523127597378043	 0.9989817062720909	 5.085950956618383E-4	 3.3915093990476017E-4	 389.40546496982995	 389.40546496982995	 389.29936564838584	 389.405412571894	 1277.6271440521796	 1277.6271440521796	 2.0830553306323347	 2.0830553306323343	 NaN	 2.6252188296151617	 2.625286704545455	 2.6249056077455375	 -5861.2392183190605	 -0.7663553801311498	 -0.6130843041049199	 0.0	 0.0	 2.000000002E-6	 -1190.8300132298116	 -0.15570068947331547	 0.0	 0.0	 -0.18710628893519646	 5.08020383754894E-4	 -1.4295833358484564E-4	 4288.552396569836	 182.6554070899472	 -0.01529687794108842	 -1189.0094024163302	 0.0777288938955689	 0.003932396934194217	 0.003928396934190216	 2.0000000020000044E-6	 2.000000002E-6	 0.19607203230498801	 0.02758551032923906	 0.009943587974585581	 6.405717114936434E-10	 7.27325155949746E-7	 8.86441898472346E-14	 2.575593468628111E-8	 2.1868849969917316E-5	 1.2211302120381833E-6	 3.654345378363918E-4	 0.7423360400307691	 0.0	 0.02367355112064903	 0.0	 0.0	 0.0	 0.19607203230498804	 0.027585510329239057	 0.00994358797458558	 6.405717114936432E-10	 7.273251559497463E-7	 8.86441898472346E-14	 2.575593468628112E-8	 2.1868849969917323E-5	 1.2211302120381836E-6	 3.654345378363918E-4	 0.742336040030769	 0.0	 0.023673551120649023	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.6	 1.8304960644334613E-4	 0.0016503427527054867	 0.9989815840748419	 5.085950334495664E-4	 3.390696173207549E-4	 389.64822384424707	 389.64822384424707	 389.4487005068409	 389.6481252983955	 1277.8289019862268	 1277.8289019862268	 2.083055330632335	 2.0830553306323343	 NaN	 2.6294538087509802	 2.629386704545455	 2.6296776110763576	 6873.443794777813	 0.8987008439603845	 -0.433344135312843	 0.0	 0.0	 2.000000002E-6	 -1190.360766642519	 -0.15563933561393775	 0.0	 0.0	 -0.21823415605798402	 5.08020383754894E-4	 -1.0104671582407384E-4	 4288.552396569836	 183.0207813861882	 -0.015283463544307967	 -1186.9795512526223	 0.07766430350106668	 0.003932396934194217	 0.003928396934190216	 2.0000000020000048E-6	 2.000000002E-6	 0.19607203230498801	 0.02758551032923906	 0.009943587974585581	 6.405717114936434E-10	 7.27325155949746E-7	 8.86441898472346E-14	 2.575593468628111E-8	 2.1868849969917316E-5	 1.2211302120381833E-6	 3.654345378363918E-4	 0.7423360400307691	 0.0	 0.02367355112064903	 0.0	 0.0	 0.0	 0.19607203230498804	 0.02758551032923906	 0.009943587974585577	 6.405717114936433E-10	 7.273251559497463E-7	 8.864418984723463E-14	 2.5755934686281117E-8	 2.1868849969917327E-5	 1.2211302120381836E-6	 3.6543453783639184E-4	 0.742336040030769	 0.0	 0.023673551120649023	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.4	 2.0919955022096701E-4	 0.0016483654735808006	 0.9989813517879287	 5.085949151891577E-4	 3.390971996346386E-4	 389.7345335784902	 389.7345335784902	 389.56674415005864	 389.7344506971137	 1277.900753740888	 1277.900753740888	 2.0830553306323347	 2.0830553306323343	 NaN	 2.6336654350033117	 2.633686704545455	 2.6334158151970875	 -11177.546895863725	 -1.4614611144927858	 -0.7256363582114002	 0.0	 0.0	 2.000000002E-6	 -1188.1617714317924	 -0.155351817608299	 0.0	 0.0	 -0.2493045195796438	 5.08020383754894E-4	 -1.6920309958012744E-4	 4288.552396569836	 183.36674163018702	 -0.015295952906469689	 -1186.9579102308671	 0.07759947467730648	 0.003932396934194217	 0.003928396934190216	 2.000000002000005E-6	 2.000000002E-6	 0.19607203230498801	 0.02758551032923906	 0.009943587974585581	 6.405717114936434E-10	 7.27325155949746E-7	 8.86441898472346E-14	 2.575593468628111E-8	 2.1868849969917316E-5	 1.2211302120381833E-6	 3.654345378363918E-4	 0.7423360400307691	 0.0	 0.02367355112064903	 0.0	 0.0	 0.0	 0.19607203230498804	 0.027585510329239064	 0.009943587974585577	 6.405717114936433E-10	 7.273251559497464E-7	 8.864418984723465E-14	 2.5755934686281123E-8	 2.1868849969917337E-5	 1.2211302120381838E-6	 3.6543453783639184E-4	 0.742336040030769	 0.0	 0.023673551120649027	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.2	 2.353494939985879E-4	 0.0016463809309361192	 0.9989812143904271	 5.085948452382316E-4	 3.390285971197256E-4	 389.96024758713764	 389.96024758713764	 389.7135559668553	 389.960125718854	 1278.0883653327282	 1278.0883653327282	 2.083055330632335	 2.0830553306323343	 NaN	 2.6378954432720665	 2.637886704545455	 2.638117465698244	 4712.2256268695855	 0.6161221760505198	 -0.6024119230012962	 0.0	 0.0	 2.000000002E-6	 -1188.3068620188017	 -0.15537078816176375	 0.0	 0.0	 -0.28037867721199655	 5.08020383754894E-4	 -1.4046975932557814E-4	 4288.552396569836	 183.73297927306314	 -0.01528554970139184	 -1185.1560425481014	 0.07753440770534971	 0.003932396934194217	 0.003928396934190216	 2.0000000020000056E-6	 2.000000002E-6	 0.19607203230498801	 0.02758551032923906	 0.009943587974585581	 6.405717114936434E-10	 7.27325155949746E-7	 8.86441898472346E-14	 2.575593468628111E-8	 2.1868849969917316E-5	 1.2211302120381833E-6	 3.654345378363918E-4	 0.7423360400307691	 0.0	 0.02367355112064903	 0.0	 0.0	 0.0	 0.19607203230498804	 0.027585510329239064	 0.009943587974585577	 6.405717114936433E-10	 7.273251559497463E-7	 8.864418984723465E-14	 2.5755934686281123E-8	 2.1868849969917337E-5	 1.2211302120381838E-6	 3.654345378363919E-4	 0.742336040030769	 0.0	 0.023673551120649027	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
