Kurbelwinkel	dQb
[KWnZOT]	 [J/s]
-165	0
-164.9	-18273.80473
-164.8	-18273.80473
-164.7	-18273.80473
-164.6	-6712.942413
-164.5	-6712.942413
-164.4	-6712.942413
-164.3	-6712.942413
-164.2	-6712.942413
-164.1	3148.658521
-164	3148.658521
-163.9	3148.658521
-163.8	3148.658521
-163.7	3148.658521
-163.6	3148.658521
-163.5	3148.658521
-163.4	3148.658521
-163.3	14017.1981
-163.2	14017.1981
-163.1	-1315.870087
-163	-1315.870087
-162.9	13784.47018
-162.8	13784.47018
-162.7	1302.743167
-162.6	1302.743167
-162.5	1302.743167
-162.4	1302.743167
-162.3	11492.05052
-162.2	11492.05052
-162.1	798.2684681
-162	798.2684681
-161.9	12845.82368
-161.8	12845.82368
-161.7	-3445.56081
-161.6	7348.21346
-161.5	7348.21346
-161.4	7348.21346
-161.3	-3170.764622
-161.2	-3170.764622
-161.1	13378.7224
-161	13378.7224
-160.9	-6828.343804
-160.8	-6828.343804
-160.7	2342.176317
-160.6	2342.176317
-160.5	-12419.02754
-160.4	-12419.02754
-160.3	-12419.02754
-160.2	-12419.02754
-160.1	-12419.02754
-160	-21784.79498
-159.9	-21784.79498
-159.8	-21784.79498
-159.7	-11255.90615
-159.6	-11255.90615
-159.5	-26854.34179
-159.4	-13172.75002
-159.3	-13172.75002
-159.2	-13172.75002
-159.1	-13172.75002
-159	-13172.75002
-158.9	-13172.75002
-158.8	-3321.374215
-158.7	-3321.374215
-158.6	-3321.374215
-158.5	-3321.374215
-158.4	8382.789802
-158.3	8382.789802
-158.2	8382.789802
-158.1	8382.789802
-158	24913.89063
-157.9	24913.89063
-157.8	24913.89063
-157.7	9845.675013
-157.6	9845.675013
-157.5	31127.96843
-157.4	31127.96843
-157.3	12297.01504
-157.2	12297.01504
-157.1	21726.91566
-157	11115.38549
-156.9	11115.38549
-156.8	731.3476782
-156.7	731.3476782
-156.6	731.3476782
-156.5	-12992.47737
-156.4	-12992.47737
-156.3	-12992.47737
-156.2	-22300.8612
-156.1	-22300.8612
-156	-22300.8612
-155.9	-22300.8612
-155.8	-31353.18299
-155.7	-31353.18299
-155.6	-22347.65396
-155.5	-22347.65396
-155.4	-33437.05844
-155.3	-24156.09994
-155.2	-24156.09994
-155.1	-10485.1881
-155	-10485.1881
-154.9	-10485.1881
-154.8	-10485.1881
-154.7	7520.729564
-154.6	7520.729564
-154.5	7520.729564
-154.4	18690.33957
-154.3	18690.33957
-154.2	18690.33957
-154.1	18690.33957
-154	18690.33957
-153.9	18690.33957
-153.8	18690.33957
-153.7	8919.300122
-153.6	18960.38166
-153.5	18960.38166
-153.4	18960.38166
-153.3	18960.38166
-153.2	9311.377151
-153.1	9311.377151
-153	9311.377151
-152.9	9311.377151
-152.8	9311.377151
-152.7	9311.377151
-152.6	9311.377151
-152.5	9311.377151
-152.4	279.1533192
-152.3	279.1533192
-152.2	279.1533192
-152.1	9938.073697
-152	9938.073697
-151.9	9938.073697
-151.8	-4807.995355
-151.7	-4807.995355
-151.6	5399.511532
-151.5	5399.511532
-151.4	5399.511532
-151.3	5399.511532
-151.2	-8116.329094
-151.1	-8116.329094
-151	-8116.329094
-150.9	-8116.329094
-150.8	-8116.329094
-150.7	-8116.329094
-150.6	-23124.9706
-150.5	-23124.9706
-150.4	-23124.9706
-150.3	-23124.9706
-150.2	-23124.9706
-150.1	-23124.9706
-150	-23124.9706
-149.9	-34771.89217
-149.8	-15544.58804
-149.7	-15544.58804
-149.6	-15544.58804
-149.5	-15544.58804
-149.4	-6610.338606
-149.3	-6610.338606
-149.2	10309.42559
-149.1	10309.42559
-149	10309.42559
-148.9	10309.42559
-148.8	10309.42559
-148.7	-10511.79713
-148.6	-287.0298477
-148.5	-287.0298477
-148.4	-287.0298477
-148.3	-16308.44033
-148.2	-16308.44033
-148.1	-16308.44033
-148	-2882.405401
-147.9	-2882.405401
-147.8	-15256.96338
-147.7	-3824.814647
-147.6	-3824.814647
-147.5	8923.395091
-147.4	8923.395091
-147.3	36088.70427
-147.2	36088.70427
-147.1	36088.70427
-147	36088.70427
-146.9	36088.70427
-146.8	46349.83065
-146.7	46349.83065
-146.6	30737.21992
-146.5	30737.21992
-146.4	30737.21992
-146.3	15407.83401
-146.2	15407.83401
-146.1	-9823.38157
-146	-9823.38157
-145.9	-39017.27067
-145.8	-39017.27067
-145.7	-39017.27067
-145.6	-57101.32079
-145.5	-57101.32079
-145.4	-57101.32079
-145.3	-57101.32079
-145.2	-47296.33583
-145.1	-47296.33583
-145	-29360.05001
-144.9	-29360.05001
-144.8	-4901.393246
-144.7	10988.67604
-144.6	19822.21905
-144.5	48623.54817
-144.4	48623.54817
-144.3	48623.54817
-144.2	48623.54817
-144.1	62914.50965
-144	52455.84723
-143.9	52455.84723
-143.8	52455.84723
-143.7	28414.55814
-143.6	28414.55814
-143.5	3156.188325
-143.4	3156.188325
-143.3	-23672.90106
-143.2	-23672.90106
-143.1	-39824.16385
-143	-39824.16385
-142.9	-56479.05361
-142.8	-47070.87563
-142.7	-47070.87563
-142.6	-47070.87563
-142.5	-29532.99805
-142.4	-29532.99805
-142.3	-29532.99805
-142.2	-29532.99805
-142.1	9064.204123
-142	9064.204123
-141.9	23565.03381
-141.8	35334.17774
-141.7	50532.79328
-141.6	50532.79328
-141.5	50532.79328
-141.4	60590.74716
-141.3	46480.54385
-141.2	46480.54385
-141.1	46480.54385
-141	30770.5468
-140.9	30770.5468
-140.8	14209.4642
-140.7	3252.565807
-140.6	-8866.198913
-140.5	-24738.38493
-140.4	-24738.38493
-140.3	-46036.09425
-140.2	-46036.09425
-140.1	-31411.38676
-140	-31411.38676
-139.9	-39963.59037
-139.8	-39963.59037
-139.7	-30382.2132
-139.6	-30382.2132
-139.5	-30382.2132
-139.4	-18351.43173
-139.3	-5437.589308
-139.2	-5437.589308
-139.1	9288.046662
-139	642.5742372
-138.9	642.5742372
-138.8	10553.36779
-138.7	10553.36779
-138.6	10553.36779
-138.5	10553.36779
-138.4	26631.49349
-138.3	17026.92271
-138.2	17026.92271
-138.1	26229.56233
-138	26229.56233
-137.9	14393.82774
-137.8	23521.35894
-137.7	13121.99942
-137.6	13121.99942
-137.5	22142.58244
-137.4	22142.58244
-137.3	22142.58244
-137.2	1627.704004
-137.1	18390.36846
-137	2541.979636
-136.9	2541.979636
-136.8	-6762.883651
-136.7	-6762.883651
-136.6	2097.731286
-136.5	-13086.58546
-136.4	-1390.493868
-136.3	-1390.493868
-136.2	-1390.493868
-136.1	-1390.493868
-136	-15139.9355
-135.9	-15139.9355
-135.8	-15139.9355
-135.7	-15139.9355
-135.6	-15139.9355
-135.5	-1932.463623
-135.4	-14694.85028
-135.3	-14694.85028
-135.2	-23122.18078
-135.1	-23122.18078
-135	-13812.2911
-134.9	-13812.2911
-134.8	-13812.2911
-134.7	-13812.2911
-134.6	10778.25589
-134.5	10778.25589
-134.4	10778.25589
-134.3	10778.25589
-134.2	10778.25589
-134.1	10778.25589
-134	31641.03397
-133.9	31641.03397
-133.8	21710.20916
-133.7	21710.20916
-133.6	30342.57333
-133.5	17193.59067
-133.4	17193.59067
-133.3	3610.659633
-133.2	3610.659633
-133.1	3610.659633
-133	-17705.71965
-132.9	-17705.71965
-132.8	-17705.71965
-132.7	-17705.71965
-132.6	-17705.71965
-132.5	-33111.29572
-132.4	-33111.29572
-132.3	-33111.29572
-132.2	-24007.45035
-132.1	-24007.45035
-132	-24007.45035
-131.9	-14065.89788
-131.8	-14065.89788
-131.7	-4272.344055
-131.6	4587.125456
-131.5	4587.125456
-131.4	14431.09126
-131.3	14431.09126
-131.2	24785.39583
-131.1	24785.39583
-131	37299.4046
-130.9	37299.4046
-130.8	27015.90574
-130.7	27015.90574
-130.6	27015.90574
-130.5	27015.90574
-130.4	18025.58398
-130.3	18025.58398
-130.2	2874.435588
-130.1	2874.435588
-130	-7378.781558
-129.9	-7378.781558
-129.8	-20402.19039
-129.7	-20402.19039
-129.6	-20402.19039
-129.5	-36445.0667
-129.4	-36445.0667
-129.3	-19094.58994
-129.2	-19094.58994
-129.1	-19094.58994
-129	-19094.58994
-128.9	-19094.58994
-128.8	-19094.58994
-128.7	-240.6744036
-128.6	-240.6744036
-128.5	8073.459124
-128.4	8073.459124
-128.3	23257.67344
-128.2	23257.67344
-128.1	23257.67344
-128	23257.67344
-127.9	23257.67344
-127.8	23257.67344
-127.7	23257.67344
-127.6	23257.67344
-127.5	11078.5402
-127.4	19327.30146
-127.3	19327.30146
-127.2	3073.121807
-127.1	3073.121807
-127	3073.121807
-126.9	3073.121807
-126.8	3073.121807
-126.7	-13571.06829
-126.6	-13571.06829
-126.5	-5570.644829
-126.4	-5570.644829
-126.3	-18311.11441
-126.2	-18311.11441
-126.1	-9138.441318
-126	-9138.441318
-125.9	-9138.441318
-125.8	-9138.441318
-125.7	-9138.441318
-125.6	-9138.441318
-125.5	2786.575834
-125.4	2786.575834
-125.3	2786.575834
-125.2	-5598.673212
-125.1	3226.335781
-125	3226.335781
-124.9	3226.335781
-124.8	3226.335781
-124.7	3226.335781
-124.6	3226.335781
-124.5	3226.335781
-124.4	3226.335781
-124.3	3226.335781
-124.2	3226.335781
-124.1	-9056.430943
-124	-9056.430943
-123.9	-1026.825241
-123.8	-1026.825241
-123.7	-1026.825241
-123.6	-11626.41323
-123.5	-2221.736036
-123.4	-2221.736036
-123.3	-2221.736036
-123.2	6111.429776
-123.1	6111.429776
-123	6111.429776
-122.9	6111.429776
-122.8	6111.429776
-122.7	6111.429776
-122.6	6111.429776
-122.5	6111.429776
-122.4	6111.429776
-122.3	6111.429776
-122.2	6111.429776
-122.1	6111.429776
-122	-3137.297922
-121.9	-3137.297922
-121.8	-3137.297922
-121.7	-15675.84817
-121.6	-15675.84817
-121.5	-7659.042882
-121.4	-7659.042882
-121.3	-23348.03377
-121.2	-13803.20446
-121.1	-13803.20446
-121	-13803.20446
-120.9	-5832.455917
-120.8	-5832.455917
-120.7	-5832.455917
-120.6	-5832.455917
-120.5	-5832.455917
-120.4	12120.04601
-120.3	12120.04601
-120.2	12120.04601
-120.1	12120.04601
-120	12120.04601
-119.9	12120.04601
-119.8	25514.95923
-119.7	25514.95923
-119.6	9520.547015
-119.5	9520.547015
-119.4	18022.05792
-119.3	9213.619084
-119.2	9213.619084
-119.1	-1203.883848
-119	-1203.883848
-118.9	-9745.439703
-118.8	-9745.439703
-118.7	-9745.439703
-118.6	-9745.439703
-118.5	-9745.439703
-118.4	-20495.58238
-118.3	-20495.58238
-118.2	-20495.58238
-118.1	-8584.96814
-118	-8584.96814
-117.9	-8584.96814
-117.8	-8584.96814
-117.7	4174.623556
-117.6	4174.623556
-117.5	4174.623556
-117.4	4174.623556
-117.3	19326.10341
-117.2	10934.84318
-117.1	10934.84318
-117	10934.84318
-116.9	22015.75922
-116.8	22015.75922
-116.7	8039.812003
-116.6	8039.812003
-116.5	8039.812003
-116.4	8039.812003
-116.3	8039.812003
-116.2	-5138.357873
-116.1	-5138.357873
-116	-5138.357873
-115.9	-5138.357873
-115.8	-5138.357873
-115.7	-12690.98702
-115.6	-12690.98702
-115.5	-12690.98702
-115.4	-12690.98702
-115.3	-12690.98702
-115.2	-12690.98702
-115.1	-3511.736427
-115	-3511.736427
-114.9	-3511.736427
-114.8	-3511.736427
-114.7	-3511.736427
-114.6	-3511.736427
-114.5	-3511.736427
-114.4	8841.513294
-114.3	8841.513294
-114.2	8841.513294
-114.1	8841.513294
-114	8841.513294
-113.9	8841.513294
-113.8	8841.513294
-113.7	8841.513294
-113.6	8841.513294
-113.5	8841.513294
-113.4	-993.8698145
-113.3	-993.8698145
-113.2	6648.710936
-113.1	6648.710936
-113	-7754.716887
-112.9	323.2116818
-112.8	323.2116818
-112.7	323.2116818
-112.6	-10298.13699
-112.5	-10298.13699
-112.4	2030.473938
-112.3	2030.473938
-112.2	2030.473938
-112.1	-9559.023019
-112	-1106.258496
-111.9	-1106.258496
-111.8	-1106.258496
-111.7	-1106.258496
-111.6	8092.220077
-111.5	8092.220077
-111.4	-609.3838218
-111.3	-609.3838218
-111.2	10119.13903
-111.1	10119.13903
-111	-587.427295
-110.9	-587.427295
-110.8	9386.331641
-110.7	1961.863184
-110.6	1961.863184
-110.5	1961.863184
-110.4	1961.863184
-110.3	1961.863184
-110.2	-10326.62679
-110.1	-10326.62679
-110	-10326.62679
-109.9	-10326.62679
-109.8	-10326.62679
-109.7	-10326.62679
-109.6	-10326.62679
