[KWnAO]	[mm]
0	0.029358359
1	0.058716718
2	0.096895454
3	0.135074189
4	0.178914941
5	0.222755692
6	0.272598214
7	0.322440735
8	0.378035515
9	0.433630294
10	0.494889597
11	0.5561489
12	0.623360956
13	0.690573012
14	0.763207653
15	0.835842294
16	0.913672824
17	0.991503353
18	1.074284382
19	1.157065412
20	1.243962529
21	1.330859647
22	1.421311294
23	1.511762941
24	1.605156176
25	1.698549412
26	1.7941545
27	1.889759588
28	1.987084235
29	2.084408882
30	2.182937647
31	2.281466412
32	2.380720882
33	2.479975353
34	2.579563706
35	2.679152059
36	2.778682618
37	2.878213176
38	2.977350382
39	3.076487588
40	3.174884824
41	3.273282059
42	3.370692941
43	3.468103824
44	3.564300912
45	3.660498
46	3.755159147
47	3.849820294
48	3.942828353
49	4.035836412
50	4.126995118
51	4.218153824
52	4.307215971
53	4.396278118
54	4.483210353
55	4.570142588
56	4.654769794
57	4.739397
58	4.821546971
59	4.903696941
60	4.9833705
61	5.063044059
62	5.140071529
63	5.217099
64	5.291404441
65	5.365709882
66	5.437315647
67	5.508921412
68	5.577650353
69	5.646379294
70	5.712237882
71	5.778096471
72	5.841103735
73	5.904111
74	5.964074059
75	6.024037118
76	6.081053147
77	6.138069176
78	6.192145588
79	6.246222
80	6.297146647
81	6.348071294
82	6.396016794
83	6.443962294
84	6.488880765
85	6.533799235
86	6.575550265
87	6.617301294
88	6.656041706
89	6.694782118
90	6.730441765
91	6.766101412
92	6.798611147
93	6.831120882
94	6.860605882
95	6.890090882
96	6.916448575
97	6.942806267
98	6.966035986
99	6.989265706
100	7.009465706
101	7.029665706
102	7.0467025
103	7.063739294
104	7.077676647
105	7.091614
106	7.102523229
107	7.113432459
108	7.121159935
109	7.128887412
110	7.133560694
111	7.138233977
112	7.139862988
113	7.141492
114	7.139862324
115	7.138232647
116	7.133559529
117	7.128886412
118	7.121158941
119	7.113431471
120	7.102522235
121	7.091613
122	7.077676647
123	7.063740294
124	7.0467035
125	7.029666706
126	7.009466441
127	6.989266176
128	6.966036265
129	6.942806353
130	6.916449118
131	6.890091882
132	6.860606353
133	6.831120824
134	6.798611559
135	6.766102294
136	6.730441824
137	6.694781353
138	6.656041118
139	6.617300882
140	6.575550029
141	6.533799176
142	6.488880882
143	6.443962588
144	6.396016765
145	6.348070941
146	6.297145971
147	6.246221
148	6.192144449
149	6.138067897
150	6.08105236
151	6.024036824
152	5.964074496
153	5.904112168
154	5.841104025
155	5.778095882
156	5.712237983
157	5.646380083
158	5.577650748
159	5.508921412
160	5.437315726
161	5.36571004
162	5.291404108
163	5.217098176
164	5.140070757
165	5.063043337
166	4.983369904
167	4.903696471
168	4.821546676
169	4.739396882
170	4.654769235
171	4.570141588
172	4.483209353
173	4.396277118
174	4.307215023
175	4.218152929
176	4.12699367
177	4.035834412
178	3.942826684
179	3.849818956
180	3.755157978
181	3.660497
182	3.564300362
183	3.468103725
184	3.370692039
185	3.273280353
186	3.174883441
187	3.076486529
188	2.977349353
189	2.878212176
190	2.778682
191	2.679151824
192	2.579563147
193	2.479974471
194	2.380720441
195	2.281466412
196	2.182937559
197	2.084408706
198	1.987083647
199	1.889758588
200	1.794154
201	1.698549412
202	1.605155676
203	1.511761941
204	1.421310794
205	1.330859647
206	1.243962235
207	1.157064824
208	1.074284088
209	0.991503353
210	0.913672397
211	0.835841441
212	0.763207041
213	0.690572641
214	0.623360571
215	0.5561485
216	0.494889165
217	0.433629829
218	0.378035118
219	0.322440406
220	0.272597985
221	0.222755565
222	0.178914703
223	0.135073841
224	0.096895188
225	0.058716535
226	0.029358268
