Lambda [-]	p [Pa]	V [m^3]	T [K]	nC7H16	O2	N2	CO2	H2O	CO	H2	OH	H2O2	HO2	H	O	CH3O	CH2O	HCO	CH2	CH3	CH4	C2H2	C2H3	C2H4	C2H5	C3H4	C3H5	C3H6	C3H7	C7H15-2	C7H15O2	C7KET12	C5H11CO	N	N2O	NO	NO2	iC8H18	C8H17	C8H17OO	iC8KET21	C6H13CO	C4H9	C2H6	CH2CHO	CH2CO	CH3O2	CH3O2H	soot
2.491392409923829	 6625000.0	 7.272649999999999E-8	 1202.0978274710585	 3.396079259373025E-11	 2.7187627936507996E-7	 1.0353236200906325E-6	 2.0127201244529822E-8	 1.8491191631925815E-8	 1.6020690127824778E-8	 9.7373362044283E-12	 1.6718902857653736E-12	 1.3172568076805828E-9	 1.982160121706136E-10	 6.465068988015163E-15	 1.0909404443566813E-13	 5.62870527584416E-11	 1.3059952209291528E-9	 7.629533237074389E-13	 2.6071069870915823E-16	 1.8736859017855812E-11	 4.415276117425988E-9	 2.6176215676554282E-12	 1.6108399252335902E-14	 1.0304824068958984E-9	 1.0847843616311878E-12	 2.0574183634971706E-9	 4.160507326699387E-11	 6.924346936553281E-9	 2.5958533929319084E-13	 2.3095887553896996E-15	 2.7887410445964462E-15	 5.34065023583542E-15	 1.4856534267289984E-16	 1.2630459288877068E-23	 5.166472722538011E-15	 1.1052593611487363E-20	 3.3028613354501344E-20	 5.852893884223407E-9	 3.0447987496863E-14	 2.0599490981739566E-15	 6.331962589626042E-14	 2.6187757539219657E-16	 7.691793417737473E-14	 4.3667720754515207E-10	 7.749710977665959E-12	 2.3414935809998537E-10	 8.151426959561767E-11	 3.8317337277959117E-13	 8.387326606992986E-13	 
2.521554694673564	 6625000.0	 1.4712964E-7	 1231.620823133245	 1.963713157075931E-11	 5.245444365477532E-7	 2.0415635757466915E-6	 4.818205577832569E-8	 4.224487598760904E-8	 3.345883270418519E-8	 2.7726830205699442E-11	 3.811295557654612E-12	 1.9727432757559225E-9	 3.455462798423714E-10	 1.608350869735099E-14	 3.805888646196183E-13	 8.84039738633678E-11	 2.031835128982585E-9	 1.1305486497227138E-12	 9.51942871142265E-16	 3.503691516529628E-11	 8.779268103704601E-9	 6.452631444030406E-12	 2.993508985448209E-14	 1.5357653999601044E-9	 2.311894528361163E-12	 4.810954996169204E-9	 7.062004867333082E-11	 1.1909310166780057E-8	 3.818721016479465E-13	 1.5267155713494902E-15	 1.484555390650664E-15	 2.554837039072585E-15	 7.121967088014894E-17	 1.1486674760000343E-21	 3.484652799617641E-14	 2.9617837791430172E-18	 2.75334654291886E-18	 8.542908830945334E-9	 4.524782379042169E-14	 3.0399661588362644E-15	 8.766472997997154E-14	 3.609376059436276E-16	 1.1129642937580793E-13	 7.806286825169925E-10	 1.166670680144252E-11	 8.60351019085009E-10	 1.2654943350176328E-10	 5.439252026393361E-13	 2.4487455626189386E-12	 
2.550188547506883	 6625000.0	 2.718331699999999E-7	 1314.8463743229263	 5.431660362148056E-11	 8.711192849477967E-7	 3.526265387081344E-6	 1.0691330735572708E-7	 9.052818899380735E-8	 6.356894473562907E-8	 8.084077378479828E-11	 3.708741068467647E-11	 2.0214935418253447E-9	 5.793048578005457E-10	 1.5219650362858136E-13	 6.990599435844365E-12	 1.350969164600799E-10	 2.4465155619698996E-9	 1.1796989373824974E-12	 2.846836338259003E-14	 9.709141792414299E-11	 1.3646119782806886E-8	 1.6014195732398455E-11	 1.4446416616731408E-13	 1.8235081481619359E-9	 1.5033381719849668E-11	 9.317668684981447E-9	 1.1347645514457161E-10	 1.5038810963427175E-8	 3.902268193596392E-13	 3.556921302263999E-15	 6.4567921573910825E-15	 1.751182752256437E-14	 4.814350150084917E-16	 3.5159368770766785E-19	 2.928998769611944E-13	 2.8934306014665124E-16	 1.3497845246486432E-16	 9.06493528183853E-9	 4.490258623225937E-14	 3.6769849575782956E-15	 1.4354391237427821E-13	 6.014307234914232E-16	 1.445598588868915E-13	 1.1104817909799205E-9	 1.262696188199931E-11	 3.140254771640976E-9	 1.548508800737105E-10	 7.510054808254661E-13	 6.5583972322307024E-12	 
2.57965641610563	 6625000.0	 4.3296918000000035E-7	 1383.0359766230083	 5.450890119428904E-11	 1.2784421933103372E-6	 5.335287556144864E-6	 1.8925164684049583E-7	 1.5589670223024866E-7	 1.0112908063244337E-7	 1.3641643230154312E-10	 2.6913918691431866E-10	 2.5138859494535085E-9	 9.9760615134301E-10	 5.974486096241396E-13	 4.9377722483807496E-11	 2.0815646581113584E-10	 2.954873115374405E-9	 1.3605151702615326E-12	 1.7136271619649357E-13	 1.754619983284526E-10	 1.73033681305928E-8	 2.7068849814340292E-11	 4.176581212783528E-13	 2.117161237132942E-9	 3.273911890923795E-11	 1.3515872702300354E-8	 1.5315545029323153E-10	 1.646810928851552E-8	 4.683818089247829E-13	 3.606328040556324E-15	 5.6230359448347525E-15	 1.3780817627421107E-14	 3.800132635143284E-16	 9.486765390830829E-18	 1.1997788249170627E-12	 5.491596017320613E-15	 1.7122940829377282E-15	 1.0563368201642413E-8	 5.502674721799456E-14	 4.562412838361472E-15	 1.681354365849077E-13	 7.014527921157588E-16	 1.6682572017904083E-13	 1.309892150523581E-9	 1.5996185387201695E-11	 6.299064031303402E-9	 1.9337532521770256E-10	 9.994701119153118E-13	 1.2341236066736052E-11	 
2.605869146853384	 6625000.0	 8.769401200000003E-7	 1426.3669052135358	 1.2949402133403556E-10	 2.47253766867768E-6	 1.0470481595141558E-5	 3.938752578739701E-7	 3.2566419160342307E-7	 2.0635419203262115E-7	 2.950051214978757E-10	 6.254896579999956E-10	 2.736259608090961E-9	 2.044641997630858E-9	 1.4631744411553148E-12	 1.1647577423729268E-10	 4.094037542824243E-10	 4.173249443960777E-9	 2.0572450624576412E-12	 4.144735658279555E-13	 4.044795685811775E-10	 3.150577142757562E-8	 5.833700943529323E-11	 1.046859104701686E-12	 2.880500360932548E-9	 8.609606151060918E-11	 2.7523547722409446E-8	 2.96622204005033E-10	 2.8129127027084988E-8	 5.658851240138835E-13	 6.558248531263413E-15	 1.7041708617192107E-14	 6.378549284063647E-14	 1.7346492613449037E-15	 2.0695335020765757E-17	 2.8007378129387676E-12	 1.1785242538896373E-14	 3.811273558701053E-15	 1.2276548109738911E-8	 5.89913521441887E-14	 5.5230504497993915E-15	 2.6688953856420453E-13	 1.1319940667120302E-15	 2.4592066109274414E-13	 2.3276168391704345E-9	 2.0043945494984977E-11	 1.42099195188342E-8	 2.7899326137822743E-10	 1.669627899862568E-12	 2.69904786400816E-11	 
2.6310846905833585	 6625000.0	 1.8582146800000033E-6	 1397.801226797122	 1.1246173752121626E-10	 5.459942276706788E-6	 2.2648546681134668E-5	 7.76330210804954E-7	 6.542972992520595E-7	 4.337704040753318E-7	 6.485520467603249E-10	 9.504484306492247E-10	 3.296335624655123E-9	 3.957749207061981E-9	 2.316746227828199E-12	 1.7266813755394452E-10	 7.412910590512549E-10	 8.102355465332984E-9	 4.2160349527087174E-12	 6.955596056880405E-13	 6.94661870606692E-10	 8.1442130040672E-8	 1.3254024957953152E-10	 1.722661949292451E-12	 5.096901166845432E-9	 1.283787135904903E-10	 6.747723544993159E-8	 6.988561909298581E-10	 7.71603432703885E-8	 9.034942471769203E-13	 5.9006007075187E-15	 1.3065367141451305E-14	 4.394225094648725E-14	 1.199061248069448E-15	 2.7425113876171678E-17	 4.040796619862103E-12	 1.4029730649202914E-14	 4.5841201742685895E-15	 1.6855520073482062E-8	 7.121176387875278E-14	 5.923077955932614E-15	 2.6577419365605526E-13	 1.1226794737301268E-15	 3.678911182946772E-13	 5.811536736923975E-9	 3.015315452570808E-11	 2.740616327356655E-8	 5.068516501929714E-10	 2.2323033655504414E-12	 5.525612803146586E-11	 
2.656500016910467	 6625000.0	 1.6831562300000005E-6	 1372.369678876077	 2.1188534054721263E-10	 5.115632732498799E-6	 2.09099313803918E-5	 6.64987019839483E-7	 5.699591821745991E-7	 3.894168185988181E-7	 5.911567338640462E-10	 3.2944490026330013E-10	 3.3518526333137634E-9	 3.3654370156182823E-9	 1.2846777120765579E-12	 6.19865679098218E-11	 6.944973154449951E-10	 8.268355161614691E-9	 4.3535274221153115E-12	 2.79702842931217E-13	 6.401895809137797E-10	 7.858513938806346E-8	 1.1700683981942588E-10	 1.1579723199650147E-12	 5.4411765526344674E-9	 1.1337656572368013E-10	 6.368604776174033E-8	 6.676293177457425E-10	 7.804132579162939E-8	 9.468434908212196E-13	 9.943744866877754E-15	 3.3340499338121074E-14	 1.590179193194705E-13	 4.2880700472906875E-15	 3.3582681505900015E-18	 2.2203126442950983E-12	 2.0538015647266034E-15	 1.0339545906955615E-15	 1.948118296205312E-8	 7.699308130253937E-14	 7.035714408489875E-15	 4.0575165559408617E-13	 1.7402853923105353E-15	 4.40478091786917E-13	 5.748049234010633E-9	 2.994094532545431E-11	 2.368784310162498E-8	 5.227238433268135E-10	 2.3053148541091146E-12	 4.793667183930317E-11	 
2.6863535072358444	 6625000.0	 1.149191680000002E-6	 1267.5409116894616	 6.722593279802218E-10	 4.002869888071689E-6	 1.5512370853268325E-5	 3.594945288898375E-7	 3.197114731403688E-7	 2.447846430668367E-7	 2.896694604975245E-10	 4.2594291411549555E-11	 8.966489547545939E-9	 2.2859236648401047E-9	 2.1336588208195046E-13	 6.371738966985031E-12	 5.173461071766318E-10	 1.2692579853081722E-8	 5.194142673398087E-12	 1.559822216680185E-14	 2.8036393333669396E-10	 6.155025367903792E-8	 6.490011677678901E-11	 2.5717556701774984E-13	 1.0218931654457138E-8	 2.3677035798590207E-11	 3.984535550701932E-8	 5.003050637437839E-10	 8.192789572380033E-8	 1.8245626199206905E-12	 3.327781848628101E-14	 1.2099865558698553E-13	 6.007351927858909E-13	 1.6174622741861257E-14	 9.623707259268468E-20	 4.3713841260965387E-13	 1.2727673753899358E-16	 6.841746665170754E-17	 5.0376283710841545E-8	 2.1068493005677476E-13	 2.4673277925485663E-14	 1.606048051851977E-12	 6.914997377651162E-15	 1.1309563388140475E-12	 5.211747483572712E-9	 5.3845009033759814E-11	 9.155505714391529E-9	 7.653870029690957E-10	 5.18266189721771E-12	 2.2844191709404234E-11	 
2.7121475858871458	 6625000.0	 1.4743862000000023E-6	 1314.90516258651	 4.718513152616695E-10	 4.842969217116445E-6	 1.9159088915048007E-5	 5.104539752227887E-7	 4.4643119126081043E-7	 3.2326131953237187E-7	 4.5845233667517683E-10	 7.56570533635966E-11	 6.446001442829308E-9	 2.8008529903674715E-9	 3.9553922071597875E-13	 1.2719150187068165E-11	 5.93055162741735E-10	 1.1076657924504758E-8	 5.18081284225411E-12	 3.484841358639159E-14	 4.068316259806271E-10	 7.549577584887853E-8	 9.364545315173092E-11	 4.238311031949136E-13	 8.23997648593727E-9	 4.124534746327453E-11	 5.598911954947154E-8	 6.146562191697745E-10	 8.560905056969364E-8	 1.4853503632919004E-12	 2.2661706014189705E-14	 8.606081662879149E-14	 4.4108090548532847E-13	 1.186500130435483E-14	 6.443948369782185E-20	 9.119067594982038E-13	 9.986870952371854E-17	 1.242043093868641E-16	 3.7487971283169214E-8	 1.544285349984937E-13	 1.7235415100256544E-14	 1.1468081483542714E-12	 4.946832123313815E-15	 8.700448404080607E-13	 5.669295650758258E-9	 4.3529985911305406E-11	 1.6490289344647648E-8	 6.864654301788167E-10	 3.948824678709184E-12	 3.679037952461587E-11	 
2.7373981903069136	 6625000.0	 6.261994199999996E-7	 1186.070151670456	 7.800396920600388E-10	 2.4326648029461066E-6	 9.070295584683303E-6	 1.513073155485545E-7	 1.3955709905571224E-7	 1.1846528576045003E-7	 8.886787031300005E-11	 1.0883126738532431E-11	 1.0845272257819342E-8	 1.3458122264828369E-9	 4.63374613943559E-14	 9.563884505542817E-13	 3.71866053813654E-10	 1.1855304379088472E-8	 3.996684699703185E-12	 1.8081170912282095E-15	 1.255990403834333E-10	 3.166783123357585E-8	 2.414485337500387E-11	 9.434916246894809E-14	 1.0112857394355002E-8	 6.486171390023874E-12	 1.6586275072965558E-8	 2.4908545112526757E-10	 5.102992422882816E-8	 1.961299915882294E-12	 3.6846112996691626E-14	 1.586790096803163E-13	 9.896403515807957E-13	 2.6422498414498068E-14	 3.0110912146668346E-22	 7.373601322830841E-14	 5.627200640923155E-19	 1.8772796277025702E-18	 5.889689764016004E-8	 2.6185291983994845E-13	 3.336980961557794E-14	 2.429155535924841E-12	 1.0539760965336231E-14	 1.4802637709662278E-12	 2.938917468870418E-9	 5.768665131657369E-11	 2.4297895545469514E-9	 7.546034969077473E-10	 6.640423765086605E-12	 8.261651966963049E-12	 
