Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	V0 [m3]	V1 [m3]	V2 [m3]	T_Zone_0 [K]	T_Zone_1 [K]	T_Zone_2 [K]	T_mittel [K]	T_BurnAdiabat_0 [K]	T_BurnAdiabat_1 [K]	Lambda z1 [-]	Lambda z0 [-]	Lambda z2 [-]	p_soll [bar]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	Alpha [W/(m^2K)]	Wandwärmestromdichte [MW/m^2]	PQw [W]	Brennraumfläche [m^2]	Gesamtmasse [kg]	m_0[kg]	m_1[kg]	m_2[kg]	Z0_O2 [kg]	Z0_CO2 [kg]	Z0_H2O [kg]	Z0_H [kg]	Z0_H2 [kg]	Z0_CO [kg]	Z0_Diesel [kg]	Z0_N2 [kg]	Z0_RON_98 [kg]	Z0_O [kg]	Z0_N [kg]	Z0_OH [kg]	Z0_NO [kg]	Z1_O2 [kg]	Z1_CO2 [kg]	Z1_H2O [kg]	Z1_H [kg]	Z1_H2 [kg]	Z1_CO [kg]	Z1_Diesel [kg]	Z1_N2 [kg]	Z1_RON_98 [kg]	Z1_O [kg]	Z1_N [kg]	Z1_OH [kg]	Z1_NO [kg]	Z2_O2 [kg]	Z2_CO2 [kg]	Z2_H2O [kg]	Z2_H [kg]	Z2_H2 [kg]	Z2_CO [kg]	Z2_Diesel [kg]	Z2_N2 [kg]	Z2_RON_98 [kg]	Z2_O [kg]	Z2_N [kg]	Z2_OH [kg]	Z2_NO [kg]	 mDieseldampf [kg]	m_Diesel[kg]	m_a [kg]	sumdma [kg]	s00 [kg]	dm_a [kg]
-130.0	 0.0	 0.00166397962081229	 0.9990204073326958	 4.897963336521059E-4	 3.264528335276258E-4	 393.18363725015655	 393.18363725015655	 393.18363725015655	 393.1836372501565	 1231.288227512107	 1231.288227512107	 2.194881650134459	 2.194881650134459	 NaN	 2.734905405303031	 2.734905405303031	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 4199.5061089232295	 188.98536799615144	 -0.015112472491592907	 -1180.4565943086109	 0.07811141393079794	 0.004083330279520971	 0.004079330279120971	 2.0000002E-6	 2.0000002E-6	 0.1970281698857721	 0.02726436992570234	 0.009492445761966038	 5.67304544722077E-10	 2.2376655852551385E-8	 1.0893326078245765E-6	 0.0	 0.7434056874887187	 0.022412496030144204	 7.105827673426576E-7	 7.948242570650098E-14	 2.0922023527501833E-5	 3.7408602475403035E-4	 0.1970281698857721	 0.02726436992570234	 0.009492445761966038	 5.67304544722077E-10	 2.2376655852551385E-8	 1.0893326078245765E-6	 0.0	 0.7434056874887187	 0.022412496030144204	 7.105827673426576E-7	 7.948242570650098E-14	 2.0922023527501833E-5	 3.7408602475403035E-4	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 NaN	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.5	 6.53697311996653E-5	 0.0016591503952649704	 0.9990199377651339	 4.897961034341158E-4	 3.264471936485987E-4	 393.49902495221585	 393.49902495221585	 393.49241171921665	 393.49902178614815	 1231.5527052122534	 1231.5527052122534	 2.194881650134459	 2.194881650134459	 NaN	 2.7449054053030313	 2.745067238074256	 -6416.648173234604	 -0.838909132574339	 -0.41945456628716943	 0.0	 0.0	 0.0	 -1183.5995018299739	 -0.1547431625653663	 -0.07737158128268315	 0.0	 -9.988188025156112E-5	 4199.5061089232295	 189.87341330116612	 -0.015123603106240866	 -1178.9314226685447	 0.07795307866695139	 0.004083330279520972	 0.004079330279120972	 2.0000002E-6	 2.0000002E-6	 0.1970281698857721	 0.02726436992570234	 0.009492445761966036	 5.67304544722077E-10	 2.2376655852551382E-8	 1.0893326078245765E-6	 0.0	 0.7434056874887187	 0.0224124960301442	 7.105827673426576E-7	 7.948242570650099E-14	 2.0922023527501833E-5	 3.740860247540303E-4	 0.1970281698857721	 0.027264369925702338	 0.009492445761966038	 5.673045447220769E-10	 2.2376655852551385E-8	 1.0893326078245765E-6	 0.0	 0.7434056874887188	 0.022412496030144204	 7.105827673426576E-7	 7.948242570650098E-14	 2.0922023527501833E-5	 3.740860247540303E-4	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.0	 1.307394623993306E-4	 0.001654275486208241	 0.9990194621159344	 4.89795870234441E-4	 3.264403254982452E-4	 393.8199817159192	 393.8199817159192	 393.8052651128124	 393.819974668551	 1231.8218572902533	 1231.8218572902533	 2.1948816501344584	 2.1948816501344584	 NaN	 2.755305405303031	 2.7554034706684827	 5.55	 7.256040163162848E-4	 -0.4190917642790113	 0.0	 0.0	 0.0	 -1182.083118068666	 -0.15454491136762183	 -0.15464403696649406	 0.0	 -9.979548866199129E-5	 4199.5061089232295	 190.77216512597914	 -0.015133960691979286	 -1177.319920756493	 0.0777932455831242	 0.004083330279520972	 0.004079330279120972	 2.0000002E-6	 2.0000002E-6	 0.1970281698857721	 0.027264369925702338	 0.009492445761966036	 5.673045447220769E-10	 2.2376655852551382E-8	 1.0893326078245765E-6	 0.0	 0.7434056874887188	 0.0224124960301442	 7.105827673426576E-7	 7.948242570650099E-14	 2.0922023527501833E-5	 3.7408602475403024E-4	 0.1970281698857721	 0.02726436992570233	 0.009492445761966036	 5.673045447220769E-10	 2.2376655852551382E-8	 1.0893326078245765E-6	 0.0	 0.7434056874887187	 0.0224124960301442	 7.105827673426575E-7	 7.948242570650098E-14	 2.092202352750183E-5	 3.7408602475403024E-4	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.5	 1.961091935989959E-4	 0.0016493550216213346	 0.9990190694417708	 4.897956777154852E-4	 3.26343036571829E-4	 394.2816103545105	 394.2816103545105	 394.14952816910915	 394.281547087997	 1232.208816696765	 1232.208816696765	 2.194881650134459	 2.194881650134459	 NaN	 2.766505405303031	 2.7668641288343903	 5.55	 7.256040163162848E-4	 -0.41872896227085316	 0.0	 0.0	 0.0	 -1180.5953047629862	 -0.1543503954558867	 -0.2318192346944374	 0.0	 -9.970909707242145E-5	 4199.5061089232295	 191.7004516523504	 -0.015119118044353098	 -1173.7261454861627	 0.07763191887535678	 0.004083330279520973	 0.004079330279120973	 2.0000002E-6	 2.0000002E-6	 0.19702816988577213	 0.02726436992570234	 0.009492445761966036	 5.67304544722077E-10	 2.2376655852551382E-8	 1.0893326078245765E-6	 0.0	 0.7434056874887187	 0.0224124960301442	 7.105827673426576E-7	 7.948242570650099E-14	 2.092202352750183E-5	 3.7408602475403024E-4	 0.1970281698857721	 0.027264369925702327	 0.009492445761966036	 5.673045447220769E-10	 2.2376655852551382E-8	 1.0893326078245765E-6	 0.0	 0.7434056874887188	 0.0224124960301442	 7.105827673426575E-7	 7.948242570650098E-14	 2.092202352750183E-5	 3.7408602475403024E-4	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.0	 2.614789247986612E-4	 0.0016443891334473716	 0.9990186527238749	 4.897954734084499E-4	 3.2626230415648696E-4	 394.722154581278	 394.722154581278	 394.4924736886178	 394.7220445372226	 1232.578141800922	 1232.578141800922	 2.1948816501344592	 2.194881650134459	 NaN	 2.777905405303031	 2.7783217836659864	 -1270.0015427040616	 -0.16603931893944954	 -0.5017486217405779	 0.0	 0.0	 0.0	 -1176.9807560280426	 -0.153877831297464	 -0.3087581503431694	 0.0	 -1.194780073481613E-4	 4199.5061089232295	 192.63602671265187	 -0.015108049723546256	 -1170.4070581932385	 0.07746910286965307	 0.004083330279520974	 0.004079330279120974	 2.0000002E-6	 2.0000002E-6	 0.19702816988577213	 0.02726436992570234	 0.009492445761966036	 5.67304544722077E-10	 2.237665585255138E-8	 1.0893326078245765E-6	 0.0	 0.7434056874887187	 0.0224124960301442	 7.105827673426576E-7	 7.9482425706501E-14	 2.092202352750183E-5	 3.7408602475403024E-4	 0.1970281698857721	 0.027264369925702327	 0.009492445761966034	 5.673045447220769E-10	 2.237665585255138E-8	 1.0893326078245765E-6	 0.0	 0.7434056874887187	 0.022412496030144197	 7.105827673426574E-7	 7.948242570650098E-14	 2.0922023527501826E-5	 3.740860247540302E-4	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-127.5	 3.268486559983265E-4	 0.001639377957661017	 0.9990181848820867	 4.897952440365662E-4	 3.262251259288059E-4	 395.10055787041597	 395.10055787041597	 394.8258454062967	 395.10042621608187	 1232.8954492369649	 1232.8954492369649	 2.194881650134459	 2.1948816501344584	 NaN	 2.789405405303031	 2.7894873374239784	 -4499.974486492516	 -0.5883242451747354	 -0.7959107443279456	 0.0	 0.0	 0.0	 -1173.6066638800978	 -0.1534367043039559	 -0.3854765024951473	 0.0	 -1.8952484498993154E-4	 4199.5061089232295	 193.5731865018925	 -0.0151083047024676	 -1167.94450394553	 0.07730480202419883	 0.004083330279520974	 0.004079330279120974	 2.0000002E-6	 2.0000002E-6	 0.1970281698857721	 0.027264369925702338	 0.009492445761966036	 5.673045447220769E-10	 2.2376655852551375E-8	 1.0893326078245765E-6	 0.0	 0.7434056874887188	 0.0224124960301442	 7.105827673426576E-7	 7.9482425706501E-14	 2.092202352750183E-5	 3.7408602475403024E-4	 0.1970281698857721	 0.027264369925702327	 0.009492445761966034	 5.673045447220769E-10	 2.2376655852551375E-8	 1.0893326078245765E-6	 0.0	 0.7434056874887188	 0.0224124960301442	 7.105827673426574E-7	 7.948242570650098E-14	 2.0922023527501826E-5	 3.740860247540302E-4	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-127.0	 3.922183871979918E-4	 0.0016343216343360368	 0.9990177105896888	 4.897950115020996E-4	 3.261867090939568E-4	 395.484735084038	 395.484735084038	 395.163402525513	 395.48458104610324	 1233.217608128789	 1233.217608128789	 2.1948816501344592	 2.1948816501344592	 NaN	 2.800905405303031	 2.800839641868029	 5.55	 7.256040163162848E-4	 -0.7955479423197874	 0.0	 0.0	 0.0	 -1171.1489394590149	 -0.1531153827344178	 -0.4620341938623562	 0.0	 -1.894384534003617E-4	 4199.5061089232295	 194.52143712824463	 -0.015107588910079203	 -1165.3846171602531	 0.07713902093157653	 0.004083330279520974	 0.004079330279120974	 2.0000002E-6	 2.0000002E-6	 0.1970281698857721	 0.02726436992570233	 0.009492445761966034	 5.673045447220769E-10	 2.2376655852551372E-8	 1.0893326078245765E-6	 0.0	 0.7434056874887187	 0.022412496030144197	 7.105827673426575E-7	 7.948242570650099E-14	 2.0922023527501826E-5	 3.740860247540302E-4	 0.1970281698857721	 0.027264369925702327	 0.009492445761966032	 5.673045447220769E-10	 2.2376655852551372E-8	 1.0893326078245765E-6	 0.0	 0.7434056874887187	 0.022412496030144197	 7.105827673426574E-7	 7.948242570650098E-14	 2.0922023527501823E-5	 3.7408602475403013E-4	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-126.5	 4.575881183976571E-4	 0.0016292203077127062	 0.9990172919605381	 4.89794806258021E-4	 3.2608480984816247E-4	 395.96943927077257	 395.96943927077257	 395.5242800816438	 395.9692258175457	 1233.623975426292	 1233.623975426292	 2.194881650134459	 2.194881650134459	 NaN	 2.812705405303031	 2.8130541022968463	 5.55	 7.256040163162848E-4	 -0.7951851403116292	 0.0	 0.0	 0.0	 -1168.6730939076326	 -0.1527916920180463	 -0.5384300398713794	 0.0	 -1.8935206181079184E-4	 4199.5061089232295	 195.49421611124734	 -0.015088394947658096	 -1161.3803798929368	 0.07697176432097552	 0.004083330279520974	 0.004079330279120974	 2.0000002E-6	 2.0000002E-6	 0.1970281698857721	 0.027264369925702327	 0.009492445761966034	 5.673045447220769E-10	 2.237665585255137E-8	 1.0893326078245765E-6	 0.0	 0.7434056874887188	 0.0224124960301442	 7.105827673426575E-7	 7.948242570650099E-14	 2.0922023527501826E-5	 3.740860247540302E-4	 0.1970281698857721	 0.027264369925702327	 0.009492445761966032	 5.673045447220769E-10	 2.237665585255137E-8	 1.0893326078245765E-6	 0.0	 0.7434056874887188	 0.0224124960301442	 7.105827673426574E-7	 7.948242570650098E-14	 2.0922023527501826E-5	 3.7408602475403013E-4	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-126.0	 5.229578495973224E-4	 0.001624074126265037	 0.9990167451187217	 4.897945381542717E-4	 3.261032928415927E-4	 396.2748882483291	 396.2748882483291	 395.8520385711404	 396.27468543598604	 1233.8802333666924	 1233.8802333666924	 2.1948816501344592	 2.1948816501344592	 NaN	 2.824505405303031	 2.824146186978958	 -8805.286130974135	 -1.15119837503584	 -1.3707843278295493	 0.0	 0.0	 0.0	 -1164.5130762642939	 -0.15224781354778447	 -0.6145539466452716	 0.0	 -3.2641560513910623E-4	 4199.5061089232295	 196.45217580118788	 -0.015102322811501284	 -1159.9042585898	 0.07680303706039619	 0.004083330279520974	 0.004079330279120974	 2.0000002E-6	 2.0000002E-6	 0.1970281698857721	 0.027264369925702327	 0.009492445761966032	 5.673045447220769E-10	 2.2376655852551362E-8	 1.0893326078245765E-6	 0.0	 0.7434056874887187	 0.022412496030144197	 7.105827673426574E-7	 7.948242570650099E-14	 2.0922023527501823E-5	 3.7408602475403013E-4	 0.1970281698857721	 0.027264369925702327	 0.009492445761966029	 5.673045447220769E-10	 2.2376655852551362E-8	 1.0893326078245765E-6	 0.0	 0.7434056874887187	 0.022412496030144197	 7.105827673426574E-7	 7.948242570650098E-14	 2.0922023527501823E-5	 3.740860247540301E-4	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-125.5	 5.883275807969877E-4	 0.0016188832427677991	 0.999016262301846	 4.897943014404531E-4	 3.260497228472254E-4	 396.69403190186455	 396.69403190186455	 396.2058298391016	 396.6937976803069	 1234.231730985146	 1234.231730985146	 2.194881650134459	 2.194881650134459	 NaN	 2.8360054053030312	 2.836199771884516	 -3673.913764403944	 -0.4803255104596726	 -1.6109470830593855	 0.0	 0.0	 0.0	 -1163.1340160545312	 -0.1520675159573438	 -0.6905877046239435	 0.0	 -3.83603938481337E-4	 4199.5061089232295	 197.43670966573617	 -0.015095261019538028	 -1156.792785247382	 0.07663284415884741	 0.004083330279520974	 0.004079330279120974	 2.0000002E-6	 2.0000002E-6	 0.1970281698857721	 0.027264369925702327	 0.009492445761966032	 5.673045447220769E-10	 2.237665585255136E-8	 1.0893326078245765E-6	 0.0	 0.7434056874887188	 0.0224124960301442	 7.105827673426574E-7	 7.948242570650099E-14	 2.0922023527501826E-5	 3.7408602475403013E-4	 0.1970281698857721	 0.027264369925702327	 0.009492445761966027	 5.673045447220769E-10	 2.237665585255136E-8	 1.0893326078245765E-6	 0.0	 0.7434056874887188	 0.0224124960301442	 7.105827673426574E-7	 7.948242570650098E-14	 2.0922023527501826E-5	 3.740860247540301E-4	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
