vKurbelwinkel	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-360	2.8203	2.2616	2.7868
-359.9	2.8143	2.2618	2.7853
-359.8	2.8084	2.262	2.7838
-359.7	2.8024	2.2621	2.7824
-359.6	2.7964	2.2623	2.781
-359.5	2.7903	2.2625	2.7795
-359.4	2.7842	2.2626	2.7781
-359.3	2.7782	2.2628	2.7767
-359.2	2.772	2.263	2.7753
-359.1	2.7659	2.2631	2.7739
-359	2.7597	2.2632	2.7725
-358.9	2.7535	2.2634	2.7711
-358.8	2.7473	2.2635	2.7697
-358.7	2.7411	2.2637	2.7684
-358.6	2.7348	2.2638	2.767
-358.5	2.7285	2.2639	2.7657
-358.4	2.7222	2.264	2.7643
-358.3	2.7158	2.2641	2.763
-358.2	2.7095	2.2642	2.7617
-358.1	2.7031	2.2644	2.7604
-358	2.6967	2.2645	2.759
-357.9	2.6902	2.2646	2.7577
-357.8	2.6837	2.2648	2.7564
-357.7	2.6771	2.2649	2.7551
-357.6	2.6706	2.265	2.7537
-357.5	2.6639	2.2652	2.7524
-357.4	2.6572	2.2653	2.7511
-357.3	2.6505	2.2654	2.7497
-357.2	2.6438	2.2655	2.7485
-357.1	2.6372	2.2655	2.7472
-357	2.6305	2.2656	2.7459
-356.9	2.6238	2.2657	2.7447
-356.8	2.6172	2.2657	2.7436
-356.7	2.6106	2.2656	2.7424
-356.6	2.6039	2.2656	2.7414
-356.5	2.5973	2.2656	2.7403
-356.4	2.5908	2.2655	2.7394
-356.3	2.5842	2.2654	2.7385
-356.2	2.5776	2.2652	2.7376
-356.1	2.5711	2.265	2.7368
-356	2.5647	2.2648	2.736
-355.9	2.5583	2.2646	2.7353
-355.8	2.5519	2.2643	2.7346
-355.7	2.5456	2.264	2.734
-355.6	2.5395	2.2636	2.7335
-355.5	2.5333	2.2633	2.733
-355.4	2.5272	2.2629	2.7326
-355.3	2.5212	2.2626	2.7322
-355.2	2.5154	2.2622	2.7318
-355.1	2.5096	2.2618	2.7314
-355	2.5038	2.2613	2.7311
-354.9	2.4981	2.2609	2.7307
-354.8	2.4925	2.2605	2.7304
-354.7	2.487	2.26	2.7301
-354.6	2.4816	2.2595	2.7298
-354.5	2.4762	2.259	2.7294
-354.4	2.4709	2.2585	2.7292
-354.3	2.4657	2.258	2.7289
-354.2	2.4606	2.2574	2.7286
-354.1	2.4556	2.2569	2.7284
-354	2.4505	2.2563	2.7281
-353.9	2.4457	2.2557	2.7279
-353.8	2.441	2.2551	2.7277
-353.7	2.4363	2.2545	2.7275
-353.6	2.4318	2.2539	2.7273
-353.5	2.4273	2.2533	2.7273
-353.4	2.4229	2.2526	2.7272
-353.3	2.4187	2.252	2.7271
-353.2	2.4147	2.2513	2.7272
-353.1	2.4108	2.2507	2.7273
-353	2.4069	2.25	2.7274
-352.9	2.4031	2.2493	2.7277
-352.8	2.3996	2.2486	2.7281
-352.7	2.3961	2.2478	2.7284
-352.6	2.3927	2.247	2.7289
-352.5	2.3894	2.2462	2.7295
-352.4	2.3863	2.2454	2.7301
-352.3	2.3832	2.2446	2.7309
-352.2	2.3803	2.2437	2.7317
-352.1	2.3775	2.2428	2.7326
-352	2.3749	2.242	2.7335
-351.9	2.3723	2.2411	2.7345
-351.8	2.3698	2.2402	2.7357
-351.7	2.3675	2.2393	2.7368
-351.6	2.3653	2.2385	2.7381
-351.5	2.3631	2.2376	2.7393
-351.4	2.3611	2.2367	2.7406
-351.3	2.3592	2.2358	2.7418
-351.2	2.3575	2.2349	2.7431
-351.1	2.3558	2.2341	2.7445
-351	2.3543	2.2332	2.7458
-350.9	2.353	2.2323	2.7472
-350.8	2.3517	2.2313	2.7485
-350.7	2.3505	2.2304	2.7499
-350.6	2.3495	2.2295	2.7513
-350.5	2.3485	2.2285	2.7527
-350.4	2.3476	2.2276	2.7542
-350.3	2.3469	2.2267	2.7556
-350.2	2.3462	2.2257	2.757
-350.1	2.3456	2.2248	2.7585
-350	2.3451	2.2239	2.7599
-349.9	2.3447	2.223	2.7614
-349.8	2.3443	2.2221	2.7629
-349.7	2.344	2.2212	2.7644
-349.6	2.3438	2.2202	2.7659
-349.5	2.3436	2.2193	2.7674
