Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	T_mittel [K]	 kappa [-]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Alpha [W/(m^2K)]
-150.0	 0.0	 6.889650613780127E-4	 1.06	 0.0	 0.0	 0.0	 373.35469766496044	 1.3694180437721613	 0.0	 0.0	 0.0	 0.0	 0.0	 72.42935376778772	 
-149.9	 8.33123677759825E-6	 6.887495504392424E-4	 1.0604579044785565	 0.0	 0.0	 0.0	 373.3991441821778	 1.3694130974796068	 -82.29111134890812	 -0.006855867333394561	 -6.855867333394561E-4	 0.0	 0.0	 72.47853172832268	 
-149.8	 1.66624735551965E-5	 6.885333234694499E-4	 1.060917653845929	 0.0	 0.0	 0.0	 373.4437508440092	 1.3694081330943677	 -82.20435443548675	 -0.006848639409516491	 -0.0013704506742911052	 0.0	 0.0	 72.52787511262032	 
-149.7	 2.499371033279475E-5	 6.883163805178368E-4	 1.0613792517000042	 0.0	 0.0	 0.0	 373.48851782651167	 1.369403150593996	 -82.1171317055582	 -0.0068413726773622575	 -0.0020545879420273312	 0.0	 0.0	 72.57738398604536	 
-149.6	 3.3324947110393E-5	 6.880987216343925E-4	 1.0618427016552787	 0.0	 0.0	 0.0	 373.53344530640607	 1.3693981499559569	 -82.0294413285209	 -0.006834066984420113	 -0.0027379946404693426	 0.0	 0.0	 72.62705841475072	 
-149.5	 4.1656183887991255E-5	 6.878803468699006E-4	 1.0623080073429116	 0.0	 0.0	 0.0	 373.57853346107794	 1.3693931311576277	 -81.94128146818208	 -0.006826722177712486	 -0.003420666858240591	 0.0	 0.0	 72.67689846568007	 
-149.4	 4.99874206655895E-5	 6.87661256275945E-4	 1.062775172410778	 0.0	 0.0	 0.0	 373.6237824685785	 1.3693880941762986	 -81.85265028275145	 -0.006819338103795467	 -0.004102600668620138	 0.0	 0.0	 72.72690420657041	 
-149.3	 5.8318657443187754E-5	 6.874414499049154E-4	 1.0632442005235208	 0.0	 0.0	 0.0	 373.66919250762527	 1.3693830389891721	 -81.76354592483555	 -0.006811914608758336	 -0.0047837921294959715	 0.0	 0.0	 72.77707570595483	 
-149.2	 6.6649894220786E-5	 6.87220927810015E-4	 1.0637150953626064	 0.0	 0.0	 0.0	 373.71476375760295	 1.3693779655733629	 -81.67396654143258	 -0.006804451538223121	 -0.005464237283318284	 0.0	 0.0	 72.82741303316509	 
-149.1	 7.498113099838425E-5	 6.869996900452648E-4	 1.0641878606263764	 0.0	 0.0	 0.0	 373.7604963985642	 1.3693728739058977	 -81.58391027392662	 -0.0067969487373441325	 -0.006143932157052698	 0.0	 0.0	 72.87791625833411	 
-149.0	 8.331236777598251E-5	 6.867777366655111E-4	 1.0646625000301024	 0.0	 0.0	 0.0	 373.8063906112305	 1.3693677639637154	 -81.4933752580818	 -0.006789406050807464	 -0.006822872762133444	 0.0	 0.0	 72.92858545239858	 
-148.9	 9.164360455358076E-5	 6.865550677264311E-4	 1.0651390173060404	 0.0	 0.0	 0.0	 373.8524465769928	 1.3693626357236668	 -81.40235962403666	 -0.006781823322830532	 -0.007501055094416497	 0.0	 0.0	 72.97942068710167	 
-148.8	 9.9974841331179E-5	 6.863316832845398E-4	 1.0656174162034857	 0.0	 0.0	 0.0	 373.8986644779127	 1.369357489162514	 -81.31086149629793	 -0.006774200397161549	 -0.008178475134132652	 0.0	 0.0	 73.03042203499535	 
-148.7	 1.0830607810877726E-4	 6.861075833971956E-4	 1.0660977004888272	 0.0	 0.0	 0.0	 373.94504449672286	 1.3693523242569312	 -81.21887899373442	 -0.006766537117079022	 -0.008855128845840554	 0.0	 0.0	 73.08158956944314	 
-148.6	 1.1663731488637551E-4	 6.858827681226075E-4	 1.0665798739456027	 0.0	 0.0	 0.0	 373.9915868168281	 1.3693471409835036	 -81.1264102295708	 -0.006758833325391232	 -0.009531012178379678	 0.0	 0.0	 73.13292336462224	 
-148.5	 1.2496855166397377E-4	 6.856572375198395E-4	 1.0670639403745552	 0.0	 0.0	 0.0	 374.03829162230625	 1.3693419393187278	 -81.03345331138195	 -0.0067510888644357605	 -0.010206121064823253	 0.0	 0.0	 73.1844234955266	 
-148.4	 1.33299788441572E-4	 6.854309916488196E-4	 1.067549903593687	 0.0	 0.0	 0.0	 374.0851590979088	 1.369336719239012	 -80.94000634108511	 -0.006743303576078839	 -0.010880451422431136	 0.0	 0.0	 73.23609003796889	 
-148.3	 1.4163102521917026E-4	 6.852040305703436E-4	 1.0680377674383175	 0.0	 0.0	 0.0	 374.13218942906167	 1.369331480720675	 -80.84606741493518	 -0.006735477301714955	 -0.011553999152602632	 0.0	 0.0	 73.28792306858328	 
-148.2	 1.499622619967685E-4	 6.849763543460833E-4	 1.0685275357611386	 0.0	 0.0	 0.0	 374.1793828018665	 1.369326223739946	 -80.75163462351726	 -0.006727609882266233	 -0.012226760140829256	 0.0	 0.0	 73.33992266482771	 
-148.1	 1.5829349877436678E-4	 6.847479630385921E-4	 1.069019212432272	 0.0	 0.0	 0.0	 374.2267394031009	 1.369320948272966	 -80.65670605173938	 -0.006719701158181825	 -0.012898730256647438	 0.0	 0.0	 73.39208890498648	 
-148.0	 1.6662473555196502E-4	 6.845188567113113E-4	 1.0695128013393247	 0.0	 0.0	 0.0	 374.2742594202199	 1.369315654295786	 -80.56127977882711	 -0.006711750969437467	 -0.013569905353591184	 0.0	 0.0	 73.44442186817247	 
-147.9	 1.7495597232956327E-4	 6.842890354285767E-4	 1.0700083063874481	 0.0	 0.0	 0.0	 374.3219430413562	 1.3693103417843675	 -80.46535387831516	 -0.006703759155534773	 -0.014240281269144662	 0.0	 0.0	 73.49692163432978	 
-147.8	 1.832872091071615E-4	 6.84058499255625E-4	 1.0705057314993949	 0.0	 0.0	 0.0	 374.3697904553214	 1.3693050107145828	 -80.36892641804175	 -0.006695725555500771	 -0.014909853824694739	 0.0	 0.0	 73.54958828423602	 
-147.7	 1.9161844588475976E-4	 6.838272482586003E-4	 1.0710050806155764	 0.0	 0.0	 0.0	 374.417801851607	 1.3692996610622132	 -80.27199546014074	 -0.006687650007887244	 -0.015578618825483464	 0.0	 0.0	 73.60242189950462	 
-147.6	 1.99949682662358E-4	 6.835952825045607E-4	 1.0715063576941208	 0.0	 0.0	 0.0	 374.46597742038483	 1.3692942928029517	 -80.1745590610337	 -0.006679532350770071	 -0.01624657206056047	 0.0	 0.0	 73.65542256258725	 
-147.5	 2.0828091943995628E-4	 6.833626020614842E-4	 1.0720095667109326	 0.0	 0.0	 0.0	 374.51431735250816	 1.3692889059123994	 -80.07661527142469	 -0.0066713724217487905	 -0.01691370930273535	 0.0	 0.0	 73.70859035677628	 
-147.4	 2.1661215621755452E-4	 6.831292069982757E-4	 1.07251471165975	 0.0	 0.0	 0.0	 374.5628218395124	 1.3692835003660688	 -79.97816213629092	 -0.006663170057945828	 -0.017580026308529933	 0.0	 0.0	 73.76192536620698	 
