Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	T_Zone_1 [K]	T_mittel [K]	T_BurnAdiabat [K]	p_soll [bar]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	Hu Zone [J/kg]	Hu frischGemsich [J/kg]	Phi_Delay [°KW]	Alpha [W/(m^2K)]	pSchlepp [bar]	Brennraumfläche [m^2]	Zonenmasse [kg]	ZonenKontrollmasse [kg]	 cv[J/kg]	 cp [J/kg]	 kappa [-]	 U [J]	H_Massenbruch [kg]	O_Massenbruch [kg]	N_Massenbruch [kg]	H2_Massenbruch [kg]	OH_Massenbruch [kg]	CO_Massenbruch [kg]	NO_Massenbruch [kg]	O2_Massenbruch [kg]	H2O_Massenbruch [kg]	CO2_Massenbruch [kg]	N2_Massenbruch [kg]	RON_95_Massenbruch [kg]
-119.0	 0.0	 5.885614731604564E-4	 392.06207431235515	 392.06207431235515	 933.0802677422012	 1.3030000940000002	 1.3030000940000002	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 422.8234824250272	 615772.829394179	 615772.8293941792	 0.0	 91.56380229367778	 3.3366179096660282	 0.03957690650066202	 6.867171939550027E-4	 6.867171939550025E-4	 775.4735440707215	 1060.3152134723236	 1.367313200533409	 -878.958541327265	 1.7973091035544015E-9	 1.437944435966775E-6	 1.8963829855891358E-13	 9.325179934504665E-8	 5.564399981218751E-5	 4.354833975711324E-6	 7.704141803683492E-4	 0.12569560644449562	 0.03349530111247544	 0.09148811322937073	 0.7345032908335672	 0.01398574237220073	 
-118.5	 4.1656183887991255E-5	 5.864122513651385E-4	 392.5919700734606	 392.5919700734606	 933.5453835890614	 1.309396321	 1.309543174156388	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -35.30582728115123	 -0.0029414120670825878	 -0.001470706033541294	 0.0	 0.0	 422.8234824250272	 615772.829394179	 615772.8293941792	 0.0	 92.09253573578358	 3.3383570353548917	 0.03949093762884931	 6.867171939550027E-4	 6.867171939550027E-4	 775.6007999105843	 1060.4424693121866	 1.3672529340279695	 -878.676332249127	 1.7973091035544015E-9	 1.437944435966775E-6	 1.8963829855891356E-13	 9.325179934504665E-8	 5.564399981218751E-5	 4.354833975711324E-6	 7.704141803683492E-4	 0.12569560644449562	 0.03349530111247544	 0.09148811322937073	 0.7345032908335672	 0.01398574237220073	 
-118.0	 8.331236777598251E-5	 5.84247405811509E-4	 393.12816401100565	 393.12816401100565	 934.0160372678093	 1.315894566	 1.316190673886151	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -33.690969268658264	 -0.002806874422439782	 -0.0028741432447611853	 0.0	 0.0	 422.8234824250272	 615772.829394179	 615772.8293941792	 0.0	 92.62690750603635	 3.340116180660937	 0.03940434380670413	 6.867171939550027E-4	 6.867171939550025E-4	 775.7296842980722	 1060.5713536996743	 1.3671919164204016	 -878.3907217644585	 1.7973091035544015E-9	 1.437944435966775E-6	 1.8963829855891356E-13	 9.325179934504665E-8	 5.564399981218751E-5	 4.354833975711324E-6	 7.704141803683492E-4	 0.12569560644449562	 0.03349530111247544	 0.09148811322937073	 0.7345032908335672	 0.01398574237220073	 
-117.5	 1.2496855166397377E-4	 5.820670200674933E-4	 393.6707114029062	 393.6707114029062	 934.4922762043734	 1.3224964700000001	 1.3229442893938006	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -32.04325579724857	 -0.0026695995117202564	 -0.0042089430006213135	 0.0	 0.0	 422.8234824250272	 615772.829394179	 615772.8293941792	 0.0	 93.16696637478024	 3.341895497082071	 0.0393171283769435	 6.867171939550027E-4	 6.867171939550027E-4	 775.8602145001972	 1060.7018839017994	 1.3671301402986553	 -878.1016787061201	 1.7973091035544015E-9	 1.437944435966775E-6	 1.8963829855891356E-13	 9.325179934504665E-8	 5.564399981218751E-5	 4.354833975711324E-6	 7.704141803683492E-4	 0.12569560644449562	 0.03349530111247544	 0.09148811322937073	 0.7345032908335672	 0.01398574237220073	 
-117.0	 1.6662473555196502E-4	 5.798711797158487E-4	 394.03769869485916	 394.03769869485916	 934.8146570571923	 1.329203707	 1.329191922555578	 -2326.1625303367396	 -0.19379810823412452	 -0.09689905411706226	 0.0	 0.0	 0.0	 -30.35810169368946	 -0.002529205333285334	 -0.00547354566726398	 0.0	 -2.2917141110828415E-4	 422.8234824250272	 615772.829394179	 615772.8293941792	 0.0	 93.70023851170636	 3.343695137728543	 0.03922929476287772	 6.867171939550027E-4	 6.867171939550027E-4	 775.9485746960733	 1060.7902440976754	 1.3670883338024948	 -877.9061380103251	 1.7973091035544015E-9	 1.437944435966775E-6	 1.8963829855891356E-13	 9.325179934504665E-8	 5.564399981218751E-5	 4.354833975711324E-6	 7.704141803683492E-4	 0.12569560644449562	 0.03349530111247544	 0.09148811322937073	 0.7345032908335672	 0.01398574237220073	 
-116.5	 2.0828091943995628E-4	 5.776599723762061E-4	 394.41100104130436	 394.41100104130436	 935.142585772089	 1.336017987	 1.3355439629833579	 -2326.1625303367396	 -0.19379810823412452	 -0.19379810823412452	 0.0	 0.0	 0.0	 -29.324175625269262	 -0.0024430665044199345	 -0.006695078919473948	 0.0	 -4.583428222165683E-4	 422.8234824250272	 615772.829394179	 615772.8293941792	 0.0	 94.23917146041285	 3.3455152573326012	 0.039140846469292015	 6.867171939550027E-4	 6.867171939550027E-4	 776.0385112782619	 1060.8801806798642	 1.3670457912358263	 -877.7072096302824	 1.7973091035544015E-9	 1.437944435966775E-6	 1.8963829855891356E-13	 9.325179934504665E-8	 5.564399981218751E-5	 4.354833975711324E-6	 7.704141803683492E-4	 0.12569560644449562	 0.03349530111247544	 0.09148811322937073	 0.7345032908335672	 0.01398574237220073	 
-116.0	 2.4993710332794753E-4	 5.754334877267682E-4	 395.06346477576875	 395.06346477576875	 935.7152163950087	 1.342941057	 1.3429293937842806	 1161.8327847624603	 0.09679504025832401	 -0.1454005881049625	 0.0	 0.0	 0.0	 -28.26732985100479	 -0.00235501818059192	 -0.007872588009769907	 0.0	 -3.4388011581344506E-4	 422.8234824250272	 615772.829394179	 615772.8293941793	 0.0	 94.80276854070677	 3.3473560122582544	 0.0390517870833145	 6.867171939550027E-4	 6.867171939550027E-4	 776.1958390850051	 1061.0375084866073	 1.3669713944065705	 -877.359464077063	 1.7973091035544015E-9	 1.437944435966775E-6	 1.8963829855891356E-13	 9.325179934504665E-8	 5.564399981218751E-5	 4.354833975711324E-6	 7.704141803683492E-4	 0.12569560644449562	 0.03349530111247544	 0.09148811322937073	 0.7345032908335672	 0.01398574237220073	 
-115.5	 2.915932872159388E-4	 5.731918175256468E-4	 395.72257492213316	 395.72257492213316	 936.293697079424	 1.3499747000000002	 1.3504306551480265	 1161.8327847624603	 0.09679504025832401	 -0.0970030679758005	 0.0	 0.0	 0.0	 -26.146884972565793	 -0.0021783588970307115	 -0.008961767458285263	 0.0	 -2.2941740941032188E-4	 422.8234824250272	 615772.829394179	 615772.8293941792	 0.0	 95.37231616912628	 3.3492175605111227	 0.03896212027526964	 6.867171939550027E-4	 6.867171939550027E-4	 776.3549439682664	 1061.1966133698686	 1.3668961879029975	 -877.0081045536429	 1.7973091035544015E-9	 1.437944435966775E-6	 1.8963829855891356E-13	 9.325179934504665E-8	 5.564399981218751E-5	 4.354833975711324E-6	 7.704141803683492E-4	 0.12569560644449562	 0.03349530111247544	 0.09148811322937073	 0.7345032908335672	 0.01398574237220073	 
-115.0	 3.3324947110393004E-4	 5.709350556318246E-4	 396.11340528373466	 396.11340528373466	 936.6370343560261	 1.35712074	 1.3571075735822737	 -2355.6103937324183	 -0.1962514794595622	 -0.1951288077055816	 0.0	 0.0	 0.0	 -23.983022413245532	 -0.001998082383671943	 -0.009960808650121234	 0.0	 -4.614899971649063E-4	 422.8234824250272	 615772.829394179	 615772.8293941792	 0.0	 95.92859643028241	 3.35110006174839	 0.03887184979951676	 6.867171939550027E-4	 6.867171939550027E-4	 776.4493705533899	 1061.2910399549921	 1.3668515684397944	 -876.7997260349764	 1.7973091035544015E-9	 1.437944435966775E-6	 1.8963829855891356E-13	 9.325179934504665E-8	 5.564399981218751E-5	 4.354833975711324E-6	 7.704141803683492E-4	 0.12569560644449562	 0.03349530111247544	 0.09148811322937073	 0.7345032908335672	 0.01398574237220073	 
-114.5	 3.749056549919213E-4	 5.686632980257261E-4	 396.51077304614125	 396.51077304614125	 936.9861154575611	 1.364381039	 1.3638959373604036	 -2355.6103937324183	 -0.1962514794595622	 -0.2932545474353627	 0.0	 0.0	 0.0	 -22.830691000730592	 -0.0019020789252326812	 -0.010911848112737575	 0.0	 -6.935625849194908E-4	 422.8234824250272	 615772.829394179	 615772.8293941792	 0.0	 96.49074286271913	 3.353003677288851	 0.038780979495272816	 6.867171939550027E-4	 6.867171939550025E-4	 776.5454396486076	 1061.3871090502098	 1.3668061839761692	 -876.5878359876581	 1.7973091035544015E-9	 1.437944435966775E-6	 1.8963829855891356E-13	 9.325179934504665E-8	 5.564399981218751E-5	 4.354833975711324E-6	 7.704141803683492E-4	 0.12569560644449562	 0.03349530111247544	 0.09148811322937073	 0.7345032908335672	 0.01398574237220073	 
