Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	T_Zone_1 [K]	T_mittel [K]	T_BurnAdiabat [K]	p_soll [bar]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	Hu Zone [J/kg]	Hu frischGemsich [J/kg]	Phi_Delay [°KW]	Alpha [W/(m^2K)]	pSchlepp [bar]	Brennraumfläche [m^2]	Zonenmasse [kg]	ZonenKontrollmasse [kg]	 cv[J/kg]	 cp [J/kg]	 kappa [-]	 U [J]	H_Massenbruch [kg]	O_Massenbruch [kg]	N_Massenbruch [kg]	H2_Massenbruch [kg]	OH_Massenbruch [kg]	CO_Massenbruch [kg]	NO_Massenbruch [kg]	O2_Massenbruch [kg]	H2O_Massenbruch [kg]	CO2_Massenbruch [kg]	N2_Massenbruch [kg]	RON_95_Massenbruch [kg]
-119.0	 0.0	 5.81893301355834E-4	 391.45604811935334	 391.45604811935334	 932.5513453700704	 1.315894566	 1.315894566	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 422.8234824250272	 615772.829394179	 615772.8293941793	 0.0	 92.13235344682529	 3.439055146144204	 0.03957690650066202	 6.867171939550024E-4	 6.867171939550025E-4	 775.328145219577	 1060.1698146211793	 1.367382083518887	 -879.2812388112504	 1.7973091035544025E-9	 1.4379444359667746E-6	 1.8963829855891363E-13	 9.325179934504667E-8	 5.564399981218751E-5	 4.354833975711325E-6	 7.70414180368349E-4	 0.12569560644449562	 0.03349530111247544	 0.09148811322937075	 0.7345032908335671	 0.013985742372200726	 
-118.5	 4.1656183887991255E-5	 5.797440795605161E-4	 391.99146970767106	 391.99146970767106	 933.0212966309017	 1.3224964700000001	 1.3225793505691112	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -37.78874151519438	 -0.003148269530905413	 -0.0015741347654527065	 0.0	 0.0	 422.8234824250272	 615772.8293941789	 615772.8293941793	 0.0	 92.6690013081978	 3.4408036017071004	 0.03949093762884931	 6.867171939550023E-4	 6.867171939550023E-4	 775.456596805278	 1060.2982662068803	 1.3673212280030778	 -878.9961400582878	 1.7973091035544025E-9	 1.4379444359667741E-6	 1.8963829855891363E-13	 9.325179934504663E-8	 5.56439998121875E-5	 4.354833975711325E-6	 7.704141803683489E-4	 0.12569560644449562	 0.03349530111247544	 0.09148811322937077	 0.734503290833567	 0.013985742372200724	 
-118.0	 8.331236777598251E-5	 5.775792340068867E-4	 392.5332835051718	 392.5332835051718	 933.4968680929273	 1.329203707	 1.3293714897504365	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -36.1531351922017	 -0.0030120032953875244	 -0.0030801364131464687	 0.0	 0.0	 422.8234824250272	 615772.8293941789	 615772.8293941793	 0.0	 93.21142604506747	 3.44257223636153	 0.03940434380670413	 6.867171939550022E-4	 6.867171939550022E-4	 775.5867005636528	 1060.4283699652551	 1.3672596102983656	 -878.7075895114067	 1.797309103554403E-9	 1.4379444359667741E-6	 1.8963829855891366E-13	 9.32517993450466E-8	 5.5643999812187484E-5	 4.354833975711325E-6	 7.704141803683489E-4	 0.12569560644449565	 0.03349530111247544	 0.09148811322937075	 0.734503290833567	 0.01398574237220072	 
-117.5	 1.2496855166397377E-4	 5.753988482628709E-4	 393.0815465040441	 393.0815465040441	 933.9781087329761	 1.336017987	 1.3362727482073042	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -34.48386040448364	 -0.002872932060353982	 -0.004516602443323459	 0.0	 0.0	 422.8234824250272	 615772.8293941787	 615772.8293941793	 0.0	 93.75967914813809	 3.444361204517245	 0.0393171283769435	 6.867171939550021E-4	 6.867171939550021E-4	 775.7184742670456	 1060.560143668648	 1.3671972227691769	 -878.4155550532038	 1.7973091035544027E-9	 1.4379444359667741E-6	 1.896382985589137E-13	 9.325179934504658E-8	 5.5643999812187484E-5	 4.354833975711325E-6	 7.704141803683489E-4	 0.12569560644449565	 0.03349530111247544	 0.09148811322937073	 0.734503290833567	 0.013985742372200717	 
-117.0	 1.6662473555196502E-4	 5.732030079112264E-4	 393.6363164238651	 393.6363164238651	 934.465070798456	 1.342941057	 1.3432849288748487	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -32.78036674997969	 -0.0027310099705058965	 -0.005882107428576408	 0.0	 0.0	 422.8234824250272	 615772.8293941786	 615772.8293941793	 0.0	 94.31381307859651	 3.4461706622654913	 0.03922929476287772	 6.867171939550019E-4	 6.867171939550019E-4	 775.851935952947	 1060.6936053545492	 1.3671340576752482	 -878.1200041345002	 1.7973091035544031E-9	 1.4379444359667741E-6	 1.8963829855891376E-13	 9.325179934504658E-8	 5.56439998121875E-5	 4.354833975711325E-6	 7.704141803683491E-4	 0.12569560644449565	 0.033495301112475444	 0.09148811322937077	 0.734503290833567	 0.01398574237220072	 
-116.5	 2.0828091943995628E-4	 5.709918005715838E-4	 394.19765171915157	 394.19765171915157	 934.9578072025242	 1.3499747000000002	 1.3504098738670853	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -31.042095862998394	 -0.002586190507075427	 -0.007175202682114122	 0.0	 0.0	 422.8234824250272	 615772.8293941787	 615772.8293941793	 0.0	 94.87388128232216	 3.4480007673904502	 0.039140846469292015	 6.867171939550018E-4	 6.867171939550018E-4	 775.9871039276401	 1060.8287733292423	 1.3670701071704452	 -877.8209037692314	 1.7973091035544031E-9	 1.4379444359667741E-6	 1.8963829855891376E-13	 9.325179934504655E-8	 5.5643999812187484E-5	 4.354833975711325E-6	 7.704141803683491E-4	 0.12569560644449565	 0.033495301112475444	 0.09148811322937075	 0.734503290833567	 0.013985742372200717	 
-116.0	 2.4993710332794753E-4	 5.687653159221459E-4	 394.60833774774767	 394.60833774774767	 935.318516725811	 1.35712074	 1.3571085805457743	 -2010.7731932079703	 -0.16752227578662915	 -0.08376113789331457	 0.0	 0.0	 0.0	 -29.26510548402045	 -0.0024381452310876343	 -0.00839427529765794	 0.0	 -1.9809954123862234E-4	 422.8234824250272	 615772.8293941786	 615772.8293941793	 0.0	 95.42893030421025	 3.449851679380821	 0.0390517870833145	 6.867171939550017E-4	 6.867171939550017E-4	 776.0860767055659	 1060.927746107168	 1.3670232954194157	 -877.6020419294924	 1.7973091035544031E-9	 1.4379444359667741E-6	 1.8963829855891374E-13	 9.325179934504654E-8	 5.5643999812187484E-5	 4.354833975711325E-6	 7.70414180368349E-4	 0.12569560644449565	 0.033495301112475444	 0.09148811322937073	 0.734503290833567	 0.013985742372200714	 
-115.5	 2.915932872159388E-4	 5.665236457210245E-4	 395.0255741166957	 395.0255741166957	 935.6849805210729	 1.364381039	 1.3639191133396955	 -2010.7731932079703	 -0.16752227578662915	 -0.16752227578662915	 0.0	 0.0	 0.0	 -28.0526761184137	 -0.0023371348698778037	 -0.009562842732596841	 0.0	 -3.9619908247724467E-4	 422.8234824250272	 615772.8293941785	 615772.8293941793	 0.0	 95.98991115736553	 3.4517235594415596	 0.03896212027526964	 6.867171939550015E-4	 6.867171939550015E-4	 776.186697853885	 1061.0283672554874	 1.3669757162666847	 -877.379660703549	 1.7973091035544034E-9	 1.4379444359667741E-6	 1.896382985589138E-13	 9.325179934504655E-8	 5.564399981218749E-5	 4.354833975711325E-6	 7.704141803683494E-4	 0.12569560644449565	 0.03349530111247545	 0.09148811322937073	 0.7345032908335672	 0.013985742372200715	 
-115.0	 3.3324947110393004E-4	 5.642668838272023E-4	 395.70963181414317	 395.70963181414317	 936.2853389260794	 1.371757497	 1.3717453680133336	 1316.9784473671812	 0.10972059276009702	 -0.11266197940658064	 0.0	 0.0	 0.0	 -26.814145581099893	 -0.0022339499582513305	 -0.010679817711722507	 0.0	 -2.6645156688183055E-4	 422.8234824250272	 615772.8293941785	 615772.8293941793	 0.0	 96.57526607477101	 3.4536165705057584	 0.03887184979951676	 6.867171939550015E-4	 6.867171939550015E-4	 776.3518179007086	 1061.1934873023108	 1.366897665251596	 -877.0150049803063	 1.7973091035544031E-9	 1.4379444359667741E-6	 1.896382985589138E-13	 9.325179934504655E-8	 5.5643999812187484E-5	 4.354833975711325E-6	 7.704141803683494E-4	 0.12569560644449565	 0.033495301112475444	 0.09148811322937073	 0.7345032908335672	 0.013985742372200715	 
-114.5	 3.749056549919213E-4	 5.619951262211038E-4	 396.40057368316906	 396.40057368316906	 936.8917574281959	 1.3792520590000001	 1.3796952491609165	 1316.9784473671812	 0.10972059276009702	 -0.05780168302653213	 0.0	 0.0	 0.0	 -24.542987885495926	 -0.0020447344330379196	 -0.011702184928241467	 0.0	 -1.3670405128641646E-4	 422.8234824250272	 615772.8293941786	 615772.8293941793	 0.0	 97.1668487281755	 3.4555308772466846	 0.038780979495272816	 6.867171939550015E-4	 6.867171939550015E-4	 776.5187910781882	 1061.3604604797904	 1.3668187720301046	 -876.6466006745974	 1.7973091035544031E-9	 1.4379444359667741E-6	 1.896382985589138E-13	 9.325179934504655E-8	 5.5643999812187484E-5	 4.354833975711326E-6	 7.704141803683494E-4	 0.12569560644449565	 0.033495301112475444	 0.09148811322937073	 0.7345032908335672	 0.013985742372200715	 
