Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	T_Zone_1 [K]	T_mittel [K]	T_BurnAdiabat [K]	p_soll [bar]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	Hu Zone [J/kg]	Hu frischGemsich [J/kg]	Phi_Delay [°KW]	Alpha [W/(m^2K)]	pSchlepp [bar]	Brennraumfläche [m^2]	Zonenmasse [kg]	ZonenKontrollmasse [kg]	 cv[J/kg]	 cp [J/kg]	 kappa [-]	 U [J]	H_Massenbruch [kg]	O_Massenbruch [kg]	N_Massenbruch [kg]	H2_Massenbruch [kg]	OH_Massenbruch [kg]	CO_Massenbruch [kg]	NO_Massenbruch [kg]	O2_Massenbruch [kg]	H2O_Massenbruch [kg]	CO2_Massenbruch [kg]	N2_Massenbruch [kg]	RON_95_Massenbruch [kg]
-119.0	 0.0	 5.885614731604564E-4	 395.77439276332063	 395.77439276332063	 1017.2533463544429	 1.315894566	 1.315894566	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 496.17939540646836	 720867.7080016568	 720867.7080016568	 0.0	 92.2595690702646	 3.424643185791523	 0.03957690650066202	 6.883834413105223E-4	 6.883834413105223E-4	 783.6569097388248	 1067.9293890587073	 1.3627511935224614	 -1020.5043115241359	 2.1301951189457783E-9	 1.182830879645456E-6	 1.884506368263351E-13	 1.3137213920266843E-7	 5.4406192008940696E-5	 6.134122922879576E-6	 6.315812164120394E-4	 0.10853160223049943	 0.03892810940229429	 0.10631117581167406	 0.7291632629847774	 0.01637241170600865	 
-118.5	 4.1656183887991255E-5	 5.864122513651385E-4	 396.30157867600076	 396.30157867600076	 1017.7074847567036	 1.3224964700000001	 1.3224766101275478	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -21.69982736764836	 -0.0018078639983288506	 -9.039319991644253E-4	 0.0	 0.0	 496.17939540646836	 720867.7080016567	 720867.7080016568	 0.0	 92.79188319550174	 3.426461384570632	 0.03949093762884931	 6.883834413105223E-4	 6.883834413105223E-4	 783.7944411010042	 1068.0669204208866	 1.3626875420557487	 -1020.2198927358415	 2.1301951189457783E-9	 1.1828308796454559E-6	 1.884506368263351E-13	 1.3137213920266843E-7	 5.4406192008940696E-5	 6.134122922879576E-6	 6.315812164120394E-4	 0.10853160223049943	 0.03892810940229429	 0.10631117581167406	 0.7291632629847774	 0.01637241170600865	 
-118.0	 8.331236777598251E-5	 5.84247405811509E-4	 396.83502415898766	 396.83502415898766	 1018.1670361069461	 1.329203707	 1.329163587016783	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -20.032272393733518	 -0.0016689360450553882	 -0.0017384000216921196	 0.0	 0.0	 496.17939540646836	 720867.7080016567	 720867.7080016568	 0.0	 93.32986907797249	 3.4283005311155637	 0.03940434380670413	 6.883834413105223E-4	 6.883834413105223E-4	 783.9337075556716	 1068.206186875554	 1.3626231103217292	 -1019.9320460636663	 2.1301951189457783E-9	 1.1828308796454556E-6	 1.884506368263351E-13	 1.3137213920266843E-7	 5.4406192008940696E-5	 6.134122922879576E-6	 6.315812164120394E-4	 0.10853160223049943	 0.03892810940229429	 0.10631117581167406	 0.7291632629847774	 0.01637241170600865	 
-117.5	 1.2496855166397377E-4	 5.820670200674933E-4	 397.37478376184004	 397.37478376184004	 1018.6320463907134	 1.336017987	 1.3359571975387927	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -18.331556962327575	 -0.0015272454155518076	 -0.0025020227294680238	 0.0	 0.0	 496.17939540646836	 720867.7080016567	 720867.7080016568	 0.0	 93.87357566844142	 3.43016078442191	 0.0393171283769435	 6.883834413105223E-4	 6.883834413105223E-4	 784.0747268371048	 1068.3472061569873	 1.3625578909635503	 -1019.6407402268203	 2.1301951189457783E-9	 1.1828308796454554E-6	 1.884506368263351E-13	 1.3137213920266843E-7	 5.4406192008940696E-5	 6.134122922879576E-6	 6.315812164120394E-4	 0.10853160223049943	 0.03892810940229429	 0.10631117581167406	 0.7291632629847774	 0.01637241170600865	 
-117.0	 1.6662473555196502E-4	 5.798711797158487E-4	 397.9209127096815	 397.9209127096815	 1019.1025648055219	 1.342941057	 1.3428591789296265	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -16.59715579943249	 -0.0013827483479976004	 -0.003193396903466824	 0.0	 0.0	 496.17939540646836	 720867.7080016567	 720867.7080016568	 0.0	 94.42305282368444	 3.43204230518367	 0.03922929476287772	 6.883834413105223E-4	 6.883834413105223E-4	 784.2175169318788	 1068.4899962517613	 1.3624918765294245	 -1019.3459435346062	 2.1301951189457783E-9	 1.1828308796454552E-6	 1.884506368263351E-13	 1.3137213920266843E-7	 5.4406192008940696E-5	 6.134122922879576E-6	 6.315812164120394E-4	 0.10853160223049943	 0.03892810940229429	 0.10631117581167406	 0.7291632629847774	 0.01637241170600865	 
-116.5	 2.0828091943995628E-4	 5.776599723762061E-4	 398.4734669095878	 398.4734669095878	 1019.5786398526815	 1.3499747000000002	 1.3498713056349807	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -14.82853628111453	 -0.0012354004682317136	 -0.003811097137582681	 0.0	 0.0	 496.17939540646836	 720867.7080016567	 720867.7080016568	 0.0	 94.97835131892445	 3.4339452558035948	 0.039140846469292015	 6.883834413105223E-4	 6.883834413105223E-4	 784.3620960820249	 1068.6345754019073	 1.3624250594717093	 -1019.0476238818974	 2.1301951189457783E-9	 1.182830879645455E-6	 1.884506368263351E-13	 1.3137213920266843E-7	 5.4406192008940696E-5	 6.134122922879576E-6	 6.315812164120394E-4	 0.10853160223049943	 0.03892810940229429	 0.10631117581167406	 0.7291632629847774	 0.01637241170600865	 
-116.0	 2.4993710332794753E-4	 5.754334877267682E-4	 399.0325029570507	 399.0325029570507	 1020.0603219518774	 1.35712074	 1.3569953901776108	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -13.025158303117328	 -0.001085156778889703	 -0.004353675527027532	 0.0	 0.0	 496.17939540646836	 720867.7080016567	 720867.7080016568	 0.0	 95.53952286063719	 3.4358698004036268	 0.0390517870833145	 6.883834413105223E-4	 6.883834413105223E-4	 784.5084827882357	 1068.7809621081183	 1.3623574321459782	 -1018.7457487445507	 2.1301951189457783E-9	 1.1828308796454548E-6	 1.884506368263351E-13	 1.3137213920266843E-7	 5.4406192008940696E-5	 6.134122922879576E-6	 6.315812164120394E-4	 0.10853160223049943	 0.03892810940229429	 0.10631117581167406	 0.7291632629847774	 0.01637241170600865	 
-115.5	 2.915932872159388E-4	 5.731918175256468E-4	 399.59807814252355	 399.59807814252355	 1020.547660838479	 1.364381039	 1.364233284048125	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -11.186474146911966	 -9.319716482440499E-4	 -0.004819661351149558	 0.0	 0.0	 496.17939540646836	 720867.7080016567	 720867.7080016568	 0.0	 96.10662009973504	 3.437816104835449	 0.03896212027526964	 6.883834413105223E-4	 6.883834413105223E-4	 784.656695813116	 1068.9291751329986	 1.3622889868100845	 -1018.4402851747492	 2.1301951189457783E-9	 1.1828308796454548E-6	 1.884506368263351E-13	 1.3137213920266843E-7	 5.4406192008940696E-5	 6.134122922879576E-6	 6.315812164120394E-4	 0.10853160223049943	 0.03892810940229429	 0.10631117581167406	 0.7291632629847774	 0.01637241170600865	 
-115.0	 3.3324947110393004E-4	 5.709350556318246E-4	 400.17025045804326	 400.17025045804326	 1021.04070687393	 1.371757497	 1.3715868786198375	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -9.311928342041476	 -7.757987987357545E-4	 -0.005207560750517435	 0.0	 0.0	 496.17939540646836	 720867.7080016567	 720867.7080016568	 0.0	 96.67969664513747	 3.43978433669114	 0.03887184979951676	 6.883834413105223E-4	 6.883834413105223E-4	 784.8067541844816	 1069.079233504364	 1.3622197156232165	 -1018.1311997962766	 2.1301951189457783E-9	 1.1828308796454548E-6	 1.884506368263351E-13	 1.3137213920266843E-7	 5.4406192008940696E-5	 6.134122922879576E-6	 6.315812164120394E-4	 0.10853160223049943	 0.03892810940229429	 0.10631117581167406	 0.7291632629847774	 0.01637241170600865	 
-114.5	 3.749056549919213E-4	 5.686632980257261E-4	 400.7490786039341	 400.7490786039341	 1021.5395136591097	 1.3792520590000001	 1.3790581060883746	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -7.400957524648855	 -6.165912951879705E-4	 -0.00551585639811142	 0.0	 0.0	 496.17939540646836	 720867.7080016567	 720867.7080016568	 0.0	 97.25880707773453	 3.441774665313932	 0.038780979495272816	 6.883834413105223E-4	 6.883834413105223E-4	 784.958677198707	 1069.2311565185896	 1.3621496106449444	 -1017.8184587997214	 2.1301951189457783E-9	 1.1828308796454548E-6	 1.884506368263351E-13	 1.3137213920266843E-7	 5.4406192008940696E-5	 6.134122922879576E-6	 6.315812164120394E-4	 0.10853160223049943	 0.03892810940229429	 0.10631117581167406	 0.7291632629847774	 0.01637241170600865	 
