Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	T_Zone_1 [K]	T_mittel [K]	T_BurnAdiabat [K]	p_soll [bar]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	Hu Zone [J/kg]	Hu frischGemsich [J/kg]	Phi_Delay [°KW]	Alpha [W/(m^2K)]	pSchlepp [bar]	Brennraumfläche [m^2]	Zonenmasse [kg]	ZonenKontrollmasse [kg]	 cv[J/kg]	 cp [J/kg]	 kappa [-]	 U [J]	H_Massenbruch [kg]	O_Massenbruch [kg]	N_Massenbruch [kg]	H2_Massenbruch [kg]	OH_Massenbruch [kg]	CO_Massenbruch [kg]	NO_Massenbruch [kg]	O2_Massenbruch [kg]	H2O_Massenbruch [kg]	CO2_Massenbruch [kg]	N2_Massenbruch [kg]	RON_95_Massenbruch [kg]
-119.0	 0.0	 5.885614731604564E-4	 426.0310978562001	 426.0310978562001	 962.8775035870722	 1.4158945660000002	 1.4158945660000002	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 422.8234824250272	 615772.8293941789	 615772.8293941792	 0.0	 93.79283997281317	 3.518346709045927	 0.03957690650066202	 6.867171939550025E-4	 6.867171939550025E-4	 783.8558573309897	 1068.697526732592	 1.36338526622928	 -860.7720901907405	 1.7973091035544017E-9	 1.4379444359667752E-6	 1.8963829855891366E-13	 9.325179934504659E-8	 5.564399981218751E-5	 4.354833975711324E-6	 7.70414180368349E-4	 0.12569560644449565	 0.03349530111247544	 0.09148811322937074	 0.7345032908335671	 0.01398574237220073	 
-118.5	 4.1656183887991255E-5	 5.864122513651385E-4	 426.590593613743	 426.590593613743	 963.3694819296685	 1.42249647	 1.42295014317707	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 92.89712109825946	 0.007739479118268176	 0.0038697395591340885	 0.0	 0.0	 422.8234824250272	 615772.8293941789	 615772.8293941792	 0.0	 94.33340175371615	 3.5201936106275293	 0.03949093762884931	 6.867171939550025E-4	 6.867171939550025E-4	 783.9976342405835	 1068.8393036421858	 1.3633195522044057	 -860.4708935002643	 1.7973091035544017E-9	 1.4379444359667752E-6	 1.8963829855891366E-13	 9.325179934504659E-8	 5.564399981218751E-5	 4.354833975711324E-6	 7.704141803683491E-4	 0.12569560644449568	 0.03349530111247544	 0.09148811322937074	 0.7345032908335671	 0.01398574237220073	 
-118.0	 8.331236777598251E-5	 5.84247405811509E-4	 426.8697698455747	 426.8697698455747	 963.6153240524087	 1.429203707	 1.429157362582001	 -3707.6444565417096	 -0.3088926385459857	 -0.15444631927299285	 0.0	 0.0	 0.0	 95.11437485959688	 0.0079242037790854	 0.00783184144867679	 0.0	 -3.652737506138355E-4	 422.8234824250272	 615772.8293941789	 615772.8293941792	 0.0	 94.86126166409426	 3.5220617794342206	 0.03940434380670413	 6.867171939550027E-4	 6.867171939550027E-4	 784.0684215365687	 1068.910090938171	 1.3632867509743438	 -860.3205825158464	 1.7973091035544015E-9	 1.4379444359667754E-6	 1.896382985589136E-13	 9.325179934504658E-8	 5.56439998121875E-5	 4.354833975711324E-6	 7.70414180368349E-4	 0.12569560644449565	 0.03349530111247544	 0.09148811322937074	 0.7345032908335672	 0.013985742372200726	 
-117.5	 1.2496855166397377E-4	 5.820670200674933E-4	 427.30442872940085	 427.30442872940085	 963.9977165365713	 1.436017987	 1.4359715809329778	 -1783.488492329617	 -0.1485866491971976	 -0.22873964387159165	 0.0	 0.0	 0.0	 96.2811329908309	 0.008021409161620386	 0.011842546029486983	 0.0	 -5.409814103977789E-4	 422.8234824250272	 615772.8293941789	 615772.8293941792	 0.0	 95.40436762438246	 3.523951376589407	 0.0393171283769435	 6.867171939550028E-4	 6.867171939550028E-4	 784.178690506035	 1069.0203599076372	 1.3632356666282175	 -860.0865312580833	 1.7973091035544015E-9	 1.4379444359667752E-6	 1.8963829855891358E-13	 9.325179934504659E-8	 5.5643999812187504E-5	 4.354833975711323E-6	 7.704141803683489E-4	 0.12569560644449562	 0.03349530111247543	 0.09148811322937073	 0.7345032908335671	 0.013985742372200727	 
-117.0	 1.6662473555196502E-4	 5.798711797158487E-4	 427.7458015489453	 427.7458015489453	 964.3860223016197	 1.442941057	 1.4428981445407498	 -1783.488492329617	 -0.1485866491971976	 -0.30303296847019046	 0.0	 0.0	 0.0	 98.04993062786527	 0.008168771880878282	 0.015926931969926124	 0.0	 -7.166890701817222E-4	 422.8234824250272	 615772.829394179	 615772.8293941792	 0.0	 95.95324125258674	 3.5258625649337114	 0.03922929476287772	 6.867171939550028E-4	 6.867171939550028E-4	 784.2907347490832	 1069.1324041506855	 1.363183774563818	 -859.8488310484811	 1.7973091035544017E-9	 1.4379444359667752E-6	 1.8963829855891358E-13	 9.325179934504659E-8	 5.5643999812187504E-5	 4.354833975711323E-6	 7.704141803683489E-4	 0.12569560644449562	 0.03349530111247543	 0.09148811322937073	 0.7345032908335671	 0.013985742372200727	 
-116.5	 2.0828091943995628E-4	 5.776599723762061E-4	 428.1939450541195	 428.1939450541195	 964.7802914101089	 1.4499747	 1.4499388627427465	 -1783.488492329617	 -0.1485866491971976	 -0.3773262930687893	 0.0	 0.0	 0.0	 99.85389977703358	 0.008319064822090319	 0.020086464380971284	 0.0	 -8.923967299656654E-4	 422.8234824250272	 615772.829394179	 615772.8293941792	 0.0	 96.50793280583896	 3.527795509035328	 0.039140846469292015	 6.867171939550028E-4	 6.867171939550028E-4	 784.404571911682	 1069.2462413132841	 1.3631310673105985	 -859.607449746147	 1.7973091035544021E-9	 1.4379444359667752E-6	 1.8963829855891358E-13	 9.325179934504659E-8	 5.5643999812187504E-5	 4.354833975711323E-6	 7.704141803683489E-4	 0.12569560644449562	 0.03349530111247543	 0.09148811322937073	 0.7345032908335671	 0.013985742372200727	 
-116.0	 2.4993710332794753E-4	 5.754334877267682E-4	 428.64891670188285	 428.64891670188285	 965.1805771599056	 1.4571207400000001	 1.4570955838183481	 -1783.488492329617	 -0.1485866491971976	 -0.4516196176673881	 0.0	 0.0	 0.0	 101.69356757111552	 0.008472331901936504	 0.024322630331939536	 0.0	 -0.001068104389749609	 422.8234824250272	 615772.829394179	 615772.8293941792	 0.0	 97.06849347688267	 3.5297503752004795	 0.0390517870833145	 6.867171939550028E-4	 6.867171939550028E-4	 784.5202199004453	 1069.3618893020475	 1.3630775372975705	 -859.3623547856544	 1.7973091035544023E-9	 1.4379444359667752E-6	 1.8963829855891358E-13	 9.325179934504659E-8	 5.5643999812187504E-5	 4.354833975711323E-6	 7.704141803683489E-4	 0.12569560644449562	 0.03349530111247543	 0.09148811322937073	 0.7345032908335671	 0.013985742372200727	 
-115.5	 2.915932872159388E-4	 5.731918175256468E-4	 429.1107746627799	 429.1107746627799	 965.5869296036905	 1.464381039	 1.4643701958953466	 -1783.488492329617	 -0.1485866491971976	 -0.525912942265987	 0.0	 0.0	 0.0	 103.56946947498128	 0.008628617731263034	 0.028636939197571053	 0.0	 -0.0012438120495335521	 422.8234824250272	 615772.829394179	 615772.8293941792	 0.0	 97.63497540719729	 3.5317273314839754	 0.03896212027526964	 6.867171939550028E-4	 6.867171939550028E-4	 784.6376968859166	 1069.4793662875188	 1.363023176852306	 -859.1135131724579	 1.7973091035544025E-9	 1.4379444359667752E-6	 1.8963829855891358E-13	 9.325179934504659E-8	 5.5643999812187504E-5	 4.354833975711323E-6	 7.704141803683489E-4	 0.12569560644449562	 0.03349530111247543	 0.09148811322937073	 0.7345032908335671	 0.013985742372200727	 
-115.0	 3.3324947110393004E-4	 5.709350556318246E-4	 429.57957782756154	 429.57957782756154	 965.9994007444468	 1.471757497	 1.4717646278809196	 -1783.488492329617	 -0.1485866491971976	 -0.6002062668645858	 0.0	 0.0	 0.0	 105.48214942675396	 0.008787967626842868	 0.03303092301099249	 0.0	 -0.0014195197093174955	 422.8234824250272	 615772.829394179	 615772.8293941792	 0.0	 98.2074317005104	 3.5337265476998776	 0.03887184979951676	 6.867171939550028E-4	 6.867171939550028E-4	 784.7570213059023	 1069.5986907075046	 1.3629679781999293	 -858.8608914782393	 1.7973091035544025E-9	 1.4379444359667752E-6	 1.8963829855891358E-13	 9.325179934504659E-8	 5.5643999812187504E-5	 4.354833975711323E-6	 7.704141803683489E-4	 0.12569560644449562	 0.03349530111247543	 0.09148811322937073	 0.7345032908335671	 0.013985742372200727	 
-114.5	 3.749056549919213E-4	 5.686632980257261E-4	 430.05538581389055	 430.05538581389055	 966.4180445410207	 1.4792520590000002	 1.4792808504178283	 -1783.488492329617	 -0.1485866491971976	 -0.6744995914631846	 0.0	 0.0	 0.0	 107.43215998308234	 0.008950427623478746	 0.037506136822731864	 0.0	 -0.001595227369101439	 422.8234824250272	 615772.829394179	 615772.8293941792	 0.0	 98.78591643670661	 3.5357481954322694	 0.038780979495272816	 6.867171939550028E-4	 6.867171939550028E-4	 784.8782118688536	 1069.7198812704557	 1.3629119334621012	 -858.6044558361765	 1.7973091035544025E-9	 1.4379444359667752E-6	 1.8963829855891358E-13	 9.325179934504659E-8	 5.5643999812187504E-5	 4.354833975711323E-6	 7.704141803683489E-4	 0.12569560644449562	 0.03349530111247543	 0.09148811322937073	 0.7345032908335671	 0.013985742372200727	 
