Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	T_mittel [K]	 kappa [-]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Alpha [W/(m^2K)]
-139.0	 0.0	 4.3425665127685775E-4	 0.0	 0.0	 0.0	 0.0	 NaN	 NaN	 0.0	 0.0	 0.0	 0.0	 0.0	 NaN	 
-138.5	 4.1630240206485995E-5	 4.3324981035481556E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-138.0	 8.326048041297199E-5	 4.3223088097734487E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-137.5	 1.24890720619458E-4	 4.3119987619287943E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-137.0	 1.6652096082594398E-4	 4.301568097297931E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-136.5	 2.0815120103242997E-4	 4.2910169601415845E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-136.0	 2.49781441238916E-4	 4.2803455018762695E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-135.5	 2.9141168144540194E-4	 4.2695538812542196E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-135.0	 3.3304192165188796E-4	 4.2586422645444247E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-134.5	 3.74672161858374E-4	 4.2476108257147007E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-134.0	 4.1630240206485993E-4	 4.2364597466146997E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-133.5	 4.5793264227134595E-4	 4.2251892171598596E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-133.0	 4.99562882477832E-4	 4.2137994355161617E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-132.5	 5.411931226843179E-4	 4.20229060828567E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
