Kurbelwinkel	dQb	dQb	
[KWnZOT]	[J/s]	[J/KW]	
-134	0	0	 
-133	543.1100732	0.045251539	 
-132	543.1100732	0.045251539	 
-131	-1746.972226	-0.145556463	 
-130	906.0541875	0.07549178	 
-129	-759.2899602	-0.063263491	 
-128	-759.2899602	-0.063263491	 
-127	1117.621102	0.093119382	 
-126	-904.3998308	-0.07535394	 
-125	1396.00284	0.116313948	 
-124	317.9910163	0.026494782	 
-123	738.814456	0.061557487	 
-122	-326.8334335	-0.027231525	 
-121	665.7922384	0.055473328	 
-120	-902.8342176	-0.075223495	 
-119	97.77807606	0.008146799	 
-118	-780.1131944	-0.064998468	 
-117	681.1019261	0.05674892	 
-116	681.1019261	0.05674892	 
-115	681.1019261	0.05674892	 
-114	-788.9039508	-0.065730907	 
-113	1491.610985	0.124279949	 
-112	-749.5936024	-0.062455597	 
-111	699.7052161	0.058298933	 
-110	1175.098597	0.097908366	 
-109	-1375.241073	-0.114584092	 
-108	-542.3445447	-0.045187756	 
-107	1498.370169	0.12484312	 
-106	-544.5868772	-0.045374585	 
-105	323.7441716	0.02697413	 
-104	628.5333775	0.052368947	 
-103	628.5333775	0.052368947	 
-102	628.5333775	0.052368947	 
-101	-775.063149	-0.064577701	 
-100	732.078987	0.060996292	 
-99	-605.4247678	-0.050443554	 
-98	-347.270873	-0.028934358	 
-97	611.7516498	0.050970705	 
-96	1085.688665	0.090458795	 
-95	-684.6835122	-0.057047335	 
-94	585.1574523	0.048754896	 
-93	585.1574523	0.048754896	 
-92	585.1574523	0.048754896	 
-91	-293.4616257	-0.024451011	 
-90	954.1884817	0.079502295	 
-89	395.2143562	0.032928975	 
-88	395.2143562	0.032928975	 
-87	-1228.340481	-0.102344441	 
-86	982.7106378	0.08187874	 
-85	636.0206192	0.052992778	 
-84	-789.6856524	-0.065796038	 
-83	988.9968541	0.082402503	 
-82	323.2963999	0.026936822	 
-81	323.2963999	0.026936822	 
-80	601.9463254	0.050153733	 
-79	-538.8622619	-0.044897614	 
-78	1483.363243	0.123592753	 
-77	1483.363243	0.123592753	 
-76	-1134.680862	-0.094540789	 
-75	1334.101182	0.111156346	 
