Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	T_Zone_1 [K]	T_mittel [K]	T_BurnAdiabat [K]	p_soll [bar]	p [bar]	dQh [J/s]	dQh [J/KW]	Qh [J]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	dmL [kg/s]	dmL [kg/KW]	mL [kg]	Hu Zone [J/kg]	Hu frischGemsich [J/kg]	Phi_Delay [°KW]	Alpha [W/(m^2K)]	pSchlepp [bar]	Brennraumfläche [m^2]	Zonenmasse [kg]	ZonenKontrollmasse [kg]	 cv[J/kg]	 cp [J/kg]	 kappa [-]	 U [J]	H_Massenbruch [kg]	O_Massenbruch [kg]	N_Massenbruch [kg]	H2_Massenbruch [kg]	OH_Massenbruch [kg]	CO_Massenbruch [kg]	NO_Massenbruch [kg]	O2_Massenbruch [kg]	H2O_Massenbruch [kg]	CO2_Massenbruch [kg]	N2_Massenbruch [kg]	RON_95_Massenbruch [kg]	AGR_intern_LWA_Massenbruch [kg]	AGR_extern_LWA_Massenbruch [kg]	feuchteLuft_LWA_Massenbruch [kg]
-130.0	 0.0	 4.296400409409662E-4	 378.0683225816233	 378.06832258162325	 1054.3025043802568	 1.2103560840806113	 1.2103560840806113	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 368.9977698495669	 0.0	 0.0	 0.0	 3.448671313975694	 759404.4741595278	 0.0	 105.69810662397211	 3.5769888888613033	 0.03176659872368881	 4.7730680585806223E-4	 4.773068058580622E-4	 731.4311266150061	 1019.6019381193238	 1.3939821550088316	 -43.24439590834848	 1.1180612286634077E-10	 2.3107558307596818E-7	 2.1420779966379487E-14	 3.2308896414682467E-9	 4.9802642097839795E-6	 1.50989492881444E-7	 1.2520588063778625E-4	 0.22714679569182814	 0.0016697097822158521	 0.004563846451907472	 0.7664890416091559	 3.491225193747287E-8	 0.0	 0.0	 0.0	 
-128.5	 1.2497891593190336E-4	 4.2596733887179046E-4	 378.9127783689691	 378.9127783689691	 1055.0351005369635	 1.2235171811057826	 1.2235179724478253	 -1218.0563901326161	 -0.10148757812180127	 -0.15223136718270192	 -1375.321936504739	 -0.11459082978781887	 -0.17188624468172828	 0.0	 0.0	 0.0	 -157.26554637212274	 -0.013103251666017586	 -0.019654877499026377	 0.0	 -4.6581919655450197E-4	 368.9977698495669	 2.235756340052889E-6	 1.8628160244512665E-10	 2.7942240366768993E-10	 3.448671313975694	 759404.474159528	 0.0	 106.57640992358893	 3.5820624251974005	 0.031589601033608056	 4.773065705332111E-4	 4.7730657053321105E-4	 731.5304114657724	 1019.7012229700902	 1.393928682919563	 -42.94954082262555	 1.1180612286634079E-10	 2.3107558307596816E-7	 2.1420779966379484E-14	 3.2308896414682467E-9	 4.980264209783978E-6	 1.5098949288144397E-7	 1.2520588063778625E-4	 0.2271467956918281	 0.001669709782215852	 0.004563846451907472	 0.7664890416091559	 3.491225193747288E-8	 0.0	 0.0	 0.0	 
-127.0	 2.499578318638067E-4	 4.22188731962874E-4	 380.56202186398133	 380.5620218639813	 1056.4647524185607	 1.2398390158883914	 1.2398407794442075	 882.1756890473775	 0.07350224085241408	 -0.041978005904080795	 730.0294081527942	 0.060825522686230156	 -0.08064796065238306	 0.0	 0.0	 0.0	 -152.14628089458336	 -0.012676718166183926	 -0.03866995474830226	 0.0	 -2.1855947987236247E-4	 368.9977698495669	 2.902147950349251E-6	 2.418048698057631E-10	 6.421297083763346E-10	 3.448671313975694	 759404.4741595278	 0.0	 107.58289817684496	 3.587335731051518	 0.031407499495828946	 4.773062479270007E-4	 4.773062479270007E-4	 731.7256880956896	 1019.8964996000074	 1.3938235546360003	 -42.37357853704015	 1.1180612286634079E-10	 2.3107558307596816E-7	 2.1420779966379487E-14	 3.230889641468247E-9	 4.980264209783977E-6	 1.50989492881444E-7	 1.2520588063778628E-4	 0.22714679569182814	 0.0016697097822158517	 0.004563846451907473	 0.7664890416091559	 3.491225193747288E-8	 0.0	 0.0	 0.0	 
-125.5	 3.749367477957101E-4	 4.1830503699352305E-4	 382.27062312484907	 382.27062312484907	 1057.945970771896	 1.2569704964375903	 1.2569690277809884	 893.7554231059197	 0.07446705592535831	 0.06972257798395666	 746.9536484872945	 0.062235638159548044	 0.012705496586939008	 0.0	 0.0	 0.0	 -146.80177461862527	 -0.012231417765810262	 -0.05701708139701765	 0.0	 3.443244817473772E-5	 368.9977698495669	 3.460710863674043E-6	 2.883439280638286E-10	 1.0746456004720774E-9	 3.4486713139756944	 759404.474159528	 0.0	 108.6357554432193	 3.592813309515739	 0.031220333473209624	 4.7730584950533047E-4	 4.7730584950533047E-4	 731.9299000194177	 1020.1007115237354	 1.3937136759909285	 -41.77671916112062	 1.1180612286634079E-10	 2.3107558307596818E-7	 2.1420779966379487E-14	 3.230889641468247E-9	 4.980264209783977E-6	 1.50989492881444E-7	 1.252058806377863E-4	 0.22714679569182814	 0.0016697097822158517	 0.004563846451907473	 0.7664890416091559	 3.491225193747288E-8	 0.0	 0.0	 0.0	 
-124.0	 4.999156637276134E-4	 4.1431715917825205E-4	 383.8473757733583	 383.8473757733583	 1059.3131519626763	 1.274301944950176	 1.274300872854502	 367.66238004335116	 0.030633363791174328	 0.11567262367071815	 225.79580303006279	 0.018813143123113885	 0.040925211271609835	 0.0	 0.0	 0.0	 -141.86657701328835	 -0.01182022066806044	 -0.07474741239910832	 0.0	 1.1090910193927251E-4	 368.9977698495669	 3.941931143151428E-6	 3.2843885396618266E-10	 1.5673038814213513E-9	 3.4486713139756944	 759404.474159528	 0.0	 109.71481163092551	 3.5984998327399396	 0.031028146590545962	 4.773053864560308E-4	 4.773053864560308E-4	 732.1200698674417	 1020.2908813717593	 1.3936114079709552	 -41.22576219830043	 1.1180612286634081E-10	 2.3107558307596818E-7	 2.1420779966379487E-14	 3.2308896414682475E-9	 4.980264209783977E-6	 1.50989492881444E-7	 1.2520588063778633E-4	 0.22714679569182816	 0.001669709782215852	 0.004563846451907474	 0.7664890416091559	 3.4912251937472884E-8	 0.0	 0.0	 0.0	 
-122.5	 6.248945796595168E-4	 4.1022609678479304E-4	 385.5388838897793	 385.53888388977936	 1060.7798930905797	 1.2926806396870185	 1.2926791734040577	 526.6723924796827	 0.043881963108915116	 0.1814955683340908	 390.15416742349623	 0.032507363260601926	 0.08968625616251272	 0.0	 0.0	 0.0	 -136.51822505618642	 -0.011374599848313191	 -0.0918093121715781	 0.0	 2.4305365368217815E-4	 368.9977698495669	 4.390293033070412E-6	 3.6579604259768534E-10	 2.1159979453178793E-9	 3.4486713139756944	 759404.474159528	 0.0	 110.84982529478378	 3.604400145554773	 0.03083098695712625	 4.7730486544922857E-4	 4.7730486544922857E-4	 732.3259060829644	 1020.496717587282	 1.3935007748745012	 -40.63454607275847	 1.1180612286634081E-10	 2.3107558307596818E-7	 2.142077996637949E-14	 3.2308896414682483E-9	 4.980264209783978E-6	 1.5098949288144402E-7	 1.2520588063778633E-4	 0.22714679569182816	 0.001669709782215852	 0.004563846451907474	 0.7664890416091559	 3.491225193747288E-8	 0.0	 0.0	 0.0	 
-121.0	 7.498734955914202E-4	 4.060329457062269E-4	 387.4135882312501	 387.4135882312501	 1062.405519217402	 1.3123786190920528	 1.3123778816517435	 871.5401217440924	 0.07261609307115717	 0.29041970794082655	 741.0233541255379	 0.06174153031922178	 0.18229855164134537	 0.0	 0.0	 0.0	 -130.5167676185544	 -0.010874562751935386	 -0.10812115629948119	 0.0	 4.940370011332721E-4	 368.9977698495669	 4.81965547423067E-6	 4.0157021088974183E-10	 2.718353261652492E-9	 3.448671313975695	 759404.474159528	 0.0	 112.05070378049183	 3.610519269257707	 0.03062890738707487	 4.7730428966553896E-4	 4.77304289665539E-4	 732.5562357490194	 1020.7270472533371	 1.3933770507183938	 -39.979105716008625	 1.1180612286634081E-10	 2.3107558307596818E-7	 2.1420779966379487E-14	 3.230889641468248E-9	 4.980264209783978E-6	 1.5098949288144402E-7	 1.2520588063778633E-4	 0.2271467956918282	 0.001669709782215852	 0.004563846451907474	 0.7664890416091558	 3.4912251937472884E-8	 0.0	 0.0	 0.0	 
-119.5	 8.748524115233235E-4	 4.0173890396502025E-4	 388.91908146242383	 388.91908146242383	 1063.711451556946	 1.3315571463231737	 1.3315580916604162	 -331.3101098380205	 -0.02760451890989042	 0.24901292957599092	 -457.04047017269147	 -0.03808028166612693	 0.12517812914215498	 0.0	 0.0	 0.0	 -125.73036033467098	 -0.010475762756236507	 -0.12383480043383595	 0.0	 3.3923817261331314E-4	 368.9977698495669	 5.201468016661758E-6	 4.333825559845693E-10	 3.368427095629346E-9	 3.4486713139756944	 759404.4741595278	 0.0	 113.25538046929151	 3.6168624055709016	 0.030421965616414307	 4.773036633032448E-4	 4.773036633032448E-4	 732.7428729262749	 1020.9136844305926	 1.3932768535209104	 -39.45258790365972	 1.1180612286634081E-10	 2.3107558307596818E-7	 2.1420779966379487E-14	 3.230889641468248E-9	 4.980264209783978E-6	 1.50989492881444E-7	 1.2520588063778633E-4	 0.22714679569182822	 0.001669709782215852	 0.004563846451907474	 0.7664890416091558	 3.4912251937472884E-8	 0.0	 0.0	 0.0	 
-118.0	 9.998313274552268E-4	 3.973452761258489E-4	 390.41042612780274	 390.41042612780274	 1065.005275863015	 1.351440822295714	 1.3514422674742461	 -543.7758966048455	 -0.0453070147117149	 0.18105240750841856	 -664.7401193636271	 -0.055385666329673434	 0.042099629647644826	 0.0	 0.0	 0.0	 -120.96422275878155	 -0.010078651617958527	 -0.13895277786077373	 0.0	 1.1409182680103464E-4	 368.9977698495669	 5.566517299897916E-6	 4.637981984382849E-10	 4.064124393286773E-9	 3.448671313975695	 759404.474159528	 0.0	 114.50657769361968	 3.6234349407801374	 0.03021022451573135	 4.7730299030961174E-4	 4.773029903096118E-4	 732.9292175717894	 1021.1000290761071	 1.393176864280338	 -38.93088261313227	 1.1180612286634081E-10	 2.3107558307596816E-7	 2.1420779966379484E-14	 3.2308896414682483E-9	 4.980264209783977E-6	 1.5098949288144397E-7	 1.252058806377863E-4	 0.22714679569182822	 0.0016697097822158517	 0.004563846451907474	 0.7664890416091558	 3.491225193747289E-8	 0.0	 0.0	 0.0	 
-116.5	 0.0011248102433871303	 3.928534775932957E-4	 392.56145633831073	 392.5614563383108	 1066.8709203770863	 1.3744242795039523	 1.3744234103235196	 1120.8949154077247	 0.09339215426749331	 0.3211406389096585	 1007.0003151535449	 0.08390253848731671	 0.1679534373786199	 0.0	 0.0	 0.0	 -113.89460025417982	 -0.009489615780176586	 -0.1531872015310386	 0.0	 4.551611177679778E-4	 368.9977698495669	 5.953185819410892E-6	 4.96015140034102E-10	 4.8081471033379266E-9	 3.4486713139756957	 759404.474159528	 0.0	 115.88590571318541	 3.6302424500642907	 0.029993752297295055	 4.773022703157797E-4	 4.773022703157797E-4	 733.2005436113731	 1021.3713551156908	 1.3930313664047969	 -38.17819258755111	 1.1180612286634084E-10	 2.3107558307596818E-7	 2.1420779966379487E-14	 3.230889641468249E-9	 4.980264209783977E-6	 1.50989492881444E-7	 1.2520588063778636E-4	 0.22714679569182825	 0.0016697097822158517	 0.004563846451907473	 0.7664890416091558	 3.4912251937472904E-8	 0.0	 0.0	 0.0	 
