Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	pZyl_mess [bar]	pZyl_berech [bar]	pSaug [bar]	pAbg [bar]	T [K]	dQw [J/s]	V [m3]	m [kg]	R [J/kg/K]	mK [kg]	V_motor [m^3]	dm [kg/s]	dmEV [kg/s]	dmAV [kg/s]	dmEV aus Zylinder [kg/s]	Hub_E [m]	Hub_A [m]	alpha_E_vor [-]	alpha_E_rück [-]	alpha_A_vor [-]	alpha_A_rück [-]	dmL [kg/s]	dmL [kg/KW]	mL [kg]	T_Saug [K]	H_Massenbruch	O_Massenbruch	N_Massenbruch	H2_Massenbruch	OH_Massenbruch	CO_Massenbruch	NO_Massenbruch	O2_Massenbruch	H2O_Massenbruch	CO2_Massenbruch	N2_Massenbruch	RON_95_Massenbruch	AGR_intern_LWA_Massenbruch	AGR_extern_LWA_Massenbruch	feuchteLuft_LWA_Massenbruch
125.50000000000003	 0.02128807534706754	 2.355308921151549	 2.3867505129135633	 0.9787703349860148	 0.937435707931286	 731.6763480751819	 -207.31742612458868	 4.1165452615151793E-4	 4.751139440189197E-4	 282.63316793474644	 4.7511394401891967E-4	 4.1569314867112345E-4	 -2.693635236805588E-4	 -2.693635236805588E-4	 0.0	 0.035018263428311554	 7.4971500000007605E-6	 0.0	 3.0646818914686306E-4	 4.037733493713648E-4	 2.85331E-4	 4.67723E-5	 -5.608444550485231E-6	 -4.672915466558902E-10	 -1.3855270840570463E-6	 323.57998690838957	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
127.0	 0.021413054262999442	 2.325598241517683	 2.354006638634106	 0.9433432599288067	 1.0135331033546269	 728.7834912933623	 1352.446333642186	 4.155906917533682E-4	 4.749543202795709E-4	 282.63316793474644	 4.749543202795709E-4	 4.1962931427453714E-4	 -0.0014986144669494217	 0.0	 -0.0014986144669494217	 0.035018263428311554	 0.0	 2.8171020000000003E-5	 1.77561E-4	 2.57597E-4	 7.914161343478601E-4	 5.371340246227341E-4	 1.0871424858693812E-5	 9.057992623164656E-10	 -1.3841683851635716E-6	 323.57998690838957	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
128.5	 0.021538033178931347	 2.2959905563918235	 2.322386031635398	 0.9440739679379602	 1.013772704269959	 725.9567061170685	 1334.4445055745541	 4.1942344504959243E-4	 4.747372021654557E-4	 282.63316793474644	 4.747372021654557E-4	 4.234620675723346E-4	 -0.0019503634247299542	 0.0	 -0.0019503634247299542	 0.035018263428311554	 0.0	 4.211383E-5	 1.77561E-4	 2.57597E-4	 0.00104189513269569	 7.798309648715109E-4	 1.0755553055985146E-5	 8.961449074567293E-10	 -1.3828241678023865E-6	 323.57998690838957	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
130.0	 0.02166301209486325	 2.2699598177190548	 2.2918525229448274	 0.9446065917365869	 1.0142781028969607	 723.1951118939663	 1316.8978990406488	 4.23151918524177E-4	 4.7446521044134987E-4	 282.63316793474644	 4.7446521044134987E-4	 4.27190541048496E-4	 -0.0023760161729594925	 0.0	 -0.0023760161729594925	 0.035018263428311554	 0.0	 5.5570380000000004E-5	 1.77561E-4	 2.57597E-4	 0.0012836385951123402	 0.001014063770977646	 1.0641204970752556E-5	 8.866175076358907E-10	 -1.3814942415409326E-6	 323.57998690838957	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
131.5	 0.021787991010795153	 2.243037717947888	 2.262377978524186	 0.9451065670226281	 1.01319305163838	 720.4983764235004	 1299.8025055036555	 4.267753280068625E-4	 4.7414190111339964E-4	 282.63316793474644	 4.7414190111339964E-4	 4.308139505327556E-4	 -0.0027743090555912	 0.0	 -0.0027743090555912	 0.035018263428311554	 0.0	 6.847063E-5	 1.77561E-4	 2.57597E-4	 0.0015153882709980902	 0.0012386132845580709	 1.052842930590792E-5	 8.772211207453692E-10	 -1.3801784098598145E-6	 323.57998690838957	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
133.0	 0.021912969926727057	 2.2168267783597875	 2.2339314640810275	 0.9452039029494013	 1.0134752758946728	 717.8658567986107	 1283.1499029661604	 4.3029296813547254E-4	 4.7377012298866205E-4	 282.63316793474644	 4.7377012298866205E-4	 4.3433159066293007E-4	 -0.0031485093070797196	 0.0	 -0.0031485093070797196	 0.035018263428311554	 0.0	 8.088253E-5	 1.77561E-4	 2.57597E-4	 0.0017383648646397902	 0.001454662284198301	 1.0417252620346678E-5	 8.679579596531383E-10	 -1.3788764729203348E-6	 323.57998690838957	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
134.5	 0.02203794884265896	 2.1923413824787805	 2.206488807361435	 0.9447870416221705	 1.013683202668128	 715.2973796106915	 1266.937584289246	 4.337042078267957E-4	 4.733535124061969E-4	 282.63316793474644	 4.733535124061969E-4	 4.3774283035580313E-4	 -0.0034837492669548597	 0.0	 -0.0034837492669548597	 0.035018263428311554	 0.0	 9.231510000000014E-5	 1.77561E-4	 2.57597E-4	 0.0019437480465193026	 0.0016536644765956724	 1.0307733000645209E-5	 8.588328640907623E-10	 -1.3775882236241986E-6	 323.57998690838957	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
136.0	 0.022162927758590863	 2.1674188740119615	 2.180044049815313	 0.9438131944825824	 1.0135115857344896	 712.7942231769231	 1251.1801174322047	 4.370084857734765E-4	 4.728983965204081E-4	 282.63316793474644	 4.728983965204081E-4	 4.4104710830401394E-4	 -0.0037794729654373038	 0.0	 -0.0037794729654373038	 0.035018263428311554	 0.0	 1.0270658E-4	 1.77561E-4	 2.57597E-4	 0.0021304283141089404	 0.001834544830029186	 1.020002437111735E-5	 8.498586589208272E-10	 -1.3763134356358174E-6	 323.57998690838957	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
137.5	 0.022287906674522767	 2.1443488291607027	 2.154559005505825	 0.9425318507754886	 1.013993022805428	 710.3549268633516	 1235.859886423185	 4.402053059832099E-4	 4.724057139409746E-4	 282.63316793474644	 4.724057139409746E-4	 4.4424392851525235E-4	 -0.0041039024685239735	 0.0	 -0.0041039024685239735	 0.035018263428311554	 0.0	 1.14176705E-4	 1.77561E-4	 2.57597E-4	 0.002336486161911815	 0.0020342007273533988	 1.0094109039610064E-5	 8.410338700459281E-10	 -1.3750518848307484E-6	 323.57998690838957	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
139.0	 0.02241288559045467	 2.120796346323174	 2.129940977067822	 0.9412734928807517	 1.0148667715468467	 707.9732733425859	 1220.9139951857053	 4.4329423337536043E-4	 4.71867060001072E-4	 282.63316793474644	 4.71867060001072E-4	 4.4733285590887865E-4	 -0.004500738970390448	 0.0	 -0.004500738970390448	 0.035018263428311554	 0.0	 1.2814962999999999E-4	 1.77561E-4	 2.57597E-4	 0.00258750616849509	 0.0022774218674123706	 9.989706958706945E-6	 8.323351641177236E-10	 -1.3738033820845719E-6	 323.57998690838957	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
