[KWnEO]	[mm]
0	0.015095617
1	0.030191233
2	0.055633911
3	0.081076589
4	0.111950994
5	0.1428254
6	0.179325472
7	0.215825544
8	0.258199733
9	0.300573922
10	0.348889094
11	0.397204267
12	0.451349222
13	0.505494178
14	0.565463983
15	0.625433789
16	0.691201194
17	0.7569686
18	0.828718722
19	0.900468844
20	0.977783089
21	1.055097333
22	1.137709167
23	1.220321
24	1.307834667
25	1.395348333
26	1.487328333
27	1.579308333
28	1.6751105
29	1.770912667
30	1.869813333
31	1.968714
32	2.070032111
33	2.171350222
34	2.274546611
35	2.377743
36	2.48273
37	2.587717
38	2.693642944
39	2.799568889
40	2.906033778
41	3.012498667
42	3.119133056
43	3.225767444
44	3.332337833
45	3.438908222
46	3.544886778
47	3.650865333
48	3.756047333
49	3.861229333
50	3.9653665
51	4.069503667
52	4.172689833
53	4.275876
54	4.377208833
55	4.478541667
56	4.578174778
57	4.677807889
58	4.775570611
59	4.873333333
60	4.969073667
61	5.064814
62	5.158822222
63	5.252830444
64	5.344043222
65	5.435256
66	5.524066833
67	5.612877667
68	5.699183111
69	5.785488556
70	5.869753278
71	5.954018
72	6.034951722
73	6.115885444
74	6.194083056
75	6.272280667
76	6.3476865
77	6.423092333
78	6.495651889
79	6.568211444
80	6.6384145
81	6.708617556
82	6.775226444
83	6.841835333
84	6.905480278
85	6.969125222
86	7.029779111
87	7.090433
88	7.1486965
89	7.20696
90	7.261436667
91	7.315913333
92	7.367339444
93	7.418765556
94	7.467125278
95	7.515485
96	7.560768889
97	7.606052778
98	7.648815222
99	7.691577667
100	7.7305555
101	7.769533333
102	7.805420778
103	7.841308222
104	7.874100944
105	7.906893667
106	7.937221333
107	7.967549
108	7.993998778
109	8.020448556
110	8.043796556
111	8.067144556
112	8.087392611
113	8.107640667
114	8.124781278
115	8.141921889
116	8.156519778
117	8.171117667
118	8.1819145
119	8.192711333
120	8.200422889
121	8.208134444
122	8.212751278
123	8.217368111
124	8.218863056
125	8.220358
126	8.219215111
127	8.218072222
128	8.213172611
129	8.208273
130	8.200283
131	8.192293
132	8.181214
133	8.170135
134	8.156524167
135	8.142913333
136	8.125488333
137	8.108063333
138	8.087533722
139	8.067004111
140	8.043373222
141	8.019742333
142	7.993646667
143	7.967551
144	7.937573667
145	7.907596333
146	7.874522333
147	7.841448333
148	7.8052795
149	7.769110667
150	7.729853944
151	7.690597222
152	7.648814889
153	7.607032556
154	7.561467944
155	7.515903333
156	7.467265
157	7.418626667
158	7.366923222
159	7.315219778
160	7.261086389
161	7.206953
162	7.149033556
163	7.091114111
164	7.030186611
165	6.969259111
166	6.905343889
167	6.841428667
168	6.7745545
169	6.707680333
170	6.638401389
171	6.569122444
172	6.496297389
173	6.423472333
174	6.347810111
175	6.272147889
176	6.193702333
177	6.115256778
178	6.034624889
179	5.953993
180	5.870029556
181	5.786066111
182	5.699523611
183	5.612981111
184	5.523950389
185	5.434919667
186	5.343502944
187	5.252086222
188	5.158782944
189	5.065479667
190	4.9695365
191	4.873593333
192	4.775651333
193	4.677709333
194	4.577923889
195	4.478138444
196	4.376968222
197	4.275798
198	4.172780833
199	4.069763667
200	3.965509722
201	3.861255778
202	3.755994722
203	3.650733667
204	3.544722722
205	3.438711778
206	3.332239667
207	3.225767556
208	3.119101278
209	3.012435
210	2.9059965
211	2.799558
212	2.693723833
213	2.587889667
214	2.482728333
215	2.377567
216	2.274206778
217	2.170846556
218	2.069480222
219	1.968113889
220	1.869295778
221	1.770477667
222	1.674807111
223	1.579136556
224	1.486406444
225	1.393676333
226	1.3063115
227	1.218946667
228	1.136533333
229	1.05412
230	0.977040222
231	0.899960444
232	0.827284822
233	0.7546092
234	0.689096956
235	0.623584711
236	0.563877278
237	0.504169844
238	0.450289672
239	0.3964095
240	0.348359756
241	0.300310011
242	0.257029972
243	0.213749933
244	0.177525833
245	0.141301733
246	0.110699128
247	0.080096522
248	0.054915772
249	0.029735022
250	0.014867511
