Kurbelwinkel-LW [°KW]	Brennraumvolumen-LW [m3]	LWAideal [Pa]	LWArealGemittelt [Pa]	LWA [Pa]
125.50000000000003	 4.1569314867112345E-4	 103976.9786805556	 238675.0512913563	 238675.0512913563	 
127.0	 4.1962931427453714E-4	 103976.9786805556	 238675.0512913563	 238675.0512913563	 
128.5	 4.234620675723346E-4	 103976.9786805556	 235405.56166455537	 235413.21680644178	 
130.0	 4.27190541048496E-4	 103976.9786805556	 232249.28181295385	 232265.82469356983	 
131.5	 4.308139505327556E-4	 103976.9786805556	 229202.52526799872	 229229.09036800923	 
133.0	 4.3433159066293007E-4	 103976.9786805556	 226262.4022882982	 226300.01642721347	 
134.5	 4.3774283035580313E-4	 103976.9786805556	 223425.75626641975	 223475.35730347838	 
136.0	 4.4104710830401394E-4	 103976.9786805556	 220690.10158745793	 220752.53106009294	 
137.5	 4.4424392851525235E-4	 103976.9786805556	 218054.74713516032	 218130.7121636194	 
139.0	 4.4733285590887865E-4	 103976.9786805556	 215515.84600727045	 215606.01426519675	 
140.5	 4.503135119839111E-4	 103976.9786805556	 213064.20736983616	 213169.3591803733	 
142.0	 4.531855705711519E-4	 103976.9786805556	 210688.67445883455	 210809.76198189255	 
143.5	 4.559487536810678E-4	 103976.9786805556	 208369.47928007753	 208507.8609566053	 
145.0	 4.586028274579186E-4	 103976.9786805556	 206063.1756939103	 206221.24527004245	 
146.5	 4.6114759824953283E-4	 103976.9786805556	 203736.4815438868	 203917.38766284124	 
148.0	 4.6358290880109783E-4	 103976.9786805556	 201364.2257654128	 201571.64510311506	 
149.5	 4.6590863458032314E-4	 103976.9786805556	 198926.58576410907	 199164.5681031711	 
151.0	 4.681246802404133E-4	 103976.9786805556	 196416.81815722684	 196689.4304056602	 
152.5	 4.702309762264016E-4	 103976.9786805556	 193842.0519246725	 194153.0187370955	 
154.0	 4.72227475529582E-4	 103976.9786805556	 191187.99702868107	 191541.52485954747	 
155.5	 4.7411415059403245E-4	 103976.9786805556	 188431.04329349368	 188832.45344312518	 
157.0	 4.75890990378534E-4	 103976.9786805556	 185561.7324310823	 186017.52683052237	 
158.5	 4.775579975765766E-4	 103976.9786805556	 182568.12517942255	 183086.70712275204	 
160.0	 4.791151859965905E-4	 103976.9786805556	 179432.47022185684	 180024.12738278165	 
161.5	 4.805625781040548E-4	 103976.9786805556	 176174.51080261637	 176850.8499882515	 
163.0	 4.819002027267138E-4	 103976.9786805556	 172809.49446494845	 173585.22414491547	 
164.5	 4.831280929237654E-4	 103976.9786805556	 169333.82486531604	 170225.59877954263	 
166.0	 4.8424628401958343E-4	 103976.9786805556	 165756.33791203386	 166782.40988299088	 
167.5	 4.852548118022864E-4	 103976.9786805556	 162090.4897874117	 163275.42410708702	 
169.0	 4.8615371088726406E-4	 103976.9786805556	 158366.8215668895	 159735.77207584615	 
170.5	 4.8694301324562556E-4	 103976.9786805556	 154696.28267306657	 156266.7501234444	 
172.0	 4.876227468974247E-4	 103976.9786805556	 151095.5511167818	 152878.2212897317	 
173.5	 4.8819293476945203E-4	 103976.9786805556	 147571.30992580517	 149571.4785087515	 
175.0	 4.886535937173521E-4	 103976.9786805556	 144129.04399383278	 146359.8706603071	 
176.5	 4.890047337118258E-4	 103976.9786805556	 140774.9627579031	 143258.57619816848	 
178.0	 4.892463571887025E-4	 103976.9786805556	 137517.2055226376	 140262.33477492665	 
179.5	 4.893784585627214E-4	 103976.9786805556	 134354.5772129418	 137369.35669761698	 
181.0	 4.894010239049245E-4	 103976.9786805556	 131264.95451819192	 134558.48471119915	 
182.5	 4.893140307836458E-4	 103976.9786805556	 128263.968306555	 131839.77285489513	 
184.0	 4.891174482691766E-4	 103976.9786805556	 125369.63890328097	 129229.93635569647	 
185.5	 4.88811237102272E-4	 103976.9786805556	 122599.57784301185	 126745.50876511501	 
187.0	 4.883953500267644E-4	 103976.9786805556	 119970.37748769631	 124395.20434190976	 
188.5	 4.878697322866357E-4	 103976.9786805556	 117498.88148717569	 122186.46415445351	 
190.0	 4.8723432228797725E-4	 103976.9786805556	 115201.97686831078	 120124.64769433666	 
191.5	 4.864890524263325E-4	 103976.9786805556	 113099.8209188692	 118195.77728586263	 
193.0	 4.856338500799591E-4	 103976.9786805556	 111208.14536733173	 116402.20755834325	 
