[KWnAO]	[mm]
0	0.0183
2	0.03414
4	0.05583
6	0.0835
8	0.11702
10	0.15595
12	0.19963
14	0.2471
16	0.29687
18	0.34744
20	0.39813
22	0.44875
24	0.49927
26	0.54967
28	0.59996
30	0.65021
32	0.70072
34	0.75251
36	0.80869
38	0.87622
40	0.96137
42	1.06769
44	1.19708
46	1.35061
48	1.52892
50	1.73232
52	1.96096
54	2.21478
56	2.49354
58	2.79673
60	3.12351
62	3.47248
64	3.84128
66	4.22453
68	4.61427
70	5.00526
72	5.39446
74	5.77988
76	6.16
78	6.53364
80	6.89984
82	7.25782
84	7.60692
86	7.94658
88	8.27633
90	8.59577
92	8.90456
94	9.20238
96	9.48898
98	9.76413
100	10.02762
102	10.27929
104	10.51897
106	10.74653
108	10.96185
110	11.16482
112	11.35534
114	11.53334
116	11.69875
118	11.85151
120	11.99157
122	12.11889
124	12.23344
126	12.33519
128	12.42412
130	12.50023
132	12.56351
134	12.61401
136	12.6519
138	12.67758
140	12.69228
142	12.69865
144	12.7
146	12.69901
148	12.69719
150	12.69524
152	12.69343
154	12.69181
156	12.69037
158	12.68909
160	12.68786
162	12.68631
164	12.68356
166	12.6766
168	12.65962
170	12.6305
172	12.58884
174	12.53444
176	12.4673
178	12.38745
180	12.29494
182	12.18982
184	12.07212
186	11.94189
188	11.7992
190	11.64408
192	11.47661
194	11.29684
196	11.10487
198	10.90078
200	10.68467
202	10.45666
204	10.21686
206	9.96542
208	9.70251
210	9.4283
212	9.14301
214	8.84687
216	8.54014
218	8.22314
220	7.89623
222	7.55981
224	7.21439
226	6.86054
228	6.49895
230	6.13047
232	5.7561
234	5.37714
236	4.99521
238	4.61253
240	4.23227
242	3.85898
244	3.49879
246	3.15747
248	2.83833
250	2.54301
252	2.27237
254	2.02677
256	1.80631
258	1.61097
260	1.44057
262	1.2948
264	1.17308
266	1.07451
268	0.99759
270	0.93941
272	0.89376
274	0.85463
276	0.81888
278	0.78491
280	0.75179
282	0.71902
284	0.68632
286	0.65356
288	0.62068
290	0.58769
292	0.55462
294	0.5215
296	0.48836
298	0.45522
300	0.42209
302	0.38899
304	0.35593
306	0.3229
308	0.28991
310	0.25696
312	0.22408
314	0.19133
316	0.15889
318	0.12718
320	0.09721
322	0.07027
324	0.04733
326	0.02898
328	0.01543
330	0.00652
332	0.00186
334	0
