CA	dQw			
[CADaTDCF]	[J/CAD]			
-132	-0.063166667			
-131.994	-0.061369478			
-131.496	-0.053818713			
-130.983	-0.048980507			
-130.47	-0.045526316			
-129.957	-0.042471735			
-129.444	-0.040576754			
-128.988	-0.039237817			
-128.475	-0.038046784			
-127.962	-0.036998051			
-127.449	-0.036092105			
-126.993	-0.03525731			
-126.48	-0.034432749			
-125.967	-0.033654971			
-125.454	-0.033065789			
-124.998	-0.032534113			
-124.485	-0.031877193			
-123.972	-0.031249513			
-123.459	-0.030641326			
-122.946	-0.030085526			
-122.49	-0.029539961			
-121.977	-0.028980507			
-121.464	-0.028440546			
-120.951	-0.027942982			
-120.495	-0.027460039			
-119.982	-0.02697271			
-119.469	-0.026487329			
-118.956	-0.026009747			
-118.443	-0.025572368			
-117.987	-0.025140351			
-117.474	-0.024692008			
-116.961	-0.024251462			
-116.448	-0.023846491			
-115.992	-0.02339961			
-115.479	-0.022996101			
-114.966	-0.022592593			
-114.453	-0.022214912			
-113.997	-0.021838207			
-113.484	-0.021448343			
-112.971	-0.021060429			
-112.458	-0.020680312			
-111.945	-0.020320175			
-111.489	-0.019964912			
-110.976	-0.019588694			
-110.463	-0.019463938			
-109.95	-0.019307018			
-109.494	-0.018951267			
-108.981	-0.018578947			
-108.468	-0.018204678			
-107.955	-0.01785307			
-107.499	-0.017499025			
-106.986	-0.017128655			
-106.473	-0.016758285			
-105.96	-0.016384016			
-105.447	-0.016028509			
-104.991	-0.015676413			
-104.478	-0.015302144			
-103.965	-0.014925926			
-103.452	-0.014572368			
-102.996	-0.014216374			
-102.483	-0.013836257			
-101.97	-0.01345809			
-101.457	-0.013077973			
-100.944	-0.012714912			
-100.488	-0.012352827			
-99.975	-0.011968811			
-99.462	-0.011582846			
-98.949	-0.011217105			
-98.493	-0.01111306			
-97.98	-0.010840156			
-97.467	-0.010440546			
-96.954	-0.010059211			
-96.498	-0.009674464			
-95.985	-0.00925731			
-95.472	-0.008844055			
-94.959	-0.008430799			
-94.446	-0.008067982			
-93.99	-0.007697856			
-93.477	-0.007298246			
-92.964	-0.006865497			
-92.451	-0.006449561			
-91.995	-0.00602924			
-91.482	-0.005582846			
-90.969	-0.005132554			
-90.456	-0.004674464			
-89.943	-0.004241228			
-89.487	-0.003795322			
-88.974	-0.003296296			
-88.461	-0.002883966			
-87.987	-0.00256903			
-87.451	-0.00208114			
-86.995	-0.001598441			
-86.482	-0.001079922			
-85.969	-0.000557505			
-85.456	-2.72904E-05			
-84.943	0.000480263			
-84.487	0.000992203			
-83.974	0.00154191			
-83.461	0.002099415			
-82.948	0.002631579			
-82.492	0.003175439			
-81.979	0.003754386			
-81.466	0.00434308			
-80.953	0.004907895			
-80.497	0.005483431			
-79.984	0.006097466			
-79.471	0.006622363			
-78.997	0.00715514			
-78.462	0.007859649			
-77.949	0.008539474			
-77.493	0.009192982			
-76.98	0.009894737			
-76.467	0.010610136			
