Crank	TKE	EPS	Intensty
[CADaTDCF]	[m^2/s^2]	[m^2/s^3]	[m/s]
-1.32E+02	16.3897	9015.7	3.30552
-1.32E+02	16.3865	8705.78	3.30519
-1.31E+02	16.16	6982.48	3.28103
-1.31E+02	15.9808	6144.76	3.2607
-1.30E+02	15.8272	5647.53	3.24291
-1.30E+02	15.6905	5309.06	3.22698
-1.29E+02	15.5674	5055.67	3.21256
-1.29E+02	15.4677	4873.27	3.20079
-1.28E+02	15.3633	4699.45	3.18839
-1.28E+02	15.2669	4549.48	3.17681
-1.27E+02	15.1753	4417.24	3.16576
-1.27E+02	15.0996	4311.11	3.15649
-1.26E+02	15.0172	4201.11	3.14635
-1.26E+02	14.9348	4099.18	3.13627
-1.25E+02	14.8557	4004.9	3.12654
-1.25E+02	14.7894	3968.71	3.1189
-1.24E+02	14.7157	3887.43	3.1098
-1.24E+02	14.6465	3811.54	3.10114
-1.23E+02	14.5784	3739.7	3.09263
-1.23E+02	14.5121	3671.57	3.08431
-1.22E+02	14.4555	3614.12	3.07715
-1.22E+02	14.3959	3553.08	3.06953
-1.21E+02	14.3372	3495.06	3.06203
-1.21E+02	14.2808	3440.09	3.0548
-1.20E+02	14.2349	3393.88	3.04878
-1.20E+02	14.1849	3344.36	3.04222
-1.19E+02	14.1362	3297.23	3.03584
-1.19E+02	14.0889	3252.34	3.02962
-1.18E+02	14.0445	3209.81	3.02372
-1.18E+02	14.0061	3173.63	3.01862
-1.17E+02	13.9652	3134.8	3.01312
-1.17E+02	13.9246	3097.53	3.00771
-1.16E+02	13.8872	3062.27	3.00262
-1.16E+02	13.8542	3032.22	2.99817
-1.15E+02	13.8187	2999.98	2.99336
-1.15E+02	13.7867	2969.53	2.98889
-1.14E+02	13.7525	2939.89	2.9843
-1.14E+02	13.7269	2915.25	2.98066
-1.13E+02	13.6966	2888.28	2.9765
-1.13E+02	13.6674	2862.48	2.97246
-1.12E+02	13.642	2838.28	2.9688
-1.12E+02	13.6164	2814.95	2.96518
-1.11E+02	13.5954	2795.24	2.96214
-1.11E+02	13.5719	2773.91	2.95878
-1.10E+02	13.5506	2753.75	2.95566
