Crank	TKE	EPS	Intensty
[CADaTDCF]	[m^2/s^2]	[m^2/s^3]	[m/s]
-132	16.3897	9485.62	3.30552
-131.994	16.3862	9208.69	3.30517
-131.496	16.1612	7265.92	3.28078
-130.983	15.9793	6320.14	3.25989
-130.47	15.8227	5760.64	3.24149
-129.957	15.6869	5383.3	3.22536
-129.444	15.5626	5103.44	3.21058
-128.988	15.4622	4904.33	3.19856
-128.475	15.3536	4716.32	3.18562
-127.962	15.2523	4555.78	3.17346
-127.449	15.1575	4415.48	3.16201
-126.993	15.0763	4303.19	3.15217
-126.48	14.9899	4187.8	3.1416
-125.967	14.9085	4082.07	3.13155
-125.454	14.8335	3985.21	3.12242
-124.998	14.7671	3911.97	3.11425
-124.485	14.6953	3829.08	3.10528
-123.972	14.6279	3751.97	3.09677
-123.459	14.5626	3679.5	3.0885
-122.946	14.5046	3612	3.08094
-122.49	14.453	3555.07	3.07427
-121.977	14.3956	3494.31	3.06688
-121.464	14.3424	3437.28	3.05993
-120.951	14.2918	3383.4	3.05326
-120.495	14.2476	3337.79	3.04746
-119.982	14.1993	3288.94	3.04112
-119.469	14.1534	3242.75	3.03505
-118.956	14.111	3199.23	3.02936
-118.443	14.0703	3157.95	3.02389
-117.987	14.0358	3123.06	3.01922
-117.474	13.9975	3085.37	3.01405
-116.961	13.9616	3049.66	3.00916
-116.448	13.9285	3015.9	3.00457
-115.992	13.8998	2987.25	3.0006
-115.479	13.868	2956.38	2.99624
-114.966	13.8374	2926.91	2.99202
-114.453	13.8087	2898.93	2.98803
-113.997	13.7845	2875.24	2.98465
-113.484	13.7582	2849.74	2.98096
-112.971	13.7325	2825.31	2.97737
-112.458	13.7079	2802.04	2.97393
-111.945	13.6866	2780.18	2.97081
-111.489	13.6679	2761.54	2.96811
-110.976	13.648	2741.52	2.9652
-110.463	13.6287	2722.44	2.96319
-109.95	13.6115	2705.3	2.96086
-109.494	13.5968	2691.25	2.95867
-108.981	13.5792	2676.1	2.95616
-108.468	13.5643	2661.99	2.9539
-107.955	13.5491	2648.26	2.95165
-107.499	13.5357	2636.37	2.94967
-106.986	13.524	2623.95	2.94778
-106.473	13.51	2611.5	2.9457
-105.96	13.4972	2599.64	2.94377
-105.447	13.4859	2588.43	2.94198
-104.991	13.4785	2579.25	2.94066
-104.478	13.47	2569.26	2.93917
-103.965	13.4636	2560	2.93788
-103.452	13.4558	2550.81	2.93651
-102.996	13.4508	2543.31	2.93548
-102.483	13.4445	2535.07	2.9343
-101.97	13.4376	2527.04	2.93308
-101.457	13.4328	2519.75	2.93208
-100.944	13.4295	2513.06	2.93122
-100.488	13.4263	2507.3	2.93045
-99.9754	13.4251	2501.62	2.92982
-99.4624	13.4235	2496.12	2.92918
-98.9494	13.4233	2491.14	2.92868
-98.4934	13.4215	2489.19	2.92925
-97.9804	13.4211	2485.47	2.9288
-97.4674	13.4212	2482.86	2.92842
-96.9544	13.4223	2480.86	2.92813
-96.4984	13.4243	2479.4	2.92798
-95.9854	13.427	2477.88	2.92786
-95.4724	13.4297	2476.37	2.92775
-94.9594	13.4319	2474.81	2.92761
-94.4464	13.4352	2473.55	2.92759
-93.9904	13.4391	2472.73	2.92766
-93.4774	13.4428	2471.75	2.9277
-92.9644	13.4479	2471.22	2.92788
-92.4514	13.4523	2470.66	2.92801
-91.9954	13.4565	2470.33	2.92816
-91.4824	13.4646	2470.79	2.92864
-90.9694	13.4708	2471	2.92898
-90.4564	13.4786	2471.71	2.92947
-89.9434	13.4888	2473.11	2.93019
-89.4874	13.497	2474.33	2.93077
-88.9744	13.5072	2476.04	2.93153
-88.4614	13.5197	2483.55	2.93373
-87.9645	13.5292	2486.22	2.93451
-87.4515	13.5428	2490.97	2.93564
-86.9955	13.5542	2495.41	2.93659
-86.4825	13.5706	2501.15	2.93797
-85.9695	13.5851	2506.45	2.9392
-85.4565	13.6002	2511.85	2.94049
-84.9435	13.6147	2517.06	2.94174
-84.4875	13.6299	2522.21	2.94306
-83.9745	13.6465	2527.96	2.94452
-83.4615	13.663	2533.79	2.94597
-82.9485	13.6799	2539.84	2.94749
-82.4925	13.6967	2545.68	2.949
-81.9795	13.7158	2552.44	2.95072
-81.4665	13.7348	2559.37	2.95246
-80.9535	13.7576	2567.27	2.95453
-80.4975	13.7768	2574.24	2.9563
