Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	T_Zone_1 [K]	T_mittel [K]	T_BurnAdiabat [K]	p_soll [bar]	p [bar]	dQh [J/s]	dQh [J/KW]	Qh [J]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	dmL [kg/s]	dmL [kg/KW]	mL [kg]	Hu Zone [J/kg]	Hu frischGemsich [J/kg]	Phi_Delay [°KW]	Alpha [W/(m^2K)]	pSchleppWHT [bar]	WSD [MW/m^2]	WSD Kolben [MW/m^2]	WSD Head [MW/m^2]	WSD Liner [MW/m^2]	dQw Kolben [J/s]	dQw Head [J/s]	dQw Liner [J/s]	Qw Kolben [J]	Qw Head [J]	Qw Liner [J]	Brennraumfläche [m^2]	Zonenmasse [kg]	ZonenKontrollmasse [kg]	 cv[J/kg]	 cp [J/kg]	 kappa [-]	 U [J]	H_Massenbruch [kg]	O_Massenbruch [kg]	N_Massenbruch [kg]	H2_Massenbruch [kg]	OH_Massenbruch [kg]	CO_Massenbruch [kg]	NO_Massenbruch [kg]	O2_Massenbruch [kg]	H2O_Massenbruch [kg]	CO2_Massenbruch [kg]	N2_Massenbruch [kg]	RON_98_Massenbruch [kg]	AGR_intern_LWA_Massenbruch [kg]	AGR_extern_LWA_Massenbruch [kg]	feuchteLuft_LWA_Massenbruch [kg]
-138.0	 0.0	 4.4741231164775513E-4	 405.3744280456081	 405.3744280456081	 1071.4741806023908	 1.1853611392383945	 1.1853611392383945	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 346.99558715886894	 0.0	 0.0	 0.0	 1.9349392964254126	 750926.4544844769	 0.0	 77.23793325530715	 1.1946060537038168	 9.864261859457173E-4	 -0.0018319129693276062	 -9.345141545364592E-5	 0.002195253607463551	 -9.91176663097364	 -0.7525284567560918	 43.48416673005527	 -8.252172266464888E-4	 -6.26527509350594E-5	 0.003620331753965522	 0.033271492697509966	 4.540152824890985E-4	 4.540152824890985E-4	 734.8381031284715	 1022.9968422568805	 1.392139081930582	 -31.772917947707825	 1.1028089782039707E-10	 2.342593756302204E-7	 2.163896881684598E-14	 3.1128335255739415E-9	 4.9316741397488195E-6	 1.509065328252585E-7	 1.2697940628291664E-4	 0.2271836588762195	 0.0016150355893250654	 0.004579305556047071	 0.7664897005089412	 0.0	 0.0	 0.0	 0.0	 
-137.0	 8.325632123618987E-5	 4.453595480956466E-4	 406.279651856361	 406.279651856361	 1072.2609795419492	 1.1934845137724588	 1.1934839169621967	 693.9973724315389	 0.0577796681762319	 0.057779668176231896	 729.0706647248599	 0.060699741466215415	 0.060699741466215415	 0.0	 0.0	 0.0	 35.073292293320996	 0.002920073289983515	 0.0029200732899835155	 0.0	 1.7492943343519975E-4	 346.99558715886894	 0.0	 0.0	 0.0	 1.934939296425412	 750926.4544844769	 0.0	 77.57244308382717	 1.2021529879366464	 0.0010572981027613805	 -0.0017696263801720564	 -2.3635721727770738E-5	 0.002274981455651383	 -9.574758188822729	 -0.19032941459231603	 44.8383769370104	 -0.0016223763701739536	 -7.849887781705322E-5	 0.0073534100679426275	 0.03317256433355293	 4.540152824890985E-4	 4.5401528248909846E-4	 734.9606062162294	 1023.1193453446384	 1.3920737202663502	 -31.470885027736305	 1.1028089782039707E-10	 2.342593756302204E-7	 2.1638968816845972E-14	 3.112833525573941E-9	 4.9316741397488195E-6	 1.5090653282525847E-7	 1.2697940628291664E-4	 0.22718365887621947	 0.0016150355893250652	 0.00457930555604707	 0.7664897005089412	 0.0	 0.0	 0.0	 0.0	 
-136.0	 1.6651264247237975E-4	 4.4325830050089135E-4	 407.1758468805931	 407.1758468805931	 1073.0399999680785	 1.2017872578925486	 1.2017867134489937	 568.4294893292473	 0.04732534816371917	 0.10510501633995108	 605.7357882222703	 0.05043133336849002	 0.11113107483470544	 0.0	 0.0	 0.0	 37.306298893023076	 0.003105985204770844	 0.00602605849475436	 0.0	 3.2026653636902026E-4	 346.99558715886894	 0.0	 0.0	 0.0	 1.9349392964254117	 750926.4544844769	 0.0	 77.91551271157044	 1.2099640175598403	 0.0011280565140393023	 -0.0017076251834639237	 4.608724242023009E-5	 0.0023548702171884857	 -9.23929389390174	 0.371122911796266	 46.17446568586741	 -0.0023916059906002045	 -4.760054945443314E-5	 0.01119772621599463	 0.03307129938922737	 4.5401528248909846E-4	 4.540152824890984E-4	 735.0823965590811	 1023.2411356874901	 1.3920087604835585	 -31.171814912014188	 1.1028089782039707E-10	 2.3425937563022038E-7	 2.1638968816845976E-14	 3.1128335255739403E-9	 4.931674139748818E-6	 1.5090653282525842E-7	 1.2697940628291664E-4	 0.22718365887621947	 0.0016150355893250652	 0.00457930555604707	 0.7664897005089412	 0.0	 0.0	 0.0	 0.0	 
-135.0	 2.4976896370856964E-4	 4.411086852228593E-4	 408.13179219558407	 408.13179219558407	 1073.8709769429688	 1.2104791797134513	 1.2104785117537453	 716.985889687017	 0.05969360755359768	 0.16479862389354877	 756.6845783195273	 0.06299877432704144	 0.1741298491617469	 0.0	 0.0	 0.0	 39.69868863251028	 0.0033051667734437552	 0.009331225268198115	 0.0	 5.018215089923407E-4	 346.99558715886894	 0.0	 0.0	 0.0	 1.9349392964254113	 750926.4544844769	 0.0	 78.27201024750453	 1.2180461581001614	 0.0012041689160273074	 -0.0016406145537744856	 1.2112187319503682E-4	 0.002440468539491041	 -8.876725510797769	 0.9753480551621978	 47.60006120968095	 -0.0031306495012526653	 3.360334154324384E-5	 0.015160732202930127	 0.03296770347221378	 4.540152824890984E-4	 4.540152824890984E-4	 735.2128640306128	 1023.3716031590218	 1.3919391964235417	 -30.852750729276117	 1.1028089782039707E-10	 2.3425937563022035E-7	 2.1638968816845972E-14	 3.11283352557394E-9	 4.931674139748817E-6	 1.509065328252584E-7	 1.2697940628291664E-4	 0.22718365887621947	 0.0016150355893250648	 0.004579305556047069	 0.7664897005089412	 0.0	 0.0	 0.0	 0.0	 
-134.0	 3.330252849447595E-4	 4.38910830643793E-4	 409.117657744604	 409.11765774460406	 1074.728008668265	 1.219479323338728	 1.2194786281582268	 744.3719711364568	 0.061973671948152696	 0.2267722958417015	 786.5453923651855	 0.06548487585360088	 0.2396147250153478	 0.0	 0.0	 0.0	 42.17342122872873	 0.0035112039054481883	 0.012842429173646303	 0.0	 6.90541130442798E-4	 346.99558715886894	 0.0	 0.0	 0.0	 1.934939296425411	 750926.4544844769	 0.0	 78.6401474708636	 1.2264067294452519	 0.001283357497480822	 -0.0015708022540537787	 1.992201586016134E-4	 0.002529475422224266	 -8.498998383805915	 1.6042436358980483	 49.068170045870616	 -0.003838244840880669	 1.6716676503468497E-4	 0.01924596753074112	 0.032861782769608175	 4.5401528248909835E-4	 4.5401528248909835E-4	 735.3480162770209	 1023.5067554054299	 1.391867160514449	 -30.523640678650512	 1.1028089782039707E-10	 2.3425937563022038E-7	 2.163896881684597E-14	 3.1128335255739395E-9	 4.931674139748815E-6	 1.5090653282525836E-7	 1.2697940628291667E-4	 0.22718365887621947	 0.0016150355893250646	 0.004579305556047069	 0.7664897005089412	 0.0	 0.0	 0.0	 0.0	 
-133.0	 4.1628160618094936E-4	 4.366648777583654E-4	 410.0139357447294	 410.0139357447294	 1075.5072937222506	 1.2284370906486324	 1.2284362488627583	 291.49483574755266	 0.024268787683688647	 0.2510410835253902	 335.9120707697484	 0.02796680327111992	 0.26758152828646775	 0.0	 0.0	 0.0	 44.41723502219579	 0.0036980155874312757	 0.016540444761077577	 0.0	 7.711381302493563E-4	 346.99558715886894	 0.0	 0.0	 0.0	 1.9349392964254106	 750926.4544844769	 0.0	 79.01195808181635	 1.2350533684827254	 0.0013561044496786419	 -0.001507412327209758	 2.709787512711057E-4	 0.002612251461593797	 -8.156020211724389	 2.1820880991244773	 50.391158977262734	 -0.004517285079636852	 3.488393927810594E-4	 0.02344135005001602	 0.03275354407633456	 4.5401528248909835E-4	 4.540152824890983E-4	 735.4714157034739	 1023.6301548318829	 1.3918014119594124	 -30.224384899055625	 1.1028089782039707E-10	 2.3425937563022038E-7	 2.1638968816845966E-14	 3.112833525573939E-9	 4.9316741397488144E-6	 1.5090653282525834E-7	 1.2697940628291667E-4	 0.22718365887621944	 0.0016150355893250644	 0.004579305556047068	 0.7664897005089412	 0.0	 0.0	 0.0	 0.0	 
-132.0	 4.995379274171393E-4	 4.343709807693126E-4	 410.7760839468892	 410.7760839468892	 1076.1701263756256	 1.2372184275775446	 1.2372190939961252	 -340.6822245025763	 -0.028363948722646245	 0.22267713480274393	 -294.3707084968384	 -0.024508222269137583	 0.24307330601733015	 0.0	 0.0	 0.0	 46.31151600573786	 0.0038557264535086597	 0.02039617121458624	 0.0	 7.005083494218649E-4	 346.99558715886894	 0.0	 0.0	 0.0	 1.9349392964254106	 750926.4544844769	 0.0	 79.3845063901388	 1.2439940424181235	 0.0014187272152858007	 -0.0014540171496435041	 3.3275919866117217E-4	 0.0026850712150424355	 -7.867119730032639	 2.6795823800453324	 51.499042495016965	 -0.0051722725270840165	 5.719315641929478E-4	 0.027728970875337343	 0.03264299482385009	 4.5401528248909835E-4	 4.540152824890983E-4	 735.5767435575596	 1023.7354826859686	 1.3917453095849004	 -29.96987376935187	 1.1028089782039707E-10	 2.3425937563022038E-7	 2.1638968816845963E-14	 3.1128335255739386E-9	 4.931674139748814E-6	 1.5090653282525834E-7	 1.2697940628291667E-4	 0.22718365887621944	 0.0016150355893250641	 0.004579305556047067	 0.7664897005089412	 0.0	 0.0	 0.0	 0.0	 
-131.0	 5.827942486533291E-4	 4.3202930768827905E-4	 411.4940130632355	 411.49401306323557	 1076.7945959059236	 1.2460995813628137	 1.2460990895600297	 -613.167518783677	 -0.051050071915451294	 0.17162706288729263	 -565.0761722199654	 -0.04704616331726199	 0.19602714270006816	 0.0	 0.0	 0.0	 48.091346563711575	 0.004003908598189307	 0.024400079812775546	 0.0	 5.64926903840765E-4	 346.99558715886894	 0.0	 0.0	 0.0	 1.9349392964254106	 750926.4544844769	 0.0	 79.76411092330882	 1.2532370628097274	 0.0014783621933378021	 -0.0014037050589574412	 3.9161537978024783E-4	 0.0027551757914146126	 -7.59490062904572	 3.15352866467988	 52.5327056807297	 -0.0058045960136127875	 8.344827597270688E-4	 0.03210265069489839	 0.032530143109101475	 4.5401528248909835E-4	 4.5401528248909835E-4	 735.6762922180952	 1023.8350313465043	 1.3916923002365595	 -29.73009573302238	 1.1028089782039707E-10	 2.3425937563022038E-7	 2.163896881684596E-14	 3.1128335255739382E-9	 4.931674139748813E-6	 1.5090653282525834E-7	 1.2697940628291667E-4	 0.22718365887621944	 0.0016150355893250637	 0.004579305556047067	 0.7664897005089412	 0.0	 0.0	 0.0	 0.0	 
-130.0	 6.66050569889519E-4	 4.296400409409662E-4	 412.2356405621952	 412.2356405621952	 1077.439702673642	 1.2552877761179049	 1.2552870670809237	 -614.626006184666	 -0.051171500211026975	 0.12045556267626564	 -564.6904470174225	 -0.04701404925589018	 0.14901309344417799	 0.0	 0.0	 0.0	 49.93555916724354	 0.004157450955136794	 0.028557530767912342	 0.0	 4.294380071639171E-4	 346.99558715886894	 0.0	 0.0	 0.0	 1.9349392964254106	 750926.4544844769	 0.0	 80.15567814489793	 1.2627911003606564	 0.0015405074296639192	 -0.001351150283511277	 4.529835003251192E-4	 0.0028281467841375684	 -7.31054723546895	 3.6477026354375606	 53.59838942591303	 -0.00641324528266133	 0.0011381770621171547	 0.03656505542268461	 0.03241499772368881	 4.5401528248909835E-4	 4.5401528248909835E-4	 735.7794643891634	 1023.9382035175724	 1.391637376516937	 -29.482368648020223	 1.1028089782039707E-10	 2.3425937563022038E-7	 2.163896881684596E-14	 3.112833525573938E-9	 4.931674139748812E-6	 1.5090653282525834E-7	 1.2697940628291667E-4	 0.22718365887621944	 0.0016150355893250635	 0.004579305556047067	 0.7664897005089412	 0.0	 0.0	 0.0	 0.0	 
-129.0	 7.493068911257089E-4	 4.272033779756248E-4	 413.01536154546295	 413.0153615454629	 1078.1179540061662	 1.2648356186381318	 1.2648347644082556	 -560.0065824131792	 -0.04662408791977248	 0.07383147475649315	 -508.1238673968925	 -0.042304523931770824	 0.10670856951240716	 0.0	 0.0	 0.0	 51.88271501628675	 0.004319563988001662	 0.03287709475591401	 0.0	 3.075214021772316E-4	 346.99558715886894	 0.0	 0.0	 0.0	 1.9349392964254106	 750926.4544844769	 0.0	 80.56046964719745	 1.2726652005113281	 0.001606396459804235	 -0.001295158993643427	 5.180857857158101E-4	 0.0029052438019803143	 -7.007600202597064	 4.17194640551349	 54.718352986846575	 -0.00699667229622354	 0.0014855179722347534	 0.041120704196472735	 0.03229756818319043	 4.5401528248909835E-4	 4.5401528248909835E-4	 735.8883051858476	 1024.0470443142567	 1.3915794517968796	 -29.221879606365658	 1.1028089782039707E-10	 2.3425937563022038E-7	 2.163896881684596E-14	 3.1128335255739374E-9	 4.931674139748811E-6	 1.5090653282525834E-7	 1.2697940628291667E-4	 0.22718365887621944	 0.0016150355893250633	 0.004579305556047067	 0.7664897005089412	 0.0	 0.0	 0.0	 0.0	 
