Kurbelwinkel	V_alpha_aus_DEWE	Pm_Zyl	Pm_Saug	Pm_Saug_alt	P_Abg	V_alpha	
[KWnZOT]	[m^3]	[bar]	[bar]	[bar]	[bar]	[m^3]	
-360.000000	0.000041	-0.029419	0.998089	0.977669	1.031089	0.000040	
-359.900000	0.000041	-0.029994	0.997892	0.977622	1.030875	0.000040	
-359.800000	0.000041	-0.030590	0.997684	0.977572	1.030654	0.000040	
-359.700000	0.000041	-0.031205	0.997466	0.977519	1.030428	0.000040	
-359.600000	0.000041	-0.031839	0.997238	0.977463	1.030198	0.000040	
-359.500000	0.000041	-0.032490	0.997000	0.977404	1.029963	0.000041	
-359.400000	0.000041	-0.033157	0.996751	0.977342	1.029726	0.000041	
-359.300000	0.000041	-0.033840	0.996492	0.977277	1.029486	0.000041	
-359.200000	0.000041	-0.034537	0.996223	0.977209	1.029245	0.000041	
-359.100000	0.000041	-0.035248	0.995943	0.977138	1.029003	0.000041	
-359.000000	0.000041	-0.035971	0.995653	0.977064	1.028761	0.000041	
-358.900000	0.000041	-0.036707	0.995353	0.976988	1.028521	0.000041	
-358.800000	0.000041	-0.037453	0.995042	0.976910	1.028282	0.000041	
-358.700000	0.000041	-0.038210	0.994721	0.976829	1.028045	0.000041	
-358.600000	0.000041	-0.038977	0.994389	0.976745	1.027811	0.000041	
-358.500000	0.000041	-0.039753	0.994046	0.976659	1.027580	0.000041	
-358.400000	0.000041	-0.040536	0.993693	0.976572	1.027354	0.000041	
-358.300000	0.000041	-0.041326	0.993330	0.976482	1.027132	0.000041	
-358.200000	0.000041	-0.042123	0.992956	0.976390	1.026915	0.000041	
-358.100000	0.000041	-0.042924	0.992572	0.976297	1.026703	0.000041	
-358.000000	0.000041	-0.043730	0.992177	0.976201	1.026496	0.000041	
-357.900000	0.000041	-0.044538	0.991773	0.976104	1.026295	0.000041	
-357.800000	0.000041	-0.045350	0.991359	0.976006	1.026100	0.000041	
-357.700000	0.000041	-0.046163	0.990935	0.975906	1.025911	0.000041	
-357.600000	0.000041	-0.046978	0.990502	0.975804	1.025728	0.000041	
-357.500000	0.000041	-0.047793	0.990059	0.975701	1.025550	0.000041	
