Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	pZyl_mess [bar]	pZyl_berech [bar]	pSaug [bar]	pAbg [bar]	T [K]	dQw [J/s]	V [m3]	m [kg]	R [J/kg/K]	mK [kg]	V_motor [m^3]	dm [kg/s]	dmEV [kg/s]	dmAV [kg/s]	dmEV aus Zylinder [kg/s]	Hub_E [m]	Hub_A [m]	alpha_E_vor [-]	alpha_E_rück [-]	alpha_A_vor [-]	alpha_A_rück [-]	dmL [kg/s]	dmL [kg/KW]	mL [kg]	T_Saug [K]	H_Massenbruch	O_Massenbruch	N_Massenbruch	H2_Massenbruch	OH_Massenbruch	CO_Massenbruch	NO_Massenbruch	O2_Massenbruch	H2O_Massenbruch	CO2_Massenbruch	N2_Massenbruch	RON_98_Massenbruch	AGR_intern_LWA_Massenbruch	AGR_extern_LWA_Massenbruch	feuchteLuft_LWA_Massenbruch
124.5	 0.021854784324499842	 2.3832317118896267	 2.404088068016898	 0.9381419505832043	 0.9671034814087865	 760.8657355894316	 -54.98268102745483	 4.102857287891869E-4	 4.587938836034773E-4	 282.5602965045405	 4.5879388360347726E-4	 4.1301205503297545E-4	 0.0	 0.0	 0.0	 0.321535382407287	 0.0	 0.0	 1.51709E-4	 3.27929E-4	 2.85331E-4	 4.67723E-5	 0.0	 0.0	 0.0	 335.6112792280736	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
125.50000000000006	 0.021938040645736033	 2.362960499948397	 2.381508327155515	 0.9398963212248875	 1.0048234989907665	 758.7847928449072	 1634.0540350886151	 4.1296682242713086E-4	 4.5870926321039593E-4	 282.5602965045405	 4.5870926321039593E-4	 4.156931486711236E-4	 -0.0011681046629892233	 0.0	 -0.0011681046629892233	 0.321535382407287	 0.0	 1.8774420000000392E-5	 1.51709E-4	 3.27929E-4	 6.226086302740671E-4	 3.735711510885208E-4	 0.0	 0.0	 0.0	 335.6112792280736	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
126.5	 0.02202129696697222	 2.343193842518131	 2.3594467718547625	 0.940374171826901	 1.0051888037244203	 756.734791448631	 1620.54951783899	 4.1560237775710874E-4	 4.5859928027293563E-4	 282.5602965045405	 4.5859928027293563E-4	 4.183287040013069E-4	 -0.0014731351386386095	 0.0	 -0.0014731351386386095	 0.321535382407287	 0.0	 2.8171020000000003E-5	 1.51709E-4	 3.27929E-4	 7.914161343478601E-4	 5.371340246227341E-4	 0.0	 0.0	 0.0	 335.6112792280736	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
127.5	 0.02210455328820841	 2.323937237471179	 2.3378882463366355	 0.940845142798365	 1.0056844532708502	 754.7151392257781	 1607.2611878662578	 4.1819210732391333E-4	 4.584641487269864E-4	 282.5602965045405	 4.584641487269864E-4	 4.2091843356831824E-4	 -0.0017722587268276288	 0.0	 -0.0017722587268276288	 0.321535382407287	 0.0	 3.753046E-5	 1.51709E-4	 3.27929E-4	 9.595560685717801E-4	 7.000500688377821E-4	 0.0	 0.0	 0.0	 335.6112792280736	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
128.5	 0.0221878096094446	 2.305267171530286	 2.3168214245902843	 0.9412853572796399	 1.0060831345177357	 752.7255284482019	 1594.1858367611994	 4.207357413277225E-4	 4.583045664512914E-4	 282.5602965045405	 4.583045664512915E-4	 4.234620675723346E-4	 -0.0020605371161233426	 0.0	 -0.0020605371161233426	 0.321535382407287	 0.0	 4.669720000000038E-5	 1.51709E-4	 3.27929E-4	 0.0011242341968196068	 8.596118609052465E-4	 0.0	 0.0	 0.0	 335.6112792280736	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
129.50000000000006	 0.022271065930680792	 2.2872149128465242	 2.296237620277852	 0.9416665417757552	 1.006235764601826	 750.765847818732	 1581.3222887080942	 4.232330270291802E-4	 4.581215615764179E-4	 282.5602965045405	 4.5812156157641783E-4	 4.2595935327400007E-4	 -0.002334969864944664	 0.0	 -0.002334969864944664	 0.321535382407287	 0.0	 5.5570380000000364E-5	 1.51709E-4	 3.27929E-4	 0.0012836385951123467	 0.0010140637709776523	 0.0	 0.0	 0.0	 335.6112792280736	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
130.5	 0.02235432225191698	 2.26964512317148	 2.2761287773867966	 0.9419389376523688	 1.0061973556623465	 748.8360219084204	 1568.6697170011757	 4.2568372815246974E-4	 4.5791620626153476E-4	 282.5602965045405	 4.5791620626153476E-4	 4.284100543974972E-4	 -0.0025974868220584265	 0.0	 -0.0025974868220584265	 0.321535382407287	 0.0	 6.41984E-5	 1.51709E-4	 3.27929E-4	 0.0014386387570112001	 0.0011642482785772798	 0.0	 0.0	 0.0	 335.6112792280736	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
131.5	 0.02243757857315317	 2.25230123912069	 2.2564851110288013	 0.9420380076177101	 1.0061402965826896	 746.9358144476902	 1556.2256420058163	 4.280876242875209E-4	 4.576892623985694E-4	 282.5602965045405	 4.576892623985694E-4	 4.308139505327556E-4	 -0.0028536024296940184	 0.0	 -0.0028536024296940184	 0.321535382407287	 0.0	 7.274286000000001E-5	 1.51709E-4	 3.27929E-4	 0.0015921377849849802	 0.001312978290538862	 0.0	 0.0	 0.0	 335.6112792280736	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
132.5	 0.02252083489438936	 2.235091184362336	 2.2372984723932867	 0.9419106438373775	 1.006175883288952	 745.0651079335636	 1543.9887952212193	 4.304445102924475E-4	 4.5744168355791145E-4	 282.5602965045405	 4.5744168355791145E-4	 4.331708365378884E-4	 -0.0030932374189360026	 0.0	 -0.0030932374189360026	 0.321535382407287	 0.0	 8.088253000000034E-5	 1.51709E-4	 3.27929E-4	 0.0017383648646397962	 0.0014546622841983068	 0.0	 0.0	 0.0	 335.6112792280736	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
133.50000000000006	 0.022604091215625552	 2.218173614314544	 2.2185612202400655	 0.9415402002285771	 1.006313962259769	 743.2238118026897	 1531.9581559632147	 4.327541956972731E-4	 4.5717445053110534E-4	 282.5602965045405	 4.5717445053110523E-4	 4.354805219429192E-4	 -0.0033257679014203783	 0.0	 -0.0033257679014203783	 0.321535382407287	 0.0	 8.890012000000029E-5	 1.51709E-4	 3.27929E-4	 0.0018823988084691653	 0.001594221279922209	 0.0	 0.0	 0.0	 335.6112792280736	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
134.5	 0.02268734753686174	 2.2016898033959023	 2.200272510284908	 0.9409463548054977	 1.0065387658883438	 741.4124022174109	 1520.13836957673	 4.350165041099534E-4	 4.568895475310785E-4	 282.5602965045405	 4.568895475310785E-4	 4.3774283035580313E-4	 -0.0035178192842687836	 0.0	 -0.0035178192842687836	 0.321535382407287	 0.0	 9.573008E-5	 1.51709E-4	 3.27929E-4	 0.00200509728456944	 0.001713107673269136	 0.0	 0.0	 0.0	 335.6112792280736	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
135.5	 0.02277060385809793	 2.1856492056390597	 2.182429093099719	 0.9401827047642495	 1.006826300838045	 739.6311466921112	 1508.5318586572914	 4.3723127262566174E-4	 4.565885646122562E-4	 282.5602965045405	 4.565885646122562E-4	 4.399575988717134E-4	 -0.0037120471576377193	 0.0	 -0.0037120471576377193	 0.321535382407287	 0.0	 1.0270658E-4	 1.51709E-4	 3.27929E-4	 0.0021304283141089404	 0.001834544830029186	 0.0	 0.0	 0.0	 335.6112792280736	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
136.5	 0.02285386017933412	 2.170042984692375	 2.1650176370319043	 0.9393371500883442	 1.0071944294212667	 737.8794319219413	 1497.1322590220118	 4.3939835124025614E-4	 4.5627147570706473E-4	 282.5602965045405	 4.5627147570706473E-4	 4.4212467748650766E-4	 -0.003904733606495951	 0.0	 -0.003904733606495951	 0.321535382407287	 0.0	 1.0971019000000037E-4	 1.51709E-4	 3.27929E-4	 0.002256246367831177	 0.0019564538797613292	 0.0	 0.0	 0.0	 335.6112792280736	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
137.50000000000006	 0.02293711650057031	 2.1548056980686203	 2.1480107745259924	 0.9385215182559276	 1.0076804954282055	 736.1553925800015	 1485.920893288294	 4.4151760226880324E-4	 4.559359557496305E-4	 282.5602965045405	 4.559359557496305E-4	 4.442439285152525E-4	 -0.004154675245030203	 0.0	 -0.004154675245030203	 0.321535382407287	 0.0	 1.1864322000000039E-4	 1.51709E-4	 3.27929E-4	 0.0024167259559924673	 0.002111947574945481	 0.0	 0.0	 0.0	 335.6112792280736	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
138.5	 0.0230203728218065	 2.139796659407908	 2.131377873810997	 0.9378366543601854	 1.0082244230877786	 734.4568209303952	 1474.8760322221779	 4.435888997699847E-4	 4.5557902081552737E-4	 282.5602965045405	 4.5557902081552737E-4	 4.463152260166291E-4	 -0.004419144495378378	 0.0	 -0.004419144495378378	 0.321535382407287	 0.0	 1.2814962999999999E-4	 1.51709E-4	 3.27929E-4	 0.00258750616849509	 0.0022774218674123706	 0.0	 0.0	 0.0	 335.6112792280736	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
139.5	 0.02310362914304269	 2.1249649802391963	 2.115083449301176	 0.9373540032633939	 1.008698713043232	 732.781019028749	 1463.9714357186363	 4.4561212897716956E-4	 4.551967588388202E-4	 282.5602965045405	 4.551967588388202E-4	 4.483384552240059E-4	 -0.004762911811944542	 0.0	 -0.004762911811944542	 0.321535382407287	 0.0	 1.403637E-4	 1.51709E-4	 3.27929E-4	 0.0028069287970291	 0.0024900273190382903	 0.0	 0.0	 0.0	 335.6112792280736	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
140.5	 0.02318688546427888	 2.1103314920980303	 2.099086282227657	 0.9371179290427396	 1.009025621702296	 731.124709761694	 1453.175662050753	 4.475871857368855E-4	 4.5478416554212923E-4	 282.5602965045405	 4.547841655421291E-4	 4.503135119839111E-4	 -0.0051476840331473395	 0.0	 -0.0051476840331473395	 0.321535382407287	 0.0	 1.5407240000000106E-4	 1.51709E-4	 3.27929E-4	 0.003053202069393219	 0.0027286491997630985	 0.0	 0.0	 0.0	 335.6112792280736	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
141.50000000000006	 0.02327014178551507	 2.0958592342718787	 2.0832783307867215	 0.937150195148657	 1.0092406203828133	 729.4785711149834	 1442.3990057800852	 4.495139759553834E-4	 4.5432519246375234E-4	 282.5602965045405	 4.5432519246375234E-4	 4.52240302202595E-4	 -0.005876261423944318	 0.0	 -0.005876261423944318	 0.321535382407287	 0.0	 1.7936957000000138E-4	 1.51709E-4	 3.27929E-4	 0.003507659227070535	 0.0031689869620902932	 0.0	 0.0	 0.0	 335.6112792280736	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
142.5	 0.023353398106751258	 2.081422300773604	 2.0675144863086783	 0.937453059308344	 1.0095241470198164	 727.8297403188894	 1431.519193135935	 4.513924150539389E-4	 4.537972744200938E-4	 282.5602965045405	 4.537972744200938E-4	 4.5411874130133286E-4	 -0.006803406560496356	 0.0	 -0.006803406560496356	 0.321535382407287	 0.0	 2.1163115E-4	 1.51709E-4	 3.27929E-4	 0.004087230220544451	 0.003730551435362955	 0.0	 0.0	 0.0	 335.6112792280736	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
143.5	 0.02343665442798745	 2.066927014479679	 2.051690624350653	 0.9380246596712305	 1.0101836288605504	 726.1687613376469	 1420.4487848658575	 4.5322242743349504E-4	 4.531839979951737E-4	 282.5602965045405	 4.5318399799517377E-4	 4.559487536810678E-4	 -0.007926238385623676	 0.0	 -0.007926238385623676	 0.321535382407287	 0.0	 2.5090635E-4	 1.51709E-4	 3.27929E-4	 0.0047927990948180505	 0.0044141991984507955	 0.0	 0.0	 0.0	 335.6112792280736	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
144.5	 0.02351991074922364	 2.0523484421887197	 2.035721850540162	 0.9388798315993524	 1.0115320467395805	 724.4877066958768	 1409.1166976172083	 4.5500394594920584E-4	 4.5247172256024343E-4	 282.5602965045405	 4.5247172256024343E-4	 4.577302721969536E-4	 -0.00918117267685735	 0.0	 -0.00918117267685735	 0.321535382407287	 0.0	 2.9519422000000214E-4	 1.51709E-4	 3.27929E-4	 0.005588419297385499	 0.005185100511682211	 0.0	 0.0	 0.0	 335.6112792280736	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
145.50000000000006	 0.02360316707045983	 2.037636304863937	 2.0195338342048	 0.9400543852197104	 1.0138030381300942	 722.7794260929552	 1397.4607595637017	 4.5673691139540057E-4	 4.516482426357861E-4	 282.5602965045405	 4.5164824263578616E-4	 4.594632376433197E-4	 -0.010597086648416375	 0.0	 -0.010597086648416375	 0.321535382407287	 0.0	 3.456012600000023E-4	 1.51709E-4	 3.27929E-4	 0.006493968816376221	 0.006062515779838182	 0.0	 0.0	 0.0	 335.6112792280736	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
146.5	 0.023686423391696017	 2.0226389546412307	 2.0030635712495175	 0.9415856055397255	 1.01714313959814	 721.0376339890145	 1385.4285366042923	 4.584212720014468E-4	 4.5070297420751775E-4	 282.5602965045405	 4.507029742075178E-4	 4.6114759824953283E-4	 -0.012106399379424867	 0.0	 -0.012106399379424867	 0.321535382407287	 0.0	 3.9995876E-4	 1.51709E-4	 3.27929E-4	 0.007470487333998681	 0.007008695131745892	 0.0	 0.0	 0.0	 335.6112792280736	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
147.5	 0.023769679712932208	 2.0072041138362904	 1.9862590627092802	 0.9434839112300176	 1.0216551019931293	 719.2568991023646	 1372.9770914450082	 4.6005698293895324E-4	 4.496269608511791E-4	 282.5602965045405	 4.496269608511791E-4	 4.627833091872022E-4	 -0.013737341532069652	 0.0	 -0.013737341532069652	 0.321535382407287	 0.0	 4.5935909E-4	 1.51709E-4	 3.27929E-4	 0.008537598996563872	 0.008042653016904452	 0.0	 0.0	 0.0	 335.6112792280736	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
148.5	 0.0238529360341684	 1.9912560074862378	 1.9691127979187113	 0.9457193797439892	 1.027355065971482	 717.4357828877786	 1360.1023611736653	 4.6164400584071386E-4	 4.4841860603979286E-4	 282.5602965045405	 4.4841860603979286E-4	 4.6437033208912126E-4	 -0.015285572809580162	 0.0	 -0.015285572809580162	 0.321535382407287	 0.0	 5.168202900000024E-4	 1.51709E-4	 3.27929E-4	 0.009569874687035514	 0.009042857238508534	 0.0	 0.0	 0.0	 335.6112792280736	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
149.50000000000006	 0.02393619235540459	 1.9748529364652467	 1.9516544573924468	 0.9482230173161731	 1.0339725974576146	 715.5762814046323	 1346.832832744597	 4.6318230833176157E-4	 4.470826495257761E-4	 282.5602965045405	 4.470826495257761E-4	 4.659086345803233E-4	 -0.016802520131151473	 0.0	 -0.016802520131151473	 0.321535382407287	 0.0	 5.741256200000024E-4	 1.51709E-4	 3.27929E-4	 0.010599350213015704	 0.010040348293105595	 0.0	 0.0	 0.0	 335.6112792280736	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
