CrankAngle [°KW]	Time [s n. Rechenbeginn]	Volume [m3]	Sum_V [m3]	T_m [K]	p_exp [bar]	p_0 [bar]	dQbU [J/s]	dQbU [J/KW]	dQbHf [J/KW]	QbU [J]	Qb/QbMax [J/CA]	dQw [J/KW]	Qw [J]	Qw/QbMax [-]	Sum_m [kg]	mGesK [kg]	dQbU_0 [J/CA]	dQbU_1 [J/CA]	dQbU_2 [J/CA]	dQbU_3 [J/CA]	dQbU_4 [J/CA]	dQbU_5 [J/CA]	dQbU_6 [J/CA]	dQbU_7 [J/CA]	dQbU_8 [J/CA]	dQbU_9 [J/CA]	T_Zone_0 [K]	T_Zone_1 [K]	T_Zone_2 [K]	T_Zone_3 [K]	T_Zone_4 [K]	T_Zone_5 [K]	T_Zone_6 [K]	T_Zone_7 [K]	T_Zone_8 [K]	T_Zone_9 [K]	V_0 [-]	V_1 [-]	V_2 [-]	V_3 [-]	V_4 [-]	V_5 [-]	V_6 [-]	V_7 [-]	V_8 [-]	V_9 [-]	lamGesMix [-]	Lambda_0	Lambda_1	Lambda_2	Lambda_3	Lambda_4	Lambda_5	Lambda_6	Lambda_7	Lambda_8	Lambda_9	m_0 [kg]	m_1 [kg]	m_2 [kg]	m_3 [kg]	m_4 [kg]	m_5 [kg]	m_6 [kg]	m_7 [kg]	m_8 [kg]	m_9 [kg]	Hu_0 [J/kg]	Hu_1 [J/kg]	Hu_2 [J/kg]	Hu_3 [J/kg]	Hu_4 [J/kg]	Hu_5 [J/kg]	Hu_6 [J/kg]	Hu_7 [J/kg]	Hu_8 [J/kg]	Hu_9 [J/kg]	DOH [-]	Lam_1.7	Lam_2.1	Lam_2.5	Lam_2.9000000000000004	Lam_3.3000000000000003	Lam_3.7	Lam_4.1000000000000005	Lam_4.500000000000001	Lam_4.9	Lam_5.3	Z_0_y_nC7H16	Z_1_y_nC7H16	Z_2_y_nC7H16	Z_3_y_nC7H16	Z_4_y_nC7H16	Z_5_y_nC7H16	Z_6_y_nC7H16	Z_7_y_nC7H16	Z_8_y_nC7H16	Z_9_y_nC7H16
-10.98	 0.0	 3.612349576746456E-5	 3.612349576746456E-5	 855.3741864243717	 36.69375402920001	 37.78	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 5.591040378059528E-4	 5.591040378059528E-4	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 897.5235899190352	 891.0942782395015	 879.0055791741293	 875.5070474423297	 865.9514329416261	 864.1522028649615	 860.3301904637658	 855.8318176780239	 850.9946779760377	 820.3559286100531	 0.027322937025628723	 0.059518049245290534	 0.07418994045459472	 0.10131909778500621	 0.09107645675209575	 0.08249478453533292	 0.09605936320053866	 0.10353372287320307	 0.11958975476263028	 0.24489589336567918	 3.68998933143541	 1.9456888805252621	 2.2737213995357193	 2.6332881880861407	 2.98450375949954	 3.333101343649058	 3.6190649808234467	 3.9530421985673	 4.359637103582133	 4.72898640188451	 5.1489401631553475	 1.45723124968267E-5	 3.19490966989421E-5	 4.0363915100821196E-5	 5.5327172167185904E-5	 5.02837356065707E-5	 4.5624892243530506E-5	 5.335653461731949E-5	 5.7808473622508894E-5	 6.714965329282323E-5	 1.4266825195942396E-4	 1378013.055062399	 1189170.0221935571	 1038008.4786874776	 928985.5790281167	 843429.6040950186	 771925.440185402	 711355.9251396777	 657157.7029626516	 614752.6455833748	 575115.0584353554	 0.2792015523405285	 0.0	 4.6521409195768805E-5	 4.0363915100821196E-5	 5.5327172167185904E-5	 5.02837356065707E-5	 4.5624892243530506E-5	 5.335653461731949E-5	 5.7808473622508894E-5	 6.714965329282323E-5	 1.4266825195942396E-4	 0.006862328818557534	 0.0052270648392237565	 0.004013485797781399	 0.0030907055846497557	 0.0024262318327848737	 0.0018279495227043723	 0.0013213002026019089	 8.701146535793446E-4	 4.973964624113661E-4	 1.2476496876868216E-4	 
-10.48	 4.388274530454625E-5	 3.561713149135274E-5	 3.561713149134587E-5	 863.1579388422481	 37.3696928404	 38.67628740771939	 42560.08350160491	 3.7353066088822984	 3.5886698434830797	 1.8676533044411496	 0.004360867463031837	 0.0	 0.0	 0.0	 5.591040378059525E-4	 5.591040378059528E-4	 0.5322176745650973	 0.7694725839162455	 0.6413918343308183	 0.6109103134610336	 0.3959108899908052	 0.24815530026381083	 0.20361169444034743	 0.14763354601493717	 0.11121378236389744	 0.07478898953530688	 917.3006757072262	 905.962120057861	 890.5601754769261	 885.0984660394869	 874.2134436882975	 871.4152412657614	 866.9134254809353	 861.8772130922739	 856.6507133935751	 825.4003402619737	 0.02771406986079967	 0.06001722291288344	 0.07452616860632724	 0.10153288373709106	 0.09113107040725506	 0.08244048462754924	 0.09591702612410839	 0.10331409813758531	 0.11928071295253401	 0.24412626263386655	 3.6899893318245796	 1.9456888831748376	 2.2737213998665426	 2.6332881885996358	 2.984503759634994	 3.3331013437459234	 3.61906498080923	 3.9530421985674455	 4.3596371035807975	 4.728986401885577	 5.148940163153224	 1.4572312496826705E-5	 3.1949096698942096E-5	 4.03639151008212E-5	 5.5327172167185924E-5	 5.028373560657071E-5	 4.56248922435305E-5	 5.335653461731949E-5	 5.780847362250886E-5	 6.714965329282316E-5	 1.4266825195942385E-4	 1358933.5482129655	 1176578.450384784	 1029728.7865013295	 923235.6511587297	 839355.92319861	 769116.4932331218	 709396.3158921761	 655857.7647643451	 613917.903657237	 574857.6245648352	 0.27920155222979987	 0.0	 4.65214091957688E-5	 4.03639151008212E-5	 5.5327172167185924E-5	 5.028373560657071E-5	 4.56248922435305E-5	 5.335653461731949E-5	 5.780847362250886E-5	 6.714965329282316E-5	 1.4266825195942385E-4	 0.006247993177094187	 0.0048417233565661915	 0.003767510309155993	 0.0029272751133509853	 0.002310316897816753	 0.0017516644342598408	 0.0012708602138927273	 8.38961674476612E-4	 4.807245634689015E-4	 1.2141612413715428E-4	 
-9.98	 8.77654906090925E-5	 3.513393985846342E-5	 3.5133939858501075E-5	 870.2260231229743	 38.036622728800005	 39.53562758363117	 35827.15111635663	 3.144387494853136	 3.0522364308367242	 3.4398470518677176	 0.008031853155307387	 0.0	 0.0	 0.0	 5.591040378059526E-4	 5.591040378059528E-4	 0.3418648591805553	 0.5703721311324159	 0.5499051258638445	 0.5397926795185413	 0.37281456281174025	 0.2350677486572721	 0.19546792030190116	 0.1450044795725134	 0.1116736843563686	 0.08242430345798368	 931.6069524049152	 918.0621873194407	 900.9408737730034	 893.8990055860181	 882.0208457346607	 878.285098997467	 873.1540427635132	 867.6215016282488	 862.0248767186774	 830.1863613544945	 0.02793290457376189	 0.06034901705107688	 0.07480656779840811	 0.10172961285871553	 0.09121213249009477	 0.08242099641647502	 0.09582433076228508	 0.10315556151310884	 0.11904723576234168	 0.24352164077373206	 3.689989331871541	 1.9456888830021766	 2.2737213999017647	 2.6332881885472497	 2.9845037598132667	 3.3331013440880297	 3.6190649807963204	 3.9530421985571937	 4.359637103582	 4.72898640188423	 5.148940163152389	 1.4572312496826695E-5	 3.1949096698942096E-5	 4.036391510082123E-5	 5.532717216718593E-5	 5.028373560657074E-5	 4.56248922435305E-5	 5.335653461731951E-5	 5.780847362250889E-5	 6.714965329282318E-5	 1.4266825195942388E-4	 1346335.3818540655	 1167056.9286598668	 1022527.6486455041	 918093.0241105264	 835479.5186818204	 766430.045791302	 707497.9215937598	 654570.1255459863	 613072.7842618679	 574571.4179090722	 0.2792015522188268	 0.0	 4.652140919576879E-5	 4.036391510082123E-5	 5.532717216718593E-5	 5.028373560657074E-5	 4.56248922435305E-5	 5.335653461731951E-5	 5.780847362250889E-5	 6.714965329282318E-5	 1.4266825195942388E-4	 0.005837807636921682	 0.004559810019947288	 0.0035693805755167263	 0.0027917554288190336	 0.002210495395607353	 0.0016851575658073763	 0.0012263567572256173	 8.112075035248966E-4	 4.6556244636093046E-4	 1.1806749574013871E-4	 
-9.48	 1.3164823591363877E-4	 3.4673981183938715E-5	 3.467398118390494E-5	 876.6372290188818	 38.696274176	 40.359903327583986	 29853.185025182593	 2.620079429979164	 2.553415238977171	 4.7498867668572995	 0.011090723639884299	 0.0	 0.0	 0.0	 5.591040378059526E-4	 5.591040378059528E-4	 0.23558490816651198	 0.41897991055431655	 0.4441525271255493	 0.4548301673071151	 0.33361944441284663	 0.21386803815054733	 0.18117175388206877	 0.13758974611393882	 0.10887264017833331	 0.091410294087936	 942.7024758818668	 927.9685962019691	 909.9907485921669	 901.8083839319019	 889.2513200488333	 884.7038008821256	 879.023029026443	 873.0511417077006	 867.1194342309992	 834.741448835241	 0.028067797927433583	 0.06056851303964799	 0.07502070767660962	 0.10189302998135612	 0.09129783663211913	 0.08242093682129996	 0.09576518816270724	 0.1030416582994589	 0.11887179229431118	 0.24305253916505634	 3.689989332224688	 1.9456888866325548	 2.2737214000043764	 2.633288188548721	 2.984503759752154	 3.333101344300803	 3.61906498080002	 3.9530421984373674	 4.359637103621888	 4.7289864018863765	 5.1489401631538625	 1.4572312496826691E-5	 3.1949096698942075E-5	 4.036391510082126E-5	 5.532717216718593E-5	 5.0283735606570705E-5	 4.5624892243530486E-5	 5.3356534617319546E-5	 5.7808473622508914E-5	 6.714965329282315E-5	 1.4266825195942388E-4	 1337470.8001636404	 1159944.912235111	 1016636.0955009736	 913711.5918229518	 831975.9884216759	 763963.4216738407	 705722.9960957979	 653337.9293513222	 612242.3553419264	 574252.6999959121	 0.27920155211984077	 0.0	 4.6521409195768765E-5	 4.036391510082126E-5	 5.532717216718593E-5	 5.0283735606570705E-5	 4.5624892243530486E-5	 5.3356534617319546E-5	 5.7808473622508914E-5	 6.714965329282315E-5	 1.4266825195942388E-4	 0.005510475772092937	 0.004333349429611935	 0.003405468794459315	 0.002676911296125414	 0.0021237722424331334	 0.0016266032965748841	 0.001186827272273271	 7.863777419494736E-4	 4.5178313746995906E-4	 1.1474910304391808E-4	 
-8.98	 1.75530981218185E-4	 3.4237312893780565E-5	 3.423731289363745E-5	 882.5742220919019	 39.3528316084	 41.15540706408064	 26001.067360373287	 2.2819964332432234	 2.227417896020373	 5.8908849834789105	 0.013754891548569795	 0.0	 0.0	 0.0	 5.591040378059525E-4	 5.591040378059528E-4	 0.20558672945268075	 0.3471085233609692	 0.3652706699973898	 0.3845909700449184	 0.29244065353964643	 0.1910775419767603	 0.16464093377977917	 0.12759357029344187	 0.10355811238134292	 0.10012872841629417	 952.7428159852102	 936.7342276925712	 918.0167871077462	 908.9733775590538	 895.9254881985703	 890.6966326975795	 884.5444897968863	 878.1901090660037	 871.9622959554055	 839.1085176953053	 0.028184126970189568	 0.06074105885689146	 0.07518439154652412	 0.10202196012136126	 0.09137202772556635	 0.08242467961247121	 0.0957202777179323	 0.10295082562706558	 0.11872939564716407	 0.2426712561748341	 3.6899893317205956	 1.9456888814298354	 2.273721399713892	 2.633288188671774	 2.9845037596209756	 3.333101344333328	 3.619064980786648	 3.9530421984595567	 4.359637103624541	 4.72898640188713	 5.148940163150839	 1.4572312496826691E-5	 3.194909669894209E-5	 4.036391510082126E-5	 5.532717216718594E-5	 5.028373560657072E-5	 4.56248922435305E-5	 5.3356534617319526E-5	 5.780847362250894E-5	 6.714965329282312E-5	 1.426682519594238E-4	 1329674.8244025952	 1153990.292205639	 1011740.0271130449	 909972.1908965395	 828878.662062879	 761742.0550674121	 704097.5598261539	 652186.4856364611	 611446.6875620377	 573902.0741362707	 0.27920155226325905	 0.0	 4.652140919576878E-5	 4.036391510082126E-5	 5.532717216718594E-5	 5.028373560657072E-5	 4.56248922435305E-5	 5.3356534617319526E-5	 5.780847362250894E-5	 6.714965329282312E-5	 1.426682519594238E-4	 0.005193485629902003	 0.0041270199534504	 0.003262580952220014	 0.002576093855771115	 0.002047330546225534	 0.0015743722633649196	 0.0011513863394066752	 7.640179512420495E-4	 4.3924662985821025E-4	 1.1149714386933067E-4	 
-8.48	 2.1941372652273125E-4	 3.3823989516003686E-5	 3.382398951557929E-5	 888.1835309085891	 40.0122864168	 41.9266143714329	 23871.443585675883	 2.0950889578441183	 2.0461257832018758	 6.938429462400969	 0.016200850133788466	 0.0	 0.0	 0.0	 5.591040378059524E-4	 5.591040378059528E-4	 0.21254496671190193	 0.3273472031597251	 0.3197416553325674	 0.3371322278115656	 0.25720440580986903	 0.17071378566710393	 0.14875714008645957	 0.1169368604545511	 0.09686764416661475	 0.10784306864375992	 962.7861671468233	 945.0575040271639	 925.3897450441991	 915.5944462052308	 902.1213450089555	 896.3157462485183	 889.7539684041938	 883.0645722605823	 876.5762237019504	 843.3161308803177	 0.02831061697593853	 0.060905502983727274	 0.07531900312328754	 0.10212448105110934	 0.09142875092357426	 0.08242354627042885	 0.09567711333359334	 0.10286805084530833	 0.11860179362168505	 0.24234114087134753	 3.6899893311208727	 1.9456888739445743	 2.2737213993165817	 2.633288189171897	 2.9845037599975646	 3.3331013445047	 3.61906498078642	 3.9530421984573176	 4.359637103624596	 4.7289864018922865	 5.148940163149376	 1.4572312496826695E-5	 3.194909669894208E-5	 4.036391510082128E-5	 5.532717216718592E-5	 5.0283735606570726E-5	 4.56248922435305E-5	 5.335653461731949E-5	 5.7808473622508914E-5	 6.71496532928231E-5	 1.4266825195942382E-4	 1321652.0201497478	 1148358.880900429	 1007422.6816047739	 906669.9849862803	 826134.4911784484	 759743.5807227211	 702618.864913466	 651123.9409084	 610697.4311454456	 573522.6953387092	 0.2792015524325586	 0.0	 4.652140919576878E-5	 4.036391510082128E-5	 5.532717216718592E-5	 5.0283735606570726E-5	 4.56248922435305E-5	 5.335653461731949E-5	 5.7808473622508914E-5	 6.71496532928231E-5	 1.4266825195942382E-4	 0.0048532363006791104	 0.0039199554323241115	 0.0031294238965550295	 0.002483343815505088	 0.0019784071565589582	 0.001526942726946647	 0.0011192088131823205	 7.437149883611577E-4	 4.278080614498721E-4	 1.0833806442757259E-4	 
-7.98	 2.6329647182727755E-4	 3.3434062672243485E-5	 3.343406267163406E-5	 893.5748932875695	 40.68139857880001	 42.67638380614566	 23057.551428394363	 2.023657313357413	 1.9765520519542454	 7.950258119079677	 0.018563414243830133	 0.0	 0.0	 0.0	 5.591040378059524E-4	 5.591040378059528E-4	 0.2413642871315087	 0.3386639883693121	 0.3008208641028425	 0.31075655856729156	 0.2312706837762626	 0.1547300064026409	 0.1352467790346239	 0.10699476632382243	 0.08983374342049188	 0.1139756362286164	 973.4598400490705	 953.3579937746142	 932.4027863049757	 921.8510554481954	 907.9365257140184	 901.6222878987394	 894.6911643596196	 887.7008381835668	 880.9804880217342	 847.3810309063806	 0.028463023267097654	 0.061082889451638735	 0.07544104026856654	 0.10220963554532446	 0.09146766698298119	 0.0824133400001547	 0.09562817349498692	 0.10278339770006129	 0.11847626831169103	 0.24203456497749742	 3.6899893309937104	 1.9456888726234955	 2.2737213991913237	 2.6332881892120805	 2.9845037599948903	 3.3331013445007596	 3.619064980786957	 3.9530421984602935	 4.359637103624772	 4.728986401892292	 5.148940163149509	 1.4572312496826698E-5	 3.194909669894209E-5	 4.036391510082127E-5	 5.5327172167185904E-5	 5.028373560657074E-5	 4.562489224353052E-5	 5.33565346173195E-5	 5.780847362250893E-5	 6.714965329282311E-5	 1.4266825195942369E-4	 1312652.0808956618	 1142555.4753633633	 1003347.5111611886	 903611.4346402958	 823651.9121646297	 757921.3067031136	 701266.2367351231	 650145.6629055219	 609998.2833752543	 573119.8456746099	 0.279201552469357	 0.0	 4.6521409195768785E-5	 4.036391510082127E-5	 5.5327172167185904E-5	 5.028373560657074E-5	 4.562489224353052E-5	 5.33565346173195E-5	 5.780847362250893E-5	 6.714965329282311E-5	 1.4266825195942369E-4	 0.0044707406433433	 0.003700213850960917	 0.0029978344944203202	 0.0023938932596246	 0.0019143134394328828	 0.001482839372863371	 0.0010894820519103416	 7.250648560647815E-4	 4.173125625133293E-4	 1.0529045471271297E-4	 
-7.48	 3.071792171318238E-4	 3.3067581069822196E-5	 3.3067581069370965E-5	 898.8374678057323	 41.36631362680001	 43.40672797011111	 23331.30303358611	 2.047683257292093	 1.9997910135259114	 8.974099747725724	 0.020954027980888825	 0.0	 0.0	 0.0	 5.591040378059526E-4	 5.591040378059528E-4	 0.2908200342679246	 0.3719509177564042	 0.3008710542025135	 0.30084271448242106	 0.21479337366348616	 0.14357074179865137	 0.12484929415124667	 0.0985806883408884	 0.08322758113105522	 0.1181768574975024	 985.3490063873497	 961.9324828545674	 939.2660288199291	 927.8828125413457	 913.4652733100856	 906.676368891962	 899.3964744998448	 892.126005463591	 885.1936846634333	 851.3133773432457	 0.028656139921040494	 0.06128686816851061	 0.07556105176979581	 0.1022837606641912	 0.09148998674025864	 0.08239172408497489	 0.09556844692969624	 0.10268976997866862	 0.11834330491635221	 0.24172894682651141	 3.6899893303388285	 1.9456888671393153	 2.273721398231702	 2.633288189397425	 2.9845037598889923	 3.33310134454246	 3.6190649803173067	 3.95304219828207	 4.3596371036416155	 4.728986401891136	 5.148940163149569	 1.4572312496826703E-5	 3.194909669894209E-5	 4.036391510082127E-5	 5.532717216718592E-5	 5.028373560657071E-5	 4.5624892243530526E-5	 5.335653461731947E-5	 5.780847362250899E-5	 6.714965329282316E-5	 1.4266825195942377E-4	 1301986.7778613537	 1136236.0647815343	 999274.884004703	 900644.8087970677	 821335.8145977181	 756222.2139697573	 700010.9410116734	 649239.2104925121	 609346.8266982922	 572700.1674147602	 0.27920155265102	 0.0	 4.652140919576879E-5	 4.036391510082127E-5	 5.532717216718592E-5	 5.028373560657071E-5	 4.5624892243530526E-5	 5.335653461731947E-5	 5.780847362250899E-5	 6.714965329282316E-5	 1.4266825195942377E-4	 0.00403045305874361	 0.0034599279783182318	 0.0028623170733661344	 0.0023042818902045095	 0.0018527110840088593	 0.0014407278385025226	 0.0010614335386553988	 7.076669989609438E-4	 4.075928786576123E-4	 1.0236739395173265E-4	 
-6.98	 3.5106196243637E-4	 3.272459049426978E-5	 3.2724590493773216E-5	 904.0578715159556	 42.0711339772	 44.11966517610422	 24664.731395319144	 2.1647122516516712	 2.1137099891108195	 10.05645587355156	 0.02348126984173271	 0.0	 0.0	 0.0	 5.591040378059525E-4	 5.591040378059528E-4	 0.36974485463228385	 0.4255067640861867	 0.31514191536840386	 0.3034944737639833	 0.20645821873516823	 0.1368360099832735	 0.11760975346313529	 0.09203249423696747	 0.0775315055622059	 0.12035626182006352	 999.2789562097355	 971.0545708642129	 946.1399953124553	 933.7993339472476	 918.7903268755539	 911.533795583751	 903.909960531394	 896.3687364734523	 889.2367778382658	 855.1220442193569	 0.028911894217295918	 0.061529414910958334	 0.07568530867955964	 0.10234980490984251	 0.09149586214405948	 0.08235622919394311	 0.09549330125444588	 0.10258078706694934	 0.11819441113618932	 0.2414029864867565	 3.689989329963816	 1.9456888592253196	 2.273721398331286	 2.6332881899830487	 2.9845037612754783	 3.3331013444961455	 3.6190649810708155	 3.953042198202793	 4.359637103636062	 4.728986401886539	 5.148940163149865	 1.4572312496826701E-5	 3.19490966989421E-5	 4.036391510082127E-5	 5.532717216718593E-5	 5.028373560657069E-5	 4.562489224353056E-5	 5.3356534617319465E-5	 5.7808473622509E-5	 6.714965329282312E-5	 1.4266825195942363E-4	 1288689.321355072	 1129090.4146044757	 995026.8236953	 897654.607045463	 819103.8304653675	 754597.2016678005	 698823.2879652744	 648388.7241008916	 608736.7231663971	 572270.7571315689	 0.2792015527609243	 0.0	 4.6521409195768805E-5	 4.036391510082127E-5	 5.532717216718593E-5	 5.028373560657069E-5	 4.562489224353056E-5	 5.3356534617319465E-5	 5.7808473622509E-5	 6.714965329282312E-5	 1.4266825195942363E-4	 0.003514775259245466	 0.003192830414341992	 0.002719015271938495	 0.0022120268307641894	 0.0017917539391239699	 0.0013995016658360344	 0.0010343839037963718	 6.911444412474977E-4	 3.984765354998746E-4	 9.957783791554852E-5	 
-6.48	 3.9494470774091627E-4	 3.24051338023008E-5	 3.2405133801989486E-5	 909.3452482528146	 42.7967856384	 44.8184311735826	 27306.248154729252	 2.3965462659934396	 2.3397917287856673	 11.25472900654828	 0.02627917152138852	 0.0	 0.0	 0.0	 5.591040378059525E-4	 5.591040378059528E-4	 0.5024739998776688	 0.5033973808227437	 0.3414743461689653	 0.3162988601614174	 0.2047969453002949	 0.13387748130491062	 0.1132283842784858	 0.08736320917650886	 0.07297562395623203	 0.12066003494621214	 1016.7458441721989	 981.0538977161017	 953.1683624032121	 939.6973476995194	 923.9875644024344	 916.2496987999909	 908.2745602159538	 900.4631636444545	 893.1371965261982	 858.8212777252728	 0.029271453870483046	 0.061824447940761154	 0.07581665515856738	 0.10240665419930732	 0.09148246511961147	 0.08230237777367568	 0.09539623176908672	 0.10244842393317638	 0.11801940270637555	 0.24103188752895538	 3.689989329379107	 1.9456888535476333	 2.273721398348138	 2.6332881895234865	 2.9845037612441225	 3.3331013445007738	 3.619064981065985	 3.953042198202777	 4.359637103636014	 4.728986401886589	 5.148940163149872	 1.4572312496826707E-5	 3.19490966989421E-5	 4.036391510082127E-5	 5.5327172167185904E-5	 5.0283735606570726E-5	 4.562489224353058E-5	 5.3356534617319444E-5	 5.780847362250898E-5	 6.714965329282311E-5	 1.4266825195942363E-4	 1271006.1536305908	 1120752.2691809682	 990454.659892137	 894548.237129875	 816888.445033923	 753004.2426960828	 697676.214695319	 647577.9766923006	 608159.6947231883	 571838.3130708559	 0.27920155292569804	 0.0	 4.6521409195768805E-5	 4.036391510082127E-5	 5.5327172167185904E-5	 5.0283735606570726E-5	 4.562489224353058E-5	 5.3356534617319444E-5	 5.780847362250898E-5	 6.714965329282311E-5	 1.4266825195942363E-4	 0.0028997715792730056	 0.002892868659074429	 0.0025649898811060485	 0.0021152677125033654	 0.001730029440218442	 0.0013582834239675133	 0.0010077711327443303	 6.751653108164799E-4	 3.8979804266767013E-4	 9.692685697358136E-5	 
