Lambda [-]	LHV [MJ/kg]	mTot [kg]	p [Pa]	V [m^3]	T [K]	nC7H16	O2	N2	CO2	H2O	CO	H2	OH	H2O2	HO2	H	O	CH3O	CH2O	HCO	CH2	CH3	CH4	C2H2	C2H3	C2H4	C2H5	C3H4	C3H5	C3H6	C3H7	C7H15-2	C7H15O2	C7KET12	C5H11CO	N	N2O	NO	NO2	iC8H18	C8H17	C8H17OO	iC8KET21	C6H13CO	C4H9	C2H6	CH2CHO	CH2CO	CH3O2	CH3O2H	soot	
1.942381413	1.373787711	1.46E-05	3778000	9.87E-07	895.5873333	1.00E-07	3.07E-06	1.08E-05	3.54E-08	6.84E-08	8.69E-08	9.46E-12	5.23E-13	2.30E-08	8.72E-10	1.23E-15	8.20E-15	1.34E-09	7.64E-08	1.67E-12	8.49E-17	5.28E-11	2.02E-08	7.30E-14	1.32E-14	7.49E-08	3.50E-12	2.53E-10	1.73E-11	1.31E-08	8.93E-11	5.47E-12	1.89E-10	1.42E-08	3.61E-10	2.76E-29	4.18E-17	3.30E-26	1.64E-25	1.65E-07	1.17E-12	1.45E-12	9.06E-10	4.35E-12	6.45E-10	8.01E-10	1.04E-10	4.40E-12	1.21E-08	7.05E-09	8.07E-15	 
2.267451867	1.188737307	3.20E-05	3778000	2.15E-06	889.5166322	1.67E-07	6.85E-06	2.38E-05	6.38E-08	1.21E-07	1.54E-07	1.35E-11	8.67E-13	4.15E-08	1.52E-09	1.46E-15	1.27E-14	2.39E-09	1.35E-07	2.18E-12	9.82E-17	8.39E-11	3.57E-08	1.33E-13	1.64E-14	1.29E-07	3.79E-12	4.64E-10	2.43E-11	2.48E-08	1.29E-10	6.77E-12	2.74E-10	2.19E-08	5.51E-10	3.43E-29	8.39E-17	5.49E-26	2.91E-25	3.61E-07	2.17E-12	2.98E-12	1.94E-09	9.40E-12	1.29E-09	1.30E-09	1.81E-10	7.66E-12	2.24E-08	1.18E-08	1.82E-14	 
2.632448676	1.038321711	4.03E-05	3778000	2.68E-06	879.8095342	1.62E-07	8.79E-06	3.02E-05	5.87E-08	1.17E-07	1.49E-07	9.84E-12	9.38E-13	3.91E-08	1.56E-09	1.17E-15	1.17E-14	2.68E-09	1.32E-07	1.73E-12	6.92E-17	7.88E-11	3.35E-08	1.09E-13	1.28E-14	1.25E-07	2.33E-12	4.23E-10	1.90E-11	2.62E-08	1.32E-10	5.34E-12	2.65E-10	2.41E-08	6.03E-10	2.05E-29	8.20E-17	4.13E-26	2.31E-25	4.57E-07	2.53E-12	3.99E-12	2.85E-09	1.39E-11	1.79E-09	1.10E-09	1.67E-10	6.55E-12	2.60E-08	1.26E-08	1.80E-14	 
2.973491255	0.929315807	5.53E-05	3778000	3.66E-06	875.4309671	1.71E-07	1.22E-05	4.15E-05	6.22E-08	1.28E-07	1.64E-07	8.65E-12	1.09E-12	4.21E-08	1.79E-09	1.03E-15	1.25E-14	3.21E-09	1.46E-07	1.60E-12	6.00E-17	8.54E-11	3.64E-08	1.11E-13	1.16E-14	1.36E-07	1.81E-12	4.66E-10	1.85E-11	3.23E-08	1.24E-10	4.67E-12	2.50E-10	2.27E-08	5.68E-10	1.72E-29	9.59E-17	4.08E-26	2.33E-25	6.28E-07	3.11E-12	5.17E-12	3.70E-09	1.81E-11	2.32E-09	1.11E-09	1.79E-10	6.91E-12	3.10E-08	1.36E-08	2.09E-14	 
3.318069206	0.843587099	5.02E-05	3778000	3.29E-06	867.3260572	1.22E-07	1.12E-05	3.78E-05	3.90E-08	8.95E-08	1.15E-07	4.64E-12	9.28E-13	2.76E-08	1.36E-09	6.78E-16	8.85E-15	2.70E-09	1.03E-07	9.95E-13	3.47E-17	6.16E-11	2.40E-08	6.59E-14	7.24E-15	9.47E-08	9.07E-13	3.06E-10	1.14E-11	2.54E-08	1.04E-10	2.88E-12	1.85E-10	2.03E-08	5.04E-10	8.73E-30	6.80E-17	2.40E-26	1.31E-25	5.73E-07	2.74E-12	5.15E-12	4.25E-09	2.09E-11	2.51E-09	6.82E-10	1.18E-10	4.37E-12	2.69E-08	1.05E-08	1.38E-14	 
3.660720259	0.772208171	4.56E-05	3778000	2.98E-06	865.3522386	8.34E-08	1.02E-05	3.44E-05	2.62E-08	6.37E-08	8.18E-08	2.68E-12	7.37E-13	1.91E-08	1.03E-09	4.05E-16	6.53E-15	2.13E-09	7.42E-08	6.14E-13	2.11E-17	4.55E-11	1.68E-08	4.57E-14	4.42E-15	6.71E-08	5.05E-13	2.31E-10	7.86E-12	2.16E-08	6.37E-11	1.70E-12	1.13E-10	1.22E-08	3.03E-10	5.68E-30	5.44E-17	1.76E-26	8.99E-26	5.21E-07	2.25E-12	4.32E-12	3.54E-09	1.74E-11	2.10E-09	4.62E-10	8.27E-11	3.21E-12	2.07E-08	6.95E-09	1.04E-14	 
4.020587745	0.710653799	5.34E-05	3778000	3.47E-06	861.1044713	7.05E-08	1.20E-05	4.03E-05	2.03E-08	5.59E-08	7.17E-08	1.77E-12	8.03E-13	1.57E-08	1.00E-09	3.22E-16	6.11E-15	2.23E-09	6.58E-08	4.85E-13	1.65E-17	4.32E-11	1.40E-08	3.49E-14	3.51E-15	5.84E-08	3.36E-13	2.03E-10	6.72E-12	2.30E-08	5.46E-11	1.27E-12	9.15E-11	1.03E-08	2.55E-10	4.25E-30	5.10E-17	1.45E-26	6.91E-26	6.12E-07	2.49E-12	5.05E-12	4.29E-09	2.12E-11	2.56E-09	3.65E-10	6.94E-11	2.74E-12	2.16E-08	6.13E-09	8.41E-15	 
4.396405515	0.656852753	5.79E-05	3778000	3.74E-06	855.9593048	5.03E-08	1.31E-05	4.37E-05	1.29E-08	4.28E-08	5.46E-08	9.48E-13	8.33E-13	1.10E-08	8.69E-10	2.25E-16	5.14E-15	2.12E-09	5.04E-08	3.36E-13	1.14E-17	3.72E-11	9.75E-09	2.29E-14	2.46E-15	4.41E-08	1.90E-13	1.55E-10	5.14E-12	2.24E-08	4.27E-11	8.19E-13	6.52E-11	7.90E-09	1.95E-10	2.85E-30	4.25E-17	1.08E-26	4.71E-26	6.65E-07	2.62E-12	5.73E-12	5.24E-09	2.59E-11	3.03E-09	2.45E-10	4.99E-11	2.07E-12	2.06E-08	4.63E-09	5.73E-15	 
4.745112424	0.614180393	6.72E-05	3778000	4.32E-06	850.6487888	3.34E-08	1.53E-05	5.08E-05	7.97E-09	3.41E-08	4.31E-08	4.82E-13	9.44E-13	7.81E-09	7.97E-10	1.58E-16	4.55E-15	2.13E-09	3.95E-08	2.45E-13	8.51E-18	3.42E-11	6.68E-09	1.45E-14	1.82E-15	3.39E-08	1.03E-13	1.19E-10	4.22E-12	2.35E-08	3.17E-11	5.04E-13	4.32E-11	5.25E-09	1.29E-10	1.87E-30	3.67E-17	7.91E-27	3.20E-26	7.76E-07	3.01E-12	6.94E-12	6.57E-09	3.26E-11	3.83E-09	1.62E-10	3.65E-11	1.62E-12	2.09E-08	3.61E-09	3.75E-15	 
5.135507632	0.57359288	1.43E-04	3778000	8.83E-06	817.4491853	1.78E-08	3.27E-05	1.08E-04	3.70E-09	3.53E-08	4.13E-08	1.71E-13	2.10E-12	5.89E-09	1.02E-09	1.21E-16	5.47E-15	2.72E-09	3.48E-08	2.16E-13	6.11E-18	3.73E-11	3.44E-09	7.39E-15	1.71E-15	3.05E-08	3.37E-14	7.39E-11	3.43E-12	3.15E-08	3.63E-11	2.42E-13	3.10E-11	4.67E-09	1.12E-10	9.49E-31	3.69E-17	5.48E-27	2.09E-26	1.68E-06	7.01E-12	2.86E-11	2.79E-08	1.40E-10	1.12E-08	8.02E-11	2.81E-11	1.34E-12	3.24E-08	3.53E-09	1.99E-15	 
