KW	SMD_0_0	SMD_0_9	T_krstTr_0_0	T_krstTr_0_9	m_krstTr_0_0	m_krstTr_0_9	SMD_1_0	SMD_1_9	T_krstTr_1_0	T_krstTr_1_9	m_krstTr_1_0	m_krstTr_1_9	SMD_2_0	SMD_2_9	T_krstTr_2_0	T_krstTr_2_9	m_krstTr_2_0	m_krstTr_2_9	SMD_3_0	SMD_3_9	T_krstTr_3_0	T_krstTr_3_9	m_krstTr_3_0	m_krstTr_3_9	SMD_4_0	SMD_4_9	T_krstTr_4_0	T_krstTr_4_9	m_krstTr_4_0	m_krstTr_4_9	SMD_5_0	SMD_5_9	T_krstTr_5_0	T_krstTr_5_9	m_krstTr_5_0	m_krstTr_5_9	SMD_6_0	SMD_6_9	T_krstTr_6_0	T_krstTr_6_9	m_krstTr_6_0	m_krstTr_6_9	SMD_7_0	SMD_7_9	T_krstTr_7_0	T_krstTr_7_9	m_krstTr_7_0	m_krstTr_7_9	SMD_8_0	SMD_8_9	T_krstTr_8_0	T_krstTr_8_9	m_krstTr_8_0	m_krstTr_8_9	SMD_9_0	SMD_9_9	T_krstTr_9_0	T_krstTr_9_9	m_krstTr_9_0	m_krstTr_9_9	SMD_10_0	SMD_10_9	T_krstTr_10_0	T_krstTr_10_9	m_krstTr_10_0	m_krstTr_10_9	SMD_11_0	SMD_11_9	T_krstTr_11_0	T_krstTr_11_9	m_krstTr_11_0	m_krstTr_11_9	SMD_12_0	SMD_12_9	T_krstTr_12_0	T_krstTr_12_9	m_krstTr_12_0	m_krstTr_12_9	SMD_13_0	SMD_13_9	T_krstTr_13_0	T_krstTr_13_9	m_krstTr_13_0	m_krstTr_13_9	SMD_14_0	SMD_14_9	T_krstTr_14_0	T_krstTr_14_9	m_krstTr_14_0	m_krstTr_14_9
-130.0	 1.42675281702066E-5	 1.42675281702066E-5	 35.21	 35.21	 1.5833439432765248E-12	 1.5833439432765248E-12	 1.42675281702066E-5	 1.42675281702066E-5	 35.21	 35.21	 1.5833439432765248E-12	 1.5833439432765248E-12	 1.42675281702066E-5	 1.42675281702066E-5	 35.21	 35.21	 1.5833439432765248E-12	 1.5833439432765248E-12	 1.42675281702066E-5	 1.42675281702066E-5	 35.21	 35.21	 1.5833439432765248E-12	 1.5833439432765248E-12	 1.42675281702066E-5	 1.42675281702066E-5	 35.21	 35.21	 1.5833439432765248E-12	 1.5833439432765248E-12	 1.42675281702066E-5	 1.42675281702066E-5	 35.21	 35.21	 1.5833439432765248E-12	 1.5833439432765248E-12	 1.42675281702066E-5	 1.42675281702066E-5	 35.21	 35.21	 1.5833439432765248E-12	 1.5833439432765248E-12	 1.42675281702066E-5	 1.42675281702066E-5	 35.21	 35.21	 1.5833439432765248E-12	 1.5833439432765248E-12	 1.42675281702066E-5	 1.42675281702066E-5	 35.21	 35.21	 1.5833439432765248E-12	 1.5833439432765248E-12	 1.42675281702066E-5	 1.42675281702066E-5	 35.21	 35.21	 1.5833439432765248E-12	 1.5833439432765248E-12	 1.42675281702066E-5	 1.42675281702066E-5	 35.21	 35.21	 1.5833439432765248E-12	 1.5833439432765248E-12	 1.42675281702066E-5	 1.42675281702066E-5	 35.21	 35.21	 1.5833439432765248E-12	 1.5833439432765248E-12	 1.42675281702066E-5	 1.42675281702066E-5	 35.21	 35.21	 1.5833439432765248E-12	 1.5833439432765248E-12	 1.42675281702066E-5	 1.42675281702066E-5	 35.21	 35.21	 1.5833439432765248E-12	 1.5833439432765248E-12	 1.42675281702066E-5	 1.42675281702066E-5	 35.21	 35.21	 1.5833439432765248E-12	 1.5833439432765248E-12	 
-129.5	 1.4272522312245748E-5	 1.4272522312245748E-5	 35.21	 35.21	 1.5850072053352676E-12	 1.5850072053352676E-12	 1.4272522312245748E-5	 1.4272522312245748E-5	 35.21	 35.21	 1.5850072053352676E-12	 1.5850072053352676E-12	 1.4272522312245748E-5	 1.4272522312245748E-5	 35.21	 35.21	 1.5850072053352676E-12	 1.5850072053352676E-12	 1.4272522312245748E-5	 1.4272522312245748E-5	 35.21	 35.21	 1.5850072053352676E-12	 1.5850072053352676E-12	 1.4272522312245748E-5	 1.4272522312245748E-5	 35.21	 35.21	 1.5850072053352676E-12	 1.5850072053352676E-12	 1.4272522312245748E-5	 1.4272522312245748E-5	 35.21	 35.21	 1.5850072053352676E-12	 1.5850072053352676E-12	 1.4272522312245748E-5	 1.4272522312245748E-5	 35.21	 35.21	 1.5850072053352676E-12	 1.5850072053352676E-12	 1.4272522312245748E-5	 1.4272522312245748E-5	 35.21	 35.21	 1.5850072053352676E-12	 1.5850072053352676E-12	 1.4272522312245748E-5	 1.4272522312245748E-5	 35.21	 35.21	 1.5850072053352676E-12	 1.5850072053352676E-12	 1.4272522312245748E-5	 1.4272522312245748E-5	 35.21	 35.21	 1.5850072053352676E-12	 1.5850072053352676E-12	 1.4272522312245748E-5	 1.4272522312245748E-5	 35.21	 35.21	 1.5850072053352676E-12	 1.5850072053352676E-12	 1.4272522312245748E-5	 1.4272522312245748E-5	 35.21	 35.21	 1.5850072053352676E-12	 1.5850072053352676E-12	 1.4272522312245748E-5	 1.4272522312245748E-5	 35.21	 35.21	 1.5850072053352676E-12	 1.5850072053352676E-12	 1.4272522312245748E-5	 1.4272522312245748E-5	 35.21	 35.21	 1.5850072053352676E-12	 1.5850072053352676E-12	 1.4272522312245748E-5	 1.4272522312245748E-5	 35.21	 35.21	 1.5850072053352676E-12	 1.5850072053352676E-12	 
-129.0	 1.4277580321863583E-5	 1.4277580321863583E-5	 35.21	 35.21	 1.5866929248536454E-12	 1.5866929248536454E-12	 1.4277580321863583E-5	 1.4277580321863583E-5	 35.21	 35.21	 1.5866929248536454E-12	 1.5866929248536454E-12	 1.4277580321863583E-5	 1.4277580321863583E-5	 35.21	 35.21	 1.5866929248536454E-12	 1.5866929248536454E-12	 1.4277580321863583E-5	 1.4277580321863583E-5	 35.21	 35.21	 1.5866929248536454E-12	 1.5866929248536454E-12	 1.4277580321863583E-5	 1.4277580321863583E-5	 35.21	 35.21	 1.5866929248536454E-12	 1.5866929248536454E-12	 1.4277580321863583E-5	 1.4277580321863583E-5	 35.21	 35.21	 1.5866929248536454E-12	 1.5866929248536454E-12	 1.4277580321863583E-5	 1.4277580321863583E-5	 35.21	 35.21	 1.5866929248536454E-12	 1.5866929248536454E-12	 1.4277580321863583E-5	 1.4277580321863583E-5	 35.21	 35.21	 1.5866929248536454E-12	 1.5866929248536454E-12	 1.4277580321863583E-5	 1.4277580321863583E-5	 35.21	 35.21	 1.5866929248536454E-12	 1.5866929248536454E-12	 1.4277580321863583E-5	 1.4277580321863583E-5	 35.21	 35.21	 1.5866929248536454E-12	 1.5866929248536454E-12	 1.4277580321863583E-5	 1.4277580321863583E-5	 35.21	 35.21	 1.5866929248536454E-12	 1.5866929248536454E-12	 1.4277580321863583E-5	 1.4277580321863583E-5	 35.21	 35.21	 1.5866929248536454E-12	 1.5866929248536454E-12	 1.4277580321863583E-5	 1.4277580321863583E-5	 35.21	 35.21	 1.5866929248536454E-12	 1.5866929248536454E-12	 1.4277580321863583E-5	 1.4277580321863583E-5	 35.21	 35.21	 1.5866929248536454E-12	 1.5866929248536454E-12	 1.4277580321863583E-5	 1.4277580321863583E-5	 35.21	 35.21	 1.5866929248536454E-12	 1.5866929248536454E-12	 
-128.5	 1.4282704014533307E-5	 1.4282704014533307E-5	 35.21	 35.21	 1.5884017532119205E-12	 1.5884017532119205E-12	 1.4282704014533307E-5	 1.4282704014533307E-5	 35.21	 35.21	 1.5884017532119205E-12	 1.5884017532119205E-12	 1.4282704014533307E-5	 1.4282704014533307E-5	 35.21	 35.21	 1.5884017532119205E-12	 1.5884017532119205E-12	 1.4282704014533307E-5	 1.4282704014533307E-5	 35.21	 35.21	 1.5884017532119205E-12	 1.5884017532119205E-12	 1.4282704014533307E-5	 1.4282704014533307E-5	 35.21	 35.21	 1.5884017532119205E-12	 1.5884017532119205E-12	 1.4282704014533307E-5	 1.4282704014533307E-5	 35.21	 35.21	 1.5884017532119205E-12	 1.5884017532119205E-12	 1.4282704014533307E-5	 1.4282704014533307E-5	 35.21	 35.21	 1.5884017532119205E-12	 1.5884017532119205E-12	 1.4282704014533307E-5	 1.4282704014533307E-5	 35.21	 35.21	 1.5884017532119205E-12	 1.5884017532119205E-12	 1.4282704014533307E-5	 1.4282704014533307E-5	 35.21	 35.21	 1.5884017532119205E-12	 1.5884017532119205E-12	 1.4282704014533307E-5	 1.4282704014533307E-5	 35.21	 35.21	 1.5884017532119205E-12	 1.5884017532119205E-12	 1.4282704014533307E-5	 1.4282704014533307E-5	 35.21	 35.21	 1.5884017532119205E-12	 1.5884017532119205E-12	 1.4282704014533307E-5	 1.4282704014533307E-5	 35.21	 35.21	 1.5884017532119205E-12	 1.5884017532119205E-12	 1.4282704014533307E-5	 1.4282704014533307E-5	 35.21	 35.21	 1.5884017532119205E-12	 1.5884017532119205E-12	 1.4282704014533307E-5	 1.4282704014533307E-5	 35.21	 35.21	 1.5884017532119205E-12	 1.5884017532119205E-12	 1.4282704014533307E-5	 1.4282704014533307E-5	 35.21	 35.21	 1.5884017532119205E-12	 1.5884017532119205E-12	 
-128.0	 1.4287892202626641E-5	 1.4287892202626641E-5	 35.21	 35.21	 1.5901333414878986E-12	 1.5901333414878986E-12	 1.4287892202626641E-5	 1.4287892202626641E-5	 35.21	 35.21	 1.5901333414878986E-12	 1.5901333414878986E-12	 1.4287892202626641E-5	 1.4287892202626641E-5	 35.21	 35.21	 1.5901333414878986E-12	 1.5901333414878986E-12	 1.4287892202626641E-5	 1.4287892202626641E-5	 35.21	 35.21	 1.5901333414878986E-12	 1.5901333414878986E-12	 1.4287892202626641E-5	 1.4287892202626641E-5	 35.21	 35.21	 1.5901333414878986E-12	 1.5901333414878986E-12	 1.4287892202626641E-5	 1.4287892202626641E-5	 35.21	 35.21	 1.5901333414878986E-12	 1.5901333414878986E-12	 1.4287892202626641E-5	 1.4287892202626641E-5	 35.21	 35.21	 1.5901333414878986E-12	 1.5901333414878986E-12	 1.4287892202626641E-5	 1.4287892202626641E-5	 35.21	 35.21	 1.5901333414878986E-12	 1.5901333414878986E-12	 1.4287892202626641E-5	 1.4287892202626641E-5	 35.21	 35.21	 1.5901333414878986E-12	 1.5901333414878986E-12	 1.4287892202626641E-5	 1.4287892202626641E-5	 35.21	 35.21	 1.5901333414878986E-12	 1.5901333414878986E-12	 1.4287892202626641E-5	 1.4287892202626641E-5	 35.21	 35.21	 1.5901333414878986E-12	 1.5901333414878986E-12	 1.4287892202626641E-5	 1.4287892202626641E-5	 35.21	 35.21	 1.5901333414878986E-12	 1.5901333414878986E-12	 1.4287892202626641E-5	 1.4287892202626641E-5	 35.21	 35.21	 1.5901333414878986E-12	 1.5901333414878986E-12	 1.4287892202626641E-5	 1.4287892202626641E-5	 35.21	 35.21	 1.5901333414878986E-12	 1.5901333414878986E-12	 1.4287892202626641E-5	 1.4287892202626641E-5	 35.21	 35.21	 1.5901333414878986E-12	 1.5901333414878986E-12	 
-127.5	 1.4293144915384407E-5	 1.4293144915384407E-5	 35.21	 35.21	 1.5918877468152711E-12	 1.5918877468152711E-12	 1.4293144915384407E-5	 1.4293144915384407E-5	 35.21	 35.21	 1.5918877468152711E-12	 1.5918877468152711E-12	 1.4293144915384407E-5	 1.4293144915384407E-5	 35.21	 35.21	 1.5918877468152711E-12	 1.5918877468152711E-12	 1.4293144915384407E-5	 1.4293144915384407E-5	 35.21	 35.21	 1.5918877468152711E-12	 1.5918877468152711E-12	 1.4293144915384407E-5	 1.4293144915384407E-5	 35.21	 35.21	 1.5918877468152711E-12	 1.5918877468152711E-12	 1.4293144915384407E-5	 1.4293144915384407E-5	 35.21	 35.21	 1.5918877468152711E-12	 1.5918877468152711E-12	 1.4293144915384407E-5	 1.4293144915384407E-5	 35.21	 35.21	 1.5918877468152711E-12	 1.5918877468152711E-12	 1.4293144915384407E-5	 1.4293144915384407E-5	 35.21	 35.21	 1.5918877468152711E-12	 1.5918877468152711E-12	 1.4293144915384407E-5	 1.4293144915384407E-5	 35.21	 35.21	 1.5918877468152711E-12	 1.5918877468152711E-12	 1.4293144915384407E-5	 1.4293144915384407E-5	 35.21	 35.21	 1.5918877468152711E-12	 1.5918877468152711E-12	 1.4293144915384407E-5	 1.4293144915384407E-5	 35.21	 35.21	 1.5918877468152711E-12	 1.5918877468152711E-12	 1.4293144915384407E-5	 1.4293144915384407E-5	 35.21	 35.21	 1.5918877468152711E-12	 1.5918877468152711E-12	 1.4293144915384407E-5	 1.4293144915384407E-5	 35.21	 35.21	 1.5918877468152711E-12	 1.5918877468152711E-12	 1.4293144915384407E-5	 1.4293144915384407E-5	 35.21	 35.21	 1.5918877468152711E-12	 1.5918877468152711E-12	 1.4293144915384407E-5	 1.4293144915384407E-5	 35.21	 35.21	 1.5918877468152711E-12	 1.5918877468152711E-12	 
-127.0	 1.4298463301775373E-5	 1.4298463301775373E-5	 35.21	 35.21	 1.593665401379419E-12	 1.593665401379419E-12	 1.4298463301775373E-5	 1.4298463301775373E-5	 35.21	 35.21	 1.593665401379419E-12	 1.593665401379419E-12	 1.4298463301775373E-5	 1.4298463301775373E-5	 35.21	 35.21	 1.593665401379419E-12	 1.593665401379419E-12	 1.4298463301775373E-5	 1.4298463301775373E-5	 35.21	 35.21	 1.593665401379419E-12	 1.593665401379419E-12	 1.4298463301775373E-5	 1.4298463301775373E-5	 35.21	 35.21	 1.593665401379419E-12	 1.593665401379419E-12	 1.4298463301775373E-5	 1.4298463301775373E-5	 35.21	 35.21	 1.593665401379419E-12	 1.593665401379419E-12	 1.4298463301775373E-5	 1.4298463301775373E-5	 35.21	 35.21	 1.593665401379419E-12	 1.593665401379419E-12	 1.4298463301775373E-5	 1.4298463301775373E-5	 35.21	 35.21	 1.593665401379419E-12	 1.593665401379419E-12	 1.4298463301775373E-5	 1.4298463301775373E-5	 35.21	 35.21	 1.593665401379419E-12	 1.593665401379419E-12	 1.4298463301775373E-5	 1.4298463301775373E-5	 35.21	 35.21	 1.593665401379419E-12	 1.593665401379419E-12	 1.4298463301775373E-5	 1.4298463301775373E-5	 35.21	 35.21	 1.593665401379419E-12	 1.593665401379419E-12	 1.4298463301775373E-5	 1.4298463301775373E-5	 35.21	 35.21	 1.593665401379419E-12	 1.593665401379419E-12	 1.4298463301775373E-5	 1.4298463301775373E-5	 35.21	 35.21	 1.593665401379419E-12	 1.593665401379419E-12	 1.4298463301775373E-5	 1.4298463301775373E-5	 35.21	 35.21	 1.593665401379419E-12	 1.593665401379419E-12	 1.4298463301775373E-5	 1.4298463301775373E-5	 35.21	 35.21	 1.593665401379419E-12	 1.593665401379419E-12	 
-126.5	 1.4303848804345261E-5	 1.4303848804345261E-5	 35.21	 35.21	 1.5954668373801261E-12	 1.5954668373801261E-12	 1.4303848804345261E-5	 1.4303848804345261E-5	 35.21	 35.21	 1.5954668373801261E-12	 1.5954668373801261E-12	 1.4303848804345261E-5	 1.4303848804345261E-5	 35.21	 35.21	 1.5954668373801261E-12	 1.5954668373801261E-12	 1.4303848804345261E-5	 1.4303848804345261E-5	 35.21	 35.21	 1.5954668373801261E-12	 1.5954668373801261E-12	 1.4303848804345261E-5	 1.4303848804345261E-5	 35.21	 35.21	 1.5954668373801261E-12	 1.5954668373801261E-12	 1.4303848804345261E-5	 1.4303848804345261E-5	 35.21	 35.21	 1.5954668373801261E-12	 1.5954668373801261E-12	 1.4303848804345261E-5	 1.4303848804345261E-5	 35.21	 35.21	 1.5954668373801261E-12	 1.5954668373801261E-12	 1.4303848804345261E-5	 1.4303848804345261E-5	 35.21	 35.21	 1.5954668373801261E-12	 1.5954668373801261E-12	 1.4303848804345261E-5	 1.4303848804345261E-5	 35.21	 35.21	 1.5954668373801261E-12	 1.5954668373801261E-12	 1.4303848804345261E-5	 1.4303848804345261E-5	 35.21	 35.21	 1.5954668373801261E-12	 1.5954668373801261E-12	 1.4303848804345261E-5	 1.4303848804345261E-5	 35.21	 35.21	 1.5954668373801261E-12	 1.5954668373801261E-12	 1.4303848804345261E-5	 1.4303848804345261E-5	 35.21	 35.21	 1.5954668373801261E-12	 1.5954668373801261E-12	 1.4303848804345261E-5	 1.4303848804345261E-5	 35.21	 35.21	 1.5954668373801261E-12	 1.5954668373801261E-12	 1.4303848804345261E-5	 1.4303848804345261E-5	 35.21	 35.21	 1.5954668373801261E-12	 1.5954668373801261E-12	 1.4303848804345261E-5	 1.4303848804345261E-5	 35.21	 35.21	 1.5954668373801261E-12	 1.5954668373801261E-12	 
-126.0	 1.4309299003415046E-5	 1.4309299003415046E-5	 35.21	 35.21	 1.5972912957557548E-12	 1.5972912957557548E-12	 1.4309299003415046E-5	 1.4309299003415046E-5	 35.21	 35.21	 1.5972912957557548E-12	 1.5972912957557548E-12	 1.4309299003415046E-5	 1.4309299003415046E-5	 35.21	 35.21	 1.5972912957557548E-12	 1.5972912957557548E-12	 1.4309299003415046E-5	 1.4309299003415046E-5	 35.21	 35.21	 1.5972912957557548E-12	 1.5972912957557548E-12	 1.4309299003415046E-5	 1.4309299003415046E-5	 35.21	 35.21	 1.5972912957557548E-12	 1.5972912957557548E-12	 1.4309299003415046E-5	 1.4309299003415046E-5	 35.21	 35.21	 1.5972912957557548E-12	 1.5972912957557548E-12	 1.4309299003415046E-5	 1.4309299003415046E-5	 35.21	 35.21	 1.5972912957557548E-12	 1.5972912957557548E-12	 1.4309299003415046E-5	 1.4309299003415046E-5	 35.21	 35.21	 1.5972912957557548E-12	 1.5972912957557548E-12	 1.4309299003415046E-5	 1.4309299003415046E-5	 35.21	 35.21	 1.5972912957557548E-12	 1.5972912957557548E-12	 1.4309299003415046E-5	 1.4309299003415046E-5	 35.21	 35.21	 1.5972912957557548E-12	 1.5972912957557548E-12	 1.4309299003415046E-5	 1.4309299003415046E-5	 35.21	 35.21	 1.5972912957557548E-12	 1.5972912957557548E-12	 1.4309299003415046E-5	 1.4309299003415046E-5	 35.21	 35.21	 1.5972912957557548E-12	 1.5972912957557548E-12	 1.4309299003415046E-5	 1.4309299003415046E-5	 35.21	 35.21	 1.5972912957557548E-12	 1.5972912957557548E-12	 1.4309299003415046E-5	 1.4309299003415046E-5	 35.21	 35.21	 1.5972912957557548E-12	 1.5972912957557548E-12	 1.4309299003415046E-5	 1.4309299003415046E-5	 35.21	 35.21	 1.5972912957557548E-12	 1.5972912957557548E-12	 
-125.5	 1.4314817400914525E-5	 1.4314817400914525E-5	 35.21	 35.21	 1.599140000163593E-12	 1.599140000163593E-12	 1.4314817400914525E-5	 1.4314817400914525E-5	 35.21	 35.21	 1.599140000163593E-12	 1.599140000163593E-12	 1.4314817400914525E-5	 1.4314817400914525E-5	 35.21	 35.21	 1.599140000163593E-12	 1.599140000163593E-12	 1.4314817400914525E-5	 1.4314817400914525E-5	 35.21	 35.21	 1.599140000163593E-12	 1.599140000163593E-12	 1.4314817400914525E-5	 1.4314817400914525E-5	 35.21	 35.21	 1.599140000163593E-12	 1.599140000163593E-12	 1.4314817400914525E-5	 1.4314817400914525E-5	 35.21	 35.21	 1.599140000163593E-12	 1.599140000163593E-12	 1.4314817400914525E-5	 1.4314817400914525E-5	 35.21	 35.21	 1.599140000163593E-12	 1.599140000163593E-12	 1.4314817400914525E-5	 1.4314817400914525E-5	 35.21	 35.21	 1.599140000163593E-12	 1.599140000163593E-12	 1.4314817400914525E-5	 1.4314817400914525E-5	 35.21	 35.21	 1.599140000163593E-12	 1.599140000163593E-12	 1.4314817400914525E-5	 1.4314817400914525E-5	 35.21	 35.21	 1.599140000163593E-12	 1.599140000163593E-12	 1.4314817400914525E-5	 1.4314817400914525E-5	 35.21	 35.21	 1.599140000163593E-12	 1.599140000163593E-12	 1.4314817400914525E-5	 1.4314817400914525E-5	 35.21	 35.21	 1.599140000163593E-12	 1.599140000163593E-12	 1.4314817400914525E-5	 1.4314817400914525E-5	 35.21	 35.21	 1.599140000163593E-12	 1.599140000163593E-12	 1.4314817400914525E-5	 1.4314817400914525E-5	 35.21	 35.21	 1.599140000163593E-12	 1.599140000163593E-12	 1.4314817400914525E-5	 1.4314817400914525E-5	 35.21	 35.21	 1.599140000163593E-12	 1.599140000163593E-12	 
