Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	Vu [m3]	Vb [m3]	T_Zone_1 [K]	T_Zone_2 [K]	T_mittel [K]	T_BurnAdiabat [K]	p_soll [bar]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	Hu Zone [J/kg]	Hu frischGemsich [J/kg]	Phi_Delay [°KW]	Alpha [W/(m^2K)]	pSchlepp [bar]	Wandwärmestromdichte [MW/m^2]	PQw [W]	Brennraumfläche [m^2]	Gesamtmasse [kg]	m_u[kg]	m_v[kg]	 cv_u[J/kg]	 cp_u [J/kg]	 kappa_u [-]	 U_u [J]	 cv_b[J/kg]	 cp_b [J/kg]	 kappa_b [-]	 U_b [J]	Zu_O2 [kg]	Zu_CO2 [kg]	Zu_H2O [kg]	Zu_N2 [kg]	Zu_H [kg]	Zu_O [kg]	Zu_N [kg]	Zu_H2 [kg]	Zu_OH [kg]	Zu_CO [kg]	Zu_NO [kg]	Zu_Diesel [kg]	Zb_O2 [kg]	Zb_CO2 [kg]	Zb_H2O [kg]	Zb_N2 [kg]	Zb_H [kg]	Zb_O [kg]	Zb_N [kg]	Zb_H2 [kg]	Zb_OH [kg]	Zb_CO [kg]	Zb_NO [kg]	Zb_Diesel [kg]
-90.0	 0.0	 3.177362061660913E-4	 1.0	 3.1472648712789965E-52	 494.17661315999055	 1.0	 494.17661315999055	 1632.0613924213162	 2.8223000000000003	 2.8223000000000003	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 916.4949277943939	 31.287244957420988	 31.287244957420988	 0.0	 119.53419649952085	 2.832732389336611	 0.0025133993091857243	 65.28492650256533	 0.02597475310189209	 6.30002920135677E-4	 6.30002920135677E-4	 1.0E-55	 765.9867698236459	 1054.0216815823724	 1.3760311837044408	 -384.66588717925254	 9222172.00712872	 9222360.9303231	 1.0000204857591284	 -1.7893520407745074E-48	 0.17795142034525738	 0.0479916150895497	 0.018142354730736755	 0.7555271566027453	 9.622636116572796E-10	 6.666678880390687E-7	 9.37383885648427E-14	 5.396608958582525E-8	 2.7884036811544945E-5	 2.424233240520485E-6	 3.5642336532380547E-4	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-89.5	 5.545979497622994E-5	 3.155756779975321E-4	 0.9999999999999853	 3.1688120147453833E-52	 495.43879500941614	 1.0	 495.43879500941614	 1633.074325169754	 2.8487000000000005	 2.848880152428667	 5.55	 6.156037242361523E-4	 3.0780186211807616E-4	 0.0	 0.0	 0.0	 69.35127050895511	 0.007692414487535424	 0.003846207243767712	 0.0	 3.358467709786696E-7	 916.4949277943939	 31.287244957420988	 31.287244957420988	 0.0	 120.27085949428495	 2.859373124047138	 0.002680692532874411	 69.35120804597948	 0.025870631262443457	 6.300029201356769E-4	 6.300029201356769E-4	 1.0E-55	 766.2590073355494	 1054.293919094276	 1.3758975868489782	 -384.0566829739639	 9222172.00712872	 9222360.9303231	 1.0000204857591284	 -1.7893520407745074E-48	 0.17795142034525735	 0.0479916150895497	 0.018142354730736755	 0.7555271566027452	 9.622636116572796E-10	 6.666678880390687E-7	 9.37383885648427E-14	 5.3966089585825245E-8	 2.788403681154494E-5	 2.424233240520485E-6	 3.564233653238054E-4	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-89.0	 1.1091958995245988E-4	 3.1340978853398985E-4	 0.9999999999999708	 3.1907108092494956E-52	 496.71523777078664	 1.0	 496.71523777078664	 1634.09894286695	 2.8755	 2.875958530464496	 5.55	 6.156037242361523E-4	 6.156037242361523E-4	 0.0	 0.0	 0.0	 73.48129577523014	 0.00815051519656395	 0.007921464842049687	 0.0	 6.716935419573392E-7	 916.4949277943939	 31.28724495742099	 31.28724495742099	 0.0	 121.0189456233858	 2.8865177577024452	 0.0028518402283849885	 73.48123127145105	 0.025766251047332985	 6.300029201356768E-4	 6.300029201356768E-4	 1.0E-55	 766.5351348069404	 1054.5700465656669	 1.375762177987146	 -383.440375115955	 9222172.00712872	 9222360.9303231	 1.0000204857591284	 -1.7893520407745074E-48	 0.17795142034525735	 0.0479916150895497	 0.018142354730736755	 0.7555271566027453	 9.622636116572796E-10	 6.666678880390689E-7	 9.373838856484271E-14	 5.3966089585825245E-8	 2.7884036811544945E-5	 2.4242332405204855E-6	 3.564233653238054E-4	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-88.5	 1.663793849286898E-4	 3.112387047957649E-4	 0.9999999999999544	 3.2129680036298853E-52	 498.00610335629335	 1.0	 498.0061033562933	 1635.135383854768	 2.9036000000000004	 2.9035463206706833	 5.55	 6.156037242361523E-4	 9.234055863542285E-4	 0.0	 0.0	 0.0	 77.6763280107531	 0.008615826451965507	 0.01222937806803244	 0.0	 1.0075403129360089E-6	 916.4949277943939	 31.287244957420995	 31.287244957420995	 0.0	 121.77865981162319	 2.9141777369396444	 0.003026942954868589	 77.67626140033614	 0.025661620505731782	 6.300029201356767E-4	 6.300029201356767E-4	 1.0E-55	 766.8152094619509	 1054.8501212206775	 1.375624933105893	 -382.8168772873262	 9222172.00712872	 9222360.9303231	 1.0000204857591284	 -1.7893520407745074E-48	 0.17795142034525735	 0.0479916150895497	 0.018142354730736755	 0.7555271566027454	 9.622636116572796E-10	 6.66667888039069E-7	 9.373838856484272E-14	 5.396608958582526E-8	 2.788403681154495E-5	 2.424233240520486E-6	 3.564233653238054E-4	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-88.0	 2.2183917990491975E-4	 3.090625955840751E-4	 0.9999999999999372	 3.2355905058979144E-52	 499.5322971406214	 1.0	 499.5322971406214	 1636.3608639402928	 2.9330000000000003	 2.932951070846963	 1926.9583420291895	 0.21373742915334962	 0.10779212016302904	 0.0	 0.0	 0.0	 82.64462439471448	 0.009166907849636793	 0.016812831992850837	 0.0	 1.1761343886805567E-4	 916.4949277943939	 31.287244957420995	 31.287244957420995	 0.0	 122.57334637668508	 2.942364822558247	 0.003233766445630016	 82.64455340658736	 0.025556747772638295	 6.300029201356767E-4	 6.300029201356767E-4	 1.0E-55	 767.1474080314531	 1055.1823197901797	 1.375462275884946	 -382.07941983446284	 9222172.00712872	 9222360.9303231	 1.0000204857591284	 -1.7893520407745074E-48	 0.17795142034525732	 0.0479916150895497	 0.018142354730736752	 0.7555271566027454	 9.622636116572796E-10	 6.66667888039069E-7	 9.373838856484272E-14	 5.396608958582526E-8	 2.788403681154495E-5	 2.424233240520486E-6	 3.564233653238054E-4	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-87.5	 2.772989748811497E-4	 3.0688163146680225E-4	 0.9999999999999196	 3.2585853875329704E-52	 500.99572920263944	 1.0	 500.99572920263944	 1637.536340952779	 2.9625000000000004	 2.962448588557753	 1249.0768115816888	 0.1385470877597669	 0.1770656640429125	 0.0	 0.0	 0.0	 87.43638486459687	 0.009698407956106554	 0.021662035970904114	 0.0	 1.931987386651804E-4	 916.4949277943939	 31.287244957420995	 31.287244957420995	 0.0	 123.37223923155777	 2.9710910993617805	 0.00343538996476521	 87.43631231247087	 0.02545164106819141	 6.300029201356767E-4	 6.300029201356767E-4	 1.0E-55	 767.4670218900063	 1055.501933648733	 1.3753059135354067	 -381.3719883888054	 9222172.00712872	 9222360.9303231	 1.0000204857591284	 -1.7893520407745074E-48	 0.1779514203452573	 0.0479916150895497	 0.018142354730736752	 0.7555271566027454	 9.622636116572796E-10	 6.66667888039069E-7	 9.373838856484272E-14	 5.396608958582526E-8	 2.788403681154495E-5	 2.424233240520486E-6	 3.564233653238054E-4	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-87.0	 3.327587698573796E-4	 3.0469598476354497E-4	 0.9999999999999004	 3.2819598879060908E-52	 502.33156049626615	 1.0	 502.33156049626615	 1638.6097351116778	 2.9917000000000002	 2.9916544323487675	 5.55	 6.156037242361523E-4	 0.17737346590503056	 0.0	 0.0	 0.0	 91.84064405980074	 0.010186926580082918	 0.026755499260945573	 0.0	 1.9353458543615906E-4	 916.4949277943939	 31.287244957420995	 31.287244957420995	 0.0	 124.16847325966381	 3.0003689863421514	 0.0036234298141558877	 91.84057061132765	 0.025346308696950096	 6.300029201356767E-4	 6.300029201356767E-4	 1.0E-55	 767.7596806454992	 1055.7945924042258	 1.3751628524130877	 -380.7259822356704	 9222172.00712872	 9222360.9303231	 1.0000204857591284	 -1.7893520407745074E-48	 0.17795142034525727	 0.0479916150895497	 0.018142354730736752	 0.7555271566027454	 9.622636116572796E-10	 6.66667888039069E-7	 9.373838856484272E-14	 5.396608958582526E-8	 2.788403681154495E-5	 2.424233240520486E-6	 3.564233653238054E-4	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-86.5	 3.882185648336096E-4	 3.0250582952997927E-4	 0.9999999999998798	 3.3057214188359862E-52	 503.6824920602642	 1.0	 503.6824920602642	 1639.6955331517634	 3.0212000000000003	 3.021417912769633	 5.55	 6.156037242361523E-4	 0.17768126776714863	 0.0	 0.0	 0.0	 96.3154207583137	 0.010683266976610798	 0.032097132749250974	 0.0	 1.938704322071377E-4	 916.4949277943939	 31.287244957421	 31.287244957421	 0.0	 124.9772086110996	 3.0302112472195732	 0.003815865629632387	 96.3153449138131	 0.025240759047139703	 6.300029201356766E-4	 6.300029201356766E-4	 1.0E-55	 768.056527250378	 1056.0914390091048	 1.3750178555084793	 -380.0724227524586	 9222172.00712872	 9222360.9303231	 1.0000204857591284	 -1.7893520407745074E-48	 0.17795142034525727	 0.0479916150895497	 0.018142354730736752	 0.7555271566027454	 9.622636116572796E-10	 6.666678880390691E-7	 9.373838856484275E-14	 5.396608958582526E-8	 2.7884036811544948E-5	 2.4242332405204864E-6	 3.564233653238054E-4	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-86.0	 4.436783598098395E-4	 3.0031134154153284E-4	 0.9999999999998589	 3.3298775692815475E-52	 504.91463219295775	 1.0	 504.91463219295775	 1640.6862297585617	 3.051	 3.050941745252672	 -1163.1989745952267	 -0.12902155329522433	 0.11317049111953646	 0.0	 0.0	 0.0	 100.42669063274832	 0.011139287345266986	 0.03766677642188447	 0.0	 1.2348185209479424E-4	 916.4949277943939	 31.287244957421006	 31.287244957421006	 0.0	 125.78419903417654	 3.0606310013513243	 0.003995488818006413	 100.42661379739091	 0.02513500058986518	 6.300029201356765E-4	 6.300029201356765E-4	 1.0E-55	 768.3280371488473	 1056.362948907574	 1.374885332608168	 -379.4761120950577	 9222172.00712872	 9222360.9303231	 1.0000204857591284	 -1.7893520407745074E-48	 0.17795142034525727	 0.0479916150895497	 0.018142354730736752	 0.7555271566027454	 9.622636116572796E-10	 6.666678880390692E-7	 9.373838856484277E-14	 5.396608958582525E-8	 2.7884036811544948E-5	 2.424233240520487E-6	 3.564233653238054E-4	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-85.5	 4.991381547860695E-4	 2.981126982763753E-4	 0.9999999999998364	 3.354436110175075E-52	 506.179158792607	 1.0	 506.179158792607	 1641.7031821232754	 3.0812000000000004	 3.081140319136551	 -1013.5758461905837	 -0.11242541724517707	 0.05695778249694792	 0.0	 0.0	 0.0	 104.66357671205671	 0.011609241011859159	 0.04347139692781405	 0.0	 6.214740613351851E-5	 916.4949277943939	 31.287244957421006	 31.287244957421006	 0.0	 126.60577153886118	 3.091641735023148	 0.00418168213221757	 104.66349720897611	 0.02502904187829132	 6.300029201356764E-4	 6.300029201356764E-4	 1.0E-55	 768.6074380521998	 1056.6423498109264	 1.3747490558882216	 -378.86390813402863	 9222172.00712872	 9222360.9303231	 1.0000204857591284	 -1.7893520407745074E-48	 0.17795142034525727	 0.0479916150895497	 0.018142354730736752	 0.7555271566027454	 9.622636116572796E-10	 6.666678880390693E-7	 9.37383885648428E-14	 5.396608958582525E-8	 2.7884036811544955E-5	 2.424233240520487E-6	 3.564233653238054E-4	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
