vKurbelwinkel	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-360	3.4182	2.013	3.2867
-359.8	3.3883	2.0196	3.2815
-359.6	3.3585	2.026	3.2763
-359.4	3.3289	2.0323	3.2711
-359.2	3.2994	2.0384	3.266
-359	3.27	2.0444	3.261
-358.8	3.2408	2.0503	3.256
-358.6	3.2118	2.0559	3.251
-358.4	3.1829	2.0615	3.2461
-358.2	3.1542	2.0669	3.2413
-358	3.1256	2.0721	3.2365
-357.8	3.0971	2.0772	3.2317
-357.6	3.0689	2.0821	3.227
-357.4	3.0407	2.0868	3.2223
-357.2	3.0127	2.0915	3.2177
-357	2.9849	2.0959	3.2131
-356.8	2.9572	2.1002	3.2086
-356.6	2.9296	2.1044	3.2041
-356.4	2.9023	2.1084	3.1997
-356.2	2.875	2.1122	3.1953
-356	2.8479	2.1159	3.191
-355.8	2.8198	2.1201	3.1863
-355.6	2.7918	2.1242	3.1817
-355.4	2.764	2.128	3.1772
-355.2	2.7362	2.1318	3.173
-355	2.7084	2.1354	3.1689
-354.8	2.6806	2.1387	3.165
-354.6	2.6544	2.1418	3.1613
-354.4	2.6288	2.1445	3.1575
-354.2	2.6025	2.1467	3.1537
-354	2.5777	2.1486	3.15
-353.8	2.5537	2.1501	3.1463
-353.6	2.528	2.1513	3.1425
-353.4	2.5024	2.1521	3.1387
-353.2	2.4776	2.1526	3.135
-353	2.4538	2.1529	3.1313
-352.8	2.4313	2.153	3.1275
-352.6	2.4082	2.1527	3.1237
-352.4	2.3856	2.1522	3.1199
-352.2	2.3639	2.1514	3.1162
-352	2.3421	2.1505	3.1126
-351.8	2.3204	2.1494	3.109
-351.6	2.2996	2.148	3.1054
-351.4	2.2794	2.1466	3.1019
-351.2	2.26	2.1451	3.0985
-351	2.2403	2.1434	3.0949
-350.8	2.2228	2.1415	3.0915
-350.6	2.2065	2.1394	3.0881
-350.4	2.1896	2.1369	3.0848
-350.2	2.1734	2.134	3.0814
-350	2.1597	2.131	3.0782
-349.8	2.1454	2.1278	3.0748
-349.6	2.1304	2.1243	3.0713
-349.4	2.1182	2.1208	3.068
-349.2	2.1072	2.1171	3.0647
-349	2.0948	2.1131	3.0613
-348.8	2.083	2.1087	3.0579
-348.6	2.0733	2.1041	3.0545
-348.4	2.0657	2.0992	3.0511
-348.2	2.0581	2.0942	3.0476
-348	2.0508	2.0891	3.0441
-347.8	2.0449	2.0839	3.0404
-347.6	2.0394	2.0786	3.0368
-347.4	2.0333	2.0733	3.033
-347.2	2.0275	2.0677	3.0293
-347	2.023	2.0621	3.0255
-346.8	2.0191	2.0562	3.0218
-346.6	2.0154	2.0501	3.0182
-346.4	2.0125	2.0438	3.0145
-346.2	2.0102	2.0376	3.0109
-346	2.0067	2.0313	3.0074
-345.8	2.003	2.0251	3.0038
-345.6	1.9998	2.0191	3.0005
-345.4	1.9973	2.0131	2.9973
-345.2	1.9947	2.0071	2.9942
-345	1.9938	2.0014	2.9912
-344.8	1.9924	1.9958	2.9884
-344.6	1.9882	1.9903	2.9856
-344.4	1.9854	1.9852	2.983
-344.2	1.9838	1.9804	2.9807
-344	1.9807	1.9759	2.9784
-343.8	1.978	1.9717	2.9762
-343.6	1.978	1.9679	2.9744
-343.4	1.9775	1.9643	2.9728
-343.2	1.976	1.9609	2.9714
-343	1.9758	1.9578	2.9704
-342.8	1.9775	1.955	2.9698
-342.6	1.977	1.9523	2.9693
-342.4	1.975	1.9498	2.969
-342.2	1.9741	1.9475	2.9689
-342	1.9734	1.9456	2.9689
-341.8	1.9716	1.9437	2.9689
