Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	V0 [m3]	V1 [m3]	V2 [m3]	T_Zone_0 [K]	T_Zone_1 [K]	T_Zone_2 [K]	T_mittel [K]	T_BurnAdiabat_0 [K]	T_BurnAdiabat_1 [K]	Lambda z1 [-]	Lambda z0 [-]	Lambda z2 [-]	p_soll [bar]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	dQKrst [J/s]	dQKrst [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	Alpha [W/(m^2K)]	Wandwärmestromdichte [MW/m^2]	PQw [W]	Brennraumfläche [m^2]	Gesamtmasse [kg]	m_0[kg]	m_1[kg]	m_2[kg]	Z0_O2 [kg]	Z0_CO2 [kg]	Z0_H2O [kg]	Z0_H [kg]	Z0_O [kg]	Z0_N [kg]	Z0_H2 [kg]	Z0_OH [kg]	Z0_CO [kg]	Z0_NO [kg]	Z0_N2 [kg]	Z0_Ar [kg]	Z0_Diesel [kg]	Z0_RON_95 [kg]	Z1_O2 [kg]	Z1_CO2 [kg]	Z1_H2O [kg]	Z1_H [kg]	Z1_O [kg]	Z1_N [kg]	Z1_H2 [kg]	Z1_OH [kg]	Z1_CO [kg]	Z1_NO [kg]	Z1_N2 [kg]	Z1_Ar [kg]	Z1_Diesel [kg]	Z1_RON_95 [kg]	Z2_O2 [kg]	Z2_CO2 [kg]	Z2_H2O [kg]	Z2_H [kg]	Z2_O [kg]	Z2_N [kg]	Z2_H2 [kg]	Z2_OH [kg]	Z2_CO [kg]	Z2_NO [kg]	Z2_N2 [kg]	Z2_Ar [kg]	Z2_Diesel [kg]	Z2_RON_95 [kg]	 mDieseldampf [kg]	m_Diesel_Z0 [kg]	TKrstVap [K]	mkrstFl [kg]	m_a [kg]	sumdma [kg]	s00 [kg]	dm_a [kg]
-130.0	 0.0	 0.00166397962081229	 0.9990030924090063	 4.984537954969498E-4	 3.3226581485318606E-4	 401.01119260039644	 401.01119260039644	 401.01119260039644	 401.0111926003965	 1242.9758382215869	 1242.9758382215869	 2.171542248719311	 2.171542248719312	 NaN	 2.7405523750000005	 2.7405523750000005	 0.0	 0.0	 0.0	 0.0	 0.0	 2.000000002E-6	 0.0	 0.0	 0.0	 0.0	 0.0	 4.979094176927306E-4	 0.0	 4137.297509122942	 186.91093227141272	 -0.013483531744007772	 -1053.217729305245	 0.07811141393079794	 0.004012408010668342	 0.004008408010664342	 2.0000000019999997E-6	 2.000000002E-6	 0.19773527834302645	 0.02629295973395473	 0.00946973256940176	 5.316262719607333E-10	 6.612739763872099E-7	 7.189581301937356E-14	 2.162815292159935E-8	 2.006382137154918E-5	 1.0129686624194102E-6	 3.560392813852897E-4	 0.7433155764322169	 0.0	 0.0	 0.02280865341615333	 0.19773527834302643	 0.02629295973395473	 0.00946973256940176	 5.316262719607334E-10	 6.612739763872099E-7	 7.189581301937356E-14	 2.1628152921599344E-8	 2.006382137154918E-5	 1.0129686624194102E-6	 3.5603928138528963E-4	 0.7433155764322169	 0.0	 0.0	 0.022808653416153332	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.8	 2.6147892479866122E-5	 0.0016620534206422933	 0.9990029384794493	 4.984537186936122E-4	 3.322272213172949E-4	 401.19241600199166	 401.19241600199166	 401.14587827249073	 401.19239321603163	 1243.1276900022344	 1243.1276900022344	 2.1715422487193106	 2.171542248719311	 NaN	 2.744752375000001	 2.7449688356966755	 0.0	 0.0	 0.0	 0.0	 0.0	 2.000000002E-6	 -1054.3794133959861	 -0.1378489976723128	 0.0	 0.0	 -0.02756979953446256	 4.979094176927306E-4	 0.0	 4137.297509122942	 187.2685013567313	 -0.013476055861866405	 -1051.7827093482776	 0.07804825982686361	 0.004012408010668342	 0.004008408010664342	 2.0000000019999993E-6	 2.000000002E-6	 0.19773527834302645	 0.026292959733954735	 0.00946973256940176	 5.316262719607333E-10	 6.612739763872099E-7	 7.189581301937354E-14	 2.162815292159935E-8	 2.0063821371549176E-5	 1.0129686624194102E-6	 3.560392813852897E-4	 0.7433155764322169	 0.0	 0.0	 0.02280865341615333	 0.19773527834302643	 0.02629295973395473	 0.00946973256940176	 5.316262719607334E-10	 6.612739763872099E-7	 7.189581301937356E-14	 2.1628152921599344E-8	 2.006382137154918E-5	 1.0129686624194102E-6	 3.5603928138528963E-4	 0.7433155764322169	 0.0	 0.0	 0.022808653416153332	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.6	 5.2295784959732244E-5	 0.0016601198990815207	 0.999002729862363	 4.984536146038659E-4	 3.3224216104461163E-4	 401.2933189678101	 401.2933189678101	 401.2648967540971	 401.2933050502236	 1243.2123114038318	 1243.2123114038318	 2.1715422487193097	 2.171542248719311	 NaN	 2.7486523750000007	 2.748857626486507	 -9524.989398871727	 -1.2452919933678128	 -0.24905839867356255	 0.0	 0.0	 2.000000002E-6	 -1052.8320474387108	 -0.1376466958789236	 0.0	 0.0	 -0.05509913871024728	 4.979094176927306E-4	 -6.019832949512978E-5	 4137.297509122942	 187.61694357946925	 -0.013481903218802608	 -1051.3844115930856	 0.07798486567733008	 0.004012408010668342	 0.004008408010664342	 2.000000001999999E-6	 2.000000002E-6	 0.19773527834302645	 0.026292959733954735	 0.00946973256940176	 5.316262719607333E-10	 6.612739763872099E-7	 7.189581301937354E-14	 2.162815292159935E-8	 2.0063821371549173E-5	 1.0129686624194102E-6	 3.560392813852897E-4	 0.7433155764322169	 0.0	 0.0	 0.02280865341615333	 0.1977352783430264	 0.02629295973395473	 0.00946973256940176	 5.316262719607333E-10	 6.612739763872099E-7	 7.189581301937354E-14	 2.1628152921599344E-8	 2.006382137154918E-5	 1.01296866241941E-6	 3.5603928138528963E-4	 0.7433155764322169	 0.0	 0.0	 0.022808653416153336	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.4	 7.844367743959836E-5	 0.0016581790640955757	 0.999002520261196	 4.984535100231111E-4	 3.3225689789164126E-4	 401.39511742797526	 401.39511742797526	 401.38457513548985	 401.39511226517703	 1243.2976845530861	 1243.2976845530861	 2.17154224871931	 2.171542248719311	 NaN	 2.7527523750000005	 2.7527737716806397	 -9524.989398871727	 -1.2452919933678128	 -0.4981167973471251	 0.0	 0.0	 2.000000002E-6	 -1052.4580825319636	 -0.13759780390805923	 0.0	 0.0	 -0.08261869949185913	 4.979094176927306E-4	 -1.2039665899025955E-4	 4137.297509122942	 187.96706517479868	 -0.013487929372808146	 -1050.996070396719	 0.07792123174336468	 0.004012408010668342	 0.004008408010664342	 2.0000000019999984E-6	 2.000000002E-6	 0.19773527834302645	 0.026292959733954735	 0.00946973256940176	 5.316262719607333E-10	 6.612739763872099E-7	 7.189581301937354E-14	 2.162815292159935E-8	 2.006382137154917E-5	 1.0129686624194102E-6	 3.560392813852897E-4	 0.7433155764322169	 0.0	 0.0	 0.02280865341615333	 0.1977352783430264	 0.02629295973395473	 0.00946973256940176	 5.316262719607333E-10	 6.612739763872099E-7	 7.189581301937354E-14	 2.1628152921599344E-8	 2.006382137154918E-5	 1.0129686624194102E-6	 3.5603928138528963E-4	 0.7433155764322169	 0.0	 0.0	 0.02280865341615334	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.2	 1.0459156991946449E-4	 0.0016562309237494537	 0.9990023096706753	 4.984534049487175E-4	 3.3227143119008367E-4	 401.4978140976025	 401.4978140976025	 401.5049152598498	 401.497817575556	 1243.3838117578562	 1243.3838117578562	 2.1715422487193092	 2.171542248719311	 NaN	 2.757152375000001	 2.7567174245604056	 -9524.989398871727	 -1.2452919933678128	 -0.7471751960206876	 0.0	 0.0	 2.000000002E-6	 -1052.0708688912225	 -0.13754717980483508	 0.0	 0.0	 -0.11012813545282614	 4.979094176927306E-4	 -1.805949884853893E-4	 4137.297509122942	 188.31887111444286	 -0.013493835822752966	 -1050.5944103503302	 0.07785735828939347	 0.004012408010668342	 0.004008408010664342	 2.000000001999998E-6	 2.000000002E-6	 0.19773527834302645	 0.026292959733954735	 0.00946973256940176	 5.316262719607333E-10	 6.612739763872099E-7	 7.189581301937354E-14	 2.162815292159935E-8	 2.006382137154917E-5	 1.0129686624194102E-6	 3.560392813852897E-4	 0.7433155764322169	 0.0	 0.0	 0.02280865341615333	 0.1977352783430264	 0.02629295973395473	 0.00946973256940176	 5.316262719607333E-10	 6.6127397638721E-7	 7.189581301937354E-14	 2.1628152921599344E-8	 2.0063821371549176E-5	 1.01296866241941E-6	 3.560392813852897E-4	 0.7433155764322169	 0.0	 0.0	 0.02280865341615334	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.0	 1.307394623993306E-4	 0.001654275486208241	 0.9990021916672256	 4.984533460707541E-4	 3.321921318352544E-4	 401.7431032650393	 401.7431032650393	 401.6543751636359	 401.7430598045166	 1243.5893031768314	 1243.5893031768314	 2.171542248719309	 2.171542248719311	 NaN	 2.761352375000001	 2.761662497237829	 7090.971786474132	 0.927069839252449	 -0.5617612281701978	 0.0	 0.0	 2.000000002E-6	 -1051.7761739459356	 -0.13750865154611647	 0.0	 0.0	 -0.13762986576204944	 4.979094176927306E-4	 -1.3577975162083148E-4	 4137.297509122942	 188.6913599280644	 -0.013474776356445528	 -1048.2465862746426	 0.0777932455831242	 0.004012408010668342	 0.004008408010664342	 2.0000000019999976E-6	 2.000000002E-6	 0.19773527834302645	 0.026292959733954735	 0.00946973256940176	 5.316262719607333E-10	 6.612739763872099E-7	 7.189581301937354E-14	 2.162815292159935E-8	 2.006382137154917E-5	 1.0129686624194102E-6	 3.560392813852897E-4	 0.7433155764322169	 0.0	 0.0	 0.02280865341615333	 0.19773527834302643	 0.026292959733954735	 0.009469732569401762	 5.316262719607334E-10	 6.612739763872101E-7	 7.189581301937354E-14	 2.162815292159935E-8	 2.006382137154918E-5	 1.0129686624194102E-6	 3.5603928138528974E-4	 0.743315576432217	 0.0	 0.0	 0.022808653416153343	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.8	 1.5688735487919673E-4	 0.0016523127597378043	 0.9990019498474496	 4.984532254144858E-4	 3.3223550516314336E-4	 401.80333612229384	 401.80333612229384	 401.76714263711494	 401.80331839223066	 1243.639887974095	 1243.639887974095	 2.171542248719309	 2.171542248719311	 NaN	 2.765752375000001	 2.76535819670089	 -14721.32752782679	 -1.9246584467925414	 -0.946692917528706	 0.0	 0.0	 2.000000002E-6	 -1049.2478407275844	 -0.13717809862038285	 0.0	 0.0	 -0.165065485486126	 4.979094176927306E-4	 -2.2881915439757527E-4	 4137.297509122942	 189.04063724101127	 -0.013487644616409557	 -1048.3796972900398	 0.0777288938955689	 0.004012408010668342	 0.004008408010664342	 2.0000000019999976E-6	 2.000000002E-6	 0.19773527834302645	 0.026292959733954735	 0.00946973256940176	 5.316262719607333E-10	 6.612739763872099E-7	 7.189581301937354E-14	 2.162815292159935E-8	 2.006382137154917E-5	 1.0129686624194102E-6	 3.560392813852897E-4	 0.7433155764322169	 0.0	 0.0	 0.02280865341615333	 0.19773527834302643	 0.026292959733954735	 0.009469732569401762	 5.316262719607334E-10	 6.612739763872101E-7	 7.189581301937354E-14	 2.162815292159935E-8	 2.0063821371549176E-5	 1.0129686624194102E-6	 3.5603928138528974E-4	 0.743315576432217	 0.0	 0.0	 0.022808653416153343	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.6	 1.8303524735906285E-4	 0.0016503427527054867	 0.9990018588105453	 4.984531799915127E-4	 3.3212680888254555E-4	 402.09448069954607	 402.09448069954607	 401.92675767807646	 402.0943985300279	 1243.883773908602	 1243.883773908602	 2.171542248719309	 2.171542248719311	 NaN	 2.7703523750000008	 2.770665601191157	 12254.912005954448	 1.6022006074095867	 -0.6262527960467886	 0.0	 0.0	 2.000000002E-6	 -1049.607300860752	 -0.1372250942449472	 0.0	 0.0	 -0.19251050433511546	 4.979094176927306E-4	 -1.5136760038790317E-4	 4137.297509122942	 189.42252107872895	 -0.013460607936036107	 -1045.408740053175	 0.07766430350106668	 0.004012408010668342	 0.004008408010664342	 2.0000000019999976E-6	 2.000000002E-6	 0.19773527834302645	 0.026292959733954735	 0.00946973256940176	 5.316262719607333E-10	 6.612739763872099E-7	 7.189581301937354E-14	 2.162815292159935E-8	 2.006382137154917E-5	 1.0129686624194102E-6	 3.560392813852897E-4	 0.7433155764322169	 0.0	 0.0	 0.02280865341615333	 0.19773527834302643	 0.026292959733954735	 0.009469732569401762	 5.316262719607334E-10	 6.612739763872101E-7	 7.189581301937354E-14	 2.162815292159935E-8	 2.0063821371549173E-5	 1.0129686624194102E-6	 3.5603928138528974E-4	 0.743315576432217	 0.0	 0.0	 0.022808653416153343	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.4	 2.0918313983892898E-4	 0.0016483654735808006	 0.9990016618201425	 4.984530817029142E-4	 3.321229013329177E-4	 402.22753295073363	 402.22753295073363	 402.0551033830872	 402.2274484668732	 1243.9953221002388	 1243.9953221002388	 2.171542248719309	 2.171542248719311	 NaN	 2.7749523750000007	 2.7749075779690684	 -6398.984048171745	 -0.8365997343598662	 -0.7935727429187619	 0.0	 0.0	 2.000000002E-6	 -1046.4499823485583	 -0.1368123081200395	 0.0	 0.0	 -0.21987296595912337	 4.979094176927306E-4	 -1.9180944594119603E-4	 4137.297509122942	 189.7847769057913	 -0.013460513742256605	 -1044.5287952857773	 0.07759947467730648	 0.004012408010668342	 0.004008408010664342	 2.0000000019999976E-6	 2.000000002E-6	 0.19773527834302645	 0.026292959733954735	 0.00946973256940176	 5.316262719607333E-10	 6.612739763872099E-7	 7.189581301937354E-14	 2.162815292159935E-8	 2.006382137154917E-5	 1.0129686624194102E-6	 3.560392813852897E-4	 0.7433155764322169	 0.0	 0.0	 0.02280865341615333	 0.19773527834302643	 0.026292959733954735	 0.009469732569401762	 5.316262719607334E-10	 6.612739763872101E-7	 7.189581301937354E-14	 2.162815292159935E-8	 2.006382137154917E-5	 1.0129686624194102E-6	 3.5603928138528974E-4	 0.743315576432217	 0.0	 0.0	 0.022808653416153343	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.2	 2.353310323187951E-4	 0.0016463809309361192	 0.9990015546627073	 4.984530282365829E-4	 3.320278921848809E-4	 402.4993748163613	 402.4993748163613	 402.2117797355495	 402.49923389310436	 1244.2230613223892	 1244.2230613223892	 2.171542248719309	 2.171542248719311	 NaN	 2.7797523750000006	 2.7801303984260155	 9772.527705523462	 1.2776550185027014	 -0.5380417392182216	 0.0	 0.0	 2.000000002E-6	 -1045.71845150414	 -0.13671666817071174	 0.0	 0.0	 -0.24721629959326571	 4.979094176927306E-4	 -1.3004666404381446E-4	 4137.297509122942	 190.16734619046693	 -0.013436478043650538	 -1041.7893667603805	 0.07753440770534971	 0.004012408010668342	 0.004008408010664342	 2.0000000019999976E-6	 2.000000002E-6	 0.19773527834302645	 0.026292959733954735	 0.00946973256940176	 5.316262719607333E-10	 6.612739763872099E-7	 7.189581301937354E-14	 2.162815292159935E-8	 2.006382137154917E-5	 1.0129686624194102E-6	 3.560392813852897E-4	 0.7433155764322169	 0.0	 0.0	 0.02280865341615333	 0.19773527834302643	 0.026292959733954735	 0.009469732569401762	 5.316262719607334E-10	 6.612739763872101E-7	 7.189581301937354E-14	 2.162815292159935E-8	 2.006382137154917E-5	 1.0129686624194102E-6	 3.5603928138528974E-4	 0.743315576432217	 0.0	 0.0	 0.022808653416153343	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
