Zeit	dQIters	relaxationsFaktor	pSoll	pIst	dQ
8.0	 1.0	 0.6	 7963308.518302605	 7957037.673509008	 6621308.869533121	 
8.0	 2.0	 0.6	 7963308.518302605	 8129757.135000927	 2648499.679731503	 
8.0	 3.0	 0.6	 7963308.518302605	 7936354.101594426	 2187900.940522728	 
8.0	 4.0	 0.6	 7963308.518302605	 7913899.735799304	 2796004.2323593227	 
8.0	 5.0	 0.6	 7963308.518302605	 7943543.565885172	 3039275.076778933	 
8.0	 6.0	 0.6	 7963308.518302605	 7955399.226069061	 3136651.359697213	 
8.0	 7.0	 0.6	 7963308.518302605	 7960144.275855417	 3175612.658098586	 
8.0	 8.0	 0.6	 7963308.518302605	 7962042.73746365	 3191198.898482917	 
8.0	 9.0	 0.6	 7963308.518302605	 7962802.192563984	 3197433.669706224	 
8.0	 10.0	 0.6	 7963308.518302605	 7963105.985863567	 3199927.6221885714	 
8.0	 11.0	 0.6	 7963308.518302605	 7963227.504984047	 3200925.2102197614	 
8.0	 11.0	 0.6	 7963308.518302605	 7963276.1129203485	 3200925.2102197614	 
