Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	V0 [m3]	V1 [m3]	V2 [m3]	T_Zone_0 [K]	T_Zone_1 [K]	T_Zone_2 [K]	T_mittel [K]	T_BurnAdiabat_0 [K]	T_BurnAdiabat_1 [K]	Lambda z1 [-]	Lambda z0 [-]	Lambda z2 [-]	p_soll [bar]	p_soll_roh [bar]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	dQKrst [J/s]	dQKrst [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	Alpha [W/(m^2K)]	Wandwärmestromdichte [MW/m^2]	PQw [W]	Brennraumfläche [m^2]	Gesamtmasse [kg]	m_0[kg]	m_1[kg]	m_2[kg]	Z0_O2 [kg]	Z0_CO2 [kg]	Z0_H2O [kg]	Z0_H [kg]	Z0_O [kg]	Z0_N [kg]	Z0_H2 [kg]	Z0_OH [kg]	Z0_CO [kg]	Z0_NO [kg]	Z0_N2 [kg]	Z0_Diesel [kg]	Z0_RON_95 [kg]	Z0_AGR_intern_LWA [kg]	Z0_AGR_extern_LWA [kg]	Z0_feuchteLuft_LWA [kg]	Z1_O2 [kg]	Z1_CO2 [kg]	Z1_H2O [kg]	Z1_H [kg]	Z1_O [kg]	Z1_N [kg]	Z1_H2 [kg]	Z1_OH [kg]	Z1_CO [kg]	Z1_NO [kg]	Z1_N2 [kg]	Z1_Diesel [kg]	Z1_RON_95 [kg]	Z1_AGR_intern_LWA [kg]	Z1_AGR_extern_LWA [kg]	Z1_feuchteLuft_LWA [kg]	Z2_O2 [kg]	Z2_CO2 [kg]	Z2_H2O [kg]	Z2_H [kg]	Z2_O [kg]	Z2_N [kg]	Z2_H2 [kg]	Z2_OH [kg]	Z2_CO [kg]	Z2_NO [kg]	Z2_N2 [kg]	Z2_Diesel [kg]	Z2_RON_95 [kg]	Z2_AGR_intern_LWA [kg]	Z2_AGR_extern_LWA [kg]	Z2_feuchteLuft_LWA [kg]	 mDieseldampf [kg]	m_Diesel_Z0 [kg]	TKrstVap [K]	mkrstFl [kg]	m_a [kg]	sumdma [kg]	s00 [kg]	dm_a [kg]
-130.0	 0.0	 0.00166397962081229	 0.9990056106264565	 4.971946867716481E-4	 3.315227910616597E-4	 391.2394908339602	 391.2394908339602	 391.2394908339602	 391.2394908339602	 1247.6941392035017	 1247.6941392035017	 2.1319277521364213	 2.131927752136421	 NaN	 2.6797641215488586	 2.6797960189393946	 2.6797641215488586	 0.0	 0.0	 0.0	 0.0	 0.0	 2.000000002E-6	 0.0	 0.0	 0.0	 0.0	 0.0	 4.965597929018714E-4	 0.0	 4251.998393145476	 186.19756009109324	 -0.015251536952535736	 -1191.3191159803796	 0.07811141393079794	 0.004022569136822979	 0.0040185691368189785	 2.0000000020000006E-6	 2.000000002E-6	 0.19706771272900434	 0.026796586375240575	 0.00965669190608022	 6.2463890978158E-10	 7.250784279946804E-7	 8.760210800225627E-14	 2.4788658908245267E-8	 2.1517745147144526E-5	 1.1750541198410845E-6	 3.644042294699176E-4	 0.7428851026102213	 0.0	 0.023206058858903346	 0.0	 0.0	 0.0	 0.19706771272900434	 0.026796586375240572	 0.00965669190608022	 6.246389097815798E-10	 7.250784279946802E-7	 8.760210800225627E-14	 2.4788658908245273E-8	 2.151774514714453E-5	 1.1750541198410845E-6	 3.6440422946991754E-4	 0.7428851026102212	 0.0	 0.02320605885890335	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.8	 2.6147892479866122E-5	 0.0016620534206422933	 0.9990054567461825	 4.971946101870385E-4	 3.31484746129527E-4	 391.4180088124599	 391.4180088124599	 391.3731507023144	 391.41798709643695	 1247.8432703555086	 1247.8432703555086	 2.131927752136421	 2.131927752136421	 NaN	 2.68373687504385	 2.6836960189393944	 2.6840943504658994	 0.0	 0.0	 0.0	 0.0	 0.0	 2.000000002E-6	 -1192.6331965997258	 -0.1559242229630433	 0.0	 0.0	 -0.031184844592608663	 4.965597929018714E-4	 0.0	 4251.998393145476	 186.55377583078325	 -0.015248064147293348	 -1190.084872424635	 0.07804825982686361	 0.004022569136822979	 0.0040185691368189785	 2.000000002000001E-6	 2.000000002E-6	 0.19706771272900434	 0.026796586375240575	 0.009656691906080218	 6.246389097815799E-10	 7.250784279946803E-7	 8.760210800225624E-14	 2.4788658908245264E-8	 2.1517745147144523E-5	 1.1750541198410843E-6	 3.644042294699175E-4	 0.7428851026102212	 0.0	 0.023206058858903342	 0.0	 0.0	 0.0	 0.19706771272900436	 0.026796586375240575	 0.00965669190608022	 6.246389097815797E-10	 7.250784279946804E-7	 8.760210800225629E-14	 2.4788658908245277E-8	 2.151774514714453E-5	 1.1750541198410848E-6	 3.644042294699175E-4	 0.7428851026102212	 0.0	 0.023206058858903353	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.6	 5.2295784959732244E-5	 0.0016601198990815207	 0.9990052294319272	 4.971944970551014E-4	 3.3151899384259144E-4	 391.49002252383224	 391.49002252383224	 391.48568782861423	 391.49002042516105	 1247.903534174398	 1247.903534174398	 2.1319277521364217	 2.1319277521364217	 NaN	 2.687695121683466	 2.6876960189393944	 2.687715493368348	 -12597.486398230427	 -1.6469885992875257	 -0.32939771985750516	 0.0	 0.0	 2.000000002E-6	 -1191.2557457792182	 -0.15574413578328863	 0.0	 0.0	 -0.06233367174926639	 4.965597929018714E-4	 -7.7468919176573E-5	 4251.998393145476	 186.89706655429188	 -0.015262272839100848	 -1190.226297288043	 0.07798486567733008	 0.004022569136822979	 0.0040185691368189785	 2.0000000020000014E-6	 2.000000002E-6	 0.19706771272900434	 0.02679658637524058	 0.00965669190608022	 6.246389097815798E-10	 7.250784279946802E-7	 8.760210800225624E-14	 2.4788658908245267E-8	 2.1517745147144523E-5	 1.1750541198410845E-6	 3.644042294699175E-4	 0.7428851026102212	 0.0	 0.023206058858903342	 0.0	 0.0	 0.0	 0.1970677127290044	 0.026796586375240575	 0.00965669190608022	 6.246389097815796E-10	 7.250784279946803E-7	 8.760210800225629E-14	 2.4788658908245273E-8	 2.1517745147144526E-5	 1.1750541198410848E-6	 3.6440422946991744E-4	 0.7428851026102212	 0.0	 0.023206058858903353	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.4	 7.844367743959836E-5	 0.0016581790640955757	 0.99900500113178	 4.971943834324961E-4	 3.3155304417344057E-4	 391.5629061128189	 391.5629061128189	 391.59887710021	 391.5629235302812	 1247.964525920267	 1247.964525920267	 2.1319277521364226	 2.1319277521364217	 NaN	 2.691619241445787	 2.6915960189393946	 2.691362933215433	 -12597.486398230427	 -1.6469885992875257	 -0.6587954397150103	 0.0	 0.0	 2.000000002E-6	 -1191.4296059829344	 -0.15576686617285512	 0.0	 0.0	 -0.09348704498383742	 4.965597929018714E-4	 -1.54937838353146E-4	 4251.998393145476	 187.24201737088978	 -0.015276794647035602	 -1190.386655987454	 0.07792123174336468	 0.004022569136822979	 0.0040185691368189785	 2.000000002000002E-6	 2.000000002E-6	 0.19706771272900434	 0.02679658637524058	 0.00965669190608022	 6.246389097815797E-10	 7.2507842799468E-7	 8.760210800225624E-14	 2.478865890824527E-8	 2.1517745147144523E-5	 1.1750541198410848E-6	 3.644042294699175E-4	 0.7428851026102212	 0.0	 0.023206058858903342	 0.0	 0.0	 0.0	 0.19706771272900445	 0.026796586375240575	 0.009656691906080222	 6.246389097815796E-10	 7.250784279946804E-7	 8.760210800225629E-14	 2.4788658908245277E-8	 2.1517745147144526E-5	 1.175054119841085E-6	 3.6440422946991744E-4	 0.7428851026102212	 0.0	 0.023206058858903353	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.2	 1.0459156991946449E-4	 0.0016562309237494537	 0.999004844445743	 4.971943054514875E-4	 3.315142550629797E-4	 391.7443251886509	 391.7443251886509	 391.7345390532196	 391.74432044964203	 1248.1160853824558	 1248.1160853824558	 2.131927752136423	 2.1319277521364217	 NaN	 2.6955562093130263	 2.6954960189393944	 2.695777499646417	 31.666934228408536	 0.004140117956857093	 -0.6579674161236388	 0.0	 0.0	 2.000000002E-6	 -1191.6853990927739	 -0.155800308426521	 0.0	 0.0	 -0.12464710666914162	 4.965597929018714E-4	 -1.5474310084037876E-4	 4251.998393145476	 187.60334730098572	 -0.015272640753868546	 -1189.0874631991358	 0.07785735828939347	 0.004022569136822979	 0.0040185691368189785	 2.0000000020000022E-6	 2.000000002E-6	 0.19706771272900434	 0.02679658637524058	 0.00965669190608022	 6.246389097815796E-10	 7.250784279946799E-7	 8.760210800225624E-14	 2.4788658908245273E-8	 2.1517745147144523E-5	 1.1750541198410848E-6	 3.644042294699175E-4	 0.7428851026102212	 0.0	 0.023206058858903342	 0.0	 0.0	 0.0	 0.19706771272900442	 0.02679658637524057	 0.00965669190608022	 6.246389097815795E-10	 7.250784279946804E-7	 8.760210800225629E-14	 2.478865890824527E-8	 2.151774514714452E-5	 1.175054119841085E-6	 3.6440422946991744E-4	 0.7428851026102212	 0.0	 0.02320605885890335	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.0	 1.307394623993306E-4	 0.001654275486208241	 0.9990046200368927	 4.971941937655401E-4	 3.3154202680928346E-4	 391.8276725129201	 391.8276725129201	 391.85079584410823	 391.8276837117723	 1248.185811260555	 1248.185811260555	 2.131927752136423	 2.1319277521364217	 NaN	 2.699499221062348	 2.6994960189393944	 2.699538882027418	 -11578.796236837683	 -1.513805595235551	 -0.9607285351707491	 0.0	 0.0	 2.000000002E-6	 -1190.2700718164826	 -0.15561526929929959	 0.0	 0.0	 -0.15577016052900156	 4.965597929018714E-4	 -2.2594753015888052E-4	 4251.998393145476	 187.95285058570772	 -0.0152850663194516	 -1189.0749179434388	 0.0777932455831242	 0.004022569136822979	 0.0040185691368189785	 2.0000000020000027E-6	 2.000000002E-6	 0.19706771272900434	 0.02679658637524058	 0.00965669190608022	 6.246389097815795E-10	 7.250784279946798E-7	 8.760210800225624E-14	 2.4788658908245277E-8	 2.1517745147144523E-5	 1.1750541198410848E-6	 3.644042294699175E-4	 0.7428851026102212	 0.0	 0.023206058858903342	 0.0	 0.0	 0.0	 0.19706771272900445	 0.026796586375240572	 0.009656691906080222	 6.246389097815795E-10	 7.250784279946805E-7	 8.760210800225629E-14	 2.478865890824527E-8	 2.151774514714452E-5	 1.175054119841085E-6	 3.6440422946991744E-4	 0.7428851026102212	 0.0	 0.023206058858903346	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.8	 1.5688735487919673E-4	 0.0016523127597378043	 0.9990043946276355	 4.971940815817007E-4	 3.3156959778197836E-4	 391.9118999988427	 391.9118999988427	 391.96770998517593	 391.9119270310819	 1248.2562737877395	 1248.2562737877395	 2.131927752136423	 2.1319277521364217	 NaN	 2.703424896119556	 2.7033960189393946	 2.703327166601935	 -11578.796236837683	 -1.513805595235551	 -1.2634896542178593	 0.0	 0.0	 2.000000002E-6	 -1190.287436640611	 -0.15561753956707078	 0.0	 0.0	 -0.18689366844241573	 4.965597929018714E-4	 -2.971519594773823E-4	 4251.998393145476	 188.30403312777426	 -0.015297765738123949	 -1189.0784098979059	 0.0777288938955689	 0.004022569136822979	 0.0040185691368189785	 2.0000000020000035E-6	 2.000000002E-6	 0.19706771272900434	 0.02679658637524058	 0.00965669190608022	 6.246389097815795E-10	 7.250784279946797E-7	 8.760210800225624E-14	 2.478865890824528E-8	 2.1517745147144523E-5	 1.1750541198410848E-6	 3.644042294699175E-4	 0.7428851026102212	 0.0	 0.023206058858903342	 0.0	 0.0	 0.0	 0.19706771272900445	 0.026796586375240565	 0.009656691906080222	 6.246389097815793E-10	 7.250784279946804E-7	 8.760210800225628E-14	 2.4788658908245267E-8	 2.1517745147144516E-5	 1.175054119841085E-6	 3.6440422946991733E-4	 0.7428851026102212	 0.0	 0.023206058858903342	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.6	 1.8303524735906285E-4	 0.0016503427527054867	 0.9990041682126459	 4.971939688973188E-4	 3.3159696724599275E-4	 391.99701030361416	 391.99701030361416	 392.08528333451085	 391.9970530643656	 1248.32747391058	 1248.32747391058	 2.1319277521364226	 2.1319277521364217	 NaN	 2.707365274943854	 2.7073960189393946	 2.7071425041927935	 -11578.796236837683	 -1.513805595235551	 -1.5662507732649695	 0.0	 0.0	 2.000000002E-6	 -1190.2926688723728	 -0.15561822362623848	 0.0	 0.0	 -0.21801731316766343	 4.965597929018714E-4	 -3.6835638879588413E-4	 4251.998393145476	 188.65689996784846	 -0.015310376168974583	 -1189.0697015027406	 0.07766430350106668	 0.004022569136822979	 0.0040185691368189785	 2.000000002000004E-6	 2.000000002E-6	 0.19706771272900434	 0.02679658637524058	 0.00965669190608022	 6.246389097815795E-10	 7.250784279946796E-7	 8.760210800225624E-14	 2.4788658908245283E-8	 2.1517745147144523E-5	 1.1750541198410848E-6	 3.644042294699175E-4	 0.7428851026102212	 0.0	 0.023206058858903342	 0.0	 0.0	 0.0	 0.19706771272900442	 0.026796586375240565	 0.00965669190608022	 6.246389097815793E-10	 7.250784279946804E-7	 8.760210800225628E-14	 2.4788658908245264E-8	 2.1517745147144516E-5	 1.175054119841085E-6	 3.644042294699173E-4	 0.7428851026102212	 0.0	 0.023206058858903342	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.4	 2.0918313983892898E-4	 0.0016483654735808006	 0.9990039407865459	 4.971938557097175E-4	 3.316241344722357E-4	 392.08300605943936	 392.08300605943936	 392.20351772921543	 392.08306444342827	 1248.3994151659513	 1248.3994151659513	 2.131927752136423	 2.1319277521364217	 NaN	 2.711319472970891	 2.7112960189393944	 2.7109850466416154	 -11578.796236837683	 -1.513805595235551	 -1.8690118923120798	 0.0	 0.0	 2.000000002E-6	 -1190.285668341671	 -0.155617308380618	 0.0	 0.0	 -0.24914077484378702	 4.965597929018714E-4	 -4.395608181143859E-4	 4251.998393145476	 189.011456186492	 -0.015322896161911704	 -1189.048692699264	 0.07759947467730648	 0.004022569136822979	 0.0040185691368189785	 2.0000000020000044E-6	 2.000000002E-6	 0.19706771272900434	 0.02679658637524058	 0.00965669190608022	 6.246389097815795E-10	 7.250784279946795E-7	 8.760210800225624E-14	 2.4788658908245287E-8	 2.1517745147144523E-5	 1.1750541198410848E-6	 3.644042294699175E-4	 0.7428851026102212	 0.0	 0.023206058858903342	 0.0	 0.0	 0.0	 0.19706771272900442	 0.026796586375240565	 0.00965669190608022	 6.246389097815793E-10	 7.250784279946803E-7	 8.760210800225627E-14	 2.4788658908245264E-8	 2.151774514714451E-5	 1.175054119841085E-6	 3.6440422946991716E-4	 0.7428851026102212	 0.0	 0.023206058858903342	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.2	 2.353310323187951E-4	 0.0016463809309361192	 0.999003712343913	 4.971937420161986E-4	 3.316510987290957E-4	 392.1698899135526	 392.1698899135526	 392.32241501534355	 392.1699638151015	 1248.4720984920443	 1248.4720984920443	 2.1319277521364226	 2.1319277521364217	 NaN	 2.715291665729001	 2.7152960189393944	 2.7148549470949304	 -11578.796236837683	 -1.513805595235551	 -2.17177301135919	 0.0	 0.0	 2.000000002E-6	 -1190.2663349465902	 -0.15561478074293877	 0.0	 0.0	 -0.2802637309923748	 4.965597929018714E-4	 -5.107652474328877E-4	 4251.998393145476	 189.36770690983323	 -0.015335324253399027	 -1189.0152829567778	 0.07753440770534971	 0.004022569136822979	 0.0040185691368189785	 2.0000000020000048E-6	 2.000000002E-6	 0.19706771272900434	 0.02679658637524058	 0.00965669190608022	 6.246389097815795E-10	 7.250784279946795E-7	 8.760210800225624E-14	 2.478865890824529E-8	 2.1517745147144523E-5	 1.1750541198410848E-6	 3.644042294699175E-4	 0.7428851026102212	 0.0	 0.023206058858903342	 0.0	 0.0	 0.0	 0.19706771272900442	 0.026796586375240565	 0.009656691906080218	 6.246389097815792E-10	 7.250784279946803E-7	 8.760210800225627E-14	 2.478865890824526E-8	 2.151774514714451E-5	 1.175054119841085E-6	 3.644042294699171E-4	 0.7428851026102212	 0.0	 0.023206058858903342	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
