Zeit	dQIters	relaxationsFaktor	pSoll	pIst	dQ
8.0	 1.0	 0.6	 7963308.518302605	 7957037.673509022	 6621308.869529459	 
8.0	 2.0	 0.6	 7963308.518302605	 8129757.1350010345	 2648499.679730038	 
8.0	 3.0	 0.6	 7963308.518302605	 7936354.101594542	 2187900.940524245	 
8.0	 4.0	 0.6	 7963308.518302605	 7913899.735799516	 2796004.2323568733	 
8.0	 5.0	 0.6	 7963308.518302605	 7943543.565885231	 3039275.076775428	 
8.0	 6.0	 0.6	 7963308.518302605	 7955399.226069069	 3136651.3596936143	 
8.0	 7.0	 0.6	 7963308.518302605	 7960144.275855425	 3175612.6580948583	 
8.0	 8.0	 0.6	 7963308.518302605	 7962042.737463656	 3191198.8984790845	 
8.0	 9.0	 0.6	 7963308.518302605	 7962802.192563954	 3197433.669703007	 
8.0	 10.0	 0.6	 7963308.518302605	 7963105.985863587	 3199927.6221849546	 
8.0	 11.0	 0.6	 7963308.518302605	 7963227.504984114	 3200925.2102147685	 
8.0	 11.0	 0.6	 7963308.518302605	 7963276.112920288	 3200925.2102147685	 
