Zeit	dQIters	relaxationsFaktor	pSoll	pIst	dQ
82.6	 1.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 2.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 3.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 4.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 5.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 6.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 7.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 8.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 9.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 10.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 11.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 12.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 13.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 14.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 15.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 16.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 17.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 18.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 19.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 20.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 21.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 22.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 23.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 24.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 25.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 26.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 27.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 28.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 29.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
