Kurbelwinkel [°KW]	pZyl_mess [bar]	pZyl_berech [bar]	pSaug [bar]	pAbg [bar]	T [K]	dQw [J/s]	V [m3]	m [kg]	R [J/kg/K]	mK [kg]	V_motor [m^3]	dm [kg/s]	Hub_E [m]	Hub_A [m]	alpha_E_vor	alpha_E_rück	alpha_A_vor	alpha_A_rück	T_Saug [K]	H_Massenbruch	O_Massenbruch	N_Massenbruch	H2_Massenbruch	OH_Massenbruch	CO_Massenbruch	NO_Massenbruch	O2_Massenbruch	H2O_Massenbruch	CO2_Massenbruch	N2_Massenbruch	RON_95_Massenbruch	AGR_intern_LWA_Massenbruch	AGR_extern_LWA_Massenbruch	feuchteLuft_LWA_Massenbruch
142.09000000000003	 1.6196164466668406	 1.6206648572846893	 0.41548622311784916	 0.9844675809057967	 1800.7404784985679	 -0.0	 4.535931691755988E-4	 1.487302269078008E-4	 274.479145515175	 1.487302269078008E-4	 4.537630413106798E-4	 -5.9372888909240615E-5	 1.5462211440000405E-5	 0.0	 2.3239340432351768E-4	 2.3239340432351768E-4	 0.0	 0.0	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
142.18	 1.61805401243343	 1.6198585817556173	 0.4173994788615562	 1.0052680587090006	 1800.5600129883153	 0.0	 4.5376265033774847E-4	 1.4872668321588901E-4	 274.479145515175	 1.4872668321588901E-4	 4.5393252247282937E-4	 -4.879432679756336E-4	 0.0	 3.464286362000068E-5	 0.0	 0.0	 6.006286851561217E-4	 6.514911989515521E-4	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
142.26999999999998	 1.6164175531199299	 1.6190509313693122	 0.41736385597826114	 1.005324433033943	 1800.3791654759477	 0.0	 4.539317404700357E-4	 1.4872286065883343E-4	 274.479145515175	 1.4872286065883343E-4	 4.5410161260511664E-4	 -5.248659058638018E-4	 0.0	 3.7285115929999805E-5	 0.0	 0.0	 6.464393475832675E-4	 7.011812056512293E-4	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
142.36	 1.6146810929826296	 1.6182419107164898	 0.4173229845823801	 1.0053812019584283	 1800.197936542507	 0.0	 4.54100439516096E-4	 1.4871875955618872E-4	 274.479145515175	 1.4871875955618872E-4	 4.542703116511769E-4	 -5.617460363662325E-4	 0.0	 3.992736824000015E-5	 0.0	 0.0	 6.922500100104344E-4	 7.508712123509294E-4	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
142.45	 1.6126599776508213	 1.6174315243996373	 0.41728076256865004	 1.0054383874046526	 1800.0163267719383	 0.0	 4.5426874742012814E-4	 1.4871438022963143E-4	 274.479145515175	 1.4871438022963143E-4	 4.544386195552091E-4	 -5.985834713525553E-4	 0.0	 4.256962055000049E-5	 0.0	 0.0	 7.380606724376012E-4	 8.005612190506295E-4	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
142.54000000000002	 1.6105282479483045	 1.6166197770181951	 0.4172392175343252	 1.0054946891895495	 1799.834336747777	 0.0	 4.5443666412689113E-4	 1.487097230018703E-4	 274.479145515175	 1.4870972300187033E-4	 4.54606536261972E-4	 -6.353781927036301E-4	 0.0	 4.521187286000083E-5	 0.0	 0.0	 7.83871334864768E-4	 8.502512257503296E-4	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
142.63	 1.608512741952882	 1.615806673172103	 0.41720096595537787	 1.0055606285030507	 1799.6519670539494	 0.0	 4.5460418958170114E-4	 1.4870478819690297E-4	 274.479145515175	 1.48704788196903E-4	 4.5477406171678204E-4	 -6.721285968895322E-4	 0.0	 4.7854125169999955E-5	 0.0	 0.0	 8.296819972919137E-4	 8.999412324500069E-4	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
142.71999999999997	 1.6065341187949866	 1.6149922178061886	 0.4171706027974832	 1.005649674178108	 1799.469218352072	 0.0	 4.547713237304288E-4	 1.486995761653355E-4	 274.479145515175	 1.486995761653355E-4	 4.549411958655096E-4	 -7.088322959102611E-4	 0.0	 5.0496377480000293E-5	 0.0	 0.0	 8.754926597190805E-4	 9.496312391497068E-4	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
142.81	 1.6045532646073437	 1.6141764157366005	 0.41713579332379896	 1.0057455724389774	 1799.2860912752883	 0.0	 4.5493806651949553E-4	 1.4869408724960085E-4	 274.479145515175	 1.4869408724960085E-4	 4.551079386545763E-4	 -7.454910346520612E-4	 0.0	 5.313862979000063E-5	 0.0	 0.0	 9.213033221462473E-4	 9.993212458494069E-4	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
142.90000000000003	 1.6025545314265643	 1.613359271862885	 0.41709918247711697	 1.0058610331712428	 1799.1025864758583	 0.0	 4.55104417895871E-4	 1.486883217995419E-4	 274.479145515175	 1.486883217995419E-4	 4.55274290030952E-4	 -7.8210237409359E-4	 0.0	 5.578088210000098E-5	 0.0	 0.0	 9.671139845734142E-4	 0.0010490112525491071	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
142.99	 1.6002817422732474	 1.6125407910594574	 0.41706078604691105	 1.005980041180396	 1798.9187046008094	 0.0	 4.552703778070697E-4	 1.4868228016443126E-4	 274.479145515175	 1.4868228016443126E-4	 4.5544024994215073E-4	 -8.186683702820002E-4	 0.0	 5.8423134410000104E-5	 0.0	 0.0	 0.00101292464700056	 0.0010987012592487842	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
143.07999999999998	 1.5982391382000216	 1.6117205139033848	 0.41701834128718573	 1.0061008674046525	 1798.7343419218266	 0.0	 4.554359462011484E-4	 1.4867592849217805E-4	 274.479145515175	 1.4867592849217805E-4	 4.556058183362292E-4	 -8.650707689672506E-4	 0.0	 6.177101688000045E-5	 0.0	 0.0	 0.001070969336032924	 0.001161661295932073	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
143.17000000000002	 1.5962037895501353	 1.6108977929814092	 0.41697481831235733	 1.0062358744527076	 1798.5493522566687	 0.0	 4.556011230267024E-4	 1.486692190139612E-4	 274.479145515175	 1.486692190139612E-4	 4.5577099516178326E-4	 -9.126472578732019E-4	 0.0	 6.520710312000074E-5	 0.0	 0.0	 0.0011305432783909367	 0.001226280086363309	 464.3524999083249	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
