vKurbelwinkel	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-360	2.8329	2.2854	2.8018
-359.9	2.8277	2.2856	2.8001
-359.8	2.8225	2.2858	2.7984
-359.7	2.8173	2.286	2.7967
-359.6	2.812	2.2862	2.7951
-359.5	2.8067	2.2864	2.7935
-359.4	2.8014	2.2865	2.7919
-359.3	2.796	2.2867	2.7903
-359.2	2.7906	2.2869	2.7888
-359.1	2.7852	2.287	2.7873
-359	2.7797	2.2872	2.7858
-358.9	2.7742	2.2873	2.7843
-358.8	2.7687	2.2874	2.7828
-358.7	2.7632	2.2876	2.7814
-358.6	2.7576	2.2877	2.7799
-358.5	2.752	2.2878	2.7785
-358.4	2.7463	2.2879	2.7771
-358.3	2.7406	2.288	2.7758
-358.2	2.7349	2.2881	2.7744
-358.1	2.7292	2.2882	2.7731
-358	2.7234	2.2883	2.7718
-357.9	2.7177	2.2885	2.7704
-357.8	2.7118	2.2886	2.7691
-357.7	2.7058	2.2887	2.7679
-357.6	2.6998	2.2888	2.7667
-357.5	2.6938	2.2889	2.7654
-357.4	2.6877	2.289	2.7643
-357.3	2.6818	2.289	2.7631
-357.2	2.6757	2.2891	2.7619
-357.1	2.6697	2.2891	2.7608
-357	2.6635	2.2891	2.7598
-356.9	2.6574	2.2891	2.7587
-356.8	2.6511	2.289	2.7576
-356.7	2.645	2.289	2.7566
-356.6	2.6388	2.2889	2.7556
-356.5	2.6326	2.2888	2.7546
-356.4	2.6264	2.2887	2.7537
-356.3	2.6203	2.2886	2.7527
-356.2	2.6142	2.2885	2.7518
-356.1	2.6079	2.2883	2.7509
-356	2.6019	2.2881	2.7501
-355.9	2.5958	2.2879	2.7492
-355.8	2.5897	2.2877	2.7484
-355.7	2.5836	2.2874	2.7476
-355.6	2.5777	2.2871	2.7469
-355.5	2.5718	2.2869	2.7462
-355.4	2.5658	2.2865	2.7456
-355.3	2.5599	2.2862	2.745
-355.2	2.5541	2.2858	2.7444
-355.1	2.5484	2.2854	2.7438
-355	2.5427	2.285	2.7432
-354.9	2.5371	2.2846	2.7427
-354.8	2.5316	2.2842	2.7422
-354.7	2.5262	2.2838	2.7417
-354.6	2.5208	2.2833	2.7412
-354.5	2.5155	2.2828	2.7408
-354.4	2.5102	2.2823	2.7405
-354.3	2.5051	2.2819	2.7402
-354.2	2.5	2.2813	2.7398
-354.1	2.495	2.2808	2.7396
-354	2.4902	2.2802	2.7394
-353.9	2.4854	2.2795	2.7392
-353.8	2.4806	2.2789	2.739
-353.7	2.476	2.2783	2.7389
-353.6	2.4714	2.2776	2.7387
-353.5	2.4671	2.2769	2.7386
-353.4	2.4628	2.2761	2.7385
-353.3	2.4587	2.2754	2.7384
-353.2	2.4546	2.2747	2.7384
-353.1	2.4507	2.274	2.7384
-353	2.4468	2.2732	2.7384
-352.9	2.4431	2.2725	2.7384
-352.8	2.4396	2.2717	2.7384
-352.7	2.4361	2.2709	2.7385
-352.6	2.4327	2.2701	2.7386
-352.5	2.4296	2.2693	2.7387
-352.4	2.4265	2.2685	2.7389
-352.3	2.4235	2.2676	2.7391
-352.2	2.4207	2.2667	2.7393
-352.1	2.418	2.2659	2.7396
-352	2.4154	2.265	2.7399
-351.9	2.413	2.2641	2.7404
-351.8	2.4105	2.2632	2.7408
-351.7	2.4084	2.2623	2.7413
-351.6	2.4063	2.2615	2.7418
-351.5	2.4043	2.2606	2.7425
-351.4	2.4025	2.2597	2.7431
-351.3	2.4009	2.2589	2.7438
-351.2	2.3994	2.258	2.7444
-351.1	2.398	2.2571	2.7452
-351	2.3967	2.2562	2.746
-350.9	2.3954	2.2554	2.7468
-350.8	2.3943	2.2545	2.7477
-350.7	2.3933	2.2535	2.7487
-350.6	2.3925	2.2526	2.7497
-350.5	2.3916	2.2517	2.7507
-350.4	2.3909	2.2508	2.7518
-350.3	2.3903	2.2498	2.7528
-350.2	2.3898	2.2488	2.7539
-350.1	2.3894	2.2479	2.7551
-350	2.389	2.2469	2.7563
-349.9	2.3887	2.2459	2.7575
-349.8	2.3886	2.245	2.7588
-349.7	2.3884	2.244	2.76
-349.6	2.3884	2.243	2.7613
-349.5	2.3884	2.2421	2.7626
-349.4	2.3884	2.2411	2.764
-349.3	2.3884	2.2401	2.7653
-349.2	2.3885	2.2392	2.7667
-349.1	2.3886	2.2382	2.768
-349	2.3887	2.2372	2.7694
-348.9	2.3889	2.2361	2.7707
-348.8	2.3891	2.2351	2.7721
-348.7	2.3894	2.2341	2.7735
-348.6	2.3896	2.233	2.7749
-348.5	2.3898	2.232	2.7763
-348.4	2.39	2.231	2.7777
-348.3	2.3902	2.23	2.7791
-348.2	2.3905	2.229	2.7806
-348.1	2.3907	2.228	2.7821
-348	2.3909	2.227	2.7835
-347.9	2.3912	2.2261	2.785
-347.8	2.3914	2.2251	2.7864
-347.7	2.3917	2.2242	2.7879
-347.6	2.3919	2.2232	2.7893
-347.5	2.3921	2.2222	2.7908
-347.4	2.3923	2.2213	2.7923
-347.3	2.3925	2.2203	2.7937
-347.2	2.3926	2.2193	2.7951
-347.1	2.3927	2.2183	2.7966
-347	2.3928	2.2173	2.798
-346.9	2.3929	2.2163	2.7994
-346.8	2.393	2.2153	2.8008
-346.7	2.3932	2.2144	2.8023
-346.6	2.3932	2.2134	2.8036
-346.5	2.3932	2.2125	2.805
-346.4	2.3933	2.2116	2.8064
-346.3	2.3933	2.2107	2.8078
-346.2	2.3933	2.2099	2.8092
-346.1	2.3932	2.209	2.8106
-346	2.393	2.2082	2.8118
-345.9	2.393	2.2074	2.8132
-345.8	2.3928	2.2066	2.8145
-345.7	2.3926	2.2058	2.8158
-345.6	2.3925	2.205	2.817
-345.5	2.3923	2.2043	2.8183
-345.4	2.3922	2.2035	2.8195
-345.3	2.392	2.2028	2.8207
-345.2	2.3918	2.2021	2.8219
-345.1	2.3917	2.2014	2.8231
-345	2.3916	2.2007	2.8242
-344.9	2.3915	2.2001	2.8254
-344.8	2.3913	2.1995	2.8266
-344.7	2.3914	2.1989	2.8276
-344.6	2.3913	2.1983	2.8287
-344.5	2.3913	2.1977	2.8298
-344.4	2.3912	2.1971	2.8309
-344.3	2.3912	2.1966	2.832
-344.2	2.3912	2.196	2.833
-344.1	2.3912	2.1954	2.8341
-344	2.3913	2.1949	2.8351
-343.9	2.3913	2.1943	2.8361
-343.8	2.3913	2.1937	2.8371
-343.7	2.3913	2.1932	2.8382
-343.6	2.3914	2.1927	2.8393
-343.5	2.3913	2.1921	2.8403
-343.4	2.3914	2.1916	2.8413
-343.3	2.3914	2.191	2.8422
-343.2	2.3913	2.1904	2.8432
-343.1	2.3913	2.1899	2.8442
-343	2.3912	2.1894	2.8451
-342.9	2.3912	2.1888	2.8461
-342.8	2.391	2.1883	2.847
-342.7	2.3907	2.1877	2.8479
-342.6	2.3904	2.1872	2.8487
-342.5	2.39	2.1866	2.8496
-342.4	2.3896	2.1861	2.8504
-342.3	2.3891	2.1855	2.8512
-342.2	2.3884	2.185	2.8519
-342.1	2.3877	2.1844	2.8527
-342	2.3869	2.1839	2.8533
-341.9	2.3862	2.1834	2.854
-341.8	2.3854	2.1828	2.8546
-341.7	2.3846	2.1823	2.8552
-341.6	2.3837	2.1818	2.8558
-341.5	2.3827	2.1813	2.8564
-341.4	2.3816	2.1808	2.8569
-341.3	2.3806	2.1803	2.8574
-341.2	2.3795	2.1798	2.8579
-341.1	2.3783	2.1793	2.8583
-341	2.3772	2.1788	2.8587
-340.9	2.3761	2.1783	2.8591
-340.8	2.3748	2.1778	2.8593
-340.7	2.3736	2.1773	2.8596
-340.6	2.3722	2.1768	2.8598
-340.5	2.3709	2.1764	2.8601
-340.4	2.3695	2.1759	2.8603
-340.3	2.3681	2.1755	2.8605
-340.2	2.3667	2.175	2.8606
-340.1	2.3653	2.1746	2.8607
-340	2.3638	2.1742	2.8608
-339.9	2.3623	2.1738	2.861
-339.8	2.3609	2.1734	2.861
-339.7	2.3593	2.173	2.8611
-339.6	2.3577	2.1726	2.861
-339.5	2.3563	2.1722	2.861
-339.4	2.3547	2.1719	2.8609
-339.3	2.3532	2.1715	2.8608
-339.2	2.3517	2.1711	2.8606
-339.1	2.3502	2.1707	2.8604
-339	2.3486	2.1704	2.8602
-338.9	2.347	2.17	2.8599
-338.8	2.3454	2.1697	2.8595
-338.7	2.3438	2.1693	2.8591
-338.6	2.3423	2.169	2.8587
-338.5	2.3407	2.1687	2.8583
-338.4	2.3392	2.1684	2.8577
-338.3	2.3375	2.1681	2.8572
-338.2	2.336	2.1678	2.8566
-338.1	2.3345	2.1675	2.856
-338	2.333	2.1673	2.8554
-337.9	2.3314	2.167	2.8548
-337.8	2.3299	2.1667	2.8541
-337.7	2.3284	2.1664	2.8534
-337.6	2.3268	2.1662	2.8526
-337.5	2.3253	2.1659	2.8519
-337.4	2.3239	2.1656	2.8511
-337.3	2.3223	2.1653	2.8502
-337.2	2.3209	2.1649	2.8494
-337.1	2.3195	2.1646	2.8485
-337	2.3181	2.1643	2.8476
-336.9	2.3167	2.164	2.8466
-336.8	2.3153	2.1637	2.8456
-336.7	2.314	2.1633	2.8447
-336.6	2.3126	2.163	2.8437
-336.5	2.3114	2.1627	2.8428
-336.4	2.31	2.1624	2.8418
-336.3	2.3087	2.162	2.8408
-336.2	2.3074	2.1617	2.8397
-336.1	2.306	2.1614	2.8387
-336	2.3048	2.161	2.8376
-335.9	2.3036	2.1607	2.8365
-335.8	2.3024	2.1603	2.8354
-335.7	2.3011	2.16	2.8342
-335.6	2.3	2.1596	2.8329
-335.5	2.2988	2.1593	2.8317
-335.4	2.2976	2.1589	2.8305
-335.3	2.2965	2.1587	2.8292
-335.2	2.2953	2.1584	2.8279
-335.1	2.2942	2.1581	2.8266
-335	2.293	2.1578	2.8252
-334.9	2.292	2.1576	2.8238
-334.8	2.2911	2.1574	2.8224
-334.7	2.2901	2.1572	2.821
-334.6	2.289	2.157	2.8196
-334.5	2.2879	2.1568	2.8181
