Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	T_Zone_1 [K]	T_mittel [K]	T_BurnAdiabat [K]	p_soll [bar]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	Hu Zone [J/kg]	Hu frischGemsich [J/kg]	Phi_Delay [°KW]	Alpha [W/(m^2K)]	pSchlepp [bar]	Brennraumfläche [m^2]	Zonenmasse [kg]	ZonenKontrollmasse [kg]	 cv[J/kg]	 cp [J/kg]	 kappa [-]	 U [J]	H_Massenbruch [kg]	O_Massenbruch [kg]	N_Massenbruch [kg]	H2_Massenbruch [kg]	OH_Massenbruch [kg]	CO_Massenbruch [kg]	NO_Massenbruch [kg]	O2_Massenbruch [kg]	H2O_Massenbruch [kg]	CO2_Massenbruch [kg]	N2_Massenbruch [kg]	RON_95_Massenbruch [kg]
-120.0	 0.0	 5.928127211440649E-4	 394.893984280773	 394.893984280773	 935.5609472854371	 1.3030000940000002	 1.3030000940000002	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 422.8234824250272	 615772.8293941789	 615772.8293941793	 0.0	 90.96965670889792	 3.4210690039791833	 0.03974695642000636	 6.867171939550024E-4	 6.867171939550024E-4	 776.1549559261719	 1060.9966253277742	 1.3669907242448847	 -877.449799382503	 1.7973091035544017E-9	 1.437944435966775E-6	 1.896382985589136E-13	 9.325179934504669E-8	 5.564399981218751E-5	 4.354833975711326E-6	 7.70414180368349E-4	 0.12569560644449562	 0.03349530111247545	 0.09148811322937075	 0.7345032908335671	 0.01398574237220073	 
-119.5	 4.1656183887991255E-5	 5.906949896219959E-4	 395.4148107517323	 395.4148107517323	 936.0181595587026	 1.309396321	 1.3093962384684918	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -24.29620956938296	 -0.0020241747472067788	 -0.0010120873736033894	 0.0	 0.0	 422.8234824250272	 615772.8293941789	 615772.8293941793	 0.0	 91.48916890362126	 3.4228457774708265	 0.0396622471591236	 6.867171939550023E-4	 6.867171939550023E-4	 776.2806299065265	 1061.1222993081287	 1.366931311213962	 -877.1721769475278	 1.7973091035544013E-9	 1.4379444359667748E-6	 1.8963829855891356E-13	 9.325179934504665E-8	 5.5643999812187504E-5	 4.354833975711326E-6	 7.704141803683488E-4	 0.12569560644449562	 0.03349530111247545	 0.09148811322937077	 0.734503290833567	 0.013985742372200727	 
-119.0	 8.331236777598251E-5	 5.885614731604564E-4	 395.94187306995116	 395.94187306995116	 936.4808547208406	 1.315894566	 1.3158944249671085	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -22.67327409408031	 -0.0018889641500116753	 -0.001956569448609227	 0.0	 0.0	 422.8234824250272	 615772.829394179	 615772.8293941792	 0.0	 92.01424770252216	 3.424643185791523	 0.03957690650066202	 6.867171939550022E-4	 6.867171939550022E-4	 776.4079199311952	 1061.2495893327975	 1.366871153796119	 -876.8911847642748	 1.7973091035544013E-9	 1.437944435966775E-6	 1.8963829855891356E-13	 9.325179934504662E-8	 5.5643999812187504E-5	 4.354833975711326E-6	 7.704141803683488E-4	 0.12569560644449565	 0.03349530111247546	 0.09148811322937078	 0.7345032908335671	 0.013985742372200731	 
-118.5	 1.2496855166397377E-4	 5.864122513651385E-4	 396.4752254882419	 396.4752254882419	 936.9490805757754	 1.3224964700000001	 1.3224962934495992	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -21.017817338531437	 -0.0017510441279561528	 -0.0028320915125873035	 0.0	 0.0	 422.8234824250272	 615772.829394179	 615772.8293941792	 0.0	 92.54494033970708	 3.426461384570632	 0.03949093762884931	 6.867171939550022E-4	 6.867171939550022E-4	 776.5368429527074	 1061.3785123543096	 1.3668102447251813	 -876.606792226031	 1.7973091035544009E-9	 1.437944435966775E-6	 1.8963829855891353E-13	 9.32517993450466E-8	 5.5643999812187504E-5	 4.354833975711326E-6	 7.704141803683488E-4	 0.12569560644449565	 0.03349530111247546	 0.09148811322937078	 0.7345032908335671	 0.013985742372200731	 
-118.0	 1.6662473555196502E-4	 5.84247405811509E-4	 397.0149229392728	 397.0149229392728	 937.4228868483259	 1.329203707	 1.3292035188597087	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -19.329320914245326	 -0.001610371492867597	 -0.003637277259021102	 0.0	 0.0	 422.8234824250272	 615772.829394179	 615772.8293941793	 0.0	 93.08129493261718	 3.428300531115564	 0.03940434380670413	 6.867171939550022E-4	 6.867171939550022E-4	 776.6674161721038	 1061.509085573706	 1.3667485766371887	 -876.3189683218125	 1.7973091035544005E-9	 1.437944435966775E-6	 1.8963829855891353E-13	 9.325179934504658E-8	 5.5643999812187504E-5	 4.354833975711326E-6	 7.704141803683488E-4	 0.12569560644449565	 0.03349530111247546	 0.09148811322937078	 0.7345032908335671	 0.013985742372200731	 
-117.5	 2.0828091943995628E-4	 5.820670200674933E-4	 397.56102104204797	 397.56102104204797	 937.902323885047	 1.336017987	 1.3360178119393837	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -17.60725917780135	 -0.0014669024521480295	 -0.004370728485095117	 0.0	 0.0	 422.8234824250272	 615772.829394179	 615772.8293941792	 0.0	 93.62336049380482	 3.43016078442191	 0.0393171283769435	 6.867171939550022E-4	 6.867171939550022E-4	 776.7996570421776	 1061.64132644378	 1.3666861420693655	 -876.0276816319075	 1.7973091035543998E-9	 1.437944435966775E-6	 1.8963829855891353E-13	 9.325179934504658E-8	 5.5643999812187504E-5	 4.354833975711326E-6	 7.704141803683488E-4	 0.12569560644449565	 0.03349530111247546	 0.09148811322937078	 0.7345032908335671	 0.013985742372200731	 
-117.0	 2.4993710332794753E-4	 5.798711797158487E-4	 398.1135761084691	 398.1135761084691	 938.3874387473093	 1.342941057	 1.3429409200586764	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -15.851099103814386	 -0.001320592598190531	 -0.005031024784190382	 0.0	 0.0	 422.8234824250272	 615772.829394179	 615772.8293941793	 0.0	 94.17118694306494	 3.43204230518367	 0.03922929476287772	 6.867171939550022E-4	 6.867171939550023E-4	 776.9335832707608	 1061.775252672363	 1.366622933459082	 -875.7329003233485	 1.7973091035543992E-9	 1.437944435966775E-6	 1.8963829855891353E-13	 9.325179934504658E-8	 5.5643999812187504E-5	 4.354833975711326E-6	 7.704141803683488E-4	 0.12569560644449565	 0.03349530111247546	 0.09148811322937078	 0.7345032908335671	 0.013985742372200731	 
-116.5	 2.915932872159388E-4	 5.776599723762061E-4	 398.6726451499809	 398.6726451499809	 938.8782843484033	 1.3499747000000002	 1.349974628067965	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -14.060300154479634	 -0.001171396897510711	 -0.005616723232945738	 0.0	 0.0	 422.8234824250272	 615772.829394179	 615772.8293941793	 0.0	 94.72482511992993	 3.433945255803595	 0.039140846469292015	 6.867171939550022E-4	 6.867171939550022E-4	 777.0692128240645	 1061.9108822256667	 1.3665589431428071	 -875.4345921453178	 1.797309103554399E-9	 1.437944435966775E-6	 1.8963829855891353E-13	 9.325179934504658E-8	 5.5643999812187504E-5	 4.354833975711326E-6	 7.704141803683488E-4	 0.12569560644449565	 0.03349530111247546	 0.09148811322937078	 0.7345032908335671	 0.013985742372200731	 
-116.0	 3.3324947110393004E-4	 5.754334877267682E-4	 399.23828588429876	 399.23828588429876	 939.3749103288537	 1.35712074	 1.3571207591731378	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -12.234314145573748	 -0.0010192696795829452	 -0.0061263580727372105	 0.0	 0.0	 422.8234824250272	 615772.829394179	 615772.8293941792	 0.0	 95.28432679653494	 3.435869800403627	 0.0390517870833145	 6.867171939550022E-4	 6.867171939550023E-4	 777.2065639300658	 1062.0482333316681	 1.3664941633550494	 -875.1327244244818	 1.7973091035543988E-9	 1.437944435966775E-6	 1.8963829855891353E-13	 9.325179934504658E-8	 5.5643999812187504E-5	 4.354833975711326E-6	 7.704141803683488E-4	 0.12569560644449565	 0.03349530111247546	 0.09148811322937078	 0.7345032908335671	 0.013985742372200731	 
-115.5	 3.749056549919213E-4	 5.731918175256468E-4	 399.8105567422201	 399.8105567422201	 939.8773708879562	 1.364381039	 1.3643811758344044	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -10.372585108794143	 -8.641646253715372E-4	 -0.006558440385422979	 0.0	 0.0	 422.8234824250272	 615772.829394179	 615772.8293941793	 0.0	 95.84974469086274	 3.437816104835449	 0.03896212027526964	 6.867171939550022E-4	 6.867171939550022E-4	 777.3456550819477	 1062.18732448355	 1.366428586227287	 -874.8272640602564	 1.7973091035543984E-9	 1.437944435966775E-6	 1.8963829855891353E-13	 9.325179934504658E-8	 5.5643999812187504E-5	 4.354833975711326E-6	 7.704141803683488E-4	 0.12569560644449565	 0.03349530111247546	 0.09148811322937078	 0.7345032908335671	 0.013985742372200731	 
