Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	T_Zone_1 [K]	T_mittel [K]	T_BurnAdiabat [K]	p_soll [bar]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	Hu Zone [J/kg]	Hu frischGemsich [J/kg]	Phi_Delay [°KW]	Alpha [W/(m^2K)]	pSchlepp [bar]	Brennraumfläche [m^2]	Zonenmasse [kg]	ZonenKontrollmasse [kg]	 cv[J/kg]	 cp [J/kg]	 kappa [-]	 U [J]	H_Massenbruch [kg]	O_Massenbruch [kg]	N_Massenbruch [kg]	H2_Massenbruch [kg]	OH_Massenbruch [kg]	CO_Massenbruch [kg]	NO_Massenbruch [kg]	O2_Massenbruch [kg]	H2O_Massenbruch [kg]	CO2_Massenbruch [kg]	N2_Massenbruch [kg]	RON_95_Massenbruch [kg]
-119.0	 0.0	 5.885614731604564E-4	 377.32322021787934	 377.32322021787934	 899.6132465509921	 1.315894566	 1.315894566	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 422.8234824250272	 587261.9688650701	 587261.9688650701	 0.0	 93.78474149889584	 3.424643185791523	 0.03957690650066202	 7.200421410653959E-4	 7.200421410653959E-4	 766.500462513439	 1051.5638730144	 1.3719024637848318	 -775.3630481361456	 1.5130710618970653E-9	 1.5338377649818366E-6	 1.814064992327386E-13	 6.927137488037061E-8	 5.237399446557844E-5	 3.235350639401407E-6	 8.239708854786096E-4	 0.143258563430153	 0.027818985505085117	 0.07599328707319372	 0.7387095240545543	 0.01333845508403791	 
-118.5	 4.1656183887991255E-5	 5.864122513651385E-4	 377.843834566222	 377.843834566222	 900.0732395724756	 1.3224964700000001	 1.3225396354804888	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -92.15749141563758	 -0.007677858818131549	 -0.0038389294090657748	 0.0	 0.0	 422.8234824250272	 587261.96886507	 587261.9688650701	 0.0	 94.32697149565483	 3.426461384570632	 0.03949093762884931	 7.20042141065396E-4	 7.20042141065396E-4	 766.6151837679969	 1051.6785942689578	 1.3718468098946899	 -775.0756930011931	 1.513071061897066E-9	 1.5338377649818368E-6	 1.814064992327386E-13	 6.927137488037062E-8	 5.237399446557845E-5	 3.2353506394014074E-6	 8.239708854786099E-4	 0.143258563430153	 0.027818985505085117	 0.07599328707319374	 0.7387095240545544	 0.01333845508403791	 
-118.0	 8.331236777598251E-5	 5.84247405811509E-4	 378.37062412669	 378.37062412669	 900.5386898934585	 1.329203707	 1.32929083365357	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -90.74331982075162	 -0.007560040834120063	 -0.0076189498261258065	 0.0	 0.0	 422.8234824250272	 587261.96886507	 587261.9688650701	 0.0	 94.87498949196157	 3.4283005311155637	 0.03940434380670413	 7.200421410653961E-4	 7.200421410653961E-4	 766.7313918040196	 1051.7948023049805	 1.371790451712488	 -774.7848856367618	 1.513071061897066E-9	 1.5338377649818368E-6	 1.814064992327386E-13	 6.927137488037061E-8	 5.237399446557846E-5	 3.2353506394014074E-6	 8.239708854786099E-4	 0.14325856343015297	 0.027818985505085114	 0.07599328707319374	 0.7387095240545544	 0.013338455084037908	 
-117.5	 1.2496855166397377E-4	 5.820670200674933E-4	 378.9036435967417	 378.9036435967417	 901.0096472130152	 1.336017987	 1.336149889367492	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -89.29738008848868	 -0.0074395761713638665	 -0.01133873791180774	 0.0	 0.0	 422.8234824250272	 587261.96886507	 587261.9688650701	 0.0	 95.42884569478257	 3.43016078442191	 0.0393171283769435	 7.200421410653962E-4	 7.200421410653962E-4	 766.8491030054685	 1051.9125135064296	 1.37173338194402	 -774.4905942427113	 1.513071061897066E-9	 1.5338377649818368E-6	 1.814064992327386E-13	 6.92713748803706E-8	 5.237399446557846E-5	 3.235350639401408E-6	 8.239708854786099E-4	 0.14325856343015297	 0.027818985505085107	 0.07599328707319374	 0.7387095240545545	 0.013338455084037908	 
-117.0	 1.6662473555196502E-4	 5.798711797158487E-4	 379.44294836082577	 379.44294836082577	 901.4861605462256	 1.342941057	 1.343118568565197	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -87.81913763291138	 -0.007316420292242738	 -0.014996948057929109	 0.0	 0.0	 422.8234824250272	 587261.96886507	 587261.9688650701	 0.0	 95.9885912404528	 3.43204230518367	 0.03922929476287772	 7.200421410653963E-4	 7.200421410653963E-4	 766.9683340030647	 1052.0317445040257	 1.371675593193163	 -774.1927865991921	 1.5130710618970657E-9	 1.5338377649818366E-6	 1.8140649923273857E-13	 6.927137488037058E-8	 5.237399446557846E-5	 3.235350639401407E-6	 8.239708854786099E-4	 0.14325856343015297	 0.027818985505085103	 0.07599328707319372	 0.7387095240545544	 0.013338455084037908	 
-116.5	 2.0828091943995628E-4	 5.776599723762061E-4	 379.9885944971816	 379.9885944971816	 901.9682795395115	 1.3499747000000002	 1.35019867515002	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -86.30805057396414	 -0.007190528051446199	 -0.018592212083652207	 0.0	 0.0	 422.8234824250272	 587261.96886507	 587261.9688650701	 0.0	 96.55427820749568	 3.4339452558035948	 0.039140846469292015	 7.200421410653964E-4	 7.200421410653964E-4	 767.0891016777118	 1052.1525121786729	 1.3716170779606889	 -773.8914300619014	 1.5130710618970657E-9	 1.5338377649818366E-6	 1.814064992327386E-13	 6.927137488037058E-8	 5.237399446557847E-5	 3.2353506394014065E-6	 8.2397088547861E-4	 0.14325856343015297	 0.027818985505085103	 0.07599328707319372	 0.7387095240545544	 0.013338455084037908	 
-116.0	 2.4993710332794753E-4	 5.754334877267682E-4	 380.54063878472533	 380.54063878472533	 902.4560544769179	 1.35712074	 1.3573920518747642	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -84.7635696070997	 -0.007061853685111783	 -0.022123138926208097	 0.0	 0.0	 422.8234824250272	 587261.96886507	 587261.9688650701	 0.0	 97.1259596298233	 3.4358698004036268	 0.0390517870833145	 7.200421410653965E-4	 7.200421410653965E-4	 767.2114231639708	 1052.2748336649317	 1.3715578286430654	 -773.5864915572657	 1.513071061897066E-9	 1.5338377649818364E-6	 1.8140649923273854E-13	 6.927137488037058E-8	 5.237399446557847E-5	 3.235350639401407E-6	 8.239708854786097E-4	 0.14325856343015297	 0.027818985505085107	 0.07599328707319374	 0.7387095240545544	 0.013338455084037908	 
-115.5	 2.915932872159388E-4	 5.731918175256468E-4	 381.0991387100252	 381.0991387100252	 902.9495362864832	 1.364381039	 1.3647005812548432	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -83.1851378694206	 -0.006930350799672979	 -0.025588314326044588	 0.0	 0.0	 422.8234824250272	 587261.96886507	 587261.9688650701	 0.0	 97.70368951032556	 3.437816104835449	 0.03896212027526964	 7.200421410653967E-4	 7.200421410653966E-4	 767.3353158535893	 1052.3987263545503	 1.371497837531242	 -773.2779375775496	 1.5130710618970657E-9	 1.5338377649818364E-6	 1.8140649923273857E-13	 6.927137488037058E-8	 5.237399446557847E-5	 3.235350639401407E-6	 8.2397088547861E-4	 0.14325856343015297	 0.027818985505085107	 0.07599328707319374	 0.7387095240545544	 0.013338455084037906	 
-115.0	 3.3324947110393004E-4	 5.709350556318246E-4	 381.6641524743638	 381.6641524743638	 903.4487765466799	 1.371757497	 1.3721261865061758	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -81.57219080219697	 -0.006795972360405252	 -0.028986300506247214	 0.0	 0.0	 422.8234824250272	 587261.96886507	 587261.9688650701	 0.0	 98.28752283485512	 3.43978433669114	 0.03887184979951676	 7.200421410653968E-4	 7.200421410653968E-4	 767.4607973990886	 1052.5242079000498	 1.3714370968094214	 -772.9657341758895	 1.5130710618970657E-9	 1.533837764981836E-6	 1.8140649923273857E-13	 6.927137488037058E-8	 5.237399446557847E-5	 3.235350639401407E-6	 8.2397088547861E-4	 0.14325856343015297	 0.027818985505085107	 0.07599328707319374	 0.7387095240545544	 0.013338455084037908	 
-114.5	 3.749056549919213E-4	 5.686632980257261E-4	 382.23573900088854	 382.23573900088854	 903.9538288009304	 1.3792520590000001	 1.3796708325085636	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -79.92415600964553	 -0.006658670679660591	 -0.03231563584607751	 0.0	 0.0	 422.8234824250272	 587261.96886507	 587261.9688650701	 0.0	 98.8775155866182	 3.441774665313932	 0.038780979495272816	 7.200421410653969E-4	 7.200421410653969E-4	 767.5878857174039	 1052.651296218365	 1.3713755985538187	 -772.6498469612582	 1.5130710618970657E-9	 1.5338377649818357E-6	 1.814064992327386E-13	 6.927137488037058E-8	 5.237399446557847E-5	 3.235350639401407E-6	 8.239708854786101E-4	 0.14325856343015297	 0.027818985505085107	 0.07599328707319374	 0.7387095240545544	 0.013338455084037908	 
