Kurbelwinkel	Hub_AV
[KWnAO]	[mm]
  0.0	 0.005000
  0.1	 0.010200
  0.2	 0.015400
  0.3	 0.020700
  0.4	 0.025900
  0.5	 0.031100
  0.6	 0.036300
  0.7	 0.041400
  0.8	 0.046600
  0.9	 0.051700
  1.0	 0.056900
  1.1	 0.062000
  1.2	 0.067200
  1.3	 0.072300
  1.4	 0.077400
  1.5	 0.082500
  1.6	 0.087600
  1.7	 0.092700
  1.8	 0.097700
  1.9	 0.102800
  2.0	 0.107900
  2.1	 0.112900
  2.2	 0.118000
  2.3	 0.123000
  2.4	 0.128000
  2.5	 0.133000
  2.6	 0.138000
  2.7	 0.143000
  2.8	 0.148000
  2.9	 0.153000
  3.0	 0.157900
  3.1	 0.162900
  3.2	 0.167900
  3.3	 0.172800
  3.4	 0.177700
  3.5	 0.182600
  3.6	 0.187500
  3.7	 0.192400
  3.8	 0.197300
  3.9	 0.202200
  4.0	 0.207000
  4.1	 0.211900
  4.2	 0.216700
  4.3	 0.221500
  4.4	 0.226300
  4.5	 0.231100
  4.6	 0.235900
  4.7	 0.240700
  4.8	 0.245500
  4.9	 0.250300
  5.0	 0.255100
  5.1	 0.259800
  5.2	 0.264600
  5.3	 0.269300
  5.4	 0.274000
  5.5	 0.278700
  5.6	 0.283400
  5.7	 0.288100
  5.8	 0.292800
  5.9	 0.297400
  6.0	 0.302100
  6.1	 0.306700
  6.2	 0.311400
  6.3	 0.316000
  6.4	 0.320600
  6.5	 0.325200
  6.6	 0.329800
  6.7	 0.334400
  6.8	 0.339000
  6.9	 0.343600
  7.0	 0.348100
  7.1	 0.352700
  7.2	 0.357200
  7.3	 0.361700
  7.4	 0.366200
  7.5	 0.370700
  7.6	 0.375200
  7.7	 0.379700
  7.8	 0.384100
  7.9	 0.388600
  8.0	 0.393100
  8.1	 0.397600
  8.2	 0.402000
  8.3	 0.406400
  8.4	 0.410800
  8.5	 0.415200
  8.6	 0.419600
  8.7	 0.424000
  8.8	 0.428300
  8.9	 0.432700
  9.0	 0.437000
  9.1	 0.441300
  9.2	 0.445600
  9.3	 0.450000
  9.4	 0.454300
  9.5	 0.458600
  9.6	 0.462900
  9.7	 0.467200
  9.8	 0.471400
  9.9	 0.475700
 10.0	 0.479900
 10.1	 0.484200
 10.2	 0.488400
 10.3	 0.492600
 10.4	 0.496800
 10.5	 0.501000
 10.6	 0.505200
 10.7	 0.509300
 10.8	 0.513500
 10.9	 0.517600
 11.0	 0.521700
 11.1	 0.525900
 11.2	 0.530000
 11.3	 0.534100
 11.4	 0.538200
 11.5	 0.542300
 11.6	 0.546400
 11.7	 0.550500
 11.8	 0.554500
 11.9	 0.558600
 12.0	 0.562600
 12.1	 0.566600
 12.2	 0.570700
 12.3	 0.574700
 12.4	 0.578700
 12.5	 0.582700
 12.6	 0.586600
 12.7	 0.590600
 12.8	 0.594600
 12.9	 0.598500
 13.0	 0.602400
 13.1	 0.606300
 13.2	 0.610300
 13.3	 0.614200
 13.4	 0.618100
 13.5	 0.622000
 13.6	 0.625800
 13.7	 0.629700
 13.8	 0.633500
 13.9	 0.637400
 14.0	 0.641200
 14.1	 0.645100
 14.2	 0.648900
 14.3	 0.652700
 14.4	 0.656500
 14.5	 0.660300
 14.6	 0.664100
 14.7	 0.667800
 14.8	 0.671600
 14.9	 0.675400
 15.0	 0.679100
 15.1	 0.682900
 15.2	 0.686600
 15.3	 0.690300
 15.4	 0.694000
 15.5	 0.697700
 15.6	 0.701400
 15.7	 0.705000
 15.8	 0.708700
 15.9	 0.712400
 16.0	 0.716100
 16.1	 0.719700
 16.2	 0.723300
 16.3	 0.726900
 16.4	 0.730500
 16.5	 0.734100
 16.6	 0.737700
 16.7	 0.741300
 16.8	 0.744900
