Kurbelwinkel	Hub_EV
[KWnEO]	[mm]
  0.0	 0.002200
  0.1	 0.007400
  0.2	 0.012600
  0.3	 0.017800
  0.4	 0.023100
  0.5	 0.028300
  0.6	 0.033500
  0.7	 0.038800
  0.8	 0.044000
  0.9	 0.049200
  1.0	 0.054500
  1.1	 0.059700
  1.2	 0.065000
  1.3	 0.070200
  1.4	 0.075500
  1.5	 0.080700
  1.6	 0.086000
  1.7	 0.091200
  1.8	 0.096500
  1.9	 0.101800
  2.0	 0.107000
  2.1	 0.112300
  2.2	 0.117600
  2.3	 0.122800
  2.4	 0.128100
  2.5	 0.133400
  2.6	 0.138700
  2.7	 0.144000
  2.8	 0.149200
  2.9	 0.154500
  3.0	 0.159800
  3.1	 0.165100
  3.2	 0.170400
  3.3	 0.175700
  3.4	 0.181000
  3.5	 0.186300
  3.6	 0.191600
  3.7	 0.196900
  3.8	 0.202200
  3.9	 0.207600
  4.0	 0.212900
  4.1	 0.218200
  4.2	 0.223500
  4.3	 0.228800
  4.4	 0.234200
  4.5	 0.239500
  4.6	 0.244800
  4.7	 0.250200
  4.8	 0.255500
  4.9	 0.260800
  5.0	 0.266200
  5.1	 0.271500
  5.2	 0.276900
  5.3	 0.282200
  5.4	 0.287600
  5.5	 0.292900
  5.6	 0.298300
  5.7	 0.303600
  5.8	 0.309000
  5.9	 0.314400
  6.0	 0.319700
  6.1	 0.325100
  6.2	 0.330500
  6.3	 0.335800
  6.4	 0.341200
  6.5	 0.346600
  6.6	 0.352000
  6.7	 0.357400
  6.8	 0.362700
  6.9	 0.368100
  7.0	 0.373500
  7.1	 0.378900
  7.2	 0.384300
  7.3	 0.389700
  7.4	 0.395100
  7.5	 0.400500
  7.6	 0.405900
  7.7	 0.411300
  7.8	 0.416700
  7.9	 0.422200
  8.0	 0.427600
  8.1	 0.433000
  8.2	 0.438400
  8.3	 0.443800
  8.4	 0.449300
  8.5	 0.454700
  8.6	 0.460100
  8.7	 0.465600
  8.8	 0.471000
  8.9	 0.476400
  9.0	 0.481600
  9.1	 0.486900
  9.2	 0.492100
  9.3	 0.497300
  9.4	 0.502600
  9.5	 0.507800
  9.6	 0.513100
  9.7	 0.518300
  9.8	 0.523600
  9.9	 0.528800
 10.0	 0.534100
 10.1	 0.539300
 10.2	 0.544600
 10.3	 0.550000
 10.4	 0.555300
 10.5	 0.560600
 10.6	 0.565900
 10.7	 0.571200
 10.8	 0.576500
 10.9	 0.581800
 11.0	 0.587100
 11.1	 0.592400
 11.2	 0.597600
 11.3	 0.602900
 11.4	 0.608200
 11.5	 0.613400
 11.6	 0.618700
 11.7	 0.623900
 11.8	 0.629100
 11.9	 0.634400
 12.0	 0.639600
 12.1	 0.644800
 12.2	 0.650000
 12.3	 0.655200
 12.4	 0.660300
 12.5	 0.665500
 12.6	 0.670700
 12.7	 0.675800
 12.8	 0.681000
 12.9	 0.686100
 13.0	 0.691200
 13.1	 0.696300
 13.2	 0.701400
 13.3	 0.706500
 13.4	 0.711600
 13.5	 0.716700
 13.6	 0.721700
 13.7	 0.726800
 13.8	 0.731800
 13.9	 0.736900
 14.0	 0.741900
 14.1	 0.746900
 14.2	 0.751900
 14.3	 0.756900
 14.4	 0.761800
 14.5	 0.766800
 14.6	 0.771800
 14.7	 0.776700
 14.8	 0.781700
 14.9	 0.786600
 15.0	 0.791500
 15.1	 0.796400
 15.2	 0.801300
 15.3	 0.806200
 15.4	 0.811100
 15.5	 0.816000
 15.6	 0.820800
 15.7	 0.825700
 15.8	 0.830500
 15.9	 0.835400
 16.0	 0.840200
 16.1	 0.845000
 16.2	 0.849800
 16.3	 0.855000
 16.4	 0.859000
 16.5	 0.864000
 16.6	 0.869000
 16.7	 0.874000
 16.8	 0.878000
 16.9	 0.883000
 17.0	 0.888000
 17.1	 0.893000
 17.2	 0.897000
 17.3	 0.902000
 17.4	 0.907000
 17.5	 0.911000
 17.6	 0.916000
 17.7	 0.921000
 17.8	 0.925000
 17.9	 0.930000
 18.0	 0.934000
 18.1	 0.939000
 18.2	 0.943000
 18.3	 0.948000
 18.4	 0.953000
 18.5	 0.957000
 18.6	 0.962000
 18.7	 0.966000
 18.8	 0.971000
 18.9	 0.975000
 19.0	 0.980000
 19.1	 0.984000
 19.2	 0.989000
 19.3	 0.993000
 19.4	 0.998000
 19.5	 1.002000
 19.6	 1.007000
 19.7	 1.011000
 19.8	 1.015000
 19.9	 1.020000
 20.0	 1.024000
 20.1	 1.029000
 20.2	 1.033000
 20.3	 1.037000
 20.4	 1.042000
 20.5	 1.046000
 20.6	 1.050000
 20.7	 1.055000
 20.8	 1.059000
 20.9	 1.063000
 21.0	 1.068000
 21.1	 1.072000
 21.2	 1.076000
 21.3	 1.080000
 21.4	 1.085000
 21.5	 1.089000
 21.6	 1.093000
 21.7	 1.097000
 21.8	 1.101000
 21.9	 1.106000
 22.0	 1.110000
 22.1	 1.114000
 22.2	 1.118000
 22.3	 1.122000
 22.4	 1.126000
 22.5	 1.130000
 22.6	 1.135000
 22.7	 1.139000
 22.8	 1.143000
 22.9	 1.147000
 23.0	 1.151000
 23.1	 1.155000
 23.2	 1.159000
 23.3	 1.163000
 23.4	 1.167000
 23.5	 1.171000
 23.6	 1.175000
 23.7	 1.179000
 23.8	 1.183000
 23.9	 1.187000
 24.0	 1.191000
 24.1	 1.195000
 24.2	 1.199000
 24.3	 1.203000
 24.4	 1.207000
 24.5	 1.210000
 24.6	 1.214000
 24.7	 1.218000
 24.8	 1.222000
 24.9	 1.226000
 25.0	 1.230000
 25.1	 1.234000
 25.2	 1.237000
 25.3	 1.241000
 25.4	 1.245000
 25.5	 1.249000
 25.6	 1.253000
 25.7	 1.256000
 25.8	 1.260000
 25.9	 1.264000
 26.0	 1.267000
 26.1	 1.271000
 26.2	 1.275000
 26.3	 1.279000
 26.4	 1.282000
 26.5	 1.286000
 26.6	 1.290000
 26.7	 1.293000
 26.8	 1.297000
 26.9	 1.301000
 27.0	 1.304000
 27.1	 1.308000
 27.2	 1.311000
 27.3	 1.315000
 27.4	 1.318000
 27.5	 1.322000
 27.6	 1.326000
 27.7	 1.329000
 27.8	 1.333000
 27.9	 1.336000
 28.0	 1.340000
 28.1	 1.343000
 28.2	 1.347000
 28.3	 1.350000
 28.4	 1.353000
 28.5	 1.357000
 28.6	 1.360000
 28.7	 1.364000
 28.8	 1.367000
 28.9	 1.371000
 29.0	 1.374000
 29.1	 1.377000
 29.2	 1.381000
 29.3	 1.384000
 29.4	 1.387000
 29.5	 1.391000
 29.6	 1.394000
 29.7	 1.397000
 29.8	 1.401000
 29.9	 1.404000
 30.0	 1.407000
 30.1	 1.411000
 30.2	 1.414000
 30.3	 1.417000
 30.4	 1.420000
 30.5	 1.423000
 30.6	 1.427000
 30.7	 1.430000
 30.8	 1.433000
 30.9	 1.436000
 31.0	 1.439000
 31.1	 1.442000
 31.2	 1.446000
 31.3	 1.449000
 31.4	 1.452000
 31.5	 1.455000
 31.6	 1.458000
 31.7	 1.461000
 31.8	 1.464000
 31.9	 1.467000
 32.0	 1.470000
 32.1	 1.473000
 32.2	 1.476000
 32.3	 1.479000
 32.4	 1.482000
 32.5	 1.485000
 32.6	 1.488000
 32.7	 1.491000
 32.8	 1.494000
 32.9	 1.497000
 33.0	 1.500000
 33.1	 1.503000
 33.2	 1.506000
 33.3	 1.509000
 33.4	 1.512000
 33.5	 1.514000
 33.6	 1.517000
 33.7	 1.520000
 33.8	 1.523000
 33.9	 1.526000
 34.0	 1.529000
 34.1	 1.531000
 34.2	 1.534000
 34.3	 1.537000
 34.4	 1.540000
 34.5	 1.542000
 34.6	 1.545000
 34.7	 1.548000
 34.8	 1.551000
 34.9	 1.553000
 35.0	 1.556000
 35.1	 1.559000
 35.2	 1.561000
 35.3	 1.564000
 35.4	 1.567000
