Kurbelwinkel	dQb	dQb	Qb 
[KWnZOT]	[J/s]	[J/KW]	[J]
-540	0	0	0
-20.7	0	0	0
-20.6	1834.594787	0.152844436	0.152844436
-20.1	1136.844801	0.094713232	0.247557668
-19.6	-1276.47433	-0.106346099	0.141211569
-19.1	-772.1876946	-0.064332785	0.076878784
-18.6	3577.667265	0.298063931	0.374942715
-18.1	2696.364435	0.224640505	0.59958322
-17.6	-1110.502983	-0.092518633	0.507064587
-17.1	-24.78443689	-0.00206485	0.504999737
-16.6	3745.114192	0.312014331	0.817014068
-16.1	2911.339564	0.242550593	1.05956466
-15.6	1692.3972	0.140997618	1.200562278
-15.1	3069.794026	0.255751809	1.456314087
-14.6	3380.698688	0.281654012	1.7379681
-14.1	2508.386409	0.208979611	1.946947711
-13.6	3629.189495	0.30235637	2.249304081
-13.1	6087.517107	0.507165464	2.756469545
-12.6	6627.988893	0.552193448	3.308662993
-12.1	5210.542367	0.434102622	3.742765615
-11.6	6861.382042	0.571637984	4.314403599
-11.1	12077.96699	1.006244028	5.320647627
-10.6	12515.38511	1.042686367	6.363333994
-10.1	10536.78206	0.877844262	7.241178256
-9.6	12940.20504	1.078079121	8.319257377
-9.1	16980.88278	1.414717551	9.733974928
-8.6	18151.31909	1.512229371	11.2462043
-8.1	20910.25387	1.74208276	12.98828706
-7.6	24694.64943	2.057369715	15.04565677
-7.1	26716.86197	2.22584503	17.2715018
-6.6	28240.864	2.352813248	19.62431505
-6.1	37102.96921	3.091136217	22.71545127
-5.6	43447.07329	3.619678549	26.33512982
-5.1	47028.00212	3.918014208	30.25314403
-4.6	56679.33427	4.722089542	34.97523357
-4.1	71049.78028	5.919325425	40.89455899
-3.6	87862.5608	7.320037979	48.21459697
-3.1	111434.9149	9.283906609	57.49850358
-2.6	144849.7386	12.06777469	69.56627827
-2.1	192846.8496	16.06652766	85.63280593
-1.6	258347.8676	21.52357256	107.1563785
-1.1	340515.2199	28.36912923	135.5255077
-0.6	429187.9058	35.75666065	171.2821684
-0.1	515631.3848	42.95847157	214.2406399
0.4	596068.0868	49.65984367	263.9004836
0.9	653385.6648	54.4351068	318.3355904
1.4	663616.1253	55.2874307	373.6230211
1.9	619699.479	51.6286309	425.251652
2.4	546915.0593	45.56478856	470.8164406
2.9	460586.3282	38.37253757	509.1889781
3.4	379236.7075	31.59510805	540.7840862
3.9	327836.1248	27.3128038	568.09689
4.4	255408.3704	21.27867608	589.3755661
4.9	191988.3218	15.99500167	605.3705678
5.4	144979.208	12.0785611	617.4491289
5.9	96627.75992	8.050287472	625.4994163
6.4	108984.1089	9.079724166	634.5791405
6.9	70283.78025	5.855508149	640.4346486
7.4	46992.17563	3.915029418	644.3496781
7.9	37521.55409	3.126009514	647.4756876
8.4	24545.8391	2.044971974	649.5206595
8.9	28698.8158	2.390966297	651.9116258
9.4	25093.16761	2.090571209	654.002197
9.9	11177.49013	0.931223169	654.9334202
10.4	3999.330848	0.333193722	655.2666139
10.9	0	0	655.2666139
540	0	0	655.2666139
