Kurbelwinkel [°KW]	p [bar]	dQb [J/s]	Kurbelwinkel [°KW]
[KWnZOT]	[bar]	[bar]	[bar]
-149	1.06	0	-150
-148.9	1.060457904	0	-149.9
-148.8	1.060917654	0	-149.8
-148.7	1.061379252	0	-149.7
-148.6	1.061842702	0	-149.6
-148.5	1.062308007	0	-149.5
-148.4	1.062775172	0	-149.4
-148.3	1.063244201	0	-149.3
-148.2	1.063715095	0	-149.2
-148.1	1.064187861	0	-149.1
-148	1.0646625	0	-149
-147.9	1.065139017	0	-148.9
-147.8	1.065617416	0	-148.8
-147.7	1.0660977	0	-148.7
-147.6	1.066579874	0	-148.6
-147.5	1.06706394	0	-148.5
-147.4	1.067549904	0	-148.4
-147.3	1.068037767	0	-148.3
-147.2	1.068527536	0	-148.2
-147.1	1.069019212	0	-148.1
-147	1.069512801	0	-148
-146.9	1.070008306	0	-147.9
-146.8	1.070505731	0	-147.8
-146.7	1.071005081	0	-147.7
-146.6	1.071506358	0	-147.6
-146.5	1.072009567	0	-147.5
-146.4	1.072514712	0	-147.4
-146.3	1.073021797	0	-147.3
-146.2	1.073530825	0	-147.2
-146.1	1.074041802	0	-147.1
-146	1.074554731	0	-147
-145.9	1.075069616	0	-146.9
-145.8	1.075586462	0	-146.8
-145.7	1.076105272	0	-146.7
-145.6	1.07662605	0	-146.6
-145.5	1.077148801	0	-146.5
-145.4	1.077673529	0	-146.4
-145.3	1.078200238	0	-146.3
-145.2	1.078728932	0	-146.2
-145.1	1.079259616	0	-146.1
-145	1.079792293	0	-146
-144.9	1.080326969	0	-145.9
-144.8	1.080863647	0	-145.8
-144.7	1.081402331	0	-145.7
-144.6	1.081943026	0	-145.6
-144.5	1.082485737	0	-145.5
-144.4	1.083030467	0	-145.4
-144.3	1.083577221	0	-145.3
-144.2	1.084126004	0	-145.2
-144.1	1.08467682	0	-145.1
-144	1.085229673	0	-145
-143.9	1.085784567	0	-144.9
-143.8	1.086341508	0	-144.8
-143.7	1.0869005	0	-144.7
-143.6	1.087461547	0	-144.6
-143.5	1.088024653	0	-144.5
-143.4	1.088589824	0	-144.4
-143.3	1.089157064	0	-144.3
-143.2	1.089726377	0	-144.2
-143.1	1.090297769	0	-144.1
-143	1.090871243	0	-144
-142.9	1.091446805	0	-143.9
-142.8	1.092024459	0	-143.8
-142.7	1.092604209	0	-143.7
-142.6	1.093186061	0	-143.6
-142.5	1.09377002	0	-143.5
-142.4	1.094356089	0	-143.4
-142.3	1.094944275	0	-143.3
-142.2	1.09553458	0	-143.2
-142.1	1.096127012	0	-143.1
-142	1.096721573	0	-143
-141.9	1.09731827	0	-142.9
-141.8	1.097917106	0	-142.8
-141.7	1.098518088	0	-142.7
-141.6	1.099121219	0	-142.6
-141.5	1.099726505	0	-142.5
-141.4	1.100333951	0	-142.4
-141.3	1.100943562	0	-142.3
-141.2	1.101555342	0	-142.2
-141.1	1.102169298	0	-142.1
-141	1.102785433	0	-142
-140.9	1.103403753	0	-141.9
-140.8	1.104024262	0	-141.8
-140.7	1.104646968	0	-141.7
-140.6	1.105271873	0	-141.6
-140.5	1.105898984	0	-141.5
-140.4	1.106528305	0	-141.4
-140.3	1.107159842	0	-141.3
-140.2	1.1077936	0	-141.2
-140.1	1.108429585	0	-141.1
-140	1.109067801	0	-141
-139.9	1.109708254	0	-140.9
-139.8	1.110350949	0	-140.8
-139.7	1.110995892	0	-140.7
-139.6	1.111643087	0	-140.6
-139.5	1.112292541	0	-140.5
-139.4	1.112944258	0	-140.4
-139.3	1.113598245	0	-140.3
-139.2	1.114254506	0	-140.2
-139.1	1.114913047	0	-140.1
-139	1.115573874	0	-140
-138.9	1.116236991	0	-139.9
