Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	V0 [m3]	V1 [m3]	V2 [m3]	T_Zone_0 [K]	T_Zone_1 [K]	T_Zone_2 [K]	T_mittel [K]	T_BurnAdiabat_0 [K]	T_BurnAdiabat_1 [K]	Lambda z1 [-]	Lambda z0 [-]	Lambda z2 [-]	p_soll [bar]	p_soll_roh [bar]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	dQKrst [J/s]	dQKrst [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	Alpha [W/(m^2K)]	Wandwärmestromdichte [MW/m^2]	PQw [W]	Brennraumfläche [m^2]	Gesamtmasse [kg]	m_0[kg]	m_1[kg]	m_2[kg]	Z0_O2 [kg]	Z0_CO2 [kg]	Z0_H2O [kg]	Z0_H [kg]	Z0_O [kg]	Z0_N [kg]	Z0_H2 [kg]	Z0_OH [kg]	Z0_CO [kg]	Z0_NO [kg]	Z0_N2 [kg]	Z0_Diesel [kg]	Z0_RON_95 [kg]	Z0_AGR_intern_LWA [kg]	Z0_AGR_extern_LWA [kg]	Z0_feuchteLuft_LWA [kg]	Z1_O2 [kg]	Z1_CO2 [kg]	Z1_H2O [kg]	Z1_H [kg]	Z1_O [kg]	Z1_N [kg]	Z1_H2 [kg]	Z1_OH [kg]	Z1_CO [kg]	Z1_NO [kg]	Z1_N2 [kg]	Z1_Diesel [kg]	Z1_RON_95 [kg]	Z1_AGR_intern_LWA [kg]	Z1_AGR_extern_LWA [kg]	Z1_feuchteLuft_LWA [kg]	Z2_O2 [kg]	Z2_CO2 [kg]	Z2_H2O [kg]	Z2_H [kg]	Z2_O [kg]	Z2_N [kg]	Z2_H2 [kg]	Z2_OH [kg]	Z2_CO [kg]	Z2_NO [kg]	Z2_N2 [kg]	Z2_Diesel [kg]	Z2_RON_95 [kg]	Z2_AGR_intern_LWA [kg]	Z2_AGR_extern_LWA [kg]	Z2_feuchteLuft_LWA [kg]	 mDieseldampf [kg]	m_Diesel_Z0 [kg]	TKrstVap [K]	mkrstFl [kg]	m_a [kg]	sumdma [kg]	s00 [kg]	dm_a [kg]
-130.0	 0.0	 0.00166397962081229	 0.9990056106264564	 4.971946867716482E-4	 3.3152279106165976E-4	 391.23949083396025	 391.23949083396025	 391.23949083396025	 391.23949083396025	 1247.6941392035017	 1247.6941392035017	 2.1319277521364217	 2.1319277521364217	 NaN	 2.6797641215488586	 2.6797960189393946	 2.6797641215488586	 0.0	 0.0	 0.0	 0.0	 0.0	 2.000000002E-6	 0.0	 0.0	 0.0	 0.0	 0.0	 4.965597929018715E-4	 0.0	 4251.998393145476	 186.1975600910932	 -0.015251536952535723	 -1191.3191159803785	 0.07811141393079794	 0.0040225691368229784	 0.004018569136818978	 2.000000002E-6	 2.000000002E-6	 0.1970677127290044	 0.026796586375240575	 0.00965669190608022	 6.246389097815797E-10	 7.250784279946803E-7	 8.760210800225624E-14	 2.4788658908245264E-8	 2.151774514714452E-5	 1.175054119841084E-6	 3.644042294699175E-4	 0.7428851026102212	 0.0	 0.023206058858903356	 0.0	 0.0	 0.0	 0.1970677127290044	 0.026796586375240575	 0.00965669190608022	 6.246389097815797E-10	 7.250784279946803E-7	 8.760210800225624E-14	 2.4788658908245264E-8	 2.151774514714452E-5	 1.175054119841084E-6	 3.644042294699175E-4	 0.7428851026102212	 0.0	 0.023206058858903356	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.8	 2.6147892479866122E-5	 0.0016620534206422933	 0.9990054567461824	 4.971946101870385E-4	 3.3148474612952703E-4	 391.41800881245996	 391.41800881245996	 391.37315070231443	 391.417987096437	 1247.843270355509	 1247.843270355509	 2.1319277521364226	 2.1319277521364226	 NaN	 2.68373687504385	 2.6836960189393944	 2.6840943504658994	 0.0	 0.0	 0.0	 0.0	 0.0	 2.000000002E-6	 -1192.633196599725	 -0.1559242229630432	 0.0	 0.0	 -0.031184844592608642	 4.965597929018715E-4	 0.0	 4251.998393145476	 186.5537758307832	 -0.015248064147293334	 -1190.0848724246339	 0.07804825982686361	 0.0040225691368229784	 0.004018569136818978	 2.000000002E-6	 2.000000002E-6	 0.19706771272900442	 0.026796586375240575	 0.00965669190608022	 6.246389097815796E-10	 7.250784279946804E-7	 8.760210800225624E-14	 2.4788658908245264E-8	 2.151774514714452E-5	 1.175054119841084E-6	 3.644042294699175E-4	 0.7428851026102212	 0.0	 0.023206058858903356	 0.0	 0.0	 0.0	 0.19706771272900442	 0.026796586375240575	 0.00965669190608022	 6.246389097815796E-10	 7.250784279946804E-7	 8.760210800225624E-14	 2.4788658908245264E-8	 2.151774514714452E-5	 1.175054119841084E-6	 3.644042294699175E-4	 0.7428851026102212	 0.0	 0.023206058858903356	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.6	 5.2295784959732244E-5	 0.0016601198990815207	 0.999005229431927	 4.971944970551014E-4	 3.3151899384259155E-4	 391.4900225238323	 391.4900225238323	 391.4856878286143	 391.49002042516116	 1247.903534174398	 1247.903534174398	 2.131927752136423	 2.1319277521364226	 NaN	 2.687695121683466	 2.6876960189393944	 2.687715493368348	 -12597.486398230427	 -1.6469885992875257	 -0.32939771985750516	 0.0	 0.0	 2.000000002E-6	 -1191.2557457792172	 -0.15574413578328852	 0.0	 0.0	 -0.06233367174926635	 4.965597929018715E-4	 -7.7468919176573E-5	 4251.998393145476	 186.89706655429183	 -0.015262272839100824	 -1190.226297288041	 0.07798486567733008	 0.004022569136822979	 0.0040185691368189785	 2.000000002E-6	 2.000000002E-6	 0.19706771272900442	 0.026796586375240575	 0.009656691906080218	 6.246389097815795E-10	 7.250784279946804E-7	 8.760210800225623E-14	 2.478865890824526E-8	 2.1517745147144516E-5	 1.1750541198410837E-6	 3.644042294699174E-4	 0.7428851026102212	 0.0	 0.023206058858903353	 0.0	 0.0	 0.0	 0.19706771272900445	 0.026796586375240575	 0.00965669190608022	 6.246389097815796E-10	 7.250784279946804E-7	 8.760210800225624E-14	 2.4788658908245264E-8	 2.151774514714452E-5	 1.175054119841084E-6	 3.644042294699175E-4	 0.7428851026102212	 0.0	 0.023206058858903356	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.4	 7.844367743959836E-5	 0.0016581790640955757	 0.9990050011317798	 4.971943834324961E-4	 3.315530441734406E-4	 391.56290611281895	 391.56290611281895	 391.5988771002101	 391.56292353028124	 1247.964525920267	 1247.964525920267	 2.1319277521364235	 2.1319277521364235	 NaN	 2.691619241445787	 2.6915960189393946	 2.691362933215433	 -12597.486398230427	 -1.6469885992875257	 -0.6587954397150103	 0.0	 0.0	 2.000000002E-6	 -1191.4296059829328	 -0.15576686617285493	 0.0	 0.0	 -0.09348704498383734	 4.965597929018715E-4	 -1.54937838353146E-4	 4251.998393145476	 187.24201737088973	 -0.015276794647035585	 -1190.386655987453	 0.07792123174336468	 0.00402256913682298	 0.004018569136818979	 2.000000002E-6	 2.000000002E-6	 0.19706771272900445	 0.026796586375240575	 0.00965669190608022	 6.246389097815796E-10	 7.250784279946805E-7	 8.760210800225623E-14	 2.4788658908245267E-8	 2.151774514714452E-5	 1.1750541198410837E-6	 3.644042294699174E-4	 0.7428851026102212	 0.0	 0.02320605885890336	 0.0	 0.0	 0.0	 0.19706771272900445	 0.026796586375240575	 0.009656691906080218	 6.246389097815796E-10	 7.250784279946803E-7	 8.760210800225623E-14	 2.478865890824526E-8	 2.1517745147144516E-5	 1.1750541198410837E-6	 3.644042294699174E-4	 0.7428851026102211	 0.0	 0.023206058858903356	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.2	 1.0459156991946449E-4	 0.0016562309237494537	 0.9990048444457429	 4.971943054514875E-4	 3.3151425506297973E-4	 391.744325188651	 391.744325188651	 391.73453905321963	 391.7443204496421	 1248.1160853824563	 1248.1160853824563	 2.1319277521364235	 2.1319277521364235	 NaN	 2.6955562093130263	 2.6954960189393944	 2.695777499646417	 31.666934228414902	 0.004140117956857926	 -0.6579674161236387	 0.0	 0.0	 2.000000002E-6	 -1191.6853990927723	 -0.1558003084265208	 0.0	 0.0	 -0.1246471066691415	 4.965597929018715E-4	 -1.5474310084037874E-4	 4251.998393145476	 187.60334730098572	 -0.015272640753868536	 -1189.087463199135	 0.07785735828939347	 0.004022569136822981	 0.00401856913681898	 2.000000002E-6	 2.000000002E-6	 0.19706771272900445	 0.026796586375240575	 0.00965669190608022	 6.246389097815796E-10	 7.250784279946805E-7	 8.760210800225623E-14	 2.4788658908245264E-8	 2.1517745147144516E-5	 1.1750541198410833E-6	 3.644042294699173E-4	 0.7428851026102212	 0.0	 0.023206058858903356	 0.0	 0.0	 0.0	 0.19706771272900445	 0.02679658637524058	 0.00965669190608022	 6.246389097815795E-10	 7.250784279946802E-7	 8.760210800225623E-14	 2.4788658908245264E-8	 2.1517745147144516E-5	 1.1750541198410837E-6	 3.644042294699174E-4	 0.7428851026102211	 0.0	 0.023206058858903356	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.0	 1.307394623993306E-4	 0.001654275486208241	 0.9990046200368926	 4.971941937655402E-4	 3.3154202680928357E-4	 391.8276725129202	 391.8276725129202	 391.8507958441083	 391.82768371177235	 1248.185811260555	 1248.185811260555	 2.1319277521364235	 2.131927752136423	 NaN	 2.699499221062348	 2.6994960189393944	 2.699538882027418	 -11578.796236837683	 -1.513805595235551	 -0.960728535170749	 0.0	 0.0	 2.000000002E-6	 -1190.2700718164815	 -0.15561526929929942	 0.0	 0.0	 -0.1557701605290014	 4.965597929018715E-4	 -2.259475301588805E-4	 4251.998393145476	 187.95285058570772	 -0.01528506631945159	 -1189.0749179434379	 0.0777932455831242	 0.004022569136822982	 0.004018569136818981	 2.000000002E-6	 2.000000002E-6	 0.19706771272900445	 0.026796586375240575	 0.009656691906080222	 6.246389097815795E-10	 7.250784279946805E-7	 8.760210800225622E-14	 2.4788658908245264E-8	 2.151774514714452E-5	 1.1750541198410833E-6	 3.644042294699173E-4	 0.7428851026102212	 0.0	 0.023206058858903356	 0.0	 0.0	 0.0	 0.19706771272900445	 0.02679658637524058	 0.00965669190608022	 6.246389097815795E-10	 7.2507842799468E-7	 8.760210800225623E-14	 2.4788658908245267E-8	 2.1517745147144516E-5	 1.1750541198410837E-6	 3.644042294699174E-4	 0.7428851026102211	 0.0	 0.023206058858903356	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.8	 1.5688735487919673E-4	 0.0016523127597378043	 0.9990043946276354	 4.971940815817008E-4	 3.3156959778197847E-4	 391.9118999988428	 391.9118999988428	 391.967709985176	 391.91192703108203	 1248.2562737877395	 1248.2562737877395	 2.1319277521364235	 2.1319277521364235	 NaN	 2.703424896119556	 2.7033960189393946	 2.703327166601935	 -11578.796236837683	 -1.513805595235551	 -1.2634896542178593	 0.0	 0.0	 2.000000002E-6	 -1190.2874366406097	 -0.1556175395670706	 0.0	 0.0	 -0.1868936684424155	 4.965597929018715E-4	 -2.971519594773823E-4	 4251.998393145476	 188.30403312777418	 -0.015297765738123921	 -1189.0784098979036	 0.0777288938955689	 0.004022569136822983	 0.004018569136818982	 2.000000002E-6	 2.000000002E-6	 0.19706771272900445	 0.026796586375240575	 0.00965669190608022	 6.246389097815795E-10	 7.250784279946805E-7	 8.760210800225622E-14	 2.4788658908245264E-8	 2.1517745147144516E-5	 1.1750541198410833E-6	 3.6440422946991716E-4	 0.7428851026102212	 0.0	 0.023206058858903353	 0.0	 0.0	 0.0	 0.19706771272900445	 0.02679658637524058	 0.00965669190608022	 6.246389097815795E-10	 7.250784279946799E-7	 8.760210800225623E-14	 2.478865890824527E-8	 2.1517745147144516E-5	 1.1750541198410837E-6	 3.644042294699174E-4	 0.7428851026102211	 0.0	 0.023206058858903356	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.6	 1.8303524735906285E-4	 0.0016503427527054867	 0.9990041682126458	 4.971939688973188E-4	 3.315969672459928E-4	 391.9970103036142	 391.9970103036142	 392.0852833345109	 391.99705306436573	 1248.3274739105805	 1248.3274739105805	 2.1319277521364235	 2.131927752136423	 NaN	 2.707365274943854	 2.7073960189393946	 2.7071425041927935	 -11578.796236837683	 -1.513805595235551	 -1.5662507732649695	 0.0	 0.0	 2.000000002E-6	 -1190.2926688723712	 -0.15561822362623826	 0.0	 0.0	 -0.21801731316766315	 4.965597929018715E-4	 -3.6835638879588413E-4	 4251.998393145476	 188.65689996784837	 -0.015310376168974557	 -1189.0697015027386	 0.07766430350106668	 0.004022569136822984	 0.004018569136818983	 2.000000002E-6	 2.000000002E-6	 0.19706771272900445	 0.026796586375240575	 0.009656691906080222	 6.246389097815795E-10	 7.250784279946805E-7	 8.76021080022562E-14	 2.4788658908245264E-8	 2.1517745147144516E-5	 1.1750541198410833E-6	 3.6440422946991716E-4	 0.7428851026102212	 0.0	 0.023206058858903353	 0.0	 0.0	 0.0	 0.19706771272900445	 0.02679658637524058	 0.00965669190608022	 6.246389097815795E-10	 7.250784279946798E-7	 8.760210800225623E-14	 2.4788658908245273E-8	 2.1517745147144516E-5	 1.1750541198410837E-6	 3.644042294699174E-4	 0.7428851026102211	 0.0	 0.023206058858903356	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.4	 2.0918313983892898E-4	 0.0016483654735808006	 0.9990039407865458	 4.971938557097177E-4	 3.3162413447223574E-4	 392.0830060594394	 392.0830060594394	 392.2035177292155	 392.0830644434284	 1248.3994151659517	 1248.3994151659517	 2.1319277521364235	 2.1319277521364235	 NaN	 2.711319472970891	 2.7112960189393944	 2.7109850466416154	 -11578.796236837683	 -1.513805595235551	 -1.8690118923120798	 0.0	 0.0	 2.000000002E-6	 -1190.2856683416694	 -0.1556173083806178	 0.0	 0.0	 -0.24914077484378672	 4.965597929018715E-4	 -4.395608181143859E-4	 4251.998393145476	 189.01145618649184	 -0.015322896161911667	 -1189.048692699261	 0.07759947467730648	 0.0040225691368229845	 0.004018569136818984	 2.000000002E-6	 2.000000002E-6	 0.19706771272900445	 0.026796586375240575	 0.00965669190608022	 6.246389097815794E-10	 7.250784279946805E-7	 8.76021080022562E-14	 2.478865890824526E-8	 2.1517745147144516E-5	 1.175054119841083E-6	 3.6440422946991706E-4	 0.7428851026102212	 0.0	 0.023206058858903353	 0.0	 0.0	 0.0	 0.19706771272900445	 0.02679658637524058	 0.00965669190608022	 6.246389097815795E-10	 7.250784279946797E-7	 8.760210800225623E-14	 2.4788658908245277E-8	 2.1517745147144516E-5	 1.1750541198410837E-6	 3.644042294699174E-4	 0.7428851026102211	 0.0	 0.023206058858903356	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.2	 2.353310323187951E-4	 0.0016463809309361192	 0.9990037123439129	 4.971937420161988E-4	 3.316510987290957E-4	 392.16988991355265	 392.16988991355265	 392.3224150153436	 392.16996381510154	 1248.4720984920448	 1248.4720984920448	 2.1319277521364235	 2.1319277521364235	 NaN	 2.715291665729001	 2.7152960189393944	 2.7148549470949304	 -11578.796236837683	 -1.513805595235551	 -2.17177301135919	 0.0	 0.0	 2.000000002E-6	 -1190.2663349465881	 -0.15561478074293852	 0.0	 0.0	 -0.2802637309923744	 4.965597929018715E-4	 -5.107652474328877E-4	 4251.998393145476	 189.3677069098331	 -0.015335324253399004	 -1189.015282956776	 0.07753440770534971	 0.0040225691368229845	 0.004018569136818984	 2.000000002E-6	 2.000000002E-6	 0.19706771272900445	 0.026796586375240575	 0.009656691906080218	 6.246389097815794E-10	 7.250784279946804E-7	 8.76021080022562E-14	 2.4788658908245254E-8	 2.1517745147144516E-5	 1.175054119841083E-6	 3.64404229469917E-4	 0.7428851026102211	 0.0	 0.023206058858903353	 0.0	 0.0	 0.0	 0.19706771272900445	 0.02679658637524058	 0.00965669190608022	 6.246389097815795E-10	 7.250784279946796E-7	 8.760210800225623E-14	 2.478865890824528E-8	 2.1517745147144516E-5	 1.1750541198410837E-6	 3.644042294699174E-4	 0.7428851026102211	 0.0	 0.023206058858903356	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
