Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p_mitWandwärmeverlust [Pa]	p_Reale Ladung [Pa]	p_Verbrennungslage [Pa]	p_HC_CO [Pa]	p_realer Brennverlauf [Pa]
-164.9	 8.387080470791317E-6	 4.853498809231423E-4	 46096.035156386526	 46096.035156386526	 46096.035156386526	 46096.035156386526	 46096.035156386526	 
-164.8	 1.6774160941582634E-5	 4.8528001145786015E-4	 46054.089607788206	 46104.723883076804	 46104.723883076804	 46104.723883076804	 46054.416242056555	 
-164.7	 2.516124141237395E-5	 4.852096520815284E-4	 45961.84893905672	 46113.4768470635	 46113.4768470635	 46113.4768470635	 45962.48997521662	 
-164.6	 3.354832188316527E-5	 4.851388027670699E-4	 45869.601247478815	 46122.29411406181	 46122.29411406181	 46122.29411406181	 45870.54184601262	 
-164.5	 4.193540235395659E-5	 4.85067463487401E-4	 45809.2378104679	 46131.175750278955	 46131.175750278955	 46131.175750278955	 45810.46454606249	 
-164.4	 5.03224828247479E-5	 4.8499563421543397E-4	 45780.802293849236	 46140.121822415065	 46140.121822415065	 46140.121822415065	 45782.30814629547	 
-164.3	 5.870956329553922E-5	 4.849233149240796E-4	 45752.41682743233	 46149.1323976641	 46149.1323976641	 46149.1323976641	 45754.196577292205	 
-164.2	 6.709664376633054E-5	 4.848505055862489E-4	 45724.08133799156	 46158.207543714736	 46158.207543714736	 46158.207543714736	 45726.12976532934	 
-164.1	 7.548372423712185E-5	 4.8477720617485663E-4	 45695.79575258856	 46167.3473287513	 46167.3473287513	 46167.3473287513	 45698.107636932444	 
-164.0	 8.387080470791317E-5	 4.8470341666282117E-4	 45694.84449801772	 46176.55182145467	 46176.55182145467	 46176.55182145467	 45697.41564341608	 
-163.9	 9.225788517870449E-5	 4.846291370230693E-4	 45721.39441243483	 46185.82109100321	 46185.82109100321	 46185.82109100321	 45724.2261258341	 
-163.8	 1.006449656494958E-4	 4.8455436722853675E-4	 45748.00991214817	 46195.155207073716	 46195.155207073716	 46195.155207073716	 45751.105237076285	 
-163.7	 1.0903204612028712E-4	 4.844791072521713E-4	 45774.69112599723	 46204.55423984234	 46204.55423984234	 46204.55423984234	 45778.053110143745	 
-163.6	 1.1741912659107844E-4	 4.844033570669352E-4	 45801.43818336282	 46214.01825998556	 46214.01825998556	 46214.01825998556	 45805.069878605726	 
-163.5	 1.2580620706186975E-4	 4.8432711664580673E-4	 45828.251214168704	 46223.54733868111	 46223.54733868111	 46223.54733868111	 45832.155676601295	 
-163.4	 1.3419328753266107E-4	 4.8425038596178313E-4	 45855.130348883205	 46233.14154760897	 46233.14154760897	 46233.14154760897	 45859.31063884103	 
-163.3	 1.425803680034524E-4	 4.8417316498788334E-4	 45882.07571852086	 46242.800958952306	 46242.800958952306	 46242.800958952306	 45886.534900608756	 
-163.2	 1.509674484742437E-4	 4.8409545369714906E-4	 45939.52672867604	 46252.525645398484	 46252.525645398484	 46252.525645398484	 45944.26869727063	 
-163.1	 1.5935452894503502E-4	 4.84017252062649E-4	 46027.47254440539	 46262.315680140026	 46262.315680140026	 46262.315680140026	 46032.50727192155	 
-163.0	 1.6774160941582635E-4	 4.8393856005747907E-4	 46072.560546382985	 46272.171136875615	 46272.171136875615	 46272.171136875615	 46077.899203192675	 
-162.9	 1.7612868988661765E-4	 4.8385937765476716E-4	 46074.863863359715	 46282.09208981109	 46282.09208981109	 46282.09208981109	 46080.509071837136	 
-162.8	 1.8451577035740897E-4	 4.8377970482767316E-4	 46119.43895270983	 46292.07861366046	 46292.07861366046	 46292.07861366046	 46125.39093995554	 
-162.7	 1.929028508282003E-4	 4.836995415493935E-4	 46206.344184235495	 46302.13078364689	 46302.13078364689	 46302.13078364689	 46212.61161900899	 
-162.6	 2.012899312989916E-4	 4.836188877931626E-4	 46258.36144395195	 46312.24867550377	 46312.24867550377	 46312.24867550377	 46264.95572538788	 
-162.5	 2.0967701176978292E-4	 4.835377435322553E-4	 46275.50006023679	 46322.4323654757	 46322.4323654757	 46322.4323654757	 46282.42562514876	 
-162.4	 2.1806409224057425E-4	 4.834561087399898E-4	 46292.705342338704	 46332.68193031955	 46332.68193031955	 46332.68193031955	 46299.96374989294	 
-162.3	 2.2645117271136557E-4	 4.833739833897295E-4	 46309.97738982187	 46342.99744730549	 46342.99744730549	 46342.99744730549	 46317.570203415125	 
-162.2	 2.3483825318215687E-4	 4.832913674548861E-4	 46355.85482809283	 46353.37899421804	 46353.37899421804	 46353.37899421804	 46363.783940059046	 
-162.1	 2.432253336529482E-4	 4.8320826090892207E-4	 46430.333395841386	 46363.826649357135	 46363.826649357135	 46363.826649357135	 46438.606390933564	 
-162.0	 2.516124141237395E-4	 4.8312466372535314E-4	 46474.92954828047	 46374.3404915392	 46374.3404915392	 46374.3404915392	 46483.55631939271	 
-161.9	 2.599994945945308E-4	 4.830405758777506E-4	 46489.64736695835	 46384.9206000982	 46384.9206000982	 46384.9206000982	 46498.63184560763	 
-161.8	 2.6838657506532215E-4	 4.8295599733974424E-4	 46538.17524783526	 46395.56705488673	 46395.56705488673	 46395.56705488673	 46547.51874884298	 
-161.7	 2.7677365553611347E-4	 4.828709280850248E-4	 46620.507489229625	 46406.27993627709	 46406.27993627709	 46406.27993627709	 46630.21805386631	 
-161.6	 2.851607360069048E-4	 4.827853680873464E-4	 46657.326655058016	 46417.059325162416	 46417.059325162416	 46417.059325162416	 46667.415541992836	 
-161.5	 2.935478164776961E-4	 4.826993173205296E-4	 46678.820779965325	 46427.90530295775	 46427.90530295775	 46427.90530295775	 46689.29013173875	 
-161.4	 3.019348969484874E-4	 4.826127757584637E-4	 46730.56949256481	 46438.81795160115	 46438.81795160115	 46438.81795160115	 46741.42291322091	 
-161.3	 3.103219774192787E-4	 4.8252574337510944E-4	 46782.386778247106	 46449.79735355484	 46449.79735355484	 46449.79735355484	 46793.63095640362	 
-161.2	 3.1870905789007004E-4	 4.824382201445016E-4	 46804.853520014825	 46460.843591806275	 46460.843591806275	 46460.843591806275	 46816.49536004586	 
-161.1	 3.2709613836086137E-4	 4.8235020604075226E-4	 46798.122798792734	 46471.95674986934	 46471.95674986934	 46471.95674986934	 46810.16339389921	 
-161.0	 3.354832188316527E-4	 4.8226170103805237E-4	 46837.624018129216	 46483.13691178546	 46483.13691178546	 46483.13691178546	 46850.06070816129	 
-160.9	 3.43870299302444E-4	 4.821727051106755E-4	 46923.516116998486	 46494.384162124734	 46494.384162124734	 46494.384162124734	 46936.35550429973	 
-160.8	 3.522573797732353E-4	 4.820832182329806E-4	 46952.954436370565	 46505.69858598711	 46505.69858598711	 46505.69858598711	 46966.209153161224	 
-160.7	 3.606444602440266E-4	 4.8199324037941343E-4	 46926.27524375311	 46517.08026900356	 46517.08026900356	 46517.08026900356	 46939.94677742035	 
-160.6	 3.6903154071481794E-4	 4.8190277152451076E-4	 46925.036375307245	 46528.52929733722	 46528.52929733722	 46528.52929733722	 46939.119009269496	 
-160.5	 3.7741862118560927E-4	 4.8181181164290275E-4	 46949.37097784882	 46540.04575768459	 46540.04575768459	 46540.04575768459	 46963.86412131893	 
-160.4	 3.858057016564006E-4	 4.817203607093155E-4	 46932.79626441641	 46551.62973727671	 46551.62973727671	 46551.62973727671	 46947.70352842486	 
