Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p_mitWandwärmeverlust	p_Reale Ladung	p_Verbrennungslage	p_HC_CO	p_adiabat	Kurbelwinkel-LW [°KW]	Brennraumvolumen-LW [m3]	LWAideal	LWA
-164.9	 8.387080470791317E-6	 4.853498809231423E-4	 46107.46369280974	 46107.46369280974	 46107.46369280974	 46107.46369280974	 46107.46369280974	 142.10000000000002	 4.5378189185927003E-4	 161901.70680646997	 161888.53205646997	 
-164.8	 1.6774160941582634E-5	 4.8528001145786015E-4	 46065.48219186073	 46116.15683940748	 46116.15683940748	 46116.15683940748	 46065.79448596211	 142.2	 4.5397013185247956E-4	 161901.70680646997	 161888.53205646997	 
-164.7	 2.516124141237395E-5	 4.852096520815284E-4	 45973.148215991256	 46124.91425479205	 46124.91425479205	 46124.91425479205	 45973.76056889328	 142.3	 4.541578890772625E-4	 161812.1470034578	 161799.02675507552	 
-164.6	 3.354832188316527E-5	 4.851388027670699E-4	 45880.803674101204	 46133.73600468577	 46133.73600468577	 46133.73600468577	 45881.70124003284	 142.39999999999998	 4.54345163456516E-4	 161722.4127974159	 161709.35293478981	 
-164.5	 4.193540235395659E-5	 4.85067463487401E-4	 45820.37800735759	 46142.62215530302	 46142.62215530302	 46142.62215530302	 45821.5473502542	 142.5	 4.5453195491399433E-4	 161632.5047524355	 161619.51123253533	 
-164.4	 5.03224828247479E-5	 4.8499563421543397E-4	 45791.91722890463	 46151.5727733511	 46151.5727733511	 46151.5727733511	 45793.35131920942	 142.60000000000002	 4.5471826337430403E-4	 161542.42343238622	 161529.50228847226	 
-164.3	 5.870956329553922E-5	 4.849233149240796E-4	 45763.506078638915	 46160.587926031156	 46160.587926031156	 46160.587926031156	 45765.19969123457	 142.7	 4.5490408876289765E-4	 161452.16940092566	 161439.3267470662	 
-164.2	 6.709664376633054E-5	 4.848505055862489E-4	 45735.144483335345	 46169.66768103908	 46169.66768103908	 46169.66768103908	 45737.09239228716	 142.8	 4.5508943100607013E-4	 161361.74322150843	 161348.9852485605	 
-164.1	 7.548372423712185E-5	 4.8477720617485663E-4	 45706.83237006181	 46178.81210656641	 46178.81210656641	 46178.81210656641	 45709.029348578864	 142.90000000000003	 4.55274290030952E-4	 161271.14545739544	 161258.47843775174	 
-164.0	 8.387080470791317E-5	 4.8470341666282117E-4	 45705.8881372662	 46188.021271301266	 46188.021271301266	 46188.021271301266	 45708.32997884169	 143.0	 4.554586657655053E-4	 161180.37667166308	 161167.80696921615	 
-163.9	 9.225788517870449E-5	 4.846291370230693E-4	 45732.478622984956	 46197.29524442927	 46197.29524442927	 46197.29524442927	 45735.16662693607	 143.09999999999997	 4.5564255813851807E-4	 161089.4374272125	 161076.97148788095	 
-163.8	 1.006449656494958E-4	 4.8455436722853675E-4	 45759.13459725397	 46206.63409563449	 46206.63409563449	 46206.63409563449	 45762.07180563295	 143.2	 4.558259670795995E-4	 160998.25731026806	 160985.90252678268	 
-163.7	 1.0903204612028712E-4	 4.844791072521713E-4	 45785.856188848884	 46216.03789510036	 46216.03789510036	 46216.03789510036	 45789.045647734405	 143.3	 4.560088925191741E-4	 160906.76616418408	 160894.53090050493	 
-163.6	 1.1741912659107844E-4	 4.844033570669352E-4	 45812.643527086446	 46225.50671351065	 46225.50671351065	 46225.50671351065	 45816.088286610226	 143.39999999999998	 4.5619133438847703E-4	 160814.96493805153	 160802.8576674986	 
-163.5	 1.2580620706186975E-4	 4.8432711664580673E-4	 45839.496741826144	 46235.040622050416	 46235.040622050416	 46235.040622050416	 45843.19985619962	 143.5	 4.5637329261954973E-4	 160722.85458179683	 160710.883875871	 
-163.4	 1.3419328753266107E-4	 4.8425038596178313E-4	 45866.4159634718	 46244.639692406956	 46244.639692406956	 46244.639692406956	 45870.38049101291	 143.60000000000002	 4.565547671452333E-4	 160630.43604619178	 160618.61057067753	 
-163.3	 1.425803680034524E-4	 4.8417316498788334E-4	 45893.40132297324	 46254.30399677079	 46254.30399677079	 46254.30399677079	 45897.630326133236	 143.70000000000005	 4.567357578991642E-4	 160537.7102828638	 160526.0387985314	 
-163.2	 1.509674484742437E-4	 4.8409545369714906E-4	 45950.92709562721	 46264.03360783661	 46264.03360783661	 46264.03360783661	 45955.42445639167	 143.8	 4.569162648157694E-4	 160444.67824430572	 160433.16960896278	 
-163.1	 1.5935452894503502E-4	 4.84017252062649E-4	 46038.9808208391	 46273.82859880431	 46273.82859880431	 46273.82859880431	 46043.756500747644	 143.89999999999998	 4.570962878302612E-4	 160351.34088388618	 160340.00404296262	 
-163.0	 1.6774160941582635E-4	 4.8393856005747907E-4	 46084.12761657268	 46283.68904337995	 46283.68904337995	 46283.68904337995	 46089.19280194627	 144.0	 4.572758268786319E-4	 160257.69915585945	 160246.54313207063	 
-162.9	 1.7612868988661765E-4	 4.8385937765476716E-4	 46086.44222345864	 46293.61501577673	 46293.61501577673	 46293.61501577673	 46091.79955029475	 144.10000000000002	 4.5745488189764886E-4	 160163.75401537583	 160152.7879162674	 
-162.8	 1.8451577035740897E-4	 4.8377970482767316E-4	 46131.07504814874	 46303.60659071606	 46303.60659071606	 46303.60659071606	 46136.724721051505	 144.2	 4.576334528248495E-4	 160069.50641849972	 160058.7394170506	 
-162.7	 1.929028508282003E-4	 4.836995415493935E-4	 46218.08269868581	 46313.6638434285	 46313.6638434285	 46313.6638434285	 46224.03336412285	 144.3	 4.5781153959853656E-4	 159974.95732221182	 159964.39865507104	 
-162.6	 2.012899312989916E-4	 4.836188877931626E-4	 46270.16394467383	 46323.78684965483	 46323.78684965483	 46323.78684965483	 46276.427016724454	 144.40000000000003	 4.579891421577723E-4	 159880.10768441146	 159869.7666625536	 
-162.5	 2.0967701176978292E-4	 4.835377435322553E-4	 46287.3297557426	 46333.975685647085	 46333.975685647085	 46333.975685647085	 46293.90968597923	 144.5	 4.581662604423745E-4	 159784.95846393486	 159774.84446083862	 
-162.4	 2.1806409224057425E-4	 4.834561087399898E-4	 46304.5622400376	 46344.23042816953	 46344.23042816953	 46344.23042816953	 46311.460583599124	 144.59999999999997	 4.5834289439291063E-4	 159689.51062056544	 159679.63308199483	 
-162.3	 2.2645117271136557E-4	 4.833739833897295E-4	 46321.86149710885	 46354.551154499764	 46354.551154499764	 46354.551154499764	 46329.07981328903	 144.7	 4.5851904395069357E-4	 159593.7651150441	 159584.1335772689	 
-162.2	 2.3483825318215687E-4	 4.832913674548861E-4	 46367.79540706663	 46364.93794242973	 46364.93794242973	 46364.93794242973	 46375.33556449039	 144.8	 4.5869470905777603E-4	 159497.72290907972	 159488.3469939319	 
-162.1	 2.432253336529482E-4	 4.8320826090892207E-4	 46442.35856627836	 46375.390870266805	 46375.390870266805	 46375.390870266805	 46450.22812474361	 144.90000000000003	 4.588698896569461E-4	 159401.38496535947	 159392.27439516547	 
-162.0	 2.516124141237395E-4	 4.8312466372535314E-4	 46487.00849007095	 46385.91001683484	 46385.91001683484	 46385.91001683484	 46495.21735940713	 145.0	 4.590445856917216E-4	 159304.7522475592	 159295.91684475268	 
-161.9	 2.599994945945308E-4	 4.830405758777506E-4	 46501.75041231929	 46396.49546147523	 46396.49546147523	 46396.49546147523	 46510.302542385194	 145.10000000000002	 4.5921879710634616E-4	 159207.82572035398	 159199.27540936074	 
-161.8	 2.6838657506532215E-4	 4.8295599733974424E-4	 46550.33526036736	 46407.147284048006	 46407.147284048006	 46407.147284048006	 46559.23193209967	 145.2	 4.593925238457834E-4	 159110.5617722896	 159102.3072237567	 
