Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	T_Zone_1 [K]	T_mittel [K]	T_BurnAdiabat [K]	p_soll [bar]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	Hu Zone [J/kg]	Hu frischGemsich [J/kg]	Phi_Delay [°KW]	Alpha [W/(m^2K)]	pSchlepp [bar]	Brennraumfläche [m^2]	Zonenmasse [kg]	ZonenKontrollmasse [kg]	 cv[J/kg]	 cp [J/kg]	 kappa [-]	 U [J]	H_Massenbruch [kg]	O_Massenbruch [kg]	N_Massenbruch [kg]	H2_Massenbruch [kg]	OH_Massenbruch [kg]	CO_Massenbruch [kg]	NO_Massenbruch [kg]	O2_Massenbruch [kg]	H2O_Massenbruch [kg]	CO2_Massenbruch [kg]	N2_Massenbruch [kg]	RON_95_Massenbruch [kg]	AGR_intern_LWA_Massenbruch [kg]	AGR_extern_LWA_Massenbruch [kg]	feuchteLuft_LWA_Massenbruch [kg]
-134.0	 0.0	 4.38910830643793E-4	 393.5557276250959	 393.555727625096	 1092.0776533788548	 1.186555350212459	 1.186555350212459	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 368.9977698495669	 2.5584982517634285	 788820.6674674088	 0.0	 102.24366569155747	 3.5859115019538836	 0.03221338376960818	 4.5918613826281595E-4	 4.5918613826281595E-4	 732.603624146867	 1020.7872445684617	 1.39336908926323	 -22.384344331575168	 5.7389395407672496E-11	 1.1860967598401107E-7	 1.0995154647307695E-14	 1.6583957872721718E-9	 2.556338996851279E-6	 7.750197831057965E-8	 6.426740868098693E-5	 0.22968050566922626	 8.570537856799053E-4	 0.002342594322151127	 0.7670527883578351	 3.6289979311286474E-8	 0.0	 0.0	 0.0	 
-133.0	 8.331927728793558E-5	 4.366648777583654E-4	 394.54485284052095	 394.54485284052095	 1092.9324968912413	 1.1956605721804225	 1.195655821210404	 680.3849074790292	 0.05668917876877162	 0.05668917876877162	 0.0	 0.0	 0.0	 -101.25852111766505	 -0.008436786798769014	 -0.008436786798769014	 0.0	 1.5363013926041527E-4	 368.9977698495669	 2.5584982517634294	 788820.6674674088	 0.0	 102.79892673492071	 3.5889471150890944	 0.03210514507633456	 4.5918613826281595E-4	 4.5918613826281595E-4	 732.7285337500051	 1020.9121541715998	 1.393302030899097	 -22.051572853224613	 5.7389395407672496E-11	 1.1860967598401107E-7	 1.0995154647307695E-14	 1.6583957872721718E-9	 2.55633899685128E-6	 7.750197831057968E-8	 6.426740868098693E-5	 0.22968050566922626	 8.570537856799054E-4	 0.002342594322151127	 0.7670527883578351	 3.628997931128648E-8	 0.0	 0.0	 0.0	 
-132.0	 1.6663855457587116E-4	 4.343709807693126E-4	 395.55629919930203	 395.55629919930203	 1093.8066861386994	 1.2048524751552505	 1.205051378612292	 680.3849074790292	 0.05668917876877162	 0.11337835753754325	 0.0	 0.0	 0.0	 -98.05321000441712	 -0.008169722593330209	 -0.016606509392099223	 0.0	 3.0726027852083054E-4	 368.9977698495669	 2.5584982517634294	 788820.6674674088	 0.0	 103.37143943163917	 3.5920663623857187	 0.031994595823850086	 4.5918613826281595E-4	 4.591861382628159E-4	 732.8569208575939	 1021.0405412791886	 1.3932331294413653	 -21.711233051000498	 5.7389395407672496E-11	 1.1860967598401107E-7	 1.0995154647307695E-14	 1.6583957872721718E-9	 2.5563389968512804E-6	 7.750197831057969E-8	 6.426740868098693E-5	 0.22968050566922626	 8.570537856799057E-4	 0.002342594322151127	 0.7670527883578351	 3.628997931128649E-8	 0.0	 0.0	 0.0	 
-131.0	 2.4995783186380677E-4	 4.3202930768827905E-4	 395.8151968732894	 395.8151968732894	 1094.031078566626	 1.2123867126838548	 1.212375963802743	 -2449.0449923356805	 -0.20405265880704662	 -0.09067430126950338	 0.0	 0.0	 0.0	 -97.31813287503908	 -0.008108476498159541	 -0.024714985890258764	 0.0	 -2.457312988814797E-4	 368.9977698495669	 2.55849825176343	 788820.6674674088	 0.0	 103.88029126058365	 3.595270431767781	 0.03188174410910148	 4.5918613826281595E-4	 4.5918613826281595E-4	 732.8898907205323	 1021.073511142127	 1.3932154394137846	 -21.62410743168353	 5.7389395407672496E-11	 1.1860967598401107E-7	 1.0995154647307695E-14	 1.6583957872721718E-9	 2.556338996851281E-6	 7.75019783105797E-8	 6.426740868098693E-5	 0.22968050566922626	 8.570537856799057E-4	 0.002342594322151127	 0.7670527883578351	 3.6289979311286493E-8	 0.0	 0.0	 0.0	 
-130.0	 3.332771091517423E-4	 4.296400409409662E-4	 397.1057346580673	 397.1057346580674	 1095.146399776304	 1.2231023900293927	 1.2230929752620332	 1625.9580744985296	 0.1354736516677008	 0.044799350398197435	 0.0	 0.0	 0.0	 -93.17552277079085	 -0.007763317218187878	 -0.03247830310844664	 0.0	 1.2140818741658315E-4	 368.9977698495669	 2.5584982517634307	 788820.6674674088	 0.0	 104.51290319311879	 3.5985605425266067	 0.03176659872368881	 4.5918613826281595E-4	 4.591861382628159E-4	 733.0548857315143	 1021.238506153109	 1.3931269350098072	 -21.18975020147053	 5.7389395407672496E-11	 1.1860967598401107E-7	 1.0995154647307695E-14	 1.6583957872721718E-9	 2.5563389968512812E-6	 7.750197831057972E-8	 6.426740868098693E-5	 0.22968050566922626	 8.570537856799057E-4	 0.002342594322151127	 0.7670527883578351	 3.628997931128651E-8	 0.0	 0.0	 0.0	 
-129.0	 4.1659638643967787E-4	 4.272033779756248E-4	 397.7195425902312	 397.71954259023124	 1095.6773640911015	 1.231984225727333	 1.2319705195886517	 -1202.1862295758558	 -0.1001652878137685	 -0.05536593741557108	 0.0	 0.0	 0.0	 -91.26023090949276	 -0.007603736484509057	 -0.0400820395929557	 0.0	 -1.5004409765983866E-4	 368.9977698495669	 2.5584982517634316	 788820.6674674088	 0.0	 105.09026377369035	 3.601937945732547	 0.031649169183190426	 4.5918613826281595E-4	 4.5918613826281595E-4	 733.1337396518842	 1021.3173600734788	 1.3930846513194628	 -20.983126040062334	 5.7389395407672496E-11	 1.1860967598401107E-7	 1.0995154647307695E-14	 1.6583957872721718E-9	 2.5563389968512817E-6	 7.750197831057973E-8	 6.426740868098693E-5	 0.22968050566922626	 8.570537856799057E-4	 0.002342594322151127	 0.7670527883578351	 3.628997931128651E-8	 0.0	 0.0	 0.0	 
-128.0	 4.999156637276135E-4	 4.247195318738854E-4	 398.3566671687836	 398.3566671687836	 1096.2285068180481	 1.2416448870545642	 1.241160423392168	 -1202.1862295758558	 -0.1001652878137685	 -0.1555312252293396	 0.0	 0.0	 0.0	 -89.26330562628283	 -0.007437354113113999	 -0.047519393706069696	 0.0	 -4.2149638273626043E-4	 368.9977698495669	 2.5584982517634316	 788820.6674674088	 0.0	 105.6862401487257	 3.6054039246586007	 0.03152946575660058	 4.5918613826281595E-4	 4.591861382628159E-4	 733.2158467359066	 1021.3994671575011	 1.3930406328566356	 -20.768629327235118	 5.7389395407672496E-11	 1.1860967598401107E-7	 1.0995154647307695E-14	 1.6583957872721718E-9	 2.556338996851282E-6	 7.750197831057975E-8	 6.426740868098693E-5	 0.22968050566922626	 8.570537856799057E-4	 0.002342594322151127	 0.7670527883578351	 3.628997931128651E-8	 0.0	 0.0	 0.0	 
-127.0	 5.832349410155491E-4	 4.22188731962874E-4	 399.623139367455	 399.623139367455	 1097.3232780363548	 1.252585321837173	 1.252570131940027	 1243.7197824309428	 0.10362583342085463	 -0.05190539180848497	 0.0	 0.0	 0.0	 -85.1619168824967	 -0.007095629367104865	 -0.05461502307317456	 0.0	 -1.406658686030698E-4	 368.9977698495669	 2.5584982517634316	 788820.6674674088	 0.0	 106.36581569887701	 3.6089597952163466	 0.031407499495828946	 4.5918613826281595E-4	 4.5918613826281595E-4	 733.3798369742133	 1021.5634573958079	 1.392952745483958	 -20.342182600030775	 5.7389395407672496E-11	 1.1860967598401107E-7	 1.0995154647307695E-14	 1.6583957872721718E-9	 2.5563389968512825E-6	 7.750197831057975E-8	 6.426740868098693E-5	 0.22968050566922626	 8.570537856799057E-4	 0.002342594322151127	 0.7670527883578351	 3.628997931128651E-8	 0.0	 0.0	 0.0	 
-126.0	 6.665542183034846E-4	 4.196112244275107E-4	 400.464152493619	 400.46415249361894	 1098.0506436894666	 1.2629355126838546	 1.2629164256743097	 -575.2092702742605	 -0.047926020688572185	 -0.09983141249705715	 0.0	 0.0	 0.0	 -82.46697828971031	 -0.006871089031218537	 -0.0614861121043931	 0.0	 -2.7054746845152057E-4	 368.9977698495669	 2.5584982517634316	 788820.6674674088	 0.0	 107.0174227777705	 3.6126069064045883	 0.03128328226520903	 4.5918613826281595E-4	 4.5918613826281595E-4	 733.4893073707401	 1021.6729277923348	 1.392894098830991	 -20.05894370037816	 5.7389395407672496E-11	 1.1860967598401107E-7	 1.0995154647307695E-14	 1.6583957872721718E-9	 2.5563389968512833E-6	 7.750197831057975E-8	 6.426740868098693E-5	 0.22968050566922626	 8.570537856799057E-4	 0.002342594322151127	 0.7670527883578351	 3.628997931128651E-8	 0.0	 0.0	 0.0	 
-125.0	 7.498734955914202E-4	 4.1698727292184735E-4	 401.9736656292016	 401.9736656292016	 1099.3555600197183	 1.2756736119973564	 1.2756539104440794	 2025.5608275362717	 0.16876826425307487	 0.06893685175601774	 0.0	 0.0	 0.0	 -77.51517420575759	 -0.006458508293672148	 -0.06794462039806524	 0.0	 1.868218655742064E-4	 368.9977698495669	 2.5584982517634316	 788820.6674674088	 0.0	 107.75835817010406	 3.6163466407711753	 0.031156826770960194	 4.5918613826281595E-4	 4.5918613826281595E-4	 733.6869333434632	 1021.8705537650579	 1.392788268844208	 -19.550459007811288	 5.7389395407672496E-11	 1.1860967598401107E-7	 1.0995154647307695E-14	 1.6583957872721718E-9	 2.5563389968512838E-6	 7.750197831057975E-8	 6.426740868098693E-5	 0.22968050566922626	 8.570537856799057E-4	 0.002342594322151127	 0.7670527883578351	 3.628997931128651E-8	 0.0	 0.0	 0.0	 
