Kurbelwinkel	Volumen	Pm_Zyl-korrigiert	Pm_Saug	Pm_Saug_alt	P_Abg	Pm_Zyl	
[KWnZOT]	[m^3]	[bar]	[bar]	[bar]	[bar]	[bar]	
-360.000000	0.000040	0.936928	1.003548	0.981159	1.037572	-0.019563	
-359.900000	0.000040	0.936414	1.003130	0.981136	1.037359	-0.020077	
-359.800000	0.000040	0.935482	1.003182	0.981102	1.037276	-0.021009	
-359.700000	0.000040	0.934872	1.002809	0.981042	1.036935	-0.021619	
-359.600000	0.000040	0.934968	1.002747	0.980975	1.036833	-0.021523	
-359.500000	0.000040	0.932559	1.002292	0.980877	1.036602	-0.023932	
-359.400000	0.000040	0.932173	1.002416	0.980776	1.036406	-0.024318	
-359.300000	0.000040	0.932173	1.002164	0.980739	1.036058	-0.024318	
-359.200000	0.000040	0.932591	1.001780	0.980735	1.035742	-0.023900	
-359.100000	0.000040	0.931852	1.001662	0.980645	1.035626	-0.024639	
-359.000000	0.000041	0.931017	1.001489	0.980566	1.035421	-0.025474	
-358.900000	0.000041	0.928929	1.001256	0.980491	1.035255	-0.027562	
-358.800000	0.000041	0.929186	1.001067	0.980340	1.035016	-0.027305	
-358.700000	0.000041	0.926744	1.000716	0.980203	1.034639	-0.029747	
-358.600000	0.000041	0.927162	1.000609	0.980130	1.034469	-0.029329	
-358.500000	0.000041	0.927387	1.000376	0.980001	1.034051	-0.029104	
-358.400000	0.000041	0.925106	1.000006	0.979819	1.033864	-0.031385	
-358.300000	0.000041	0.924432	0.999666	0.979713	1.033441	-0.032060	
-358.200000	0.000041	0.922536	0.999704	0.979657	1.033298	-0.033955	
-358.100000	0.000041	0.923082	0.999149	0.979580	1.033121	-0.033409	
-358.000000	0.000041	0.920866	0.999011	0.979442	1.032778	-0.035625	
-357.900000	0.000041	0.921508	0.998452	0.979269	1.032525	-0.034983	
-357.800000	0.000041	0.920834	0.998477	0.979172	1.032185	-0.035657	
-357.700000	0.000041	0.918874	0.997732	0.979149	1.031996	-0.037617	
-357.600000	0.000041	0.918489	0.997507	0.979062	1.031759	-0.038002	
-357.500000	0.000041	0.918071	0.997090	0.978904	1.031447	-0.038420	
-357.400000	0.000041	0.918746	0.996802	0.978836	1.031017	-0.037745	
-357.300000	0.000041	0.916497	0.996139	0.978727	1.030789	-0.039994	
-357.200000	0.000041	0.916079	0.995777	0.978599	1.030819	-0.040412	
-357.100000	0.000041	0.915051	0.995238	0.978475	1.030584	-0.041440	
-357.000000	0.000041	0.914409	0.994706	0.978383	1.030445	-0.042082	
-356.900000	0.000041	0.912610	0.994137	0.978290	1.030173	-0.043881	
-356.800000	0.000041	0.915469	0.993845	0.978221	1.030149	-0.041022	
-356.700000	0.000041	0.913220	0.993262	0.978089	1.030040	-0.043271	
-356.600000	0.000041	0.912385	0.992913	0.978058	1.030052	-0.044106	
-356.500000	0.000041	0.910490	0.992072	0.978002	1.029943	-0.046001	
-356.400000	0.000041	0.909880	0.991723	0.977867	1.029685	-0.046612	
-356.300000	0.000041	0.911164	0.991270	0.977799	1.029466	-0.045327	
-356.200000	0.000041	0.908466	0.990707	0.977709	1.029375	-0.048025	
-356.100000	0.000041	0.909109	0.990202	0.977630	1.029384	-0.047383	
-356.000000	0.000041	0.908338	0.989550	0.977574	1.029479	-0.048154	
-355.900000	0.000041	0.906731	0.989086	0.977517	1.029310	-0.049760	
-355.800000	0.000041	0.906828	0.988514	0.977334	1.029267	-0.049663	
-355.700000	0.000041	0.905318	0.988077	0.977166	1.029331	-0.051173	
-355.600000	0.000041	0.905286	0.987380	0.977156	1.029275	-0.051205	
-355.500000	0.000041	0.903937	0.986897	0.977043	1.029076	-0.052554	
-355.400000	0.000041	0.903101	0.986481	0.976841	1.028996	-0.053390	
-355.300000	0.000041	0.902459	0.985780	0.976651	1.028771	-0.054032	
-355.200000	0.000041	0.901784	0.985295	0.976480	1.028777	-0.054707	
-355.100000	0.000042	0.900724	0.984658	0.976292	1.028568	-0.055767	
-355.000000	0.000042	0.901078	0.984110	0.976138	1.028330	-0.055413	
-354.900000	0.000042	0.898797	0.983792	0.975970	1.028149	-0.057694	
-354.800000	0.000042	0.898186	0.983011	0.975859	1.027953	-0.058305	
-354.700000	0.000042	0.897480	0.982589	0.975653	1.027718	-0.059011	
-354.600000	0.000042	0.895360	0.982049	0.975459	1.027538	-0.061132	
-354.500000	0.000042	0.894781	0.981493	0.975333	1.027526	-0.061710	
-354.400000	0.000042	0.895584	0.980841	0.975201	1.027368	-0.060907	
-354.300000	0.000042	0.893882	0.980517	0.975039	1.027179	-0.062609	
-354.200000	0.000042	0.893079	0.979892	0.974792	1.026786	-0.063412	
-354.100000	0.000042	0.890509	0.979577	0.974577	1.026540	-0.065982	
-354.000000	0.000042	0.891312	0.978818	0.974394	1.026440	-0.065179	
-353.900000	0.000042	0.890445	0.978448	0.974155	1.026162	-0.066046	
-353.800000	0.000042	0.890220	0.977835	0.973950	1.025866	-0.066271	
-353.700000	0.000042	0.889995	0.977332	0.973700	1.025368	-0.066496	
-353.600000	0.000042	0.887586	0.976776	0.973417	1.025019	-0.068905	
-353.500000	0.000042	0.887939	0.976249	0.973210	1.024702	-0.068552	
-353.400000	0.000042	0.886076	0.975729	0.972989	1.024373	-0.070415	
-353.300000	0.000042	0.886076	0.975252	0.972764	1.023903	-0.070415	
-353.200000	0.000042	0.886493	0.974685	0.972669	1.023594	-0.069998	
-353.100000	0.000043	0.885080	0.974248	0.972552	1.023393	-0.071411	
-353.000000	0.000043	0.883538	0.973745	0.972334	1.022993	-0.072953	
-352.900000	0.000043	0.882767	0.973116	0.972087	1.022598	-0.073724	
-352.800000	0.000043	0.881611	0.972402	0.971835	1.022096	-0.074880	
-352.700000	0.000043	0.881354	0.972134	0.971706	1.021919	-0.075137	
-352.600000	0.000043	0.880326	0.971709	0.971539	1.021570	-0.076165	
-352.500000	0.000043	0.880743	0.971138	0.971198	1.021265	-0.075748	
-352.400000	0.000043	0.878912	0.970284	0.970857	1.020902	-0.077579	
-352.300000	0.000043	0.878944	0.970017	0.970528	1.020521	-0.077547	
-352.200000	0.000043	0.877402	0.969396	0.970197	1.020065	-0.079089	
-352.100000	0.000043	0.876985	0.968907	0.969966	1.019793	-0.079506	
-352.000000	0.000043	0.875925	0.968373	0.969687	1.019613	-0.080566	
-351.900000	0.000043	0.875796	0.967683	0.969335	1.019324	-0.080695	
-351.800000	0.000043	0.875218	0.967224	0.968966	1.018925	-0.081273	
-351.700000	0.000043	0.874511	0.966699	0.968649	1.018493	-0.081980	
-351.600000	0.000044	0.873291	0.965926	0.968348	1.018169	-0.083201	
-351.500000	0.000044	0.872006	0.965533	0.968140	1.017871	-0.084486	
-351.400000	0.000044	0.871909	0.965184	0.967897	1.017542	-0.084582	
-351.300000	0.000044	0.872552	0.964526	0.967495	1.017165	-0.083939	
-351.200000	0.000044	0.870367	0.963890	0.967127	1.016875	-0.086124	
-351.100000	0.000044	0.869853	0.963531	0.966769	1.016597	-0.086638	
-351.000000	0.000044	0.869114	0.962889	0.966406	1.016328	-0.087377	
-350.900000	0.000044	0.869243	0.962354	0.965993	1.015971	-0.087248	
-350.800000	0.000044	0.868986	0.961773	0.965592	1.015449	-0.087505	
-350.700000	0.000044	0.869789	0.961124	0.965177	1.015136	-0.086702	
-350.600000	0.000044	0.868408	0.960831	0.964760	1.014796	-0.088083	
-350.500000	0.000044	0.865966	0.960073	0.964394	1.014423	-0.090525	
-350.400000	0.000045	0.867444	0.959661	0.963971	1.014091	-0.089047	
-350.300000	0.000045	0.865452	0.959201	0.963570	1.013789	-0.091039	
-350.200000	0.000045	0.865260	0.958719	0.963207	1.013495	-0.091231	
-350.100000	0.000045	0.864778	0.958061	0.962753	1.012939	-0.091713	
-350.000000	0.000045	0.864938	0.957823	0.962343	1.012703	-0.091553	
-349.900000	0.000045	0.863075	0.957092	0.961983	1.012328	-0.093416	
-349.800000	0.000045	0.861790	0.956681	0.961567	1.012033	-0.094701	
-349.700000	0.000045	0.862850	0.955979	0.961051	1.011606	-0.093641	
-349.600000	0.000045	0.863621	0.955799	0.960629	1.011304	-0.092870	
-349.500000	0.000045	0.861051	0.954964	0.960188	1.010910	-0.095440	
-349.400000	0.000045	0.861405	0.954842	0.959690	1.010661	-0.095086	
-349.300000	0.000045	0.858995	0.953882	0.959170	1.010343	-0.097496	
-349.200000	0.000046	0.858899	0.953535	0.958647	1.009974	-0.097592	
-349.100000	0.000046	0.859285	0.953093	0.958222	1.009764	-0.097207	
-349.000000	0.000046	0.858867	0.952654	0.957782	1.009372	-0.097624	
-348.900000	0.000046	0.858257	0.951940	0.957196	1.009139	-0.098234	
-348.800000	0.000046	0.856779	0.951559	0.956662	1.008786	-0.099712	
-348.700000	0.000046	0.854338	0.951228	0.956214	1.008439	-0.102154	
-348.600000	0.000046	0.855687	0.950740	0.955741	1.008167	-0.100804	
