Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p_mitWandwärmeverlust [Pa]	p_Reale Ladung [Pa]	p_Verbrennungslage [Pa]	p_HC_CO [Pa]	p_realer Brennverlauf [Pa]
-133.0	 8.331927728793558E-5	 4.366648777583654E-4	 118655.53502124589	 118655.53502124589	 118655.53502124589	 118655.53502124589	 118655.53502124589	 
-132.0	 1.6663855457587116E-4	 4.343709807693126E-4	 119534.87833443978	 119497.84956690311	 119489.76546441557	 119482.38827236896	 119493.38898792907	 
-131.0	 2.4995783186380677E-4	 4.3202930768827905E-4	 120464.123883406	 120368.80179639896	 120352.28878673108	 120337.22228123964	 120377.23626031414	 
-130.0	 3.332771091517423E-4	 4.296400409409662E-4	 121336.49019471924	 121269.20026974988	 121243.89909489287	 121220.81822940591	 121214.16066221544	 
-129.0	 4.1659638643967787E-4	 4.272033779756248E-4	 122252.71033042314	 122199.88839388892	 122165.42457940304	 122133.99070535504	 122091.9026810427	 
-128.0	 4.999156637276135E-4	 4.247195318738854E-4	 123237.94340841142	 123161.74592739555	 123117.72897736117	 123077.5891304803	 123032.44525693076	 
-127.0	 5.832349410155491E-4	 4.22188731962874E-4	 124191.40181561456	 124155.69056631926	 124101.7131137345	 124052.49926124007	 123948.0104644109	 
-126.0	 6.665542183034846E-4	 4.196112244275107E-4	 125250.28639293312	 125182.67961573153	 125118.3165255642	 125059.64477182161	 124958.26630609353	 
-125.0	 7.498734955914202E-4	 4.1698727292184735E-4	 126338.11806176524	 126243.7117519406	 126168.51917385662	 126099.9889218983	 125996.60593734203	 
-124.0	 8.331927728793557E-4	 4.1431715917825205E-4	 127472.39808277728	 127339.82888062448	 127253.3432482159	 127174.53631436478	 127078.38036400195	 
-123.0	 9.165120501672914E-4	 4.1160118361321105E-4	 128691.8493635695	 128472.11809647894	 128373.85506960136	 128284.33474824956	 128237.4972775278	 
-122.0	 9.99831327455227E-4	 4.088396659284729E-4	 129923.83470697723	 129641.71375034351	 129531.16709694373	 129430.47717234149	 129410.51220426662	 
-121.0	 0.0010831506047431626	 4.060329457062269E-4	 131169.57218657527	 130849.7996301586	 130726.44004372752	 130614.10374542582	 130598.60079838995	 
-120.0	 0.0011664698820310982	 4.03181382996967E-4	 132452.7823036093	 132097.6112625246	 131960.88511104675	 131836.40400940948	 131822.55179962298	 
