Kurbelwinkel-LW [°KW]	Brennraumvolumen-LW [m3]	LWAideal [Pa]	LWArealGemittelt [Pa]	LWA [Pa]
124.0	 4.1165452615151793E-4	 103976.9786805556	 242046.79039882025	 242046.79039882025	 
125.0	 4.143582754687238E-4	 103976.9786805556	 242046.79039882025	 242046.79039882025	 
126.0	 4.170166370114122E-4	 103976.9786805556	 239849.8080072197	 239849.76196264185	 
127.0	 4.1962931427453714E-4	 103976.9786805556	 237704.5074219933	 237704.42080197867	 
128.0	 4.2219602870477695E-4	 103976.9786805556	 235609.37667676134	 235609.2547613228	 
129.0	 4.2471651910706E-4	 103976.9786805556	 233563.2756796429	 233563.1235068992	 
130.0	 4.27190541048496E-4	 103976.9786805556	 231565.32174390214	 231565.14407832912	 
131.0	 4.296178662608758E-4	 103976.9786805556	 229614.69562772548	 229614.49696518137	 
132.0	 4.319982820428598E-4	 103976.9786805556	 227710.41325704101	 227710.19787358167	 
133.0	 4.3433159066293007E-4	 103976.9786805556	 225851.65096168674	 225851.42289854222	 
134.0	 4.366176087641417E-4	 103976.9786805556	 224037.63639507515	 224037.39946421137	 
135.0	 4.3885616677165774E-4	 103976.9786805556	 222268.25783385604	 222268.0155039309	 
136.0	 4.4104710830401394E-4	 103976.9786805556	 220543.1735934558	 220542.92904895853	 
137.0	 4.4319028958900825E-4	 103976.9786805556	 218861.06702396987	 218860.8233697432	 
138.0	 4.452855788850646E-4	 103976.9786805556	 217219.26072635787	 217219.02126769655	 
139.0	 4.4733285590887865E-4	 103976.9786805556	 215614.75880598987	 215614.52712455316	 
140.0	 4.493320112700992E-4	 103976.9786805556	 214044.09163890025	 214043.8716983946	 
141.0	 4.512829459137635E-4	 103976.9786805556	 212503.22919397976	 212503.0254619197	 
142.0	 4.531855705711519E-4	 103976.9786805556	 210981.64262889465	 210981.46136086833	 
143.0	 4.5503980521968663E-4	 103976.9786805556	 209465.18201149718	 209465.03196876738	 
144.0	 4.568455785524586E-4	 103976.9786805556	 207943.65923138105	 207943.55090808074	 
145.0	 4.586028274579186E-4	 103976.9786805556	 206408.73909661584	 206408.68435545024	 
146.0	 4.6031149651023297E-4	 103976.9786805556	 204853.0989219829	 204853.11079027355	 
147.0	 4.619715374707645E-4	 103976.9786805556	 203270.5043799019	 203270.5968267173	 
148.0	 4.6358290880109783E-4	 103976.9786805556	 201655.7800172732	 201655.9677330375	 
149.0	 4.6514557518799444E-4	 103976.9786805556	 200008.07694305974	 200008.37448200965	 
150.0	 4.666595070806276E-4	 103976.9786805556	 198330.17231478714	 198330.59338125802	 
151.0	 4.681246802404133E-4	 103976.9786805556	 196623.5595667826	 196624.1172600026	 
152.0	 4.695410753037212E-4	 103976.9786805556	 194881.28318971986	 194881.99250654902	 
153.0	 4.709086773577195E-4	 103976.9786805556	 193093.9857429546	 193094.9453626561	 
154.0	 4.72227475529582E-4	 103976.9786805556	 191258.34615706795	 191259.89248676578	 
155.0	 4.734974625892525E-4	 103976.9786805556	 189371.41317067418	 189374.18341206538	 
156.0	 4.747186345659461E-4	 103976.9786805556	 187431.52154368482	 187436.53802633614	 
157.0	 4.75890990378534E-4	 103976.9786805556	 185430.85764408874	 185439.88606108387	 
158.0	 4.7701453147994366E-4	 103976.9786805556	 183364.41674183047	 183379.64681092624	 
159.0	 4.780892615156846E-4	 103976.9786805556	 181236.33424414883	 181260.60706786468	 
160.0	 4.791151859965905E-4	 103976.9786805556	 179057.67053652054	 179094.53468773485	 
161.0	 4.800923119858523E-4	 103976.9786805556	 176829.9640481844	 176883.72703390816	 
